,term,score
0,mr,0.26172575575017415
1,colour,0.23022016711369586
2,convention,0.21832935597118194
3,coloured,0.20237627365121316
4,shall,0.17418325703810228
5,committee,0.16632027321551474
6,resolved,0.16174105532387323
7,board,0.15864837118742406
8,easton,0.15547807296688976
9,conventional,0.14479303701261095
10,president,0.14307613442940612
11,appointed,0.14185666752966306
12,brackle,0.1253300564400811
13,society,0.11693724750333433
14,report,0.11586042795845378
15,people,0.10365131041056112
16,barbadoes,0.10244967760459633
17,motion,0.10023687715005845
18,minutes,0.09494930998631268
19,secretary,0.08934281642475579
20,seconded,0.08855828030766172
21,june,0.08671516639502336
22,drayton,0.08419548595899294
23,hogarth,0.08355337096005407
24,messrs,0.08264863753900496
25,hughes,0.08049617526075425
26,hamilton,0.08021152819822083
27,vogelsang,0.07916056724726966
28,hutchins,0.07864649818186176
29,viz,0.07636620439514834
30,closson,0.07310919959004732
31,peck,0.07159608111199287
32,roll,0.07019865932363639
33,new,0.06916099911807003
34,van,0.0691143455988366
35,session,0.06863579530728044
36,free,0.06721432925825013
37,corresponding,0.06668662716998636
38,jackson,0.06656668553458865
39,prayer,0.06654925577870167
40,sect,0.0658605070315262
41,brewer,0.06266502822004055
42,country,0.06190109128567116
43,rev,0.06140890358003942
44,hinton,0.061392044563652236
45,morning,0.060211231418825326
46,spywood,0.05898487363639632
47,clock,0.05889729845651554
48,whipper,0.05854267291691218
49,called,0.05771394255763183
50,merriman,0.056130323972661954
51,luca,0.056130323972661954
52,slavery,0.053808534006350765
53,delegates,0.05364995410798017
54,colonization,0.05334930173598909
55,york,0.052632005144095384
56,gardner,0.05241943691376606
57,labour,0.05182602432229659
58,read,0.05082627231282333
59,delegations,0.04956932303434867
60,1834,0.04861110050972942
61,chair,0.04852601917923207
62,sitting,0.048085206372143356
63,vice,0.04733136325797182
64,bird,0.04722113051861641
65,eddy,0.0467752699772183
66,sipkins,0.0467752699772183
67,james,0.04675536674207026
68,moral,0.04640211980262344
69,community,0.046245651615833196
70,london,0.046044033422739175
71,hoshea,0.04523460985558267
72,city,0.04507537607386631
73,ogden,0.04483165589421906
74,states,0.044250003748470254
75,prejudice,0.04408360820793089
76,adjourned,0.043926908996659485
77,united,0.043620959291695696
78,constitution,0.043017170725280086
79,treasurer,0.04242566910841574
80,principles,0.041813115805746356
81,following,0.04150739238760582
82,aid,0.04100649017821433
83,county,0.04089423788912792
84,resolution,0.04066878812857035
85,philadelphia,0.04039963907136227
86,morrow,0.03980410263649734
87,merits,0.03974405936275174
88,societies,0.03953028150279057
89,public,0.0392538778460802
90,necessary,0.03914311172907163
91,francis,0.038951095811107186
92,meet,0.03886171900458666
93,cause,0.03870617407550079
94,liberty,0.037763874690815324
95,men,0.03750307288092914
96,abner,0.03744245493840433
97,anti,0.03728391869604865
98,henry,0.037017234794821094
99,delegation,0.036988406384151525
100,thompson,0.03687624918047578
101,annual,0.03619629588939709
102,processions,0.03586532471537525
103,order,0.03561558648500312
104,monday,0.035216261187673015
105,butler,0.03482858980693517
106,persons,0.034611762493502216
107,pennington,0.03437565945203415
108,subject,0.03436692930859147
109,day,0.034231490078634075
110,moneys,0.03409194202834124
111,scarlett,0.03392595739168701
112,nicken,0.03392595739168701
113,world,0.03385025585622836
114,man,0.03376170009807302
115,meeting,0.033410374064450694
116,accepted,0.03333130689194361
117,objects,0.033014965603194585
118,recommend,0.032895003215059615
119,afternoon,0.032648518075014676
120,liberator,0.03254367323272403
121,present,0.03239829679077872
122,inhabitants,0.032364855586132585
123,taken,0.03195404781530528
124,samuel,0.03162422520223245
125,section,0.03162422520223245
126,stewart,0.03160821358326495
127,government,0.031380553623400635
128,asbury,0.031332514110020276
129,state,0.031084326072843255
130,consideration,0.03099857813500818
131,means,0.030842332593348724
132,shadd,0.030696022281826118
133,village,0.030506954945909433
134,cornish,0.029953963950723465
135,remond,0.029953963950723465
136,abolition,0.029853076977373005
137,accordingly,0.029618076679143516
138,condense,0.02949243681819816
139,year,0.02873314110759302
140,nickens,0.028065161986330977
141,having,0.02803848417577157
142,adopted,0.027792222604701988
143,support,0.02769566388236866
144,discussed,0.02719686363212984
145,consider,0.027128374281803622
146,decided,0.026752475723547123
147,number,0.026711414581525296
148,arts,0.026658421427023373
149,jno,0.02649603957516783
150,seven,0.026313487928910227
151,reason,0.026313487928910227
152,improvement,0.026313487928910227
153,nation,0.026118814460011745
154,submitted,0.026098743087234054
155,sen,0.025913012161148295
156,blount,0.025913012161148295
157,received,0.0257751969814436
158,services,0.025690131652440624
159,american,0.025413136156411664
160,perry,0.025181397741323646
161,advocates,0.025181397741323646
162,till,0.024998480168957705
163,youth,0.02487756414781084
164,obligation,0.024784661517174334
165,introduced,0.02477599740834226
166,glorious,0.02477599740834226
167,citizens,0.024583335415816806
168,nations,0.024557317958677993
169,john,0.024536789601578825
170,brown,0.024483708468794555
171,johnson,0.024483708468794555
172,town,0.024344434881941993
173,said,0.024029570966102382
174,fourth,0.023922852248968587
175,rights,0.023922174619366448
176,pay,0.02373732749657817
177,manual,0.023694461343314814
178,travelling,0.023631641412842134
179,africa,0.023591625940653185
180,great,0.02353541521755048
181,white,0.023373484683281324
182,patronage,0.023359975693804307
183,glory,0.02335205712669974
184,justice,0.023239307502040202
185,past,0.02320105990131172
186,peter,0.023117753990094702
187,god,0.023074508329001476
188,bond,0.023038115199612196
189,bow,0.023022016711369588
190,officers,0.022911286205727646
191,reported,0.022911286205727646
