,term,score
0,state,0.234994769824384
1,committee,0.22780524826684642
2,people,0.20320505585150156
3,resolved,0.1848861227109204
4,convention,0.17025288463233912
5,crummell,0.1311455037180575
6,political,0.12480398228550933
7,rights,0.11616923076547915
8,man,0.10994759218489053
9,albany,0.1088766093133454
10,reason,0.1076549652987242
11,nature,0.10103374596695987
12,character,0.09904826612382936
13,franchise,0.09856933048017813
14,exercise,0.08989852583432771
15,appointed,0.08671149586690824
16,men,0.07880186313929667
17,citizens,0.07652558633025634
18,common,0.07607866002339643
19,elective,0.07604223152498744
20,ray,0.07375860583629891
21,motion,0.0713206560793031
22,proscription,0.07074998323667568
23,country,0.07065381144711042
24,duffin,0.06865884980660003
25,wright,0.0683749806088867
26,forth,0.06807962985016797
27,continual,0.06688765964314186
28,garnet,0.06598372204985103
29,spirit,0.06513944324285034
30,colored,0.06206930643375338
31,great,0.06186696430843251
32,resolution,0.06149049191489107
33,york,0.06143941086403952
34,business,0.06067978797082625
35,new,0.06060060302629179
36,prerogatives,0.060528694023718854
37,principles,0.060073963787134546
38,participation,0.059873870639573425
39,right,0.059773687102422396
40,possession,0.059747467626775845
41,topp,0.058850442691371456
42,fellow,0.058753788583158294
43,let,0.058753788583158294
44,sentiments,0.057583327002070535
45,natural,0.057066454488524175
46,powers,0.0560593707368389
47,relations,0.05589343829284731
48,willing,0.05461101434465225
49,clock,0.05403755117661238
50,measure,0.053810192775556924
51,rodgers,0.05377649576222212
52,constitution,0.053563345353093046
53,influence,0.05245407317611474
54,government,0.05209849625973264
55,troy,0.05163102408540925
56,petition,0.050963064306217186
57,body,0.05091995010540386
58,exertions,0.04952498826567298
59,various,0.04944418920888024
60,soil,0.04798660132139681
61,human,0.04790685875763486
62,shall,0.04784258133654615
63,entire,0.04758737938066082
64,privileges,0.0471675145926962
65,injustice,0.04711363118351226
66,pure,0.047043516825633847
67,suffrage,0.04680650665161922
68,aggrieved,0.046621921221675536
69,delegates,0.0457072356908978
70,1840,0.045559443974236946
71,public,0.04538619071156035
72,humanity,0.04471796265020537
73,healthy,0.04457574369027998
74,class,0.04438421576440477
75,republicanism,0.044255163501779354
76,power,0.04321880058167052
77,reported,0.04279239364758186
78,report,0.04262374986822002
79,liberties,0.042437870539390174
80,community,0.04187878327423312
81,arrangements,0.04155277797060411
82,address,0.041463570491673325
83,exalted,0.041239826281156904
84,adopted,0.04089778591218374
85,republican,0.040652693318368516
86,complexional,0.04052214450724449
87,circumstances,0.04045433662544747
88,arbitrary,0.04035246268247923
89,wrested,0.04035246268247923
90,framers,0.04035246268247923
91,respectfully,0.040349287058549795
92,disfranchised,0.040323014421971864
93,legitimate,0.040323014421971864
94,operations,0.040323014421971864
95,committees,0.04013362063023962
96,rev,0.039894277460003555
97,morning,0.039459334716876945
98,feature,0.03919364874976135
99,rest,0.039125406804993115
100,possess,0.039125406804993115
101,ask,0.03888218679591932
102,feeling,0.0387135347908822
103,charles,0.03829479179071948
104,ecclesiastical,0.03822151979608106
105,1821,0.03822151979608106
106,deprived,0.038069903504528664
107,appeared,0.038010460236628886
108,noble,0.03800162267829152
109,proscribed,0.037986100338270386
110,qualification,0.037986100338270386
111,sympathies,0.03758567092236282
112,expenditures,0.03729753697734043
113,literary,0.0371719163541314
114,behalf,0.037143099796436006
115,free,0.03682479993025147
116,olney,0.036722860940481786
117,disenfranchised,0.036722860940481786
118,condition,0.03669143856532611
119,property,0.03658742398653167
120,following,0.03648241889862144
121,unnatural,0.03644755517938956
122,features,0.03644755517938956
123,theodore,0.03644755517938956
124,proceedings,0.0364298821759942
125,matter,0.03604437827228073
126,proscriptive,0.035660594952223984
127,morton,0.035660594952223984
128,religious,0.035054639943811944
129,ground,0.035054639943811944
130,connecting,0.03494567258885102
131,raymond,0.03494567258885102
132,petitioning,0.0349279525084994
133,discussions,0.0349279525084994
134,resources,0.034909193671645036
135,equal,0.03466777285708592
136,meetings,0.034303646976506334
137,universal,0.034162463924914836
138,brethren,0.03403981492508398
139,portion,0.03403981492508398
140,possessed,0.03402394041042044
141,owing,0.03402394041042044
142,form,0.033987799117133684
143,mr,0.03394697494890711
144,boston,0.03353606297570839
145,just,0.033500170296323586
146,freehold,0.033493603976170606
147,institutions,0.03331116556646258
148,evil,0.033214261015448776
149,sacrifice,0.03319405273264055
150,respect,0.03301608870794311
151,flow,0.03299186102492552
152,chairman,0.03278689395839478
153,god,0.03232293796513893
154,distinctions,0.03203907420921475
155,blood,0.031973650992181656
156,rivers,0.0318730268033606
157,buffalo,0.0318730268033606
158,means,0.03142120895415716
159,subjects,0.03140908745567484
160,years,0.03133535391101776
161,uriah,0.031202409697316504
162,deference,0.031202409697316504
163,present,0.03103163637642777
164,source,0.030976596961776168
165,alexander,0.030976596961776168
166,think,0.030968896508704297
167,existence,0.030850129919643476
168,oppression,0.030850129919643476
169,general,0.03076656573251392
170,aside,0.030640531432258603
171,regarded,0.030640531432258603
172,adapted,0.03038888027061631
173,earliest,0.03038888027061631
174,francis,0.030312764670992986
175,soul,0.030312764670992986
176,unmitigated,0.030264347011859427
177,harmoniously,0.030264347011859427
178,president,0.030195417361655742
179,deep,0.030046834237553093
180,peculiar,0.02968055569328865
181,manifested,0.02968055569328865
182,native,0.029532962084760684
183,make,0.0295087499087677
184,day,0.0295087499087677
185,shut,0.02950344233451957
186,obtain,0.02928211193564129
187,assembled,0.02914390574079536
188,extent,0.02907709362316347
189,want,0.02903515109316165
190,use,0.02873150041345683
191,clause,0.02868618507251061
192,efforts,0.028671725069885107
193,gentle,0.028666139847060797
194,steward,0.028666139847060797
195,runs,0.028666139847060797
196,embodying,0.028666139847060797
197,depressed,0.028666139847060797
198,born,0.028552427628396496
199,afternoon,0.028456885322857967
200,american,0.02812752965593711
201,tendencies,0.02797315273300532
202,readers,0.02797315273300532
203,abner,0.02797315273300532
204,inasmuch,0.02792735493731603
205,declaration,0.027854710752413296
206,non,0.027567350850945686
207,best,0.027540260709157778
208,act,0.02741843467214054
209,like,0.02741843467214054
210,enjoyment,0.027415693159939247
211,principle,0.027405986564727137
212,duty,0.027348058428901267
213,foreigners,0.027335666384542167
214,upwards,0.027335666384542167
215,developing,0.027335666384542167
216,went,0.02715793983035266
217,patrick,0.026745446214167988
218,signatures,0.026745446214167988
219,attended,0.026555242186112438
220,estate,0.026555242186112438
221,reply,0.026555242186112438
222,higher,0.026413415015165753
223,considerations,0.0262382304803663
224,purposes,0.0261742395463957
225,disadvantageously,0.02600937014622393
226,intenseness,0.02600937014622393
227,unbiassed,0.02600937014622393
228,dougee,0.02600937014622393
229,obtainment,0.02600937014622393
230,freemen,0.025939297494783718
231,elevated,0.025930408825829247
232,continued,0.025708441599702894
233,scattered,0.025681958454151214
234,charter,0.025681958454151214
235,exceedingly,0.025681958454151214
236,guaranteed,0.025631259367371803
237,set,0.025529861193812984
238,wednesday,0.025481532153108593
239,statistics,0.02534030682441926
240,settled,0.02534030682441926
241,plans,0.02534030682441926
242,amid,0.02534030682441926
243,taken,0.02531961431789632
244,justice,0.02531961431789632
245,accordance,0.025258436491739967
246,effectually,0.02519912410344001
247,called,0.024995898026457845
248,james,0.02495057352705247
249,impartial,0.024823188338478297
250,operation,0.024823188338478297
251,attendance,0.02478127756942093
252,moral,0.02476206653095734
253,past,0.02476206653095734
254,presentation,0.024743895768694138
255,austin,0.024743895768694138
256,opposition,0.024610801737300573
257,evening,0.024575764345615807
258,abasement,0.02448190729365452
259,basing,0.02448190729365452
260,elimus,0.02448190729365452
261,unequally,0.02448190729365452
262,having,0.024438718075455574
263,central,0.024401759946367743
264,sharp,0.024313286704346695
265,fields,0.024250211736794387
266,draft,0.024250211736794387
267,town,0.024250211736794387
268,earnest,0.02419595924430137
269,adjourned,0.02392955112528861
270,enabled,0.023904770102520446
271,civil,0.023851609861465596
272,arrived,0.02374444455463092
273,prayer,0.023675600830126167
274,favor,0.023675600830126167
275,secretaries,0.023675600830126167
276,accompanied,0.02351618924985681
277,strongly,0.02351618924985681
278,sufferings,0.02351618924985681
279,season,0.02351618924985681
280,duties,0.02350151543326332
281,important,0.02350151543326332
282,county,0.02350151543326332
283,effort,0.02340325332580961
284,freedom,0.02332931207755159
285,wedded,0.023297115059234014
