,term,score
0,niles,0.420280597598885
1,portland,0.23778063231844423
2,siggs,0.20518942528575554
3,committee,0.15088960149503522
4,resolved,0.1483388927388621
5,motion,0.14723168146771504
6,society,0.13493671706419957
7,ruby,0.1347534085655349
8,shall,0.1278127872472608
9,convention,0.12337908200730034
10,people,0.12337908200730034
11,colored,0.11991106966881841
12,geger,0.11969383141669071
13,lewis,0.11742662917889021
14,mr,0.10305714561506149
15,appointed,0.09749670620033171
16,bath,0.09490207042555468
17,rev,0.0928526311545168
18,slavery,0.09040064351480866
19,waters,0.08956734900209541
20,president,0.08800134290274897
21,chandler,0.08575216908715856
22,freeman,0.08574468135881756
23,willy,0.0854955938690648
24,resolution,0.08345448240713205
25,meeting,0.07998647619864514
26,dickson,0.07836294804272309
27,prayer,0.0766666986482045
28,art,0.07523167336243874
29,numbering,0.07350185921756448
30,brunswick,0.07072601263246338
31,winthrop,0.06839647509525183
32,durham,0.06839647509525183
33,portsmouth,0.06778719316111048
34,myres,0.06316796004473978
35,hallowell,0.06316796004473978
36,huston,0.06316796004473978
37,following,0.06276077850060985
38,minutes,0.06152872264834142
39,1841,0.0612515493479704
40,ought,0.059771310572721253
41,wentworth,0.05945826957940044
42,rogers,0.05904874721925733
43,seconded,0.058582797041572744
44,time,0.05769872216843047
45,mechanical,0.05712639280573099
46,hill,0.05643198622131908
47,anti,0.0563747233520787
48,read,0.05550370542704795
49,myers,0.0553532312762684
50,country,0.05459815547218575
51,session,0.05396558452188964
52,place,0.053589715719831975
53,temperance,0.05179262679232297
54,brethren,0.051669495864123546
55,eben,0.051297356321438885
56,unanimously,0.050497084409372915
57,oct,0.05007879245315616
58,john,0.04946742989522952
59,business,0.049123558170450554
60,talbot,0.04900123947837632
61,consideration,0.046871045957250355
62,clock,0.046871045957250355
63,abram,0.04641356983568863
64,education,0.04619233116370706
65,moral,0.04510401118305595
66,taken,0.04392341179322739
67,great,0.04349455699506771
68,subject,0.04330343572579854
69,scott,0.04325041657523242
70,letter,0.04264170917280161
71,seamen,0.04243560757947802
72,small,0.042371053459865686
73,person,0.04230892765824822
74,met,0.041803734536761776
75,called,0.04173577317604715
76,negative,0.041581858547697664
77,farms,0.041581858547697664
78,held,0.04116837646140205
79,discussed,0.04112270697200132
80,intemperance,0.040800097697601845
81,voted,0.04079012656857914
82,meet,0.0406802895816639
83,adjourn,0.039574468319454256
84,god,0.03925074006851576
85,use,0.03925074006851576
86,influence,0.039197906576268926
