,term,score
0,convention,0.32382005437535927
1,commonwealth,0.1962396413778861
2,vashon,0.18203884238983023
3,woodson,0.17802489408023367
4,lewis,0.1603184942445811
5,committee,0.15948722085689743
6,1841,0.15861700369438927
7,pittsburgh,0.1569078862683953
8,templeton,0.13747600594149378
9,pennsylvania,0.13443239513884292
10,john,0.12962585970854035
11,norris,0.12849055891038708
12,samuel,0.1271438172874661
13,resolved,0.12236067963245723
14,curdy,0.11069968901148136
15,collins,0.10922330543389813
16,state,0.10867232730428401
17,shall,0.1074623299106139
18,delaney,0.10465832714375332
19,thomas,0.09969427033517723
20,mahorney,0.0948854477241269
21,allegheny,0.09344767920755423
22,peck,0.09101942119491511
23,meeting,0.08565649038897945
24,appointed,0.07935005786750694
25,taxes,0.07916155050936508
26,chidester,0.0790712064367724
27,bryans,0.0790712064367724
28,president,0.07799747177944306
29,william,0.07038437404043996
30,freemen,0.06991672941956463
31,george,0.06952460779916214
32,business,0.06814840683403832
33,colored,0.06654036200994029
34,resolutions,0.06628152013034168
35,nathaniel,0.06609390119858438
36,people,0.06476401087507185
37,motion,0.06407918351329327
38,rev,0.06347313249790379
39,means,0.06273530544905606
40,brown,0.058694567782766764
41,citizens,0.05844229085324704
42,cambria,0.05842133591746049
43,prayer,0.05761091380333787
44,williams,0.05673461505364506
45,right,0.056531183850541324
46,august,0.05649564722554646
47,holding,0.054810378213289816
48,order,0.05336307247254223
49,deprives,0.052360262964774605
50,considered,0.05171564330470358
51,james,0.051372845378371494
52,read,0.051332995669334844
53,delegates,0.051332995669334844
54,good,0.05119704489120427
55,leonard,0.05116701338148394
56,recommend,0.05060111906500789
57,corresponding,0.0497364728973892
58,monday,0.049247109984004875
59,richards,0.04831635223346281
60,charles,0.04778689975781744
61,halson,0.04744272386206345
62,measures,0.047310810864689155
63,bruce,0.046723839603777115
64,past,0.046349738532774756
65,virtuous,0.04550971059745756
66,assembled,0.045005138711151665
67,resolution,0.04468516685539927
68,manner,0.04431608754102913
69,sr,0.04406260079905626
70,harrisburgh,0.043816001938095366
71,public,0.043130522496226044
72,henry,0.04235369463855833
73,sitting,0.0420270594987491
74,gardner,0.04188821037181969
75,present,0.04182130461346
76,parker,0.04141849902689375
77,robinson,0.040271189884881015
78,subject,0.040049489695808294
79,apathy,0.039246872678907495
80,barns,0.039246872678907495
81,johnson,0.03912971185517784
82,clock,0.039014117392086795
83,seconded,0.038700510992848026
84,transacted,0.038457276830956726
85,large,0.0384491746200566
86,attention,0.0381711017635986
87,minutes,0.03793685038918553
88,popular,0.0377383925726704
89,indifference,0.03773425976347156
90,powerful,0.03766376481703097
91,newspapers,0.03727965910464448
92,induced,0.03705258113986225
93,proceedings,0.03682238621821499
94,rights,0.03679856172363283
95,afternoon,0.0365250621441398
96,honorable,0.03649699394299132
97,use,0.036301325370133405
98,jackson,0.036200950313292506
99,importance,0.03590904728988754
100,half,0.03562117064364481
101,time,0.03557538164836149
102,jr,0.03557406832898263
103,carrying,0.03557406832898263
104,county,0.03519218702021998
105,called,0.03509056896977301
106,restriction,0.03504287970283284
107,impart,0.03504287970283284
108,preamble,0.034958364709782315
109,best,0.034796232371950564
110,butler,0.03478927337551165
111,general,0.0345533909814186
112,spirit,0.034426808255208774
113,draft,0.03404373495926646
114,chair,0.033929868234309865
115,necessary,0.03368522754373382
116,briefly,0.033621647598999285
117,remembered,0.033134799221515
118,great,0.03291238600148846
119,men,0.032778145177428664
120,posterity,0.03265597445290123
121,attend,0.03260886953223824
122,previous,0.03233574676634278
123,equivalent,0.032194439466370066
124,porter,0.032194439466370066
125,separately,0.03178322668782202
126,richard,0.03169385603272361
127,alfrey,0.03162848257470896
128,noticing,0.03162848257470896
129,qualifies,0.03162848257470896
130,galbreath,0.03162848257470896
131,squandered,0.03162848257470896
132,adjournment,0.031540540576459435
133,opened,0.031540540576459435
134,cities,0.031386470680859146
135,political,0.031147814686901622
136,important,0.030793163642692484
137,tuesday,0.03079008469836717
138,following,0.030729574153114926
139,forenoon,0.030700208028890365
140,trade,0.03056935313355
141,beginning,0.03056935313355
142,elective,0.030500606449432945
143,children,0.030344313527178618
144,exercise,0.030289037835548562
145,society,0.030123457223307674
146,constitution,0.030078027400735632
147,carried,0.030048910825105742
148,names,0.030048910825105742
149,impolitic,0.03003734209548181
150,gratification,0.03003734209548181
151,education,0.029904913593377352
152,gentlemen,0.029688634705021134
153,newspaper,0.029467696990651163
154,make,0.02945845339126297
155,fayette,0.029420228675324116
156,just,0.02926268673814106
157,spending,0.029210667958730244
158,carney,0.029210667958730244
159,bernard,0.029210667958730244
160,franchise,0.029131970591485267
161,laws,0.029052928932779852
162,object,0.029052928932779852
163,condition,0.02884525830437478
164,abuse,0.02884295762321754
165,23d,0.02884295762321754
166,robert,0.02861786235574131
167,consider,0.028452637791889147
168,commencement,0.028300694822603674
169,reported,0.02803464278706581
170,account,0.02802155202456627
171,daniel,0.027831418700409317
172,member,0.02780984311966486
173,austin,0.027789435854896682
174,dwellings,0.027495201188298755
175,builds,0.027495201188298755
176,spectators,0.027495201188298755
177,obtain,0.027405189106644908
178,presidents,0.027393796608104853
179,vice,0.02725433785103892
180,corrected,0.027234987967413162
181,share,0.02694759745586458
182,dollars,0.02694645563861898
183,duty,0.026874859652214474
184,adjourned,0.026874859652214474
185,session,0.026874859652214474
186,greene,0.026847028519676897
187,alike,0.02666696970555054
188,approved,0.026501417772288458
189,attain,0.026410620171513736
190,suffrage,0.026283783813716197
191,foundation,0.026124779562320986
192,conventions,0.026069281387850946
193,ladies,0.02586265628293039
194,useful,0.02586265628293039
195,day,0.0257761467173551
196,conducted,0.02560617050263675
197,circular,0.025596914291813093
198,generally,0.02544369331688915
199,come,0.025263920657800365
200,country,0.025247745685115845
201,love,0.025240864862957135
202,respectability,0.025216235699249464
203,motions,0.025216235699249464
204,offering,0.025216235699249464
205,arose,0.025109176544687313
206,color,0.02508230291840663
207,occurrence,0.025077386572320042
208,clayton,0.025077386572320042
209,bailey,0.025077386572320042
210,imagine,0.025077386572320042
211,kingdoms,0.025077386572320042
212,address,0.025074543645809914
213,protection,0.02504075902092145
214,number,0.0249025105138113
215,thanks,0.0249025105138113
216,resumed,0.024851099416136252
217,adopted,0.02473239293461183
218,elevation,0.024648429499647396
219,notice,0.024632067758693733
220,publishing,0.024632067758693733
221,history,0.024456069909486153
222,appropriate,0.024400485159546355
223,adjourn,0.024400485159546355
224,pursuant,0.024173313926869677
225,alfred,0.02416271393092861
226,matthew,0.024158176116731406
227,unpleasant,0.024158176116731406
228,officers,0.024029693817484977
229,happy,0.02395038913508442
230,desire,0.02389344987890872
231,statistical,0.023837420015866514
232,foregoing,0.023837420015866514
233,devise,0.023837420015866514
234,punishment,0.023837420015866514
235,lawful,0.023837420015866514
236,curtis,0.023361919801888557
237,preserve,0.02322030659570882
238,roll,0.023098160304027334
239,individual,0.023098160304027334
240,close,0.023098160304027334
241,pursue,0.0229270148501625
242,continue,0.022693846021458023
243,assemblies,0.022659571956341322
244,preferred,0.022659571956341322
245,agitated,0.022659571956341322
246,police,0.022659571956341322
247,hilton,0.022659571956341322
248,practised,0.022659571956341322
249,attainment,0.022643035543602242
250,owe,0.022643035543602242
251,hope,0.022489338768878722
252,tend,0.02236779546278669
253,martin,0.02236779546278669
254,secretaries,0.022158043770514564
255,thing,0.02211196822390715
256,considerations,0.022100772742988373
257,franklin,0.022100772742988373
258,rendering,0.02203130039952813
259,needham,0.02203130039952813
260,cultivators,0.02203130039952813
261,perform,0.021841490912325866
262,excellent,0.021841490912325866
263,consideration,0.021674509662270445
264,far,0.021674509662270445
265,treasury,0.021589513775281385
266,days,0.021557164510895187
267,shadd,0.02146295964424671
268,dress,0.02146295964424671
269,deprived,0.021377820843791865
270,press,0.021377820843791865
271,oppressive,0.02134444099738958
272,towns,0.021105904278859236
273,eyes,0.021105904278859236
274,doings,0.021105904278859236
275,numerous,0.021105904278859236
276,addition,0.021105904278859236
277,end,0.02102702705097296
278,effort,0.02102702705097296
279,approving,0.020944105185909844
280,accomplishing,0.020944105185909844
281,meet,0.020901919098672186
282,benjamin,0.020873564025306986
283,amendments,0.020873564025306986
284,district,0.020855425110280757
285,lay,0.020855425110280757
286,wealth,0.020855425110280757
287,held,0.02076810817663012
288,deem,0.02068625732188143
289,highly,0.020647106440061597
290,constituents,0.020647106440061597
291,contains,0.020466805352593577
292,gentlemanly,0.020466805352593577
293,journey,0.020466805352593577
294,liberties,0.02042624097555987
295,various,0.020192691890365707
296,question,0.020167402983407447
297,god,0.020167402983407447
298,centre,0.020024894730321208
299,abstinence,0.020024894730321208
300,feared,0.020024894730321208
301,single,0.01979459530713947
302,receive,0.019718743599717918
303,high,0.019718743599717918
304,agreeably,0.019613485783549413
305,respond,0.019613485783549413
306,entreat,0.019613485783549413
307,thousand,0.01956485592758892
308,addressed,0.01956485592758892
309,remarks,0.01956485592758892
310,suffer,0.019396992212197792
311,almighty,0.019396992212197792
312,long,0.019331240206639202
313,jonathan,0.019228638415478363
314,accommodation,0.019228638415478363
315,restrictions,0.019228638415478363
316,creditable,0.019228638415478363
317,safeguard,0.019228638415478363
318,successful,0.019204627876977562
319,result,0.019114759903126978
320,majority,0.019114759903126978
321,united,0.019062626427726524
322,place,0.019062626427726524
323,anderson,0.019016313619634163
324,prejudice,0.018968425194592766
325,pay,0.018968425194592766
326,secretary,0.01893011300945509
327,inspire,0.01886712988173578
328,paramount,0.01886712988173578
329,signed,0.018831882408515487
330,edward,0.018831882408515487
331,unanimously,0.01868103468304418
332,pursuance,0.018526290569931124
333,graves,0.018526290569931124
334,possibly,0.018526290569931124
335,mistake,0.018526290569931124
336,collected,0.0184740508190203
337,argument,0.0184740508190203
338,family,0.0184740508190203
339,report,0.018411533369539355
340,better,0.01840040693273014
341,crime,0.018300363869659768
342,david,0.018300363869659768
343,extreme,0.018203884238983024
344,begin,0.018203884238983024
345,reports,0.018129985445152257
346,labor,0.018126230970032225
347,matter,0.017991471015102976
348,publication,0.017962791851313314
349,24th,0.01789801901311793
350,farming,0.01789801901311793
351,10,0.017858216789500586
352,granted,0.01779866620359882
353,way,0.017726435016411652
354,morning,0.017726435016411652
355,expect,0.017637497936251214
356,highest,0.017637497936251214
357,sacred,0.017637497936251214
358,profitable,0.01760708011434249
359,fellow,0.01759609351010999
360,gordon,0.017329678257836514
361,poverty,0.017329678257836514
362,health,0.017329678257836514
363,silence,0.017329678257836514
364,tendered,0.017323620228020503
365,regard,0.017088522053358486
366,common,0.017088522053358486
367,adapted,0.017064609527875394
368,usefulness,0.017064609527875394
369,jones,0.017020384516093518
370,enjoy,0.017020384516093518
371,named,0.017020384516093518
372,form,0.016964934117154933
373,wrong,0.016872536574123742
374,funds,0.016872536574123742
375,distant,0.016810823799499643
376,stop,0.016810823799499643
377,observation,0.016810823799499643
378,societies,0.01658397616793036
379,bringing,0.0165673996107575
380,succeed,0.0165673996107575
381,chairman,0.01636550498587333
382,curse,0.01633352396618338
383,12th,0.01633352396618338
384,rank,0.01633352396618338
385,farmers,0.01633352396618338
386,privilege,0.01630443476611912
387,credentials,0.01630443476611912
388,soil,0.01616787338317139
389,especially,0.01616787338317139
390,persons,0.01613392238672596
391,insult,0.016108475953952407
392,induce,0.016108475953952407
393,wish,0.0160333656328439
394,strong,0.0160333656328439
395,decided,0.0160333656328439
396,success,0.015900850663373073
397,cheerfully,0.01589161334391101
398,moneys,0.01589161334391101
399,responded,0.01589161334391101
400,mountains,0.01589161334391101
401,auford,0.01581424128735448
402,purnel,0.01581424128735448
403,adversary,0.01581424128735448
404,coarser,0.01581424128735448
405,mcalfrey,0.01581424128735448
406,halestock,0.01581424128735448
407,secoaded,0.01581424128735448
408,dickens,0.01581424128735448
409,dabney,0.01581424128735448
410,wilkison,0.01581424128735448
411,inhabiting,0.01581424128735448
412,arousing,0.01581424128735448
413,turbin,0.01581424128735448
414,pursu,0.01581424128735448
415,siscoe,0.01581424128735448
416,timms,0.01581424128735448
417,wedley,0.01581424128735448
418,sickens,0.01581424128735448
419,calder,0.01581424128735448
420,obadiah,0.01581424128735448
421,brackel,0.01581424128735448
422,minnis,0.01581424128735448
423,bazaleel,0.01581424128735448
424,outstart,0.01581424128735448
425,beaver,0.01581424128735448
426,larkin,0.01581424128735448
427,venable,0.01581424128735448
428,equalled,0.01581424128735448
429,boler,0.01581424128735448
430,exposes,0.01581424128735448
431,bodey,0.01581424128735448
432,nicholson,0.01581424128735448
433,supposest,0.01581424128735448
434,beno,0.01581424128735448
435,smallness,0.01581424128735448
436,frosts,0.01581424128735448
437,centrality,0.01581424128735448
438,equipage,0.01581424128735448
439,maloney,0.01581424128735448
440,unrivet,0.01581424128735448
441,winters,0.01581424128735448
442,visiters,0.01581424128735448
443,zedekiah,0.01581424128735448
444,inevadeable,0.01581424128735448
445,miracle,0.01581424128735448
446,dockens,0.01581424128735448
447,indescribable,0.01581424128735448
448,request,0.015770270288229717
449,improvement,0.015770270288229717
450,seven,0.015770270288229717
451,vote,0.015683826362264015
452,exert,0.015682361538423867
453,resources,0.015682361538423867
454,advise,0.015682361538423867
455,east,0.015682361538423867
456,ordinary,0.015682361538423867
457,paid,0.01564156883271057
458,places,0.01564156883271057
459,smith,0.01564156883271057
460,15,0.015514692991411073
461,kind,0.015514692991411073
462,charged,0.015480204397139211
463,receiving,0.015284676566775
464,showing,0.015284676566775
465,cost,0.015284676566775
466,intention,0.015284676566775
467,raising,0.015284676566775
468,circumstances,0.015144518917774281
469,14,0.015144518917774281
470,amend,0.015095357029068161
471,possible,0.015024455412552871
472,13,0.015024455412552871
473,earnestly,0.015024455412552871
474,said,0.014934854705389128
475,sacrifice,0.014911863641857794
476,improve,0.014911863641857794
477,assigned,0.014911863641857794
478,brought,0.01490598219924394
479,city,0.014831597531206936
480,nominated,0.014733848495325582
481,stewart,0.014733848495325582
482,expense,0.014733848495325582
483,stimulants,0.014605333979365122
484,whited,0.014605333979365122
485,canals,0.014605333979365122
486,discontinue,0.014605333979365122
487,dorris,0.014605333979365122
488,holley,0.014605333979365122
489,paralyzes,0.014605333979365122
490,lessens,0.014605333979365122
491,imparts,0.014605333979365122
492,dismissing,0.014605333979365122
493,westmoreland,0.014605333979365122
494,highgate,0.014605333979365122
495,detracts,0.014605333979365122
496,unfailing,0.014605333979365122
497,wilder,0.014605333979365122
498,thisstate,0.014605333979365122
499,juba,0.014605333979365122
500,powel,0.014605333979365122
501,obtaining,0.014560993941550578
502,rules,0.014447184360446296
503,privileges,0.014447184360446296
504,mentioned,0.014393009183520924
505,mechanics,0.014229627331593055
506,heads,0.014229627331593055
507,king,0.014229627331593055
508,concerned,0.014229627331593055
509,11,0.014117898212852776
510,12,0.014117898212852776
511,presence,0.014070602852572823
512,july,0.014070602852572823
513,writing,0.014070602852572823
514,feel,0.014010776012283135
515,washington,0.014010776012283135
516,source,0.013915709350204659
517,morrow,0.013915709350204659
518,performed,0.013915709350204659
519,educate,0.013915709350204659
520,employment,0.013915709350204659
521,evening,0.013800305199547606
522,presented,0.013800305199547606
523,advantage,0.01376473762670773
524,correct,0.01376473762670773
525,eating,0.013747600594149378
526,homage,0.013747600594149378
527,circumspection,0.013747600594149378
528,banish,0.013747600594149378
529,sheet,0.013747600594149378
530,hardin,0.013747600594149378
531,fat,0.013747600594149378
532,shaken,0.013747600594149378
533,apparatus,0.013747600594149378
534,delicate,0.013747600594149378
535,apparel,0.013747600594149378
536,unwholesome,0.013747600594149378
537,plainer,0.013747600594149378
538,bowie,0.013747600594149378
539,adley,0.013747600594149378
540,injuriously,0.013747600594149378
541,respectable,0.013617493983706581
542,total,0.013617493983706581
543,particular,0.013617493983706581
544,influence,0.013594673227524168
545,follows,0.013594673227524168
546,respectfully,0.013594673227524168
547,honor,0.013493603261327234
548,proper,0.013493603261327234
549,elected,0.013493603261327234
550,harris,0.01347379872793229
551,practice,0.01347379872793229
552,benevolent,0.01347379872793229
553,main,0.01347379872793229
554,hands,0.013393662592125441
555,grievances,0.01333348485277527
556,justly,0.01333348485277527
557,preceding,0.01333348485277527
558,favor,0.013294826262308738
559,hold,0.013197070132582494
560,let,0.013197070132582494
561,duties,0.013197070132582494
562,require,0.013196396871426312
563,brief,0.013196396871426312
564,maintain,0.013196396871426312
565,accomplished,0.013196396871426312
566,creator,0.013196396871426312
567,churches,0.013196396871426312
568,true,0.013100370846579123
569,drinking,0.013082290892969166
570,lamentably,0.013082290892969166
571,sand,0.013082290892969166
572,undeserving,0.013082290892969166
573,unsafe,0.013082290892969166
574,privation,0.013082290892969166
575,diet,0.013082290892969166
576,huntingdon,0.013082290892969166
577,burthen,0.013082290892969166
578,invoking,0.013082290892969166
579,restrict,0.013082290892969166
580,exhort,0.013082290892969166
581,collateral,0.013082290892969166
582,nickens,0.013082290892969166
583,sundry,0.013082290892969166
584,degrades,0.013082290892969166
585,pathos,0.013082290892969166
586,benford,0.013082290892969166
587,jealousies,0.013082290892969166
588,spears,0.013082290892969166
589,miseries,0.013082290892969166
590,intrinsic,0.013082290892969166
591,crowds,0.013082290892969166
592,assuredly,0.013082290892969166
593,cheaper,0.013082290892969166
594,inflicts,0.013082290892969166
595,conveyance,0.013082290892969166
596,elias,0.013082290892969166
597,blessing,0.013062389781160493
598,work,0.013004705797362265
599,experience,0.012931328141465194
600,delegation,0.012931328141465194
601,church,0.01291005309570329
602,near,0.012803085251318375
603,independent,0.012803085251318375
604,voting,0.012803085251318375
605,distinguished,0.012677542413089443
606,properly,0.012677542413089443
607,philadelphia,0.012554588272343657
608,possess,0.012554588272343657
609,elect,0.012554588272343657
610,lycoming,0.012538693286160021
611,possessor,0.012538693286160021
612,accompany,0.012538693286160021
613,decently,0.012538693286160021
614,fatigues,0.012538693286160021
615,jehovah,0.012538693286160021
616,safeguards,0.012538693286160021
617,murdering,0.012538693286160021
618,turkey,0.012538693286160021
619,burley,0.012538693286160021
620,fondly,0.012538693286160021
621,dauphin,0.012538693286160021
622,usage,0.012538693286160021
623,furniture,0.012538693286160021
624,annihilation,0.012538693286160021
625,creates,0.012538693286160021
626,scourge,0.012538693286160021
627,pervaded,0.012538693286160021
628,measurably,0.012538693286160021
629,undergoing,0.012538693286160021
630,operates,0.012538693286160021
631,worn,0.012538693286160021
632,frozen,0.012538693286160021
633,processions,0.012538693286160021
634,drudgery,0.012538693286160021
635,speaking,0.0124341182243473
636,help,0.0124341182243473
637,prepared,0.0124341182243473
638,length,0.012316033879346867
639,bear,0.012200242579773177
640,went,0.012200242579773177
641,expected,0.012200242579773177
642,results,0.012200242579773177
643,life,0.012186863687836166
644,taken,0.012186863687836166
645,nominate,0.012086656963434838
646,january,0.012086656963434838
647,calling,0.012086656963434838
648,founded,0.012086656963434838
649,joseph,0.012086656963434838
650,measure,0.012086656963434838
651,paragraph,0.012079088058365703
652,adduce,0.012079088058365703
653,prevents,0.012079088058365703
654,tempore,0.012079088058365703
655,corrections,0.012079088058365703
656,explanatory,0.012079088058365703
657,bulwark,0.012079088058365703
658,saml,0.012079088058365703
659,pernicious,0.012079088058365703
660,austria,0.012079088058365703
661,fervor,0.012079088058365703
662,subsistence,0.012079088058365703
663,unquestionably,0.012079088058365703
664,receives,0.012079088058365703
665,temperance,0.01197519456754221
666,numbers,0.01197519456754221
667,invite,0.01197519456754221
668,debate,0.01197519456754221
669,friends,0.011930063365536958
670,19,0.01186577746906588
671,having,0.011762869771698011
672,faithful,0.01175833195750081
673,immediate,0.01175833195750081
674,agent,0.01175833195750081
675,printed,0.01175833195750081
676,seat,0.01175833195750081
677,sentiments,0.01175833195750081
678,wise,0.01175833195750081
679,barrett,0.011680959900944279
680,hue,0.011680959900944279
681,temptation,0.011680959900944279
682,succeeding,0.011680959900944279
683,compensated,0.011680959900944279
684,extinguish,0.011680959900944279
685,hunter,0.011680959900944279
686,pockets,0.011680959900944279
687,prejudicial,0.011680959900944279
688,abstain,0.011680959900944279
689,highways,0.011680959900944279
690,despatch,0.011680959900944279
691,excessive,0.011680959900944279
692,infinitely,0.011680959900944279
693,equal,0.011680430507588109
694,assist,0.011652788236594106
695,thirty,0.011652788236594106
696,17,0.011652788236594106
697,raise,0.011652788236594106
698,continued,0.011549080152013667
699,street,0.011549080152013667
700,adopt,0.011447144942296523
701,views,0.011447144942296523
702,wednesday,0.011447144942296523
703,petition,0.011447144942296523
704,sufficient,0.011346923010729012
705,16,0.011346923010729012
706,settling,0.011329785978170661
707,venerable,0.011329785978170661
708,insecure,0.011329785978170661
