,term,score
0,temperance,0.2552905872336213
1,convention,0.18408766860695883
2,crummill,0.16012833101791105
3,rev,0.15919272987520766
4,jersey,0.1578004681124626
5,motion,0.15612093383099335
6,brethern,0.15274480709087168
7,resolved,0.13099059469253505
8,shadd,0.13072955672654568
9,moral,0.12986415674626575
10,committee,0.12142834697403783
11,wilmington,0.11946452608800083
12,formed,0.11853054541974804
13,number,0.11628773002514135
14,intemperance,0.11491851855588064
15,philadelphia,0.11470382838145005
16,bias,0.11383680426574053
17,members,0.11146490486292725
18,john,0.10682053382697194
19,delaware,0.10647431495048432
20,present,0.10613790580890768
21,mr,0.10217616279101664
22,pennsylvania,0.10137763820058192
23,adams,0.10113937231041727
24,jas,0.10113937231041727
25,president,0.09914666413072236
26,cause,0.09890612405112657
27,1841,0.0966126336999323
28,woodland,0.09562010744575161
29,lewis,0.09449903327099135
30,brackle,0.08896018389883947
31,abstinence,0.08537927473598236
32,james,0.08533876817737353
33,society,0.08387662200016562
34,crummell,0.08281082888565626
35,1843,0.08051477102166724
36,new,0.07854556680088896
37,preamble,0.07807405188534944
38,power,0.07732218308224371
39,kennady,0.07705885069831608
40,delegates,0.07696396173362939
41,samuel,0.07407544526463955
42,people,0.0713809327251473
43,alcohol,0.07116814711907159
44,joshua,0.07027226677522104
45,house,0.06674156681079456
46,levi,0.06536477836327284
47,baltimore,0.06357906595013901
48,maryland,0.06282007049435136
49,george,0.06210894453082275
50,anderson,0.061774499976359906
51,appointed,0.06151298155461062
52,watkins,0.0609851962399874
53,columbia,0.059331806122215974
54,van,0.058869437092705146
55,states,0.05863008460404268
56,exertions,0.05807689906390053
57,lary,0.05779413802373707
58,esion,0.05779413802373707
59,wm,0.05642302403557536
60,session,0.05612335001040707
61,adopted,0.05595328968520125
62,rogers,0.05543936522989082
63,burleigh,0.05337611033930369
64,exertion,0.052776998009869215
65,trenton,0.052291822690618266
66,joseph,0.05153335482748501
67,total,0.049765987032274764
