,term,score
0,garnit,0.2634502289097229
1,committee,0.2106954639815002
2,convention,0.19721953446763965
3,resolution,0.18119128991623548
4,people,0.15578685915931198
5,munro,0.15297110065725847
6,motion,0.13989392940675
7,mr,0.13931894306146445
8,ray,0.1290954321130181
9,resolved,0.11756240932538783
10,shall,0.11549808237131198
11,buffalo,0.10580012380049154
12,subject,0.0990018577340077
13,wright,0.09628844649331719
14,called,0.09428637525117414
15,liberty,0.0938701863421461
16,report,0.09102617891817223
17,remond,0.09004100275762646
18,members,0.08809874340651429
19,adopted,0.08354285250216774
20,colored,0.0834354226450559
21,business,0.08138262974506165
22,slavery,0.08087367613214756
23,sharpe,0.07848741360867438
24,douglass,0.07794279368692762
25,following,0.07706405344728091
26,question,0.07586414053423955
27,having,0.07585479877151297
28,country,0.07559232438337432
29,address,0.0750737535413528
30,churches,0.07446174212092345
31,new,0.07122381746230906
32,real,0.07084028492609155
33,land,0.07035709888213858
34,read,0.06790343761450296
35,come,0.06788272670953686
36,theo,0.06599177886216624
37,moved,0.06520180244382905
38,weir,0.06511654468708257
39,time,0.06500054686914739
40,sumner,0.06499814727499312
41,townsend,0.06343673525606208
42,farm,0.06324039312663006
43,adjournment,0.06214827639636291
44,chair,0.06153815564062701
45,persons,0.06069131242739164
46,said,0.06019366555243372
47,1843,0.0591968588064387
48,brethren,0.059064321259852275
49,vote,0.05899817682228787
50,banks,0.058232207828124584
51,gloucester,0.05766975932369281
52,york,0.05685698130108324
53,taken,0.056758717323158105
54,estate,0.056094268552280335
55,party,0.05563652519785599
56,great,0.05502542623941409
57,frederic,0.05494118952607206
58,yancy,0.05479649006866362
59,beman,0.05327717292579483
60,hour,0.05256966193146742
61,inhabitants,0.05211862161707246
62,states,0.05172790228785826
63,sabbath,0.05166626448185127
64,francis,0.05122521120612479
65,mcintire,0.05099036688575283
66,minutes,0.05096708626644901
67,ought,0.05050156738702802
68,appointed,0.05039488292224955
69,announced,0.04963873026487084
70,dollars,0.04923445010395623
71,press,0.04882484675259727
72,opposed,0.04844383488427631
73,johnson,0.04731269573832068
74,rose,0.046949481154975714
75,state,0.04671942408437464
76,condition,0.04650334711379725
77,slaves,0.046338305980194096
78,money,0.045752510724038735
79,say,0.04558381899305704
80,dunlap,0.045438157542607015
81,session,0.04538991519901329
82,paper,0.04519874647008212
83,present,0.044948592582525544
84,societies,0.0445602065179659
85,chairman,0.04397318680133661
86,accepted,0.04383453660959895
87,influence,0.04383374219272089
88,referred,0.04340529733892606
89,god,0.04335093744813689
90,gentlemen,0.04330462804340419
91,meet,0.04268332906974454
92,talbot,0.04261949227562726
93,ground,0.04231318188337705
94,inclusive,0.042160262084420044
95,public,0.042141554873062766
96,mechanics,0.04205762470734848
97,recommend,0.0420247253094963
98,clock,0.041931491229934885
99,meeting,0.04184620868292289
100,debate,0.041829672142843395
101,society,0.04162629947924507
102,church,0.04162629947924507
103,cause,0.04155355975592913
104,viz,0.041447475316706534
105,mich,0.04143780116450709
106,fountain,0.04143780116450709
107,ohio,0.04123626863537079
108,detroit,0.04055592918939184
109,cities,0.04048016281490946
110,moral,0.03985252077374476
111,benevolent,0.03982366910084668
112,wealth,0.03922614386119451
113,reported,0.03873985737417692
114,proper,0.03867365248849302
115,opposition,0.03861884564890378
116,free,0.03838853071498434
117,president,0.03827018044863558
118,000,0.037979635171560305
119,wealthy,0.037847383191042534
120,previous,0.0376498736089077
121,especially,0.0376498736089077
122,james,0.03764616315546799
123,freedom,0.03754661966704015
124,character,0.037361738225385716
125,rochester,0.03725109270489112
126,roll,0.03723807063795325
127,things,0.037088204585350254
128,school,0.037088204585350254
129,reference,0.03702806198205655
130,world,0.03700115509266229
131,davis,0.036985071921280865
132,case,0.036424276442537755
133,order,0.03632383501511177
134,hope,0.03625654920796221
135,rev,0.03611619933146023
136,cincinnati,0.03606060121218021
137,arts,0.03606060121218021
138,temperance,0.035394337967021336
139,good,0.0353734882967662
140,circumstances,0.035266804087877426
141,men,0.03522920929436836
142,lockport,0.03515137612450882
143,citizens,0.03510107655247524
144,truth,0.03498721408308845
145,children,0.034942909358279074
146,schools,0.034870955677026666
147,plead,0.03484536686582201
148,subscribers,0.034601855594215684
149,large,0.03443691959366965
150,independent,0.0344011663480983
151,farmer,0.03423896555524428
152,form,0.034187864244792775
153,wm,0.03394136335476843
154,opinion,0.03390493727079111
155,measures,0.033899059852561586
156,city,0.03387391455138294
157,views,0.033833614523749486
158,jenkins,0.0337100951793653
159,laws,0.0334558190410657
160,believe,0.0334558190410657
161,watson,0.033116460292162225
162,female,0.033116460292162225
163,oppressed,0.033080770364934044
164,united,0.032780927779168106
165,view,0.03262667473473893
166,affirmative,0.032594706116779726
167,information,0.0321766708791103
168,common,0.03214112495409168
169,friends,0.03205540589046138
170,delegates,0.03182973638179826
171,singing,0.03167121443532871
172,resolutions,0.03166127962371208
173,mechanic,0.03161881329665633
174,outley,0.03139496544346975
175,series,0.03129965410331714
176,agriculture,0.030938561664019162
177,jones,0.030488540720367212
178,conn,0.030442494482590895
179,arose,0.030360122111182095
180,adoption,0.030324039501189535
181,colonization,0.030068795522960448
182,proceed,0.029783238158922507
183,make,0.029682449647230078
184,day,0.029682449647230078
185,did,0.02962948234548707
186,missionaries,0.02959842940321935
187,duffin,0.02959842940321935
188,longer,0.029454477596693427
189,value,0.0289626684369794
190,farming,0.028854579218315874
191,malvin,0.028834879661846405
192,rights,0.02876382697681349
193,albany,0.028748343354774872
194,living,0.028694405988489134
195,prayer,0.0285779573183208
196,approved,0.02848312460158196
197,sentiments,0.02843457597410309
198,fixed,0.028392259727490644
199,woodson,0.028137813361758267
200,jeffrey,0.02812110089960705
201,useful,0.02779659819577198
202,lewis,0.027791402044141298
203,newspaper,0.027712312630912613
204,took,0.02760718631400986
205,countries,0.02751098471237634
206,yeas,0.02751098471237634
207,means,0.027392010667490797
208,man,0.02732341761361604
209,speak,0.02712831083682879
210,necessarily,0.027101839968562566
211,nation,0.026988713763785456
212,august,0.02698677520993964
213,platt,0.02695260806643818
214,carried,0.026913241602375727
215,ready,0.02673612391077954
216,nays,0.026709399747520988
217,principles,0.026588136085838952
218,remarks,0.02628483096573371
219,brown,0.02628483096573371
220,adjourn,0.02622508973331789
221,lost,0.02606529711385918
222,methodist,0.025969538593013534
223,song,0.025619920048282747
224,lett,0.025495183442876414
225,peek,0.025495183442876414
226,piere,0.025495183442876414
227,wandall,0.025495183442876414
228,lennox,0.025495183442876414
229,remarked,0.025282571384523975
230,organ,0.025282571384523975
231,geneva,0.025108863169772073
232,40,0.024956660497767676
233,respect,0.024907825483590475
