,term,score
0,protest,0.35301152405917446
1,convention,0.3348183523895126
2,york,0.26159873493771935
3,new,0.20370570905198526
4,schenectady,0.18734017430782018
5,franchise,0.18072849281893727
6,rochester,0.1791826739366609
7,1844,0.15619457876399145
8,party,0.15408368482616153
9,cune,0.14214527229084536
10,sentiments,0.1317083583810571
11,people,0.12223527150728238
12,extension,0.11762797206028312
13,right,0.11568470989736226
14,delegates,0.10887483326236604
15,meeting,0.10735242050938107
16,record,0.10611948713848503
17,troy,0.09992557482341145
18,citizens,0.08886358546868847
19,elective,0.08409742929997822
20,city,0.08306643195924036
21,resolutions,0.08249308980711909
22,resignations,0.0817567988853556
23,request,0.081529476684631
24,reception,0.0812830723932356
25,rejected,0.07901904399907998
26,recorded,0.07842568794036454
27,protested,0.0759319216655422
28,having,0.07432569562819556
29,political,0.07380478910019948
30,minutes,0.07354752414108676
31,refusal,0.07218485180136913
32,vidal,0.07107263614542268
33,september,0.0696577918071267
34,insult,0.06939828290350158
35,urged,0.06685265356534655
36,garnet,0.06385173906208519
37,held,0.05964855813516273
38,adopt,0.059179691889942904
39,state,0.058856966120824646
40,18th,0.05710032847052083
41,1843,0.05694894124915665
42,respectfully,0.05466380034336533
43,bouck,0.05450453259023706
44,sheweth,0.05450453259023706
45,vote,0.05405505136596041
46,smith,0.05390940878628315
47,committee,0.05153252534950943
48,heard,0.0506570609157912
49,premeditated,0.0503379762205951
50,chairman,0.04935392793709609
51,petition,0.04931640990828576
52,colored,0.04914311000495416
53,accept,0.04904308544109018
54,resolution,0.049003037608503684
55,believing,0.04845999790495043
56,step,0.047961152230615714
57,read,0.047632739552285135
58,constituents,0.04744082102572114
59,unwilling,0.04705541276421872
60,mr,0.04599017222226424
61,feature,0.045512727474877564
62,ulysses,0.04508873599272637
63,case,0.044924507321902625
64,regard,0.044172301262456304
65,statement,0.04369375116154806
66,shall,0.043210301920118085
67,16th,0.04222069872742474
68,protests,0.04163114984618227
69,debate,0.04127307600289074
70,accepted,0.04016188729309717
71,misrepresented,0.039048644690997864
72,cunning,0.039048644690997864
73,matter,0.03875528631403245
74,rev,0.03860526377281447
75,parties,0.03843381234614279
76,denied,0.03843381234614279
77,resolved,0.03833835321195709
78,rejection,0.0379659608327711
79,great,0.03781136641007712
80,obtain,0.03778131358092146
81,occupied,0.037638867133074475
82,undersigned,0.037204641556630995
83,identify,0.03698655414939875
84,determination,0.036371250024285824
85,powell,0.036092425900684566
86,color,0.03601972772551071
87,false,0.03597086417296178
88,object,0.0357615347883747
89,suffrages,0.03526990764490509
90,exercise,0.03479753512117964
91,question,0.03475395541259823
92,opposed,0.034521665411326355
93,violated,0.03379940446312914
94,means,0.03378440710372525
95,reject,0.03313620711037126
96,session,0.033080527977369635
97,review,0.032513228957294235
98,useless,0.032513228957294235
99,signed,0.03245248791325833
100,james,0.032192535993349015
101,said,0.032171053144012064
102,votes,0.031536535987491836
103,labor,0.031236457339065903
104,governor,0.030954807002168055
105,respectful,0.030341818316585042
106,assumed,0.030341818316585042
107,fellow,0.0303228853903205
108,county,0.0303228853903205
109,present,0.030028981194486132
110,wright,0.02940699301507078
111,showed,0.02940699301507078
112,firmly,0.02940699301507078
113,proscribed,0.02940699301507078
114,immediately,0.029075998742970257
115,boon,0.028969650740729297
