,term,score
0,suffrage,0.1631704176046582
1,resolved,0.15345824254626123
2,citizens,0.15117136279228097
3,colored,0.14753011011436348
4,1845,0.14653251621892704
5,york,0.14278775958345946
6,elective,0.1420114221421241
7,franchise,0.13563902673077088
8,congress,0.12751507936291426
9,men,0.12717973929318904
10,free,0.12642850801309302
11,geneva,0.12085950780963439
12,people,0.11965972440431269
13,states,0.1156016303705678
14,state,0.11244010853475758
15,new,0.11118815928837683
16,right,0.10967095888326871
17,1828,0.10151900518588156
18,sir,0.09643045796120871
19,war,0.08520971811156394
20,hazarded,0.08181268639651582
21,farmington,0.08181268639651582
22,following,0.07948750014638992
23,rights,0.07787946612891314
24,hon,0.07603753378879857
25,testimonies,0.07555857956496798
26,1778,0.07555857956496798
27,danger,0.07532919280257985
28,white,0.07515376501870416
29,inalienable,0.07199090644732473
30,convention,0.07179583464258761
31,despot,0.07112122015066649
32,slaves,0.06970179234658544
33,dear,0.06826964754036405
34,seamen,0.0676793367905877
35,battalion,0.0676793367905877
36,representatives,0.06743282538860154
37,restoration,0.06621096401726026
38,soldiers,0.0655854291631415
39,country,0.06530777741474925
40,vagabonds,0.06486711331911867
41,revolutionary,0.06250115011526053
42,american,0.06128395772924946
43,equal,0.060427015164978726
44,oppression,0.05974749312826392
45,paupers,0.05861300648757082
46,deprive,0.05785827477672523
47,fundamental,0.05785827477672523
48,despotic,0.05698787054473839
49,fugitives,0.05698787054473839
50,tyrannical,0.05698787054473839
51,genuine,0.05698787054473839
52,government,0.05675582039365098
53,seward,0.05551775626188062
54,proofs,0.05551775626188062
55,enemy,0.05521118673662572
56,shoulder,0.05417564707326936
57,perils,0.05417564707326936
58,color,0.05406652526771584
59,journal,0.053993179835493545
60,proportion,0.053993179835493545
61,foreigners,0.05294102630105951
62,28th,0.05294102630105951
63,multiplied,0.05294102630105951
64,liberty,0.05253914488283039
65,protection,0.051817895722826274
66,foreign,0.05173413926463882
67,formidable,0.050733763713190556
68,knew,0.05017376464848631
69,lake,0.0497382876589679
70,inquire,0.0497382876589679
71,majority,0.04944372066555307
72,enlisted,0.04880318164397382
73,erie,0.04880318164397382
74,said,0.04828956706599023
75,tax,0.04778641284986501
76,property,0.04723927946516824
77,house,0.04723927946516824
78,sept,0.04708757901756845
79,man,0.0469711031366901
80,obedient,0.04629640429888909
81,denial,0.04554383917567019
82,servant,0.04554383917567019
83,fathers,0.04521300891025696
84,minority,0.04482629001603133
85,foe,0.04482629001603133
86,south,0.044202496671442895
87,regard,0.044202496671442895
88,qualification,0.04414064267817351
89,qualities,0.04348418082742005
90,altogether,0.04348418082742005
91,complain,0.04348418082742005
92,denied,0.04326759565305505
93,slavery,0.043253220214172675
94,just,0.043253220214172675
