,term,score
0,committee,0.228595367172719
1,rensselaer,0.2280108004739616
2,van,0.19295401214760777
3,report,0.19226650405744533
4,beman,0.1894667112661571
5,crummell,0.1879101412926376
6,garnet,0.17639445075276167
7,press,0.1707149418138176
8,convention,0.13829359019021525
9,smith,0.12490746988032925
10,pennington,0.12402309952110702
11,peyton,0.11480565075164843
12,shall,0.11442030212476186
13,myers,0.10482409077913953
14,hodges,0.1038788018868772
15,nell,0.10292397395718207
16,people,0.10229936808591265
17,commerce,0.09531653545126531
18,alex,0.09504904107243464
19,douglass,0.08909476596098745
20,ray,0.08650436496921497
21,mccune,0.08610423806373634
22,collins,0.08386680094626588
23,harris,0.08276654081591958
24,mr,0.08196822411431588
25,favor,0.0816671528719503
26,kenny,0.08074557857128484
27,seth,0.08074557857128484
28,moved,0.08049327177679963
29,national,0.07962627485390686
30,resolved,0.07744111665435774
31,new,0.07701366489166662
32,jackson,0.07624263931198834
33,leonard,0.07543381260736154
34,appointed,0.07533004605285355
35,motion,0.07380452514909036
36,york,0.07346923762306218
37,hayden,0.07251319607133729
38,weeden,0.07177384761891986
39,thos,0.07110184441786296
40,stephen,0.06954555887905388
41,god,0.06937496105545063
42,spence,0.06755875569598863
43,means,0.065031017210311
44,life,0.06487969441363181
45,schuyler,0.06428927639620931
46,johnson,0.06309583708928244
47,thomas,0.06123996700131821
48,topp,0.0609000143355505
49,james,0.06024555076628399
50,bank,0.058548791881111235
51,willis,0.058548791881111235
52,haggimore,0.058286014512114785
53,chas,0.05705486603797095
54,wm,0.05690323119628899
55,adopted,0.056429499013424714
56,great,0.05615929096385844
57,nays,0.0559734126271391
58,colored,0.05449901396933364
59,connecticut,0.05430404732123003
60,slavery,0.05392624764257928
61,kenney,0.053830385714189896
62,man,0.05354198268579046
63,read,0.05336305525853131
64,clock,0.0532566717033823
65,yeas,0.05241204538956976
66,called,0.05173284952585176
67,viz,0.05102217737742184
68,question,0.049553543611036165
69,agriculture,0.04862717510914098
70,hyers,0.04857167876009565
71,hoosen,0.04857167876009565
