,term,score
0,beman,0.3081558731020167
1,haven,0.1756007554701114
2,connecticut,0.17055315620305506
3,africanus,0.1591367436888633
4,state,0.15874099861775426
5,bridgeport,0.15143538382862068
6,gray,0.14559891580460216
7,shall,0.14167106844434482
8,convention,0.13982171191464826
9,new,0.12784950079123802
10,stonington,0.12679914255111607
11,middletown,0.12394629035886096
12,hartford,0.115900099012615
13,emery,0.11271034893432538
14,committee,0.11217989061108773
15,burr,0.10929090467522054
16,norwich,0.10929090467522054
17,people,0.1070974814665391
18,collins,0.10536045328206683
19,francis,0.10508712095752863
20,nott,0.10095692255241379
21,resolution,0.09012823155929862
22,spellman,0.08453276170074404
23,crandall,0.07956837184443165
24,posey,0.07956837184443165
25,jehiel,0.07571769191431034
26,gordon,0.07522554249306893
27,rights,0.07422125786861603
28,adopted,0.07157308012211534
29,political,0.07135978141443199
30,danbury,0.07044396808395337
31,peters,0.06991135388226953
32,men,0.06956156915251535
33,leonard,0.06910037726989944
34,resolved,0.0679585112787273
35,morrison,0.06760706746846962
36,lyman,0.06630697653702639
37,ellsworth,0.06630697653702639
38,black,0.06503577362441168
39,thompson,0.06395743357614565
40,1849,0.06369952566451345
41,henry,0.06355345161492879
42,00,0.06320709780033619
43,milford,0.06309807659525862
44,mr,0.06252071973886053
45,bibb,0.05922889480277095
46,messrs,0.055744948820924296
47,colored,0.05501747877291638
48,minutes,0.05489273196622239
49,ellis,0.05313032294862356
50,spywood,0.0530455812296211
51,temple,0.05268022664103342
52,right,0.05112362865865382
53,justice,0.05094204392482096
54,called,0.05077430459406529
55,cowes,0.05047846127620689
56,merriman,0.05047846127620689
57,george,0.04918155869858071
58,12th,0.047267590426808906
59,voted,0.04678821414965134
60,god,0.04668996334976963
61,let,0.04667789577827105
62,citizens,0.04642679036391412
63,cisco,0.04576483811019686
64,dulled,0.04576483811019686
65,read,0.0457084840630241
66,reason,0.0456375904212358
67,13th,0.04479816864273657
68,sept,0.04390018886752785
69,truth,0.04347927650497979
70,samuel,0.04265988812139483
71,wits,0.04226638085037202
72,ask,0.04212351948989748
73,freedom,0.04212351948989748
74,man,0.04203993342527921
75,amos,0.04179196805170496
76,london,0.04140777735867199
77,session,0.04073832466380651
78,foster,0.040540707144048255
79,moral,0.04023945711702058
80,condition,0.03975014408605995
81,rev,0.03961831590638194
82,clarke,0.039485929868513965
83,franchise,0.03934234236965866
84,liberty,0.03918618763447766
85,miss,0.03884693659126718
86,great,0.03880358564837188
87,spiritual,0.03863336633753833
88,williams,0.03830967497790361
89,appointed,0.03827185979982289
90,religion,0.03797689714919719
91,order,0.037748923211855655
92,spirit,0.037360406938482
93,society,0.037360406938482
94,brethren,0.03687747335187854
95,come,0.03655563418833194
96,intoxicating,0.03639972895115054
97,note,0.035961205951996894
98,cross,0.035742158952780184
99,despair,0.035742158952780184
100,measures,0.03549590366096118
101,elective,0.035306286050846854
102,government,0.035275986953065344
103,rogers,0.03512015109402228
104,england,0.03497758059802645
105,hearts,0.03497758059802645
106,country,0.034792599818020804
107,improvements,0.03453005544159083
108,garrison,0.03396875665777189
109,william,0.03394756056601531
110,fathers,0.03372200774542171
111,eminent,0.03343357444136397
112,business,0.032869116192562026
113,president,0.032712595575328705
114,original,0.032493192175579826
115,laws,0.03202905930712109
116,righteousness,0.03196293548817661
117,doxology,0.03187819376917414
118,progress,0.0315356139405227
119,foundation,0.03150104510257242
120,degradation,0.03150104510257242
121,minds,0.031192142766434228
122,time,0.0308854826278819
123,property,0.03082913442628152
124,sons,0.030572953497413215
125,ether,0.03050989207346457
126,agonies,0.03050989207346457
127,dwight,0.03050989207346457
128,snipes,0.03050989207346457
129,oceans,0.03050989207346457
130,miltons,0.03050989207346457
131,saybrook,0.03050989207346457
132,theologian,0.03050989207346457
133,law,0.030472322708682734
134,delegates,0.030472322708682734
135,honor,0.030371555632802614
136,held,0.03005041757262612
137,social,0.029931983464764413
138,blot,0.029614447401385476
139,true,0.02948646364292824
140,need,0.029217818881725945
141,constitution,0.029014271159279556
142,names,0.028986184336653193
143,edwards,0.02897502475315375
144,finance,0.028356200628652847
145,claim,0.02830937153119719
146,good,0.028220789562452272
147,disaffection,0.028177587233581346
148,yale,0.028177587233581346
149,quenched,0.028177587233581346
150,galpin,0.028177587233581346
151,undone,0.028177587233581346
152,issac,0.028177587233581346
153,quickening,0.028177587233581346
154,repress,0.028177587233581346
155,strength,0.02810167312118476
156,course,0.027872474410462148
157,noted,0.027822881546253782
158,jonathan,0.027822881546253782
159,english,0.027299796713362905
160,bible,0.027299796713362905
161,nobly,0.027299796713362905
162,continually,0.027299796713362905
163,question,0.027235811954032282
164,unanimously,0.027030526234733742
165,consent,0.02666243007587177
166,native,0.02666243007587177
167,efforts,0.02662447186484689
168,davis,0.026555852524282796
169,potter,0.02652279061481055
170,spark,0.02652279061481055
171,outpouring,0.02652279061481055
172,randall,0.02652279061481055
173,leverett,0.02652279061481055
174,means,0.02647600101719595
175,following,0.02634913328616191
176,worship,0.02634011332051671
177,disfranchisement,0.02634011332051671
178,virtuous,0.02634011332051671
179,prepare,0.026213005100604602
180,practice,0.025994553740463857
181,slaves,0.025993452305361858
182,duty,0.025924388422422326
183,shield,0.02589754158119312
184,way,0.02564926808868474
185,reference,0.0255641538956681
186,years,0.025460670424511486
187,removed,0.025459371524055932
188,toiled,0.025239230638103446
189,prohibitory,0.025239230638103446
190,whosoever,0.025239230638103446
191,drinks,0.025239230638103446
192,prominently,0.025239230638103446
193,power,0.02521165557678851
194,cruel,0.025200836082057934
195,places,0.025147300686885067
196,honorable,0.025147300686885067
197,clock,0.02508954828215199
198,day,0.024864533180138777
199,interests,0.024726239820933815
200,recommended,0.024700568438742687
201,intelligence,0.024543837511489055
202,discussed,0.02445836279793057
203,arise,0.02432442428642895
204,sung,0.02432442428642895
205,_______,0.024190485774927332
206,lion,0.024190485774927332
207,tunis,0.024190485774927332
208,virtue,0.023988732570868577
209,christ,0.02397220161613246
210,tax,0.023760916354076067
211,increasing,0.023633795213404453
212,human,0.023591142942664328
213,thousand,0.023591142942664328
214,addressed,0.023591142942664328
215,adjourn,0.023537524033897902
216,bear,0.023537524033897902
217,freeman,0.023537524033897902
218,present,0.023532966975256062
219,use,0.023344981674884815
220,mark,0.02330816195476031
221,tempore,0.023303784627423177
222,provoked,0.023303784627423177
223,scriptures,0.023303784627423177
224,seminaries,0.023303784627423177
225,reported,0.02317984630461241
226,subject,0.02317984630461241
227,debate,0.02310334635570572
228,temperance,0.02310334635570572
229,write,0.022994372565172727
230,advancement,0.02289225157064171
231,appeal,0.022871971652592662
232,american,0.02285424203151205
233,11,0.022697661291045994
234,toils,0.022535689156156537
235,groans,0.022535689156156537
236,infidelity,0.022535689156156537
237,girls,0.022535689156156537
238,wave,0.022535689156156537
239,manhood,0.022481338496947806
240,british,0.022399084321368286
241,long,0.022377072980000516
242,behalf,0.022355253953900322
243,respect,0.022355253953900322
244,september,0.022281257923355887
245,general,0.022220904362076275
246,pursue,0.0221161652947751
247,place,0.022066136378421364
248,john,0.022066136378421364
249,108,0.02185818093504411
250,walls,0.02185818093504411
251,influence,0.02185646075843488
252,disfranchised,0.021842229358272763
253,free,0.021760703369459667
254,annual,0.02170108408525554
255,principles,0.021693968309144725
256,hopes,0.021576723571198136
257,impartial,0.021514017475725438
258,language,0.021514017475725438
259,prayer,0.02137439007390395
260,unjust,0.021329944060697416
261,resolutions,0.021312457011547523
262,suppressed,0.021252129179449426
263,central,0.021148769560388987
264,light,0.021148769560388987
265,earth,0.020970404080483684
266,children,0.02090795690179333
267,soil,0.020794761844289487
268,address,0.020732351479660217
269,escutcheon,0.020703888679335994
270,debased,0.020703888679335994
271,disfranchise,0.020703888679335994
272,regard,0.020605199850778178
273,directly,0.020589561628843997
274,administration,0.020589561628843997
275,say,0.0204561785301123
276,population,0.02045132311653448
277,closed,0.020359461132535686
278,opened,0.020283373520549243
279,suffrage,0.020283373520549243
280,eternity,0.020203384316273318
281,indian,0.020203384316273318
282,suspicion,0.020203384316273318
283,corrupt,0.020203384316273318
284,wronged,0.020203384316273318
285,color,0.0201626902056538
286,fight,0.020135337953579618
287,unless,0.02011784054950805
288,states,0.019897195870248907
289,expenses,0.019793753118164125
290,ears,0.019742964934256983
291,attainments,0.019742964934256983
292,newark,0.019742964934256983
293,deprivation,0.019742964934256983
294,irresistible,0.019742964934256983
295,certainty,0.019742964934256983
296,chairman,0.019733391795960047
297,town,0.019703835179536618
298,voters,0.019703835179536618
299,ignorant,0.019703835179536618
300,life,0.01959309381723883
301,example,0.019495915305347892
302,prominent,0.019495915305347892
303,independence,0.01932412289110213
304,preach,0.019316683168769166
305,abstinence,0.019316683168769166
306,hosts,0.019316683168769166
307,preceding,0.01929288812040447
308,sustained,0.01929288812040447
309,published,0.019171745259406223
310,creator,0.01909452864304195
311,high,0.019021359549281188
312,elevation,0.019021359549281188
313,citizenship,0.019021359549281188
314,does,0.019021359549281188
315,school,0.019021359549281188
316,lecturers,0.018919824339566207
317,greeted,0.018919824339566207
318,cash,0.018919824339566207
319,arrest,0.018919824339566207
320,hubbard,0.018919824339566207
321,glory,0.01890062706154345
322,eloquent,0.01890062706154345
323,says,0.018710987400236766
324,inhabitants,0.018710987400236766
325,paul,0.018548587697502523
326,aliens,0.018548587697502523
327,hath,0.018548587697502523
328,charles,0.01843873667593927
329,followed,0.018343772098447928
330,prejudice,0.01829757732207413
331,reproach,0.01819986447557527
332,teaching,0.01819986447557527
333,tends,0.01819986447557527
334,remove,0.01816586358409167
335,feel,0.018020350823155826
336,fear,0.017991549428151433
337,list,0.017991549428151433
338,schools,0.017884203163120258
339,plead,0.017871079476390092
340,equity,0.017871079476390092
341,wrote,0.017871079476390092
342,tears,0.017871079476390092
343,pursuit,0.01782068726555705
344,supported,0.01782068726555705
345,passage,0.01782068726555705
346,david,0.017653143025423427
347,unwilling,0.01756007554701114
348,measure,0.017488790299013224
349,labor,0.0174851686067479
350,class,0.0174851686067479
351,hope,0.01735517464731578
352,proper,0.01735517464731578
353,yield,0.017265027720795415
354,training,0.017265027720795415
355,middle,0.017265027720795415
