,term,score
0,locke,0.2597074277514188
1,trenton,0.22262774193264767
2,camden,0.20770713314928083
3,woodlin,0.20371290339912354
4,shall,0.1910861149816244
5,1849,0.16774466703604013
6,jersey,0.1492936289894229
7,convention,0.14623659051489016
8,shreve,0.14060191750430787
9,resolved,0.1318653873206905
10,catto,0.1305845376961605
11,obtaining,0.12945949361400622
12,state,0.12882512937547447
13,rensselaer,0.1222277420394741
14,honourable,0.1222277420394741
15,salem,0.12131141905463642
16,coloured,0.11182977802402676
17,delegates,0.10532158701186937
18,22d,0.10436117592767788
19,franchise,0.10360309676360435
20,burlington,0.10073133478227725
21,harrison,0.09964158330827767
22,rock,0.09819875267302218
23,copies,0.09580866066278311
24,house,0.09471541022161843
25,right,0.09423933984265537
26,august,0.09301738184873264
27,clock,0.08992883038667203
28,signatures,0.08901908557435685
29,rev,0.08852228701417633
30,conover,0.08656914258380627
31,new,0.08492716221405529
32,petition,0.08481229563863771
33,21st,0.08235715931744352
34,citizens,0.08150606470931555
35,monmouth,0.08148516135964941
36,mr,0.07909197141966333
37,committee,0.07877642500428415
38,presiding,0.07703771393487244
39,lewis,0.07663260055167803
40,van,0.0716089556888451
41,quota,0.07159550735946037
42,preparatory,0.06923571104976027
43,session,0.06826860731954906
44,business,0.06732185602431472
45,stewart,0.06549815805318634
46,counties,0.0644267334117198
47,appointed,0.0641353464980416
48,address,0.06369537166054147
49,gloucester,0.06360792626647076
50,officer,0.06254975201040061
51,persons,0.059768396494126956
52,petitioning,0.05812679976234796
53,joshua,0.056986260739871133
54,wells,0.054904772878295684
55,elective,0.05423521336130988
56,legislature,0.05412309155521053
57,2d,0.05227073464468942
58,offered,0.05214802791044821
59,called,0.05199744957532316
60,till,0.051801548381802176
61,following,0.050594774525509256
62,chair,0.050277515138914514
63,native,0.04914850285232625
64,thereto,0.04909937633651109
65,purpose,0.04884926253745256
66,longer,0.04873104018013927
67,obtain,0.04873104018013927
68,distribution,0.04840625921742907
69,mode,0.047739303792563394
70,return,0.04712398258835263
71,suppose,0.04709660673968209
72,accountability,0.046867305834769286
73,mcmullen,0.046867305834769286
74,rationality,0.046867305834769286
75,returnable,0.046867305834769286
76,swedesboro,0.046867305834769286
77,belying,0.046867305834769286
78,attache,0.046867305834769286
79,perquisites,0.046867305834769286
80,suffrage,0.046736992769071437
81,responsible,0.0464764651732267
82,convened,0.04587734945245882
83,utmost,0.043665438702124235
84,9th,0.043665438702124235
85,ishmael,0.043284571291903134
86,1st,0.04314931941029471
87,rules,0.04281587687761924
88,undersigned,0.04265532256840654
89,8th,0.04217112183547113
90,adopted,0.04188415104118017
91,alexander,0.04124079013169677
92,george,0.04120881928583261
93,belonging,0.04079336822830197
94,deride,0.040742580679824704
95,ram,0.040742580679824704
96,shields,0.040742580679824704
97,follows,0.040289363005205005
98,7th,0.03951530149840156
99,mount,0.0387708595789847
100,promptings,0.0387708595789847
101,herbert,0.0387708595789847
102,undeniable,0.0387708595789847
103,envy,0.0387708595789847
104,favoured,0.0387708595789847
105,mansfield,0.0387708595789847
106,initiatory,0.0387708595789847
107,thereof,0.038711880366726514
108,common,0.03798283655154083
109,decide,0.03794340184893829
110,grand,0.03794340184893829
111,5th,0.03757134134424969
112,discussed,0.03757134134424969
113,6th,0.03720695273949305
114,assertions,0.03715984613695856
115,cometh,0.03715984613695856
116,promulgate,0.03715984613695856
117,gideon,0.03715984613695856
118,favourable,0.03715984613695856
119,people,0.03655914762872254
120,assembled,0.0363757789597542
121,blessings,0.036156808907539924
122,liberty,0.036117159036973975
123,feelings,0.03582018499225816
124,moorland,0.03579775367973018
125,spingarn,0.03579775367973018
126,hailed,0.03579775367973018
127,inconsistency,0.03579775367973018
128,jurisprudence,0.03579775367973018
129,assumes,0.03579775367973018
130,motion,0.035607367713570946
131,officers,0.035607367713570946
132,3d,0.035489853482674256
133,publish,0.03516558344501246
134,dr,0.03516558344501246
135,exhibiting,0.034617855524880135
136,signers,0.034617855524880135
137,preliminaries,0.034617855524880135
138,reformer,0.034617855524880135
139,adjourned,0.03413430365977453
140,robert,0.03392491825545508
141,nature,0.033627899142569674
142,seats,0.033627899142569674
143,research,0.033577111594092414
144,abilities,0.033577111594092414
145,essex,0.033577111594092414
146,lying,0.033577111594092414
147,zion,0.033577111594092414
148,horn,0.033577111594092414
149,verily,0.033577111594092414
150,exerting,0.033577111594092414
151,4th,0.0330484301400184
152,good,0.03251320191834891
153,prepare,0.0322133667058599
154,absence,0.031943556560960186
155,invoked,0.03180396313323538
156,burton,0.03180396313323538
157,colour,0.03180396313323538
158,according,0.03141598839223509
159,approved,0.03141598839223509
160,adjournment,0.03115799517938096
161,measures,0.03115799517938096
162,contribution,0.03103512098201399
163,conservative,0.03103512098201399
164,atlantic,0.03103512098201399
165,knowledge,0.030903714228112927
166,kind,0.030653040220671213
167,assisting,0.030327854763659106
168,center,0.030327854763659106
169,examined,0.030327854763659106
170,leonard,0.030327854763659106
171,newark,0.030327854763659106
172,intelligence,0.03016211361849545
173,speak,0.029921671525581985
174,rights,0.02974274462049504
175,possible,0.02968445694088965
176,aforesaid,0.029673028524785615
177,murray,0.029673028524785615
178,benediction,0.029673028524785615
179,remembrance,0.029673028524785615
180,stevens,0.029673028524785615
181,beneficent,0.029673028524785615
182,certain,0.029219371646503435
183,receive,0.029219371646503435
184,men,0.029142530333505636
185,endeavoring,0.02906339988117398
186,brown,0.028991339821807634
187,defending,0.028493130369935567
188,confidently,0.028493130369935567
189,minutes,0.02810754460632238
190,appeal,0.02810754460632238
191,teaching,0.02795744450600669
192,commencement,0.02795744450600669
193,honesty,0.02795744450600669
194,behalf,0.02747254619055507
195,gift,0.027452386439147842
196,evinced,0.027452386439147842
197,afternoon,0.027061545777605264
198,fact,0.027061545777605264
199,entitled,0.027061545777605264
200,enjoying,0.026974642491744777
201,thomas,0.02685957533680334
202,respectfully,0.02685957533680334
203,proper,0.02665988709671688
204,striving,0.026521409269095558
205,gross,0.026521409269095558
206,respectively,0.026521409269095558
207,cultivated,0.02609029398191947
208,noon,0.02609029398191947
209,body,0.026074013955224105
210,far,0.025693951539049152
211,apart,0.025679237978290814
212,silence,0.025679237978290814
213,pursuing,0.025679237978290814
214,eminent,0.025679237978290814
215,acquiring,0.025286457287501195
216,requesting,0.025286457287501195
217,alter,0.025286457287501195
218,protecting,0.025286457287501195
219,26th,0.025286457287501195
220,distributed,0.025286457287501195
221,attention,0.025138757569457257
222,form,0.025138757569457257
223,distant,0.02491039582706942
224,thereon,0.02491039582706942
225,nominations,0.02491039582706942
226,necessarily,0.02491039582706942
227,object,0.024600475716732805
228,mercer,0.024549688168255545
229,petitions,0.024549688168255545
230,irrespective,0.024549688168255545
231,orders,0.024549688168255545
232,withheld,0.024549688168255545
233,virtues,0.024549688168255545
234,resumed,0.024549688168255545
235,chairman,0.024250519306502797
236,week,0.024203129608714534
237,assemblage,0.024203129608714534
238,resolution,0.024078106024649312
239,question,0.023907358597650783
240,possessing,0.023869651896281697
241,mutual,0.023869651896281697
242,respecting,0.023869651896281697
243,consistent,0.023869651896281697
244,naturally,0.023869651896281697
245,library,0.023869651896281697
246,inherent,0.023548303369841046
247,lawful,0.023548303369841046
248,separately,0.023548303369841046
249,inasmuch,0.02323823258661335
250,portions,0.02323823258661335
251,doors,0.02323823258661335
252,retired,0.02323823258661335
253,grace,0.02323823258661335
254,best,0.022916133135123314
255,met,0.022916133135123314
256,general,0.022756202439849688
257,instructions,0.022648940224953774
258,members,0.022597706119903804
259,amend,0.022368405214990995
260,settlement,0.022368405214990995
261,concluded,0.022368405214990995
262,april,0.022368405214990995
263,ideas,0.022368405214990995
264,throne,0.022368405214990995
265,constitution,0.022284915277978982
266,power,0.022130571753544083
267,perfect,0.022096503435424665
268,morality,0.022096503435424665
269,calls,0.022096503435424665
270,influences,0.022096503435424665
271,sit,0.021832719351062117
272,knowing,0.021832719351062117
273,western,0.021832719351062117
274,heretofore,0.021832719351062117
275,learned,0.021832719351062117
276,unto,0.021832719351062117
277,patriotism,0.021832719351062117
278,editor,0.021576582269001037
279,university,0.021576582269001037
280,solemnly,0.021576582269001037
281,solemn,0.021576582269001037
282,white,0.02152633439204605
283,howard,0.02132766128420327
284,time,0.021086339352057757
285,order,0.021086339352057757
