,term,score
0,resolved,0.25047305947649495
1,marshals,0.20398922875967837
2,abstinence,0.1690882131289244
3,drive,0.15643414912107498
4,prison,0.1341871974981704
5,doest,0.1335338755723655
6,incarcerated,0.1233259828818285
7,shall,0.1209868255686303
8,spilt,0.11608336775698849
9,intoxicate,0.11608336775698849
10,catchers,0.11608336775698849
11,resisting,0.11608336775698849
12,threatens,0.11608336775698849
13,repented,0.11608336775698849
14,total,0.11498476051973185
15,making,0.11309475058188642
16,liberian,0.10587547506645151
17,significant,0.10587547506645151
18,intrigue,0.10587547506645151
19,sympathise,0.10587547506645151
20,help,0.10499245367842965
21,adhere,0.10199461437983919
22,applying,0.10199461437983919
23,shutting,0.10199461437983919
24,desperation,0.10199461437983919
25,chaplin,0.0986328599416115
26,disapprove,0.0986328599416115
27,risk,0.09566758237591448
28,savior,0.09566758237591448
29,persuasion,0.09566758237591448
30,make,0.09327909046248567
31,discriminations,0.09301505120579016
32,hopeless,0.09061554488995005
33,penalty,0.09061554488995005
34,governmental,0.09061554488995005
35,depriving,0.09061554488995005
36,discourage,0.0884249672510745
37,portland,0.0884249672510745
38,preventing,0.0884249672510745
39,unchristian,0.0884249672510745
40,accidental,0.0884249672510745
41,citizens,0.08708485992605779
42,enroll,0.08640983116598992
43,procuring,0.0845441065644622
44,condemn,0.0845441065644622
45,incumbent,0.0845441065644622
46,enforcement,0.0845441065644622
47,forbid,0.0845441065644622
48,warn,0.08280715851525315
49,emphatically,0.08280715851525315
50,imperative,0.08280715851525315
51,slave,0.08132705551931832
52,offers,0.08118235212623451
53,aid,0.08070156272817293
54,colored,0.08026573968291785
55,prejudice,0.08008374488897785
56,tends,0.07965608113144038
57,differences,0.07821707456053749
58,traveling,0.07821707456053749
59,convention,0.07812297800459235
60,complexional,0.07685589111524023
61,prayers,0.07685589111524023
62,striving,0.07556454339041317
63,spirited,0.0743362138739252
64,fellow,0.07428982897894706
65,remedy,0.07316503707457306
66,inestimable,0.07316503707457306
67,lawrence,0.07204593012022753
68,countries,0.07204593012022753
69,strictly,0.0709744594356975
70,neglect,0.0709744594356975
71,recognizing,0.06895932335061292
72,golden,0.06895932335061292
73,trades,0.06895932335061292
74,god,0.06811661543971782
75,exists,0.0670935987490852
76,responsible,0.06621014806531587
77,spent,0.06535665069987615
78,fugitive,0.06453114195442444
79,brotherhood,0.06453114195442444
80,cost,0.06453114195442444
81,free,0.06349396558789844
82,power,0.06305421150730436
83,physical,0.06220557331606338
84,abolished,0.06220557331606338
85,solemnly,0.06147579001326386
86,jury,0.06147579001326386
87,white,0.06133262424707414
88,plans,0.060076776716992505
89,escape,0.060076776716992505
90,right,0.05966795950790382
91,sympathies,0.059405383299863224
92,emigration,0.059405383299863224
93,remains,0.059405383299863224
94,father,0.0587514306600759
95,respectable,0.05749238025986592
96,bondage,0.05749238025986592
97,liberties,0.05749238025986592
98,declare,0.05688570605854819
99,senate,0.05688570605854819
100,assistance,0.05688570605854819
101,trial,0.05629330787750879
102,foreign,0.05629330787750879
103,churches,0.05571452925919605
104,learning,0.05514875800933913
105,recently,0.05459542230485053
106,acts,0.05459542230485053
107,protest,0.054053987220335935
108,conducted,0.054053987220335935
109,constitutional,0.05249622683921482
110,colonization,0.05249622683921482
111,labors,0.05249622683921482
112,people,0.052081985336394895
113,deeply,0.05150881553523591
114,immediate,0.0496430909337082
115,protect,0.04919749060932622
116,proposed,0.048759640249938875
117,legal,0.048759640249938875
118,birth,0.047906142884499146
119,rule,0.047490005127653175
120,immediately,0.047490005127653175
121,ought,0.04667781336801118
122,societies,0.04667781336801118
123,universal,0.0462813364954805
124,doing,0.04589100679941457
125,days,0.04550663656865903
126,left,0.04550663656865903
127,especially,0.04550663656865903
128,opportunity,0.045128046560885204
129,force,0.044387529614313526
130,carry,0.04402528219788685
131,anti,0.04402528219788685
132,places,0.04402528219788685
133,considered,0.043668173216233855
134,principle,0.043316058929783484
135,blood,0.043316058929783484
136,various,0.0426262689016155
137,protection,0.0422883341486778
138,earnestly,0.0422883341486778
139,names,0.0422883341486778
140,receive,0.04162577588204674
141,high,0.04162577588204674
142,home,0.04066352775965916
143,brethren,0.040350781364086465
144,account,0.03943519824317118
145,schools,0.03913725676486503
146,recommend,0.03884280006213178
147,republican,0.03855174755940186
148,hope,0.03797954654036527
149,principles,0.03797954654036527
150,passed,0.0374200621580866
151,like,0.03714491448947353
152,let,0.03714491448947353
153,freedom,0.03687274144851043
154,children,0.03660347940495894
155,say,0.035812552754349
156,wm,0.03555433755655888
157,slavery,0.03529874387812202
158,land,0.03454717281014937
159,liberty,0.03430155368060932
160,persons,0.03405830771985891
161,having,0.03310816623924648
162,united,0.032192583118331196
163,members,0.032192583118331196
164,national,0.032192583118331196
165,resolutions,0.03109303015416189
166,country,0.03045563506912215
167,adopted,0.02983397975395191
168,held,0.029227305552634177
169,states,0.02902828664201926
170,following,0.0288308286801035
171,state,0.026217665400856856
172,patton,0.0
173,peaceable,0.0
174,paupau,0.0
175,pauline,0.0
176,paul,0.0
177,paucity,0.0
178,peaceful,0.0
179,peaceably,0.0
180,peabody,0.0
181,peace,0.0
182,pauper,0.0
183,paying,0.0
184,payers,0.0
185,paym,0.0
186,paymaster,0.0
187,peacefully,0.0
188,payment,0.0
189,pay,0.0
190,payments,0.0
191,payne,0.0
192,paved,0.0
193,paynesville,0.0
194,pausing,0.0
195,pays,0.0
196,payton,0.0
197,pauses,0.0
198,pause,0.0
199,paupers,0.0
200,pauperizes,0.0
201,pensylvania,0.0
202,pauperism,0.0
203,peacable,0.0
204,payable,0.0
205,peculiarities,0.0
206,peacefulness,0.0
207,pencil,0.0
208,peneton,0.0
209,pendulum,0.0
210,pends,0.0
211,pendleton,0.0
212,pending,0.0
213,pendency,0.0
214,pencils,0.0
215,pencader,0.0
216,penetrated,0.0
217,penance,0.0
218,penalties,0.0
219,penalities,0.0
220,penal,0.0
221,pen,0.0
222,pembina,0.0
223,pelt,0.0
224,penetrate,0.0
225,peninsula,0.0
226,peak,0.0
227,pennington,0.0
228,pennsyvania,0.0
229,pens,0.0
230,pennsylvanians,0.0
231,pennsylvania,0.0
232,pennsylvana,0.0
233,pennsylania,0.0
234,penns,0.0
235,penniless,0.0
236,penitential,0.0
237,penned,0.0
238,penna,0.0
239,penn,0.0
240,penmanship,0.0
241,penman,0.0
242,penitentiary,0.0
243,penitentiaries,0.0
244,pelman,0.0
245,pelled,0.0
246,pell,0.0
247,peasants,0.0
248,peculiar,0.0
249,pecos,0.0
250,pensions,0.0
251,pecks,0.0
252,peckham,0.0
253,peck16,0.0
254,peck,0.0
255,peasant,0.0
256,pelham,0.0
257,peas,0.0
258,pensive,0.0
259,pears,0.0
260,pearly,0.0
261,pearls,0.0
262,pearl,0.0
263,pearce,0.0
264,penny,0.0
265,peculiarity,0.0
266,peculiarly,0.0
267,pecuniary,0.0
268,pensacola,0.0
269,pelam,0.0
270,pension,0.0
271,peirce,0.0
272,pegs,0.0
273,peesident,0.0
274,peers,0.0
275,peer,0.0
276,peeled,0.0
277,peek,0.0
278,pedple,0.0
279,pedigree,0.0
280,pedestal,0.0
281,peden,0.0
282,pedagogues,0.0
283,peddlers,0.0
284,00,0.0
285,pattison,0.0
286,parks,0.0
287,parmer,0.0
288,parlors,0.0
289,parlor,0.0
290,parliamentary,0.0
291,parliament,0.0
292,parley,0.0
293,parlance,0.0
294,parkville,0.0
295,parksville,0.0
296,parkman,0.0
297,paroisse,0.0
298,parker,0.0
299,park,0.0
300,parity,0.0
301,parishes,0.0
302,parish,0.0
303,paris,0.0
304,parian,0.0
305,pariahs,0.0
306,parham,0.0
307,parnell,0.0
308,parole,0.0
309,patterson,0.0
310,partaking,0.0
311,participants,0.0
312,participant,0.0
313,participancy,0.0
314,partially,0.0
315,partiality,0.0
316,partialities,0.0
317,partial,0.0
318,parted,0.0
319,parte,0.0
320,partakers,0.0
321,paroled,0.0
322,partake,0.0
323,parsons,0.0
324,parson,0.0
325,parsoh,0.0
326,parrott,0.0
327,parrish,0.0
328,parris,0.0
329,parram,0.0
330,parquet,0.0
331,parents,0.0
332,parental,0.0
333,parentage,0.0
334,papers,0.0
335,paragraph,0.0
336,paradoxes,0.0
337,paradise,0.0
338,parading,0.0
339,paraded,0.0
340,parade,0.0
341,paracide,0.0
342,par,0.0
343,papersuch,0.0
344,paperhanger,0.0
345,parent,0.0
346,paper,0.0
347,paola,0.0
348,panting,0.0
349,panperism,0.0
350,panoply,0.0
351,pankes,0.0
352,panic,0.0
353,panhandle,0.0
354,pangs,0.0
355,paragraphs,0.0
356,parallel,0.0
357,parallels,0.0
358,paralysed,0.0
359,pardons,0.0
360,pardonings,0.0
361,pardoned,0.0
362,pardonable,0.0
363,pardon,0.0
364,parchment,0.0
365,parcels,0.0
366,parcel,0.0
367,paraphrases,0.0
368,paraphrase,0.0
369,paraphernalia,0.0
370,paraphanalia,0.0
371,parapets,0.0
372,paramount,0.0
373,paramore,0.0
374,paralyzing,0.0
375,paralyzes,0.0
376,paralyzed,0.0
377,paralyze,0.0
378,participate,0.0
379,participated,0.0
380,participating,0.0
381,patches,0.0
382,pathetic,0.0
383,path,0.0
384,paterson,0.0
385,paternal,0.0
386,patercules,0.0
387,pent,0.0
388,patents,0.0
389,patentee,0.0
390,patent,0.0
391,patcher,0.0
392,passsons,0.0
393,patched,0.0
394,patagonia,0.0
395,pat,0.0
396,pastors,0.0
397,pastorious,0.0
398,pastoric,0.0
399,pastored,0.0
400,pastoral,0.0
401,pastor,0.0
402,pathos,0.0
403,paths,0.0
404,pathway,0.0
405,patience,0.0
406,patrons,0.0
407,patronizing,0.0
408,patronized,0.0
409,patronize,0.0
410,patronage,0.0
411,patron,0.0
412,patrols,0.0
413,patriots,0.0
414,patriotism,0.0
415,patriotically,0.0
416,patriotic,0.0
417,patriot,0.0
418,patrick,0.0
419,patrician,0.0
420,patriarch,0.0
