,term,score
0,chaplin,0.44066118519798597
1,slavery,0.2803624822629699
2,slaves,0.12800975519008126
3,man,0.1268589078919548
4,slave,0.12111473023973396
5,abolitionists,0.1144561359109526
6,nomination,0.1081456850482999
7,liberty,0.1021658387679833
8,party,0.09862852805440268
9,prisoner,0.09792470782177466
10,candidate,0.09537155144100694
11,resolved,0.09325302888781754
12,hathaway,0.09139370994886499
13,american,0.08827459641819997
14,william,0.08604919396435882
15,states,0.08165630657027241
16,sake,0.07908417616240147
17,prison,0.07771386974336689
18,pirates,0.07683328441319309
19,fugitive,0.07474580069838983
20,pew,0.07007688220410775
21,men,0.06869705736212521
22,slaveholder,0.06851052485582912
23,slaveholders,0.06846421765214529
24,nominate,0.06755051877718228
25,know,0.06711467960707655
26,great,0.066423646200142
27,shred,0.06628757270890234
28,cazenovia,0.06628757270890234
29,resistants,0.06628757270890234
30,north,0.06575235203626846
31,anti,0.06556379230843598
32,office,0.06476043980869967
33,mr,0.06392290151085467
34,god,0.06199193010287804
35,refuses,0.061564822093748646
36,goodell,0.06122027105208831
37,priests,0.06122027105208831
38,new,0.06005908959298989
39,colored,0.05755349712820348
40,nation,0.05741243767048921
41,federal,0.05707960351406749
42,insult,0.05626741490074213
43,poor,0.05597933398750421
44,committee,0.05570938959696854
45,shall,0.05505416546024074
46,religion,0.05500721591048334
47,imprisonment,0.052722784108267653
48,sham,0.05255766165308081
49,free,0.05253174949607286
50,self,0.051839361660766727
51,loguen,0.05177033412967905
52,district,0.05099406068433909
53,fit,0.050862011391921376
54,death,0.05017257419823669
55,christians,0.05001467622840532
56,escape,0.04970453736520207
57,law,0.04965446048523749
58,sufferings,0.0492016692238962
59,cause,0.04861773514644094
60,columbia,0.04860801194876437
61,make,0.046304688340311324
62,fugitives,0.046173616570311486
63,holds,0.045642811768096855
64,instead,0.04516953731895017
65,persons,0.04508504007482039
66,1850,0.0450139319205937
67,liberation,0.044982477253078655
68,enslavement,0.044982477253078655
69,heartless,0.044982477253078655
70,property,0.04465411818815827
71,cruellest,0.04419171513926822
72,sayre,0.04419171513926822
73,highwaymen,0.04419171513926822
74,lemoyne,0.04419171513926822
75,torrey,0.04419171513926822
76,rice,0.043895052254073315
77,vote,0.04382728037981408
78,reward,0.04382318703909056
79,smith,0.04370919487229065
80,civil,0.04366552040355973
81,esteem,0.04289471822508014
82,illegible,0.04289471822508014
83,gerrit,0.04289471822508014
84,united,0.04261526767390311
85,christianity,0.041172638242924324
86,slaveholding,0.04110631491349746
87,hesitate,0.04110631491349746
88,wheaton,0.040813514034725544
89,multiplying,0.040813514034725544
90,politicians,0.04029974451187983
91,motto,0.04029974451187983
