,term,score
0,convention,0.3178167948027097
1,indiana,0.3119400141506548
2,rev,0.2931595859599809
3,greenly,0.21501851273381833
4,americans,0.17629781895086485
5,britton,0.16679616734958225
6,vigo,0.1433456751558789
7,bushrod,0.1433456751558789
8,delany,0.1415412081583993
9,state,0.13713128304633415
10,fitzgerald,0.12306240016260303
11,floyd,0.11855155352421538
12,morgan,0.11697750530649556
13,undivided,0.10532530257078258
14,gentlemen,0.1040651457557549
15,confirmed,0.09826827853093954
16,colored,0.09329539791917764
17,marion,0.092586772578159
18,1851,0.09091416990644564
19,subjects,0.08655259281658179
20,seat,0.08655259281658179
21,important,0.08634940864331875
22,called,0.08610007322808749
23,committee,0.08152630582018376
24,carter,0.0779850035376637
25,dudly,0.07760531520938022
26,vanderburgh,0.07760531520938022
27,warren,0.07500657927778669
28,johnson,0.07200804564526064
29,claim,0.07200804564526064
30,couzins,0.07167283757793945
31,merriwether,0.07167283757793945
32,crider,0.07167283757793945
33,callihan,0.07167283757793945
34,preside,0.0706308949131698
35,permit,0.06982913023233789
36,mcdowell,0.06746367771274228
37,posey,0.06746367771274228
38,bundy,0.06746367771274228
39,ripley,0.06746367771274228
40,bartholomew,0.06746367771274228
41,rounds,0.0641987996744114
42,remiss,0.0641987996744114
43,manly,0.06282865225887442
44,chair,0.06243908745345295
45,attention,0.06243908745345295
46,discharge,0.06221257518277549
47,august,0.06160920163639453
48,warmth,0.061531200081301515
49,devolving,0.061531200081301515
50,commotion,0.05927577676210769
51,devolved,0.05927577676210769
52,conferred,0.058765939650288285
53,occasion,0.05822899650756912
54,mr,0.056127680326668004
55,united,0.056127680326668004
56,john,0.056127680326668004
57,blanks,0.05559872244986075
58,migrate,0.05559872244986075
59,chandler,0.05559872244986075
60,lastly,0.05559872244986075
61,keeper,0.05405716217777347
62,boyd,0.05266265128539129
63,weaver,0.05266265128539129
64,time,0.05237378113212562
65,according,0.0520202225916073
66,reference,0.0520202225916073
67,epoch,0.051389562584663595
68,citizens,0.05061073810341081
69,states,0.05061073810341081
70,emigrating,0.050218434506470164
71,foreigners,0.050218434506470164
72,jamaica,0.050218434506470164
