,term,score
0,colored,0.27262090143422024
1,men,0.22561483169547616
2,ohio,0.204351665383863
3,states,0.17746914019432328
4,rights,0.14391347124205137
5,united,0.14214386340986138
6,ask,0.1377612423049967
7,law,0.1358959560457457
8,constitution,0.11861075735952578
9,state,0.11576207587836554
10,free,0.10782796123593252
11,born,0.10729352457719388
12,principle,0.10298545998660967
13,citizens,0.09859396677462404
14,carolina,0.09365579997690716
15,says,0.09271610341926412
16,slate,0.08377482287292887
17,franchise,0.0835491225222615
18,man,0.0833259887748702
19,concedes,0.0788549447982359
20,respectfully,0.077977767797727
21,counties,0.07793392106522185
22,general,0.07707583442733974
23,government,0.07341535930362314
24,just,0.07193486596073038
25,drafted,0.07192076611121077
26,stale,0.07192076611121077
27,elective,0.0699794446721506
28,nineteen,0.06928451372531258
29,rhode,0.0683646003028146
30,hon,0.06744468688031661
31,dominions,0.06700088803651782
32,fathers,0.06683929801780919
33,frame,0.06498658742418562
34,lawfully,0.06318473412653126
35,convention,0.06191337981115933
36,chancellor,0.06155475955106328
37,seward,0.06155475955106328
38,disfranchise,0.06155475955106328
39,specified,0.06155475955106328
40,gentlemen,0.06081829216998424
41,right,0.06079829191898861
42,color,0.05994572163394199
43,laws,0.05951602482847604
44,island,0.05921493090464261
45,attested,0.058697835859511494
46,kent,0.058697835859511494
47,immunities,0.05858149913260916
48,equality,0.057452576012166724
49,void,0.057430456963594494
50,citizen,0.05655242990940753
51,introduce,0.05625055543950611
52,greatest,0.05400895369342962
53,schools,0.053171548713308626
54,property,0.05237608081867774
55,contrary,0.05104573817646079
56,demands,0.050583515160237465
57,1812,0.04894049812942374
58,burdens,0.04894049812942374
59,claiming,0.04894049812942374
60,framed,0.04894049812942374
61,allegiance,0.04894049812942374
62,instituted,0.04751452345482661
63,universal,0.047158076627045305
64,land,0.04693549915923146
65,16th,0.0468437790977934
66,justice,0.04660180307036854
67,persons,0.04627133114871442
68,democracy,0.04619835197544238
69,exercised,0.04619835197544238
70,cheerfully,0.0455764002018764
71,sincerely,0.0455764002018764
72,conscience,0.0455764002018764
73,stricking,0.045354500779977006
74,reasonabless,0.045354500779977006
75,aginst,0.045354500779977006
76,equal,0.04466523432399153
77,domestic,0.04439649867778802
78,people,0.044223842722256664
79,protection,0.04308943200912504
80,said,0.04283246139200198
81,reply,0.04276652410232004
82,word,0.042414322432055646
83,letter,0.042414322432055646
84,connecticut,0.04225598502835897
85,thousand,0.04208331547357523
86,claim,0.04208331547357523
87,proportioned,0.04188741143646443
88,mortally,0.04188741143646443
89,crimsoned,0.04188741143646443
90,1781,0.04188741143646443
91,croton,0.04188741143646443
92,jenks,0.04188741143646443
93,hessian,0.04188741143646443
94,conscienciously,0.04188741143646443
95,concrete,0.04188741143646443
96,coke,0.04188741143646443
97,mercenaries,0.04188741143646443
98,glowingly,0.04188741143646443
99,lifts,0.04188741143646443
100,guarantied,0.04188741143646443
101,repulsed,0.04188741143646443
102,fortesque,0.04188741143646443
103,bey,0.04188741143646443
104,noyes,0.04188741143646443
105,louisiana,0.04176024629188984
106,represented,0.04175652527903245
107,white,0.0416629943874351
108,country,0.04137677030870366
109,jersey,0.04127847390074943
110,told,0.04127847390074943
111,new,0.0410929215609089
112,statistics,0.04080990242798317
113,north,0.04048946856644192
114,imposed,0.04035382769592974
115,inalienable,0.03990960041076825
116,behalf,0.03987866153498147
117,york,0.039578626730407546
118,correct,0.03947662060309507
119,autocrat,0.03942747239911795
120,sabres,0.03942747239911795
121,profitably,0.03942747239911795
122,unites,0.03942747239911795
123,affirms,0.03942747239911795
124,algerines,0.03942747239911795
125,secluded,0.03942747239911795
126,correlative,0.03942747239911795
127,rejects,0.03942747239911795
128,manumitted,0.03942747239911795
129,vindictiveness,0.03942747239911795
130,participancy,0.03942747239911795
131,starving,0.03942747239911795
132,thenceforward,0.03942747239911795
133,soul,0.03905433275507278
134,principles,0.03869901998586145
135,dear,0.03784664602762709
136,freedom,0.03757124790136273
137,forge,0.03751939544412468
138,glover,0.03751939544412468
139,expands,0.03751939544412468
140,ail,0.03751939544412468
141,conservator,0.03751939544412468
142,vie,0.03751939544412468
143,quincy,0.03751939544412468
144,nose,0.03751939544412468
145,fulfilling,0.03751939544412468
146,turmoil,0.03751939544412468
147,enlarges,0.03751939544412468
148,recognized,0.03746231999076287
149,revolution,0.03746231999076287
150,platform,0.03746231999076287
151,inhabitants,0.03708644136770565
152,supreme,0.03708644136770565
153,support,0.037025425536337635
154,regard,0.03675680859650759
155,governments,0.036718646785878856
156,sons,0.03635859582605648
157,virginia,0.03635859582605648
158,real,0.036005969128953076
159,terrors,0.03596038305560539
160,imposes,0.03596038305560539
161,213,0.03596038305560539
162,ameliorated,0.03596038305560539
163,258,0.03596038305560539
164,yards,0.03596038305560539
165,mouldering,0.03596038305560539
166,naturalization,0.03596038305560539
167,elevates,0.03596038305560539
168,constructed,0.03596038305560539
169,tunis,0.03596038305560539
170,rescuing,0.03596038305560539
171,yancey,0.03596038305560539
172,acclaim,0.03596038305560539
173,tale,0.03596038305560539
174,auditors,0.03596038305560539
175,governed,0.03566046669310851
176,constitutional,0.03566046669310851
177,speaking,0.03566046669310851
178,announced,0.035321806341333827
179,tell,0.035321806341333827
180,assembled,0.0352016243694236
181,bear,0.0349897223360753
182,liberty,0.03495135230277641
183,begins,0.03464225686265629
184,saml,0.03464225686265629
185,pervading,0.03464225686265629
186,congratulating,0.03464225686265629
187,candidly,0.03464225686265629
188,observing,0.03464225686265629
189,twin,0.03464225686265629
190,policy,0.03434429521372429
191,americans,0.03434429521372429
192,intellectual,0.03372234344015831
193,baldwin,0.03350044401825891
194,tranquility,0.03350044401825891
195,1777,0.03350044401825891
196,blackstone,0.03350044401825891
197,affirmed,0.03350044401825891
198,amending,0.03350044401825891
199,approves,0.03350044401825891
200,sires,0.03350044401825891
201,faced,0.03350044401825891
202,political,0.03349892574299365
203,distinction,0.033122219096364015
204,welfare,0.033122219096364015
205,whites,0.03282987370561042
206,nations,0.03282987370561042
207,mr,0.03280243001766032
208,accordance,0.03254244191606992
209,birth,0.03254244191606992
210,graduated,0.03249329371209281
211,dispute,0.03249329371209281
212,champlain,0.03249329371209281
213,slain,0.03249329371209281
214,galloway,0.03249329371209281
215,attachment,0.03249329371209281
216,article,0.032259761283360805
217,section,0.03170804282782611
218,ought,0.03170804282782611
219,day,0.03168204744303751
220,pleading,0.03159236706326563
221,definition,0.03159236706326563
222,amounting,0.03159236706326563
223,champaign,0.03159236706326563
224,confederation,0.03159236706326563
225,null,0.03159236706326563
226,weigh,0.03159236706326563
227,rescued,0.03159236706326563
228,abstract,0.03159236706326563
229,uphold,0.03159236706326563
230,printer,0.03159236706326563
231,admire,0.03159236706326563
232,arriving,0.03159236706326563
233,serfs,0.03159236706326563
234,legislation,0.03143871775136354
235,promote,0.03117356842608874
236,voted,0.03091246734060194
237,shall,0.030819691170681677
238,oft,0.03077737977553164
239,identical,0.03077737977553164
240,vol,0.03077737977553164
241,husbands,0.03077737977553164
242,stead,0.03077737977553164
243,contention,0.03077737977553164
244,1821,0.03077737977553164
245,conversation,0.03077737977553164
246,magnanimous,0.03077737977553164
247,abolishing,0.03077737977553164
248,governmental,0.03077737977553164
249,words,0.030655292736341107
250,deprived,0.030655292736341107
251,according,0.030401928266640874
252,population,0.030401928266640874
253,end,0.030152262680680504
254,rewarded,0.030033354674746337
255,sole,0.030033354674746337
256,permitting,0.030033354674746337
257,topics,0.030033354674746337
258,1831,0.030033354674746337
259,horrors,0.030033354674746337
260,recognizes,0.030033354674746337
261,deed,0.030033354674746337
262,accidental,0.030033354674746337
263,shore,0.030033354674746337
264,declaration,0.029906189530171746
