,term,score
0,langston,0.25217203738161315
1,resolution,0.20751584419522476
2,convention,0.1880334156843889
3,colored,0.17230531468314478
4,yancy,0.16802855179714285
5,ohio,0.16709113002269707
6,1851,0.14501100077679957
7,state,0.14326094901073433
8,motion,0.1418908255396602
9,law,0.13664426867967744
10,committee,0.13140586926437686
11,resolved,0.12831165428057634
12,ford,0.12378742307500394
13,county,0.12323215981133422
14,mr,0.1225084973288968
15,constitution,0.11461724382938052
16,simpson,0.11216672511664753
17,men,0.10802722968704055
18,douglass,0.09460599873988024
19,states,0.09347191125985707
20,franklin,0.0910471459124819
21,slavery,0.08955263710300432
22,taken,0.08702277337219103
23,shall,0.082638400405551
24,people,0.08131174732297897
25,united,0.0785310880313441
26,mccarter,0.07817870718254007
27,american,0.07808243924552997
28,fugitive,0.07556077031967633
29,free,0.07434632032176033
30,mercer,0.06825166102979766
31,columbus,0.06728817843194726
32,day,0.06371300999819902
33,black,0.06348495498200254
34,sir,0.061431454936705536
35,perkins,0.060397467370502514
36,poindexter,0.059713739735475
37,slave,0.059517145295627384
38,gentlemen,0.059405954824939
39,said,0.058449861269033926
40,rights,0.05788237296598944
41,taylor,0.057395530934712495
42,session,0.05693896167416758
43,man,0.056853987906771104
44,citizens,0.05664964318779216
45,follows,0.05600510947616486
46,adopted,0.055310880464174886
47,principle,0.05494625133779159
48,pending,0.054929108363310046
49,liberty,0.053552475921348326
50,following,0.0534510826902695
51,cuyahoga,0.053051752746430265
52,doct,0.05211913812169338
53,paper,0.05197422250196239
54,jenkins,0.05168450083969711
55,conventions,0.051550059950324245
56,amended,0.05053366176439178
57,appointed,0.050519885959857666
58,mcc,0.049761449779562504
59,17th,0.04920998954128615
60,respectfully,0.04853776154600955
61,purely,0.048121306565469875
62,consistently,0.048121306565469875
63,president,0.04749965816180741
64,john,0.04711865281880647
65,select,0.046896711567728185
66,support,0.04609342705177242
67,wm,0.04510053813293979
68,jan,0.04499602951683513
69,enactment,0.0440771160198112
70,chairman,0.04382295359126928
71,says,0.0426178951778667
72,church,0.04254777881702069
73,report,0.04247533999879935
74,schools,0.04200769449920281
75,referred,0.041593273373013384
76,counties,0.04030100490424751
77,substitute,0.03981663748130734
78,ask,0.039577093188290585
79,ahasuerus,0.03908935359127003
80,whitsill,0.03908935359127003
81,bible,0.03886285668081739
82,burnham,0.0384970452523759
83,corpus,0.0384970452523759
84,habeas,0.0384970452523759
85,franchise,0.03840419964323759
86,jackson,0.038348935568993034
87,opposed,0.037137175250207474
88,elevation,0.03655532347106566
89,unjust,0.03643730688888151
90,stewart,0.03641885836499276
91,writ,0.036304378049476844
92,offered,0.03624475288568653
93,coke,0.036101198525060614
94,1781,0.036101198525060614
95,moved,0.03598839262487265
96,seward,0.03536783516428684
97,press,0.035227538806725585
98,elective,0.03518239364171029
99,framed,0.03514999252949011
100,right,0.03493318766158414
101,pro,0.03464948166797493
102,constituting,0.03451283849743001
103,anti,0.034366706633549494
104,despotism,0.03412583051489883
105,hurst,0.03398106876527597
106,esther,0.03398106876527597
107,booker,0.03372631780743764
108,roberts,0.03364408921597363
109,16th,0.03364408921597363
110,persons,0.03323294625865357
111,1850,0.033180531234422786
112,petition,0.03301065178009574
113,gaines,0.03299811338899127
114,instrument,0.032733833692915666
115,hamilton,0.03261861344245405
116,deformity,0.03233656836310169
117,heathcock,0.03233656836310169
118,carolina,0.032287377157389496
119,clock,0.03214479493682827
120,political,0.03207941710491768
