,term,score
0,toronto,0.3679356636857181
1,convention,0.27341057530131196
2,fisher,0.2154099977469828
3,committee,0.177852358227595
4,scoble,0.17101512778416064
5,motion,0.1674796297927784
6,campbell,0.15949395849166623
7,shall,0.1557877634352816
8,mr,0.14030088494478277
9,lisle,0.13226452054079513
10,tinsley,0.13226452054079513
11,league,0.12037785589624818
12,resolved,0.11784374575044361
13,canadas,0.11723432311533451
14,people,0.10317380200049507
15,session,0.10275267678145367
16,bibb,0.10270611714242109
17,clock,0.09426438231844093
18,topp,0.09213086265997159
19,wilson,0.09015193312059364
20,canada,0.08837642517866735
21,president,0.08508812339940468
22,appointed,0.08446515813434667
23,hiram,0.08389522965117095
24,carey,0.08082005385296848
25,following,0.07995894677888889
26,jp,0.07935871232447708
27,american,0.07926099134910436
28,seconded,0.07768245501976821
29,hollins,0.07329219762178313
30,minutes,0.07139023163901669
31,states,0.06900563438370542
32,colored,0.06890237845820722
33,rev,0.0687003093340844
34,delaney,0.06564929297938787
35,provinces,0.06564929297938787
36,moved,0.06494504933948028
37,chair,0.06384982221452937
38,business,0.06332981204683506
39,north,0.06297436188008977
40,west,0.06206148182838532
41,recommend,0.06155770502019968
42,smallwood,0.060615040389726364
43,stanton,0.060615040389726364
44,order,0.05950789179546508
45,read,0.059445743511828276
46,delegates,0.059445743511828276
47,united,0.05739581656832021
48,henson,0.05685490753568428
49,harris,0.05634495820037102
50,slavery,0.05594111803879466
51,persons,0.05397528645598884
52,adopted,0.05319068753093485
53,cw,0.052905808216318045
54,wh,0.052905808216318045
55,seven,0.05275870528520021
56,adjourned,0.05137633839072683
57,jamaica,0.051353058571210544
58,fugitive,0.05113417409008847
59,gentlemen,0.04966097283352284
60,russel,0.04886146508118875
61,israel,0.04733932869326067
62,james,0.046872399073635405
63,evening,0.046168278765149756
64,jabez,0.045991957960714765
65,thomas,0.04548034657306195
66,approved,0.04432962987741809
67,offered,0.04415018392377827
68,sandwich,0.04376619531959191
69,mills,0.04376619531959191
70,grey,0.04376619531959191
71,manufactories,0.04376619531959191
72,eloquent,0.04369961707625354
73,report,0.04311644959769662
74,great,0.04281933273052703
75,anderson,0.04241212811755132
76,addresses,0.042000790762094356
77,meet,0.041955838529096
78,resolution,0.04077058527889263
79,windsor,0.04041002692648424
80,toledo,0.04041002692648424
81,henry,0.039358976175056105
82,cause,0.03880305864969335
83,albany,0.038350630567566345
84,views,0.03829589064293627
85,afternoon,0.03818527984077537
