,term,score
0,bonner,0.21639783670532364
1,byrd,0.21639783670532364
2,robinson,0.20441660944461687
3,convention,0.19724531937041268
4,barguet,0.17660083814534103
5,wagoner,0.17265488417300592
6,parker,0.16819228164979358
7,illinois,0.16581797553009958
8,state,0.15760596206085672
9,resolved,0.15433467502993126
10,william,0.14737435733578572
11,people,0.1377586357507644
12,douglass,0.12883895982218052
13,colored,0.12867007980900397
14,ellsworth,0.12560910757985205
15,committee,0.12143359941874268
16,motion,0.11790893022689476
17,choir,0.11502001515283268
18,shall,0.0981862054114982
19,stowe,0.09810154537305388
20,peoria,0.09769597256210714
21,dobbins,0.09632772989745875
22,county,0.09378368194095453
23,richardson,0.0924029388128968
24,smith,0.0899828390095498
25,jo,0.0889640319166912
26,daviess,0.0837394050532347
27,edgar,0.08027310824788228
28,johnson,0.07944898622410214
29,adopted,0.07891189868002883
30,report,0.07850385148644765
31,1853,0.07828163556976744
32,chair,0.077502623821996
33,chicago,0.07523157899663412
34,smallwood,0.07357615902979041
35,augustus,0.06969065459220532
36,coles,0.06640572468192535
37,cook,0.06632719021203982
38,session,0.0662595986197338
39,frederick,0.06563943756939934
40,brown,0.06455230130708299
41,donagan,0.06421848659830583
42,read,0.06413940904067501
43,cain,0.06378738222824314
44,barnes,0.061313465858158674
45,sangamon,0.05930935461112746
46,appointed,0.05858632602839138
47,mrs,0.05844714587100208
48,chairman,0.05814992642226365
49,rev,0.05685700565622823
50,president,0.05508386264996688
51,remarks,0.054621178029070225
52,tappan,0.05312457974554028
53,clock,0.05280952211287066
54,man,0.05161764765601791
55,slavery,0.05092712019982719
56,beecher,0.05091713804831144
57,laws,0.05056206961298004
58,colonization,0.0504924795342854
59,great,0.04826273454052978
60,madison,0.047762211887950184
61,legislators,0.047434053472673786
62,jackson,0.04725156043729025
63,right,0.046629758310926125
64,alex,0.0462014694064484
65,jones,0.046077596139827724
66,harriet,0.046008006061133075
67,mason,0.0454251832748853
68,prayer,0.04498970298560259
69,council,0.04487341986310456
70,music,0.044686780170665706
71,isbell,0.0444820159583456
72,american,0.04409584371546407
73,national,0.042575242696972916
74,business,0.0422792818562723
75,clair,0.04186970252661735
76,cabin,0.04155581166883593
77,resolution,0.041240356724042006
78,resolutions,0.04112106506432972
79,principles,0.04109612806211455
80,job,0.04065855612371093
81,morgan,0.04033292445111864
82,men,0.039931657267880706
83,rollins,0.03984343480915521
84,children,0.039607141584653
85,called,0.039186349686052446
86,regard,0.03903361154335659
87,education,0.03903361154335659
88,united,0.03870476608815719
89,states,0.03839040639635795
90,convincing,0.03818785353623358
91,mclean,0.03818785353623358
92,free,0.038169026030870815
93,condition,0.03765048857289098
94,member,0.03764341277860832
95,destroy,0.03739451655258713
96,proceedings,0.03738209555716949
97,abolitionist,0.03696117552515872
98,henderson,0.03696117552515872
99,tom,0.036788079514895204
100,country,0.03661645376774461
101,letters,0.0365294661693763
102,address,0.03636526126351784
103,order,0.03611613621074801
104,watson,0.035749424136532565
105,fulton,0.03557554010450534
106,stand,0.03530929919917171
107,citizens,0.0349003694512345
108,consisting,0.03455819710487079
109,black,0.03422249861498337
110,said,0.034114203393736935
111,arrived,0.03384039276560763
112,payers,0.033549272387043194
113,justice,0.032992285379233606
114,moral,0.03293798618128228
115,god,0.03275832396077576
116,recommend,0.03269017088692265
117,campbell,0.03226633956089491
118,mead,0.03210924329915291
119,bennet,0.03210924329915291
120,liverse,0.03210924329915291
121,vincint,0.03210924329915291
122,admitted,0.03201996456087207
123,hall,0.03201996456087207
124,came,0.03201996456087207
125,uncle,0.03189369111412157
126,lewis,0.03150104029152683
127,fellow,0.03126122731365151
128,adjourned,0.031180987585757082
129,antislavery,0.03116685875162695
130,used,0.030675942814804884
131,forward,0.0305056616699465
132,ministers,0.03027705528327011
133,come,0.02992259488595306
134,sparrow,0.02965467730556373
135,fit,0.029564649270945386
136,hath,0.029281377682393327
137,repeal,0.02922357293550104
138,received,0.028460776261664256
139,took,0.028447486516350796
