,term,score
0,people,0.17714854222212606
1,shall,0.17120377653854987
2,colored,0.15283062690816243
3,committee,0.1486061112242662
4,mr,0.1354096440429124
5,caffres,0.12481670419039534
6,agreed,0.12277637638115464
7,council,0.1195197766947335
8,men,0.11498103305692743
9,convention,0.11088687375736135
10,colonization,0.10631669036466856
11,country,0.10279920794499366
12,moved,0.10214665503760055
13,states,0.09948877657605186
14,report,0.09849215387835561
15,state,0.0980246419981456
16,africa,0.09547532759795156
17,american,0.09349725525984176
18,cattle,0.0869429729485827
19,citizens,0.08441471951907431
20,free,0.08242922428121408
21,youth,0.08237415311316099
22,united,0.07857102802489978
23,white,0.07803085822639888
24,boor,0.07627687478301938
25,condition,0.07588877239722845
26,great,0.07215745663640777
27,time,0.07019625233640875
28,business,0.06972432804925384
29,cape,0.06885402684334664
30,make,0.06781426988345796
31,government,0.0657434604909493
32,commerce,0.06445761741677875
33,article,0.06411864210148813
34,labor,0.06358421903012247
35,national,0.06352551202013174
36,smith,0.06172692810837787
37,natives,0.06146390183686499
38,dutch,0.06146269851010276
39,british,0.061090129394624035
40,whites,0.06023241448957826
41,land,0.05920183990583808
42,social,0.05895859480644899
43,man,0.057328793798986935
44,mccune,0.0563408069675942
45,power,0.05566366176657414
46,read,0.055405780894721035
47,plan,0.05463077270057522
48,manual,0.054483808266158916
49,school,0.054039472637928035
50,ask,0.05361325946757351
51,beman,0.053131816801911654
52,society,0.052834384191561334
53,said,0.05238932872148155
54,general,0.05218692450067869
55,new,0.051832336016258224
56,children,0.05132097351677712
57,chiefs,0.051233417266247666
58,downing,0.051011743420417095
59,colony,0.050509880925665364
60,art,0.04881431295594725
61,schools,0.04877647093423777
62,caffre,0.04853982940737596
63,means,0.04813953715806466
64,question,0.047752441487306355
65,subject,0.04741465509637073
66,point,0.047262151195251546
67,progress,0.04709996845882374
68,relations,0.04679217635496425
69,following,0.04641171013082363
70,fathers,0.04598584895385765
71,langston,0.04591130681304548
72,human,0.045038902839956756
73,right,0.04492808838227226
74,madam,0.044829240107966704
75,liberians,0.044829240107966704
76,character,0.044711765023051284
77,president,0.04460933911089361
78,motion,0.043902458422565495
79,day,0.04359488778222297
80,1853,0.04347148647429135
81,began,0.04316378289419908
82,college,0.043023782634381585
83,wm,0.04246480941117826
84,fellow,0.04243564382738365
85,douglass,0.04239825946031347
86,americans,0.04200726535868383
87,work,0.04181708953218876
88,rochester,0.041793143107029765
89,gaika,0.04160556806346512
90,amended,0.04156233868959211
91,pursuits,0.04150077650203755
92,war,0.04126963541102011
93,cause,0.04068673118382994
94,educated,0.0405046844354946
95,color,0.04032651423091904
96,members,0.04012137601271478
97,good,0.040087475909115426
98,mechanical,0.039714260893275316
99,party,0.03920615364046911
100,resolved,0.03902033802076763
101,years,0.03857785802489422
102,laws,0.038217565743174434
103,far,0.038015535938353426
104,having,0.03782392205276509
105,rev,0.037654830018564865
106,dear,0.037611492690102125
107,hope,0.03747245338158802
108,education,0.03746505309550477
109,life,0.037406048995314814
110,taken,0.037406048995314814
111,best,0.03729617025184411
112,self,0.03718526934866645
113,scheme,0.036861311883331006
114,frederick,0.03685601142529612
115,word,0.036746841393791065
116,present,0.03667578490343744
117,slavery,0.03666046748265367
118,knowledge,0.03657892036052022
119,better,0.03630711880787425
120,hottentots,0.03616845865925824
121,ohio,0.03605005260607698
122,importance,0.035989653917543815
123,unknown,0.03591934625390816
124,world,0.03585190355855948
125,race,0.03537217887948619
126,god,0.03537217887948619
127,persons,0.03537217887948619
128,rights,0.035204748488991355
129,polity,0.03467130671955426
130,boors,0.03467130671955426
131,number,0.03457779757715782
132,reason,0.03457490424473943
133,wagoner,0.034418100387067774
134,stole,0.034418100387067774
135,mechanics,0.03431690090149515
136,opinion,0.034048885012533524
137,fact,0.03403311825425499
138,called,0.033850488135811686
139,adapted,0.03367136432382299
140,facts,0.033362944523678564
141,institution,0.03321200202223053
142,colleges,0.03317060210559774
143,lost,0.03308350583667608
144,meet,0.032994420734388304
145,constitution,0.03297168971248563
146,ray,0.03269028495969535
147,think,0.03268003006881263
148,public,0.032666114500115306
149,population,0.032537110680083144
150,wilson,0.03249410577932394
151,york,0.032272994495888226
152,missouri,0.03222880870838937
153,liberty,0.03206232771026984
154,class,0.031792109515061236
155,producers,0.03177878162000614
156,slave,0.031674156925600785
157,learning,0.03150193081034141
158,britain,0.03135684421738863
159,need,0.030989467082995988
160,culture,0.03094395497040845
161,wants,0.03087657867380696
162,branches,0.030848535719553188
163,independence,0.030743787173113792
164,employments,0.030731950918432494
165,peace,0.030720398276913505
166,james,0.030717370734015485
167,view,0.030717370734015485
168,words,0.030464821580865574
169,union,0.03028108728192152
170,possess,0.030277290582623927
171,elevation,0.0302621046772397
172,receive,0.0302621046772397
173,nations,0.03011620724478913
174,john,0.03009103200953608
175,use,0.03006635204756326
176,say,0.02975527809725518
177,case,0.029720372792922674
178,river,0.02950994649265194
179,just,0.029328373986122938
180,given,0.02914771507200155
181,native,0.029087105168067392
182,ought,0.029087105168067392
183,resolutions,0.02906325852148198
184,liberia,0.029058031075284756
185,colonizing,0.028980990982860902
186,policy,0.028879994934095134
187,publication,0.028879994934095134
188,rifle,0.02868175032255648
189,truth,0.028547802375034237
190,avenues,0.02843206219874143
191,wisdom,0.02835699791354019
192,institutions,0.02812137376695284
193,does,0.028100525771722576
194,letter,0.028100525771722576
195,agricultural,0.028077464373950575
196,statistics,0.028077464373950575
197,vashon,0.027937269308595237
198,kraals,0.027737045375643407
199,carbines,0.027737045375643407
200,open,0.02765992339579154
201,principles,0.027611281439064855
202,woodson,0.02755084414127202
203,munroe,0.02748996128789907
204,mortal,0.02748996128789907
205,rapidly,0.027467861841763055
206,literary,0.027458051037720328
207,black,0.027450936002187353
208,course,0.027450936002187353
209,arms,0.027127117812168054
210,let,0.02700450061742596
211,head,0.02700180049362904
212,whipper,0.026922981876466447
213,students,0.026922981876466447
214,appointed,0.026885946693306035
215,service,0.02674793844675453
216,place,0.02674758400847652
217,amos,0.026595636522655307
218,remedy,0.026595636522655307
219,poverty,0.026595636522655307
220,mental,0.026586086546719588
221,stowe,0.026482318016671787
222,gaines,0.026341672215799285
223,large,0.026225537166853337
224,common,0.026225537166853337
225,countrymen,0.02615433968370977
226,attention,0.026035868335098283
227,chair,0.026035868335098283
228,scientific,0.02580048586908154
229,community,0.025779089012309266
230,claim,0.025736515908546715
231,thousand,0.025736515908546715
232,proper,0.025639047050560224
233,registry,0.025616708633123833
234,privates,0.025616708633123833
235,range,0.02560945771254282
236,motives,0.025425777190874164
237,improvement,0.02535492977947558
238,end,0.02535492977947558
239,little,0.02535492977947558
240,privileges,0.025339325540480632
241,leave,0.025261353062401345
242,trades,0.02506685121763618
243,officers,0.024585376716636676
244,hand,0.024573896587212388
245,friends,0.02441188841795827
246,ignorance,0.024301620444266134
247,submit,0.02423925430672283
248,carried,0.02415583277887512
249,money,0.02415583277887512
250,names,0.02415583277887512
251,cune,0.024112305772838828
252,exist,0.02407314460207908
253,america,0.024033368404051323
254,nation,0.02402337759123882
255,necessary,0.02400184879762249
256,come,0.02400184879762249
257,reports,0.023849020946426325
258,influence,0.02384408213629593
259,want,0.0238306746597704
260,long,0.023733926523900797
261,slaves,0.023631075597625773
262,allow,0.023629086764259653
263,beginning,0.023457198471210642
264,room,0.023457198471210642
265,republic,0.023434478139127364
266,connected,0.023385976453553264
267,mind,0.023240793342916535
268,adopted,0.023238666404623583
269,wise,0.02320118011107834
270,expect,0.02320118011107834
271,finds,0.023161167102019924
272,equally,0.02314553396313977
273,natural,0.022992924476928824
274,know,0.022977111200388645
275,finding,0.02295903678439335
276,shops,0.02295903678439335
277,noes,0.02294540025804518
278,tend,0.022885047223246052
279,add,0.022885047223246052
280,sir,0.022885047223246052
281,pay,0.02287261473865279
282,scarcely,0.02279625987656169
283,chief,0.022680622415566842
284,spirit,0.022643307510669147
285,practical,0.022455693580950516
286,commissioned,0.022435818230388704
287,shop,0.022435818230388704
288,produces,0.022435818230388704
289,respect,0.022355882511525642
290,form,0.022316458572941386
291,followed,0.022235500443811056
292,circumstances,0.02213533363071142
293,agriculture,0.022088767893833426
294,willing,0.02200359107096053
295,establishments,0.021991969030319258
296,double,0.02195139351316607
297,believe,0.021838608996099677
298,select,0.021838027846406004
299,african,0.021815328876050546
300,application,0.02179352330646357
301,different,0.02178668671254175
302,things,0.021615789055171215
303,homes,0.02160144039490323
304,entered,0.02159397500368723
305,july,0.02159397500368723
306,hands,0.02153389690262883
307,possession,0.021398350757403626
308,similar,0.021398350757403626
309,expected,0.021398350757403626
310,favor,0.021374991052801138
311,way,0.021374991052801138
312,admission,0.02135626191822692
313,hold,0.021217821913691825
314,feelings,0.021199129730156734
315,commercial,0.021189833913713298
316,fine,0.021189833913713298
317,fireside,0.02118585441333743
318,strong,0.02109103032521463
319,press,0.02109103032521463
320,pennington,0.0210785332090371
321,received,0.021073180042831437
322,reported,0.021073180042831437
323,position,0.02095369899287845
324,consideration,0.02090854476609438
325,families,0.020898594593141598
326,town,0.020898594593141598
327,pistols,0.02080278403173256
328,zureveld,0.02080278403173256
329,barrelled,0.02080278403173256
330,islambi,0.02080278403173256
331,makanna,0.02080278403173256
332,cobden,0.02080278403173256
333,boombo,0.02080278403173256
334,hottentot,0.02080278403173256
335,commando,0.02080278403173256
336,noble,0.020793286126047993
337,prejudice,0.020793286126047993
338,study,0.020682245678469706
339,reliance,0.020682245678469706
340,shot,0.020682245678469706
341,value,0.020678067314115235
342,dollar,0.020678067314115235
343,thought,0.020634817705510056
344,finance,0.020623271209847412
345,change,0.020623271209847412
346,regard,0.02060577920252762
347,industry,0.02057564270279262
348,paid,0.02057564270279262
349,precisely,0.020487566170034253
350,colonists,0.020487566170034253
351,instructors,0.020487566170034253
352,judgment,0.020438155090603403
353,address,0.020418799036707784
354,considered,0.020408744356078496
355,kind,0.020408744356078496
356,science,0.02036337646487468
357,apparent,0.02030861585624388
358,lawyers,0.02030861585624388
359,drive,0.02030861585624388
360,skill,0.02030861585624388
361,existence,0.02025625854586503
362,expenses,0.020244180328618397
363,century,0.02010617011818055
364,desirable,0.02010617011818055
365,generally,0.020081886222292247
366,half,0.020081886222292247
367,leading,0.020046683242944535
368,small,0.020046683242944535
369,extent,0.020046683242944535
370,cruel,0.020046683242944535
371,develop,0.019955192363282314
372,referred,0.019921800267640278
373,age,0.019901689414223753
374,nature,0.019901689414223753
375,purpose,0.019875630865940786
376,stephen,0.019857130446637658
377,nearly,0.019845544613620987
378,civilization,0.019845544613620987
379,serve,0.019648731883331702
380,arts,0.019615754762782326
381,fully,0.019608018041287575
382,justice,0.01959364471183157
383,making,0.019576269911480756
384,high,0.01945421014965409
385,prayer,0.019431810048001034
386,physical,0.019381585409956784
387,fish,0.0193206606552406
388,ayes,0.0193206606552406
389,demand,0.019302386931410037
390,look,0.019302386931410037
391,able,0.01928892901244711
392,like,0.01928892901244711
393,intelligent,0.019226694723241056
394,dismiss,0.019212531474842875
395,1798,0.019212531474842875
396,intelligencer,0.019212531474842875
397,testimony,0.019154204539401944
398,master,0.019154204539401944
399,true,0.01914759266699054
400,attempt,0.019082482885966152
401,virtue,0.019082482885966152
402,evidence,0.019082482885966152
403,sent,0.019064539727816323
404,regiment,0.018996883230468078
405,especially,0.018904860478100617
