,term,score
0,council,0.6904964888495779
1,morrel,0.2585332698426137
2,duffins,0.18959106455125008
3,mcdonough,0.17509792388766593
4,york,0.15040612079687152
5,state,0.14212714531856394
6,loguen,0.1413394283649062
7,mr,0.14127602565166578
8,motion,0.1396766415916835
9,topp,0.12005685313800948
10,committee,0.11950206555577128
11,new,0.1171205414658431
12,shall,0.10931250536812023
13,wilson,0.08810856440186052
14,resolved,0.08486410874668701
15,president,0.0813115405905375
16,bell,0.07900303691242931
17,members,0.07894836727593088
18,resolution,0.07526558462024033
19,national,0.07479319005088188
20,1854,0.07328680803857446
21,appointed,0.07075772992407318
22,meyers,0.06832806194369268
23,albany,0.0666335672089001
24,adopted,0.06546268861864907
25,rich,0.06539326246668674
26,messrs,0.06298251885511028
27,smith,0.06250698621072535
28,wm,0.05965813462709437
29,presented,0.05514891095885289
30,city,0.05253492446223482
31,storum,0.051706653968522746
32,brooklyn,0.050478367273180794
33,jan,0.0495999105134012
34,read,0.04733940133070052
35,clock,0.0472450264155502
36,minutes,0.04651474168328681
37,syracuse,0.04649574203049525
38,order,0.042650003601014834
39,secretary,0.04126292604154678
40,following,0.04093393888199799
41,member,0.04041234898423817
42,nominees,0.03949409997864735
43,ticket,0.0383790442351203
44,election,0.038207827438318805
45,districts,0.03791597053900026
46,yeas,0.0371965936243962
47,additional,0.03632959025927041
48,troy,0.0361127999868774
49,nays,0.0361127999868774
50,increasing,0.03560300939977626
51,declared,0.034948739079089075
52,lansinburgh,0.03447110264568183
53,chemung,0.03447110264568183
54,morning,0.03380930713989922
55,tuesday,0.0335573534898368
56,business,0.03301034083323742
57,census,0.032736957902772264
58,nominated,0.032116115760445485
59,report,0.0321060413895814
60,districting,0.031835986161393805
61,messr,0.031835986161393805
62,rules,0.03149125942755514
63,proceeded,0.031189901963667954
64,question,0.030771936762191355
65,slater,0.029966341261765096
66,elected,0.02941269041172762
67,hall,0.02864604735998337
68,morse,0.02851613201151863
69,rev,0.028484976779413602
70,chair,0.027734494562693637
71,half,0.027730453458841137
72,carried,0.02729130531308486
73,number,0.027140631676815727
74,clark,0.026845882791869436
75,adjourn,0.026593486631942803
76,moved,0.026447089856331596
77,fraction,0.0263293999857649
78,black,0.02624271618962928
79,reported,0.026189370298440658
80,debate,0.026102938082135128
81,charles,0.026040881391948836
82,seat,0.025630231668029434
83,counting,0.02546157987784837
84,tie,0.02546157987784837
85,withdrawn,0.025307239139095716
86,past,0.025257718115148854
87,session,0.025105925425780412
88,wednesday,0.02495192157093436
89,poughkeepsie,0.024696108293189047
90,stephen,0.02467808566502237
91,commence,0.02437810829318394
92,4th,0.02430726083661659
93,weir,0.024011370627601898
94,ballots,0.024011370627601898
95,mathews,0.024011370627601898
96,file,0.024011370627601898
97,william,0.023971935110911606
98,consideration,0.0236225132077751
99,nelson,0.02352987828803338
100,gentlemen,0.023112078802244695
101,reference,0.023106592992612026
102,ways,0.023002804232165625
103,called,0.0229466071031747
104,paper,0.022916837887986697
105,comfortable,0.022826463393560342
106,conventions,0.022729813167536493
107,states,0.022480521384771367
108,meeting,0.021217021610282345
109,frederick,0.02114030314242206
110,met,0.021068641654160145
111,pennington,0.02095681849393164
112,adjourned,0.020921604521483676
113,appoint,0.020673218525905247
114,august,0.020524403912896876
115,signed,0.020524403912896876
116,james,0.020359998699453378
117,douglass,0.01975942373360325
118,nominate,0.01975942373360325
119,buffalo,0.01950660924368517
120,reconsider,0.01918952211756015
121,accepted,0.019050129505733586
122,philip,0.01888718867974399
123,close,0.018880586182544668
124,nominations,0.018321702009643615
125,suggestions,0.018321702009643615
126,thanks,0.018093754451210486
127,ordered,0.01807446637403309
128,ray,0.0180563999934387
129,objected,0.0180563999934387
130,marked,0.01780150469988813
131,located,0.01780150469988813
132,taken,0.017709549322409486
133,previous,0.017620966217308846
134,negro,0.017620966217308846
135,voted,0.017620966217308846
136,1850,0.01755623042498429
137,received,0.017459580198960437
138,approved,0.01732994474445902
139,destestable,0.017235551322840915
140,williamburgh,0.017235551322840915
141,rick,0.017235551322840915
142,chautauque,0.017235551322840915
143,businessman,0.017235551322840915
144,lougen,0.017235551322840915
145,treasuries,0.017235551322840915
146,tribunes,0.017235551322840915
147,20,0.01718762841599002
148,considered,0.016909081027201088
149,prevailed,0.016871492759397144
150,addressing,0.016871492759397144
151,regulations,0.016871492759397144
152,people,0.016805880294667546
153,rejected,0.016658391802225024
154,amend,0.016452057110014913
155,relating,0.016452057110014913
156,earnestly,0.016374783187850916
157,said,0.016277129588236346
158,school,0.016118229029740593
159,communication,0.016058057880222742
160,newspaper,0.016058057880222742
161,brown,0.015992440247525063
162,tyson,0.015917993080696902
163,determinedly,0.015917993080696902
164,listed,0.015917993080696902
165,jewelry,0.015917993080696902
166,dinner,0.015917993080696902
167,canandaigua,0.015917993080696902
168,chautauqua,0.015917993080696902
169,canvassing,0.015917993080696902
170,newburgh,0.015917993080696902
171,balloted,0.015917993080696902
172,result,0.015624528835169302
173,time,0.015509092218550848
174,term,0.015508519676798229
175,appeal,0.015504913894428934
176,laid,0.015504913894428934
177,advanced,0.01533520282144375
178,present,0.01519333595071754
179,advocate,0.015166388215600103
180,george,0.015154630869089315
181,local,0.015001847859768443
182,migrated,0.014983170630882548
183,prefaced,0.014983170630882548
184,heidelberg,0.014983170630882548
185,1809,0.014983170630882548
186,outstanding,0.014983170630882548
187,follows,0.014816498867865794
188,known,0.01470634520586381
189,active,0.014684760733643418
190,main,0.014684760733643418
191,demanded,0.014531836103708165
192,prayer,0.014489703059956808
193,second,0.014383161066546966
194,rising,0.014382427295827258
195,twice,0.014382427295827258
196,tellers,0.014258066005759315
197,endeared,0.014258066005759315
198,sympathizes,0.014258066005759315
199,irrelevant,0.014258066005759315
200,ontario,0.014258066005759315
201,melancholy,0.014258066005759315
202,duly,0.014236376275109116
203,conducted,0.013953766667026767
204,decision,0.013816940625726885
205,desired,0.013816940625726885
206,considerable,0.013816940625726885
207,colored,0.013813466381629932
208,elect,0.01368293594193125
209,boston,0.01368293594193125
210,edward,0.01368293594193125
211,81,0.013665612388738537
212,paine,0.013665612388738537
213,platt,0.013665612388738537
214,82,0.013665612388738537
215,nominee,0.013665612388738537
216,colonization,0.013551638609521972
217,family,0.013422941395934718
218,agents,0.013296743315971402
219,january,0.013172949155735499
220,ballot,0.013172949155735499
221,rec,0.01316469999288245
