,term,score
0,commissioners,0.20634455787428158
1,000,0.18176872294934932
2,people,0.17915274955587127
3,board,0.17650488735937261
4,shall,0.1564948518290299
5,states,0.1369872248414043
6,colored,0.13234537914957958
7,race,0.12393204366317757
8,country,0.12121218284847075
9,convention,0.11992870011591382
10,continent,0.1145448510079944
11,political,0.10654574640347524
12,united,0.09883941307327068
13,delany,0.09693073305804205
14,slave,0.08785555407467664
15,black,0.08785555407467664
16,white,0.08369188725575144
17,foreign,0.08321673829339525
18,america,0.0789419261684785
19,article,0.07830343007195047
20,whites,0.0769394155185589
21,webb,0.07533008149691571
22,pittsburgh,0.07533008149691571
23,islands,0.07303777863003602
24,relations,0.07232815483332623
25,rev,0.0699083871841031
26,position,0.06882619743695585
27,penna,0.06600100847530911
28,committee,0.06540217252806944
29,national,0.06406258254749025
30,american,0.06255915330771854
31,canada,0.06160074722360974
32,south,0.06153035657841673
33,countries,0.061444255146410456
34,munroe,0.06019715194528852
35,new,0.06019032762654996
36,great,0.05969245500673485
37,nighten,0.05940090762777819
38,wm,0.05862342143638572
39,esq,0.05839315055566037
40,lambert,0.05799062809938491
41,right,0.057672752620604485
42,holly,0.056672968815620194
43,north,0.05648231202351263
44,canadas,0.05607925020385504
45,domestic,0.05573931399617736
46,british,0.05573931399617736
47,ohio,0.05525934831793495
48,state,0.055153910866927024
49,theodore,0.05404262230040708
50,identity,0.05404262230040708
51,population,0.05343699946383204
52,free,0.05234570180650271
53,president,0.05209863361176757
54,person,0.051661023840370954
55,time,0.05123827353593139
56,west,0.05089238044174481
57,emigration,0.05066378520557544
58,man,0.05056384855034983
59,cleveland,0.05026798479793126
60,degradation,0.050169097814556245
61,destiny,0.050169097814556245
62,pa,0.04915540411712836
63,consequently,0.04830740546335372
64,parker,0.04772316774705204
65,places,0.0475593950388451
66,green,0.0468578241501209
67,st,0.04656161773922934
68,resolved,0.04628336792127218
69,men,0.04563583882328592
70,conaway,0.045553660048057915
71,african,0.04511697744394054
72,rights,0.044969686093017686
73,provinces,0.043964841015932885
74,brazil,0.043964841015932885
75,races,0.04390861384483206
76,platform,0.04389796058773671
77,inhabitants,0.04345750988994739
78,pennsylvania,0.04302653198838132
79,periodical,0.04230812597247432
80,years,0.042238640442730985
81,rebecca,0.04207134613004555
82,present,0.04182924293676604
83,indies,0.04154174273916088
84,world,0.04132001158800152
85,miles,0.04096283676427363
86,fugitive,0.040359205476951945
87,michigan,0.040353635402380385
88,mr,0.04026790902985102
89,dr,0.03987658004442368
90,law,0.03981037028672998
91,mary,0.039303725309386965
92,1840,0.039303725309386965
93,bruce,0.039255475142698525
94,millions,0.03916080038317493
95,natives,0.038455095862344676
96,slavery,0.03813233716319482
97,cuba,0.03807530679068755
98,county,0.038014776398457885
99,cives,0.03796138337338159
100,auditor,0.037684149442228185
101,johns,0.037684149442228185
102,superior,0.03764481189724359
103,pertaining,0.03743921022301696
104,origin,0.03743921022301696
105,report,0.037124696770947214
106,day,0.037124696770947214
107,class,0.03698453007608819
108,privilege,0.0365288662977888
109,1854,0.03631827186214235
110,necessarily,0.03631827186214235
111,little,0.03533211074791857
112,thousand,0.03522342534570747
113,liberty,0.03510482958999928
114,general,0.035020749073462705
115,politically,0.03480091255241395
116,john,0.03477683052578043
117,acknowledged,0.03454977887235979
118,business,0.03453508017164693
119,square,0.034390759645713594
120,central,0.03420816800634068
121,entirely,0.034145186342101515
122,various,0.03393016161721187
123,earth,0.03391966156223245
124,let,0.03379091235418479
125,sovereign,0.03364820887955159
126,slaves,0.033635559969107436
127,oppressors,0.03344358839770642
128,financial,0.033404041835259045
129,government,0.03335754838611653
130,august,0.033150404298607855
131,europeans,0.033000504237654556
132,coast,0.03295691065490062
133,brown,0.03287519698932697
134,common,0.03281619017515559
135,motion,0.03268658682845798
136,hope,0.03239079492869213
137,privileges,0.03236783571172298
138,provisions,0.03234325502645619
139,departments,0.03231024435268068
140,power,0.032265409469586045
141,countrymen,0.032215739345998425
142,charles,0.032118892137246065
143,month,0.03200643780515203
144,mission,0.03181544516470136
145,saxon,0.03173109447935574
146,anglo,0.03170279473464638
147,africa,0.03167736419856477
148,condition,0.031653376265814666
149,policy,0.03162051457657313
150,elizabeth,0.03140345786852349
151,destination,0.03140345786852349
152,james,0.03139009545700298
153,blacks,0.03133159860633289
154,california,0.0311300760006697
155,negro,0.031048209202253013
156,established,0.031048209202253013
157,determined,0.031047888613524987
158,period,0.031041078492819563
159,york,0.030918551347177137
160,recommend,0.030918551347177137
161,house,0.03068687593407651
162,individual,0.03049535898836847
163,colony,0.03016523620430067
164,year,0.030007499007701024
165,bibb,0.029477793982040222
166,discovered,0.029477793982040222
167,true,0.029350400794056136
168,freeman,0.029286140093825564
169,samuel,0.02919333834607917
170,consideration,0.02913607040834563
171,whitfield,0.028995314049692456
172,cape,0.028995314049692456
173,fixed,0.028988586928757522
174,martin,0.0286362127519986
175,nation,0.028494956224499615
176,obtained,0.028483271460302627
177,especially,0.028460858435398598
178,council,0.028294358793861177
179,hawkins,0.028248780561343386
180,miserable,0.028248780561343386
181,distant,0.028247544781666266
182,remarks,0.028178740276565972
183,barons,0.028047564086697035
184,hireling,0.028047564086697035
185,louisiana,0.02796241505457172
186,paper,0.027760944159078878
187,distinction,0.027723053625789522
188,hold,0.027455116287775142
189,like,0.027455116287775142
190,william,0.027455116287775142
191,missouri,0.027445528855695744
192,kind,0.027311042734712916
193,contents,0.027196647707633963
194,area,0.027196647707633963
195,venerable,0.027196647707633963
196,edward,0.02712305806249734
197,persons,0.027110134551320095
198,oppressed,0.027090822660996296
199,constitution,0.027075363003363467
200,work,0.02705492252203523
201,europe,0.02702068544297357
202,doings,0.02702068544297357
203,immediately,0.027001182783431197
204,basis,0.026862793365980367
205,held,0.026588224359970464
206,productions,0.02644257873279645
207,island,0.026433312738147814
208,months,0.026433312738147814
209,goff,0.02640040339012364
210,peru,0.02640040339012364
211,southern,0.026313975389492837
212,england,0.026112134582931486
213,want,0.026092047355563423
214,consist,0.026011679864882772
215,previous,0.02587350766854418
216,remain,0.02587350766854418
217,duty,0.025804762475183048
218,termed,0.025760440370736454
219,proceedings,0.02553503379810736
220,favor,0.02553091166148165
221,according,0.025446190220872404
222,settlement,0.025365013562662835
223,suffrage,0.02523722196279898
224,set,0.025236272393550477
225,franchise,0.02517480024632674
226,god,0.025173696369082947
227,indian,0.025137696836917228
228,seizure,0.025122766294818792
229,barbour,0.025122766294818792
230,note,0.025056686157998775
231,remedy,0.024959473482011302
232,reduced,0.024959473482011302
233,existence,0.02495074826321057
234,legal,0.02495074826321057
235,oppression,0.02495074826321057
236,acts,0.02483286279425565
237,kentucky,0.024757563944628528
238,western,0.024757563944628528
239,progress,0.024663646430502333
240,holders,0.02456482831836685
241,sufficient,0.02451400595339776
242,character,0.024477307230871288
243,elevated,0.024467113172750254
244,doubt,0.02434550170474105
245,counsel,0.024184845210651854
246,greatest,0.024109384944442078
247,meet,0.02408358136622831
248,700,0.02407886077811541
249,pilgrims,0.02407886077811541
250,sarah,0.02407886077811541
251,equality,0.02404369165440204
252,fuller,0.024034434913965425
253,ruling,0.024034434913965425
254,king,0.023910311598623786
255,native,0.02388545864679205
256,lands,0.023878038547538102
257,known,0.023753249614374233
258,chairman,0.023570800429022182
259,elder,0.02354065046778616
