,term,score
0,haven,0.24952489488283824
1,resolved,0.2371835351578065
2,beman,0.2013254550202744
3,hartford,0.1829906074632508
4,1855,0.16929612919757966
5,encouraged,0.16634992992189215
6,anthony,0.16355488584117656
7,aspired,0.14451300037855427
8,talcott,0.14451300037855427
9,responsibilities,0.14330786268899762
10,political,0.14231679136066716
11,amendment,0.13950505984282446
12,enfranchisement,0.13464020274467056
13,discouragements,0.133465817078221
14,leverett,0.1256277157890053
15,evince,0.1256277157890053
16,evinces,0.1256277157890053
17,share,0.1231256716834864
18,rights,0.12228035978155563
19,items,0.11954801209968617
20,meanness,0.11954801209968617
21,bassett,0.11458053248867205
22,taken,0.11136545881223724
23,manifesting,0.11038058832117434
24,preliminaries,0.10674243119945635
25,enjoy,0.10368995006141211
26,ebenezer,0.10353334918833877
27,repudiate,0.10353334918833877
28,servility,0.10353334918833877
29,constitution,0.10307163744454481
30,new,0.09820075108801372
31,concur,0.0956952478991231
32,protection,0.0915305426827738
33,sincerity,0.08464806459878983
34,convention,0.08454623144546725
35,efforts,0.08407289245553229
36,denounce,0.08177744292058828
37,secret,0.08044812043129214
38,amos,0.07918064974250495
39,world,0.07864938418505808
40,regard,0.07807878826095253
41,action,0.07807878826095253
42,secure,0.07807878826095253
43,burdens,0.07796953006950982
44,righteous,0.07680996330957415
45,1854,0.07680996330957415
46,petitions,0.07569773923126911
47,usual,0.07261001914207647
48,separately,0.07261001914207647
49,professions,0.07261001914207647
50,utterly,0.07165393134449881
51,session,0.0701676154246694
52,pursue,0.06983687773395371
53,business,0.06919452862247549
54,attainment,0.06897186202035847
55,april,0.06897186202035847
56,said,0.06823851440218555
57,avail,0.06813346644217168
58,connecticut,0.06732010137233528
59,deliberate,0.06653031545275731
60,amid,0.06501627560221691
61,houses,0.06501627560221691
62,held,0.06326073590372198
63,president,0.06197852585486576
64,disposed,0.0615628358417432
65,example,0.0615628358417432
66,committee,0.06072579452614758
67,men,0.05990635934234532
68,manly,0.05849829372623514
69,assembly,0.05849829372623514
70,hearty,0.05849829372623514
71,discussed,0.057924678720025206
72,colored,0.05791011366698184
73,pleasure,0.057362891674245506
74,state,0.056746551745898946
75,people,0.056364154296978164
76,bear,0.055743858605440504
77,appropriate,0.055743858605440504
78,tender,0.05372473455252752
79,september,0.052768646754949876
80,sine,0.052768646754949876
81,street,0.052768646754949876
82,proposed,0.052768646754949876
83,continue,0.05184497503070606
84,18,0.051394622522364285
85,religion,0.051394622522364285
86,deep,0.051394622522364285
87,willing,0.05095159314440476
88,trust,0.05051565254140994
89,worthy,0.050086577430809534
90,voted,0.04924818185262274
91,opportunity,0.048838464260721595
92,deprived,0.048838464260721595
93,according,0.04843481678278633
94,mind,0.04843481678278633
95,parts,0.04843481678278633
96,prove,0.04803706217962761
97,adjournment,0.04803706217962761
98,representatives,0.04764503086320837
99,considered,0.04725856046249842
100,expenses,0.046877495419691946
101,love,0.04613099101266797
102,need,0.04613099101266797
103,earnestly,0.0457652713413869
104,forward,0.0457652713413869
105,fully,0.045404395781848204
106,different,0.045404395781848204
107,die,0.04469667530510724
108,look,0.04469667530510724
109,course,0.04400687374149038
110,set,0.043668413408574365
111,noble,0.043334106068033305
112,consider,0.043334106068033305
113,feel,0.04267755125219425
114,humanity,0.04172146345461661
115,property,0.04172146345461661
116,house,0.04172146345461661
117,principles,0.041102216198246576
118,hope,0.041102216198246576
119,civil,0.04079779173037279
120,county,0.040198960890411924
121,know,0.039904409844071495
122,children,0.03961300913668621
123,spirit,0.03932469209252904
124,church,0.03932469209252904
125,chair,0.03875705267718046
126,just,0.03820099855228947
127,thanks,0.03792717005217123
128,chairman,0.03738763348245307
129,assembled,0.03738763348245307
130,justice,0.03712181960407907
131,persons,0.036858574015891564
132,motion,0.0365978475628751
133,subject,0.0365978475628751
134,reported,0.0365978475628751
135,friends,0.03633959248782968
136,vote,0.035830312119358686
137,long,0.0353303768740879
138,duty,0.0350838077123347
139,adjourned,0.0350838077123347
140,john,0.03483944996297857
141,rev,0.034119257201092774
142,make,0.033649492004773976
143,resolutions,0.033649492004773976
144,government,0.033417612252623866
145,man,0.033187689314955374
146,appointed,0.03295969044115712
147,shall,0.03273358369600458
148,time,0.032509337932815345
149,adopted,0.032286922767700045
150,following,0.031201292841260587
151,patton,0.0
152,paupau,0.0
153,paul,0.0
154,pearl,0.0
155,pearly,0.0
156,pearls,0.0
157,paucity,0.0
158,pauline,0.0
159,peaceful,0.0
160,pauper,0.0
161,paved,0.0
162,payment,0.0
163,payments,0.0
164,paym,0.0
165,peas,0.0
166,paying,0.0
167,payers,0.0
168,payable,0.0
169,payne,0.0
170,paynesville,0.0
171,pays,0.0
172,payton,0.0
173,peabody,0.0
174,pay,0.0
175,pausing,0.0
176,pauperism,0.0
177,pauses,0.0
178,peacable,0.0
179,pause,0.0
180,peace,0.0
181,peaceable,0.0
182,peaceably,0.0
183,paymaster,0.0
184,peacefully,0.0
185,peacefulness,0.0
186,paupers,0.0
187,peak,0.0
188,pauperizes,0.0
189,pearce,0.0
190,pears,0.0
191,00,0.0
192,peasant,0.0
193,pennsylvana,0.0
194,penns,0.0
195,pennington,0.0
196,penniless,0.0
197,penned,0.0
198,penna,0.0
199,penn,0.0
200,penmanship,0.0
201,penman,0.0
202,penitentiary,0.0
203,penitentiaries,0.0
204,penitential,0.0
205,peninsula,0.0
206,penetrated,0.0
207,penetrate,0.0
208,peneton,0.0
209,pendulum,0.0
210,pends,0.0
211,pennsylania,0.0
212,pennsylvania,0.0
213,pending,0.0
214,pennsylvanians,0.0
215,peopulation,0.0
216,peoplo,0.0
217,peoples,0.0
218,peopled,0.0
219,peopie,0.0
220,peonage,0.0
221,penury,0.0
222,penurious,0.0
223,pent,0.0
224,pensylvania,0.0
225,pensive,0.0
226,pensions,0.0
227,pension,0.0
228,pensacola,0.0
229,pens,0.0
230,penny,0.0
231,pennsyvania,0.0
232,pendleton,0.0
233,pendency,0.0
234,peasants,0.0
235,peer,0.0
236,peek,0.0
237,pedple,0.0
238,pedigree,0.0
