,term,score
0,slave,0.1936750198217427
1,1855,0.18026013411084443
2,state,0.15709612971643708
3,south,0.1496436288160506
4,williamson,0.13720223229452622
5,slavery,0.13558327558624264
6,party,0.12820886087434305
7,shall,0.12547254785903808
8,york,0.11935686059649152
9,douglass,0.11760273309740255
10,political,0.1161757236516724
11,colored,0.11509960972052814
12,slaveholding,0.11450310242230759
13,troy,0.10746679750164369
14,new,0.10688402225029169
15,convention,0.10402500501345763
16,mr,0.10386805101117573
17,free,0.10243033981374317
18,wheeler,0.1018321720451119
19,resolved,0.10101763356097246
20,right,0.10084183355779205
21,southern,0.0924391846792285
22,watkins,0.09092603246586
23,suffrage,0.08865662399081616
24,citizens,0.08473871344798001
25,frederick,0.08388090197955977
26,agitation,0.08265746170501728
27,north,0.0793673900650695
28,sebastopol,0.07579166343933161
29,ray,0.07522675825115059
30,whig,0.07483758125155976
31,constitution,0.07316452843838797
32,bell,0.07314294668160323
33,power,0.07265779682007409
34,association,0.07233511328663338
35,states,0.07135891658777264
36,williamsburgh,0.0713406156135991
37,speech,0.06764084285387625
38,700,0.06506721604971863
39,table,0.06345662314748146
40,kansas,0.06269395429851707
41,jane,0.06268218022724725
42,man,0.061250800095095134
43,gibbs,0.061192162743547295
44,ruffians,0.06061616822398614
45,institution,0.060469976613032855
46,september,0.05993180280245355
47,fugitive,0.05948773905639948
48,united,0.05935317200638613
49,democratic,0.05931173638207013
50,parties,0.0578680906293067
51,mathews,0.05716366730712829
52,clergymen,0.05716366730712829
53,rochester,0.056205713263965944
54,laid,0.05536862638328237
55,said,0.053282384334720996
56,slaveholders,0.052974864909467116
57,rights,0.052079806331828765
58,read,0.05122750592088314
59,slaveholder,0.05089026774324781
60,managers,0.05089026774324781
61,grand,0.04982942172311626
62,board,0.04934081082131958
63,putting,0.048953730194837834
64,peace,0.04894176640093877
65,people,0.04801154077544198
66,boat,0.04701163517043543
67,presumed,0.04701163517043543
68,interpretation,0.04701163517043543
69,incompatible,0.04701163517043543
70,hodges,0.04701163517043543
71,schenectady,0.04701163517043543
72,dr,0.04618143345705289
73,passed,0.04599401830321773
74,corpus,0.04546212616798961
75,resigned,0.04546212616798961
76,habeas,0.04546212616798961
77,myers,0.04427680818143688
78,congregations,0.04409536236437862
79,senatorial,0.04409536236437862
80,black,0.04373306899200642
81,wm,0.043700805344112977
82,sight,0.04361832127049269
83,mean,0.04324477438613909
84,writ,0.042872750480346215
85,1853,0.042872750480346215
86,liberty,0.04216097453685847
87,country,0.042113082542420036
88,slaves,0.04195008548651895
89,going,0.04194045098977989
90,question,0.0418619942966955
91,border,0.04176676350058929
92,legislature,0.04146187821535602
93,nicaragua,0.041032531501606045
94,simonds,0.041032531501606045
95,american,0.04098200473670651
96,principles,0.040846483830719045
97,uncle,0.040757076495079245
98,custody,0.040757076495079245
99,stricken,0.04069034879083974
100,anti,0.04058450571232575
101,unless,0.04058450571232575
102,heart,0.040255306425409774
103,non,0.04016582035363484
104,principle,0.03993071147549886
105,following,0.03986635199745208
106,provides,0.03982825448789
107,albany,0.03965849270426632
108,committee,0.03879512160314924
109,whipped,0.03816770080743586
110,cypher,0.037895831719665804
111,kane,0.037895831719665804
112,harbors,0.037895831719665804
113,passmore,0.037895831719665804
114,revolver,0.037895831719665804
115,master,0.03778078453116347
116,1856,0.03741879062577988
117,position,0.03719718386827688
118,adopted,0.036669757657378926
119,loguen,0.03605202682216888
120,discussion,0.03580705817894746
121,bowie,0.03567030780679955
122,whigs,0.03567030780679955
123,nation,0.03553875275601945
124,negro,0.034958404572099123
125,population,0.03438104426951487
126,let,0.03424187010331641
127,end,0.03409870153492929
128,fortress,0.03394405734837063
129,baneful,0.03394405734837063
130,platform,0.03389242078975436
131,declaration,0.03382042142693813
132,case,0.03382042142693813
133,philip,0.033723427958379563
134,peter,0.03355236079182391
135,support,0.03349715934588913
136,resolutions,0.033440129467849584
137,report,0.033440129467849584
138,soon,0.033275592896249054
139,secure,0.03325413973690013
140,action,0.03325413973690013
141,extension,0.033207606136077664
142,exercise,0.03274569306860274
143,000,0.03274569306860274
144,observation,0.03271374095286952
145,precious,0.03271374095286952
146,1854,0.03271374095286952
147,knife,0.032533608024859315
148,russian,0.032533608024859315
149,laws,0.0323067363321473
150,congress,0.0319771097940099
151,missouri,0.031784918945680266
152,person,0.03172755621760031
153,human,0.03172755621760031
154,favorable,0.03165544453796072
155,taken,0.03162073090264386
156,resolution,0.03162073090264386
157,justice,0.03162073090264386
158,nominate,0.031360728825974016
159,joseph,0.031360728825974016
160,1850,0.031346977149258534
161,relinquish,0.031341090113623626
162,officers,0.031174406366505026
163,policy,0.03107152214273174
164,law,0.030736503552529885
165,public,0.03052061212967815
166,demands,0.030508838058408348
167,mccune,0.03030808411199307
168,prisoner,0.03030808411199307
169,equal,0.030306710517827587
170,millions,0.030234988306516428
171,territory,0.030124365265226133
172,actual,0.030124365265226133
173,recommend,0.02983921514912288
174,men,0.0297668150840336
175,later,0.02974386952819974
176,robert,0.02970141449807157
177,issue,0.02970141449807157
178,john,0.029676586003193065
179,fact,0.029615627296682868
180,property,0.029615627296682868
181,censure,0.029396908242919077
182,winds,0.029396908242919077
183,poughkeepsie,0.029396908242919077
184,walls,0.029396908242919077
185,stephen,0.029375455083570153
186,religion,0.02918562983451858
187,rev,0.029063118728029635
188,baltimore,0.0290183782854692
189,provision,0.0290183782854692
190,favor,0.028746261439511082
191,corruption,0.028581833653564145
192,definition,0.028581833653564145
193,duffin,0.028581833653564145
194,scatter,0.028581833653564145
195,foner,0.028581833653564145
196,dixon,0.028581833653564145
197,great,0.0284654506626879
198,counties,0.02820294362110287
199,appointed,0.028075388361613357
200,dark,0.02800869127995916
201,soil,0.0279667236576793
202,point,0.0279667236576793
203,days,0.0279667236576793
204,dollars,0.0279667236576793
205,institutions,0.027734056009060738
206,opportunity,0.027734056009060738
207,greeley,0.027171384330052832
208,unfortunately,0.027171384330052832
209,woman,0.027079869272769907
210,quite,0.027079869272769907
211,smith,0.0270563371415505
212,district,0.0270563371415505
213,lewis,0.026836870950273182
214,regarded,0.026786079395926764
215,illegible,0.02655216965859333
216,antislavery,0.02655216965859333
217,land,0.02653929481466427
218,particular,0.02649954433663718
219,president,0.026396958833126743
220,life,0.026350609085536544
221,union,0.026350609085536544
222,speak,0.02619655445488219
223,carried,0.025988872047164022
224,election,0.025988872047164022
225,endorsed,0.02597886641881714
226,french,0.02597886641881714
227,imposition,0.02597886641881714
228,pierce,0.02597886641881714
229,rich,0.025946864631683456
230,idea,0.025680092416169836
231,judge,0.025680092416169836
232,binding,0.025445133871623907
233,lecturers,0.025445133871623907
234,regarding,0.025445133871623907
235,proves,0.025445133871623907
236,weeks,0.025445133871623907
237,means,0.02543384344139846
238,johnson,0.025382044974080243
239,formation,0.025164270593867933
240,save,0.025164270593867933
241,meetings,0.024990325138289384
242,safeguard,0.024945860417186588
243,noted,0.024945860417186588
244,democrats,0.024945860417186588
245,1852,0.024945860417186588
246,poured,0.024945860417186588
247,chain,0.024945860417186588
248,journals,0.024945860417186588
249,argued,0.024945860417186588
250,members,0.02473048833599422
251,followed,0.02467040541065979
252,capt,0.024476865097418917
253,imprisonment,0.024476865097418917
254,robbed,0.024476865097418917
255,signed,0.024431137546252098
256,relations,0.024431137546252098
257,philadelphia,0.024431137546252098
258,view,0.024235438494527865
259,james,0.024235438494527865
260,informed,0.02419670370828338
261,city,0.02405181751451725
262,brooklyn,0.02403468454811259
263,ear,0.02403468454811259
264,resist,0.02403468454811259
265,elective,0.02374158340347054
266,associations,0.02374158340347054
267,votes,0.02374158340347054
268,government,0.02372120888557325
269,republican,0.023692501837346294
270,species,0.023616417630004938
271,abolitionist,0.023616417630004938
272,realized,0.023616417630004938
273,class,0.02351567583194681
274,elected,0.023340847903268024
275,provided,0.023303641607048807
276,casting,0.023219609958757662
277,competent,0.023219609958757662
278,mason,0.023219609958757662
279,horace,0.023219609958757662
280,rivers,0.023219609958757662
281,islands,0.023219609958757662
282,living,0.023090716728526445
283,treasurer,0.023090716728526445
284,blacks,0.023090716728526445
285,occasion,0.023090716728526445
286,plan,0.023090716728526445
287,outraged,0.022842166636876902
288,accompanied,0.022842166636876902
289,consequences,0.022842166636876902
290,ticket,0.022842166636876902
291,hudson,0.022842166636876902
292,fellow,0.022827913402210936
293,accepted,0.022676241229887317
294,franchise,0.022676241229887317
295,consideration,0.02249516709246454
296,children,0.02249516709246454
297,servants,0.022482285305586377
298,odious,0.022482285305586377
299,oppression,0.022474426050920083
300,society,0.022331439563926084
301,regard,0.022169426491266752
302,organization,0.022169426491266752
303,lawrence,0.02213840409071844
304,wright,0.02213840409071844
305,thoughts,0.02213840409071844
306,syracuse,0.02213840409071844
307,asked,0.022081029723016402
308,say,0.02200909234075819
309,funds,0.021889222375888934
310,fair,0.021889222375888934
311,ground,0.021889222375888934
312,wrong,0.021889222375888934
313,thanks,0.021537824221431533
314,ready,0.02151486474019527
315,discrimination,0.021493359500328737
316,bringing,0.021493359500328737
317,asserted,0.021493359500328737
318,trades,0.021189945963786844
319,contended,0.021189945963786844
320,established,0.020975042743259474
321,god,0.02093099714834775
322,use,0.02093099714834775
323,statute,0.020897984766172353
324,van,0.020897984766172353
325,beings,0.020897984766172353
326,strong,0.020800542006795555
327,words,0.020800542006795555
328,motion,0.020782937577670017
329,including,0.020616642724010658
330,playfulness,0.020516265750803023
331,compensating,0.020516265750803023
332,bezzoni,0.020516265750803023
333,schemerhorn,0.020516265750803023
334,cayuga,0.020516265750803023
335,williamson4,0.020516265750803023
336,campaigner,0.020516265750803023
337,caucuses,0.020516265750803023
338,padlock,0.020516265750803023
339,unbribed,0.020516265750803023
340,staten,0.020516265750803023
341,hussen,0.020516265750803023
342,burrow,0.020516265750803023
343,tremor,0.020516265750803023
344,nervous,0.020516265750803023
345,schoharie,0.020516265750803023
346,diametrically,0.020516265750803023
347,plaited,0.020516265750803023
348,farlen,0.020516265750803023
349,nationalization,0.020516265750803023
350,totlebein,0.020516265750803023
351,saith,0.020516265750803023
352,throb,0.020516265750803023
353,bourman,0.020516265750803023
354,hornbeck,0.020516265750803023
355,retaliated,0.020516265750803023
356,molested,0.020516265750803023
357,chauncy,0.020516265750803023
358,cowper,0.020516265750803023
359,nonslaveholding,0.020516265750803023
360,nonentity,0.020516265750803023
361,chenango,0.020516265750803023
362,barbary,0.020516265750803023
363,etceteras,0.020516265750803023
364,terroristic,0.020516265750803023
365,dell,0.020516265750803023
366,dutchess,0.020516265750803023
367,russians,0.020516265750803023
368,rockland,0.020516265750803023
369,practlces,0.020516265750803023
370,rumored,0.020516265750803023
371,fester,0.020516265750803023
372,thumb,0.020516265750803023
373,malakhov,0.020516265750803023
374,stormed,0.020516265750803023
375,militias,0.020516265750803023
376,newit,0.020516265750803023
377,mire,0.020516265750803023
378,raided,0.020516265750803023
379,kerndey,0.020516265750803023
380,shuch,0.020516265750803023
381,sardinians,0.020516265750803023
382,inlet,0.020516265750803023
383,beseiging,0.020516265750803023
384,zee,0.020516265750803023
385,iverson,0.020516265750803023
386,paraphernalia,0.020516265750803023
387,paper,0.020459220920957574
388,measures,0.020459220920957574
389,force,0.020459220920957574
390,little,0.020459220920957574
391,prevail,0.02034517439541987
392,influential,0.02034517439541987
393,assert,0.02034517439541987
394,delegate,0.020292252856162873
395,session,0.01992315489100171
396,enactment,0.01982924635213316
397,injury,0.01982924635213316
398,reasonable,0.01982924635213316
399,candidates,0.01982924635213316
400,national,0.019784390668795376
401,secretary,0.0196468599226582
402,mechanical,0.0195836367223801
403,evident,0.0195836367223801
404,jas,0.0195836367223801
405,opposed,0.019491654035373018
406,kindness,0.019345585523646135
407,influences,0.019345585523646135
408,sea,0.019345585523646135
409,brought,0.019337955360587956
410,citizen,0.019186265876405942
411,word,0.019186265876405942
412,council,0.01911464140261243
413,jacob,0.01911464140261243
414,thompson,0.01911464140261243
415,day,0.019108645410199764
416,remarks,0.019036533730560183
417,demand,0.019036533730560183
418,unmagnanimous,0.018947915859832902
419,idly,0.018947915859832902
420,graphic,0.018947915859832902
421,349,0.018947915859832902
422,raff,0.018947915859832902
423,saratoga,0.018947915859832902
424,riff,0.018947915859832902
425,410,0.018947915859832902
426,conglomeration,0.018947915859832902
