,term,score
0,shall,0.29633309690706133
1,association,0.2673202612663304
2,cook,0.16890210775478812
3,convention,0.16235473505160636
4,douglass,0.1533919098720342
5,repeal,0.1488355845966751
6,ford,0.14123753815394716
7,illinois,0.13819263361755393
8,isbell,0.13730108916899775
9,state,0.1342676059180017
10,jones,0.12800349984116519
11,article,0.116317295089512
12,king,0.11370379025761614
13,robinson,0.11357381298786379
14,chicago,0.11320466345510026
15,county,0.11165611789794835
16,committee,0.10620037736816688
17,alton,0.10608580554475927
18,peoria,0.10339020183743147
19,richardson,0.10267809568682117
20,johnson,0.1011583725266574
21,resolved,0.10108539873653757
22,mr,0.09318554952705156
23,mason,0.09254013837459943
24,1856,0.09038180850270337
25,compromises,0.08608833962151437
26,president,0.08288740202269924
27,slavery,0.0825273581590348
28,madison,0.0810842756252847
29,overton,0.0775426513780736
30,members,0.0752652515410801
31,man,0.07511101477021073
32,laws,0.07413238502108001
33,dues,0.07072387036317285
34,time,0.07023140432892572
35,meeting,0.06954304234669438
36,barnes,0.06813149013606892
37,john,0.06809713234669153
38,fined,0.06588586823984782
39,report,0.06577124245310924
40,colored,0.06553163978525546
41,secretary,0.06406461157728462
42,meetings,0.06338003661958796
43,expelled,0.06213322225164365
44,treasurer,0.06135096225480389
45,motion,0.06023923658209763
46,magee,0.059466289677532945
47,macoupin,0.059466289677532945
48,men,0.05854643636565867
49,jackson,0.05833989825506073
50,people,0.057983833947002274
51,executive,0.05786947986718937
52,commissioners,0.057720994344077105
53,god,0.05687661232349929
54,monthly,0.05531202143450812
55,preamble,0.05477247281714003
56,cents,0.05470388067332148
57,louis,0.05451109197941599
58,order,0.053509641393467214
59,minutes,0.053495225293399035
60,right,0.053143551018129995
61,society,0.0525911437539688
62,committees,0.05178841978215974
63,spurning,0.051695100918715736
64,associations,0.051611142101438266
65,following,0.05135662849851901
66,rights,0.050317682683183956
67,let,0.04962494128797705
68,william,0.04962494128797705
69,officers,0.048944379722954325
70,ii,0.048478227688669266
71,great,0.048129060490693265
72,member,0.04792945201707297
73,petitions,0.046723793125213714
74,pay,0.04457935441116587
75,white,0.04438378145512452
76,means,0.044231917837387835
77,chair,0.043857852356923736
78,duty,0.04331037069912294
79,circulating,0.04260339289884805
80,lectures,0.04260339289884805
81,books,0.04254746274591671
82,frederick,0.04254746274591671
83,clock,0.0407513280838109
84,appointed,0.040688183644131
85,tax,0.04052298317128504
86,adopted,0.0398576632635975
87,session,0.0397011731408627
88,november,0.03924543019095054
89,constitution,0.03887895101210674
90,fund,0.03881965597519207
91,immunities,0.03840439578492531
92,fail,0.03840439578492531
93,money,0.03766430529611618
94,morning,0.037494400238431244
95,duties,0.037218705965982785
96,auxiliary,0.0372168072180972
97,read,0.03712066493423074
98,annual,0.037010048437571996
99,wagoner,0.03689500269493473
100,15th,0.03638138174876424
101,13th,0.03638138174876424
102,rules,0.03621716378262169
103,present,0.036038898244356236
104,gentlemen,0.035883697382937604
105,appoint,0.03566348352893269
106,saturday,0.03547691830283019
107,addresses,0.035406762617612664
108,vi,0.034832204140030854
109,vii,0.034832204140030854
110,proceedings,0.03461580365574207
111,recommend,0.03459552402685208
112,government,0.03437790035049519
113,declaration,0.03430991052205195
114,anti,0.03430991052205195
115,thomas,0.0340800321064952
116,memorials,0.03406574506803446
117,initiation,0.03406574506803446
118,sentiment,0.03403160731545209
119,received,0.03388457057742991
120,subject,0.03388457057742991
121,plan,0.033464161229893034
122,agent,0.03316114072139154
123,iv,0.03310395065529491
124,imposed,0.03306855392098732
125,truth,0.03295626713410166
126,school,0.03243992030544127
127,doctrine,0.03234971331266005
128,quorum,0.03234971331266005
129,moved,0.03193681460911895
130,main,0.03166595237059714
131,successors,0.0316068693911475
132,thirds,0.0316068693911475
133,power,0.03158973698367654
134,vacancies,0.031149195416809137
135,iii,0.031149195416809137
136,14th,0.031149195416809137
137,viii,0.031066611125821826
138,chairman,0.03076960324954851
139,evening,0.030271083523495567
140,ix,0.030265186747274395
141,follows,0.029820028093183296
142,constituting,0.029533543612473526
143,sectional,0.029533543612473526
144,unless,0.029408494733187386
145,speech,0.029408494733187386
146,knowledge,0.029408494733187386
147,political,0.029281280988081845
148,constitutional,0.029222508322489925
149,deem,0.029169949127530365
150,cause,0.02907650412222298
151,agents,0.028672856723021257
152,operations,0.02838153464226415
153,carried,0.028248228972087133
154,township,0.028237353498921567
155,action,0.028112860778647934
156,education,0.028112860778647934
157,hill,0.028036539560948148
158,lecturers,0.027657220618371444
159,hour,0.027588647052724742
160,conceptions,0.02746021783379955
161,messrs,0.027162872836966268
162,black,0.027162872836966268
163,springfield,0.02711454255081101
164,majority,0.026953961042018942
165,justice,0.02673198623143763
166,question,0.02654241908429967
167,officer,0.026454843136789856
168,reported,0.026354666004667716
169,eternal,0.026163620127300356
170,arrangement,0.026124153105023137
171,held,0.02603143825545334
172,ordered,0.025983634858179838
173,discussion,0.025946643020139055
174,citizens,0.025854181119176787
175,rapacious,0.025847550459357868
176,joliet,0.025847550459357868
177,disorganized,0.025847550459357868
178,vote,0.02580195207180957
179,public,0.02580195207180957
180,property,0.025752222551574187
181,recorded,0.02566952392170529
182,corrected,0.02560293052328354
183,place,0.025088417180360038
184,month,0.025068950772243238
185,manner,0.02499626682562083
186,business,0.024914015613388463
187,like,0.024812470643988525
188,second,0.024812470643988525
189,affairs,0.024811204812064797
190,freedom,0.024630661487020457
191,wilkerson,0.024596668463289822
192,accession,0.024596668463289822
193,inequality,0.024596668463289822
194,samuels,0.024596668463289822
195,rollins,0.024596668463289822
196,installed,0.024596668463289822
197,said,0.024569795431748424
198,universe,0.024436795178161493
199,goes,0.024436795178161493
200,organization,0.02409673781026966
201,regular,0.024071719992341555
202,come,0.023749979479386858
203,necessary,0.023749979479386858
204,motions,0.023705152043360624
205,just,0.023579245188295656
206,israelites,0.023574623454390948
207,delivering,0.023574623454390948
208,parent,0.023361896562606857
209,thorough,0.023361896562606857
210,asking,0.023155990383591455
211,heaven,0.023155990383591455
212,directed,0.023155990383591455
213,called,0.023091435924311336
214,surely,0.023032105602925654
215,located,0.023032105602925654
216,liberty,0.02291313105551797
217,bradford,0.022710496712022975
218,brethren,0.022461634201682453
219,morgan,0.022408961929808673
220,quarter,0.022408961929808673
221,leaving,0.022113893352350374
222,getting,0.022113893352350374
223,petitioned,0.02196195607994927
224,hand,0.02195196642207564
225,papers,0.021908989126856012
226,legislature,0.02146018545964515
227,consisting,0.021333916640194194
228,movement,0.021333916640194194
229,dividing,0.021301696449424024
230,sickness,0.021301696449424024
231,option,0.021301696449424024
232,fly,0.021301696449424024
233,mid,0.021301696449424024
234,debates,0.021301696449424024
235,commonwealth,0.021286150981698112
236,eloquence,0.021286150981698112
237,wrong,0.021148599107184
238,allowed,0.021148599107184
239,proper,0.02114166449065918
240,principles,0.02114166449065918
241,sir,0.02102740467071111
242,trust,0.02078690788654387
243,walks,0.020711074083881217
244,cursed,0.020711074083881217
245,1853,0.020711074083881217
246,superintend,0.020711074083881217
247,able,0.020677058869990435
248,central,0.02061034588344695
249,obtain,0.02061034588344695
250,deliberations,0.02026535080213095
251,dollars,0.02026535080213095
252,previous,0.02026535080213095
253,especially,0.02026535080213095
254,absence,0.02026535080213095
255,depriving,0.020176791164849595
256,cary,0.020176791164849595
257,stated,0.019766981844875704
258,hall,0.019766981844875704
259,little,0.019766981844875704
260,effort,0.019766981844875704
261,shore,0.01968902907498235
262,salary,0.01968902907498235
263,successive,0.01968902907498235
264,paying,0.01962271509547527
265,enterprise,0.01962271509547527
266,abolition,0.01962271509547527
267,case,0.019605663155458256
268,believe,0.019508522373968423
269,object,0.019508522373968423
270,condition,0.019369075259702256
271,old,0.019289826622396457
272,blood,0.019289826622396457
273,bounds,0.019240331448025703
274,blighting,0.019240331448025703
275,termination,0.019240331448025703
276,resignation,0.019240331448025703
277,life,0.019094275879598305
278,election,0.01883215264805809
279,preclude,0.018824902332614378
280,oh,0.018824902332614378
281,nov,0.018824902332614378
282,egypt,0.018824902332614378
283,bills,0.018824902332614378
284,heavenly,0.018824902332614378
285,impolitic,0.018824902332614378
286,agreed,0.01880171307918243
287,rising,0.0186084036090486
288,letter,0.01853709731739501
289,saving,0.018438147078914297
290,slaveholder,0.018438147078914297
291,augustus,0.018438147078914297
292,access,0.018438147078914297
293,severally,0.018438147078914297
294,devising,0.018438147078914297
295,displayed,0.018438147078914297
296,inclusive,0.018438147078914297
297,eloquent,0.01841943854180816
298,opening,0.01841943854180816
299,glory,0.01841943854180816
300,vice,0.01830080061755115
301,opinion,0.01824960834806797
302,harmony,0.01823462689110716
303,spring,0.018076361700540673
304,ancestors,0.018076361700540673
305,grand,0.018053789994256164
306,adjourned,0.018045987791301225
307,forth,0.017969307361345964
308,united,0.017920297985971455
309,discharge,0.017876760474247726
310,friday,0.017876760474247726
311,mistakes,0.017736516576171247
312,north,0.017695843670450535
313,thought,0.017695843670450535
314,corresponding,0.017533504993493952
315,organize,0.017533504993493952
