,term,score
0,taney,0.22824551093358975
1,watkins,0.18919442871136385
2,dred,0.17840563079351546
3,garnet,0.17503567472999262
4,party,0.1630265446670132
5,smith,0.1477809356457317
6,1858,0.14714834143676941
7,republican,0.14378640435381262
8,duffin,0.13876724776804214
9,mr,0.13207550041525795
10,troy,0.130440124105622
11,york,0.11589755400555714
12,court,0.1100950912854841
13,convention,0.10683756333935754
14,slavery,0.10532294449419388
15,scott,0.1049785397719948
16,morgan,0.10009556432609198
17,colored,0.0997890094262085
18,symonds,0.09960822553320199
19,gerrit,0.09668479156515682
20,constitution,0.09472534541767763
21,resolved,0.09341890547018988
22,new,0.09024888221158076
23,state,0.08800559428489756
24,rights,0.08428397184679731
25,roger,0.08240065129142972
26,defeat,0.08186506400901641
27,republicans,0.0782640744633732
28,hodges,0.07608183697786325
29,gubernatorial,0.07608183697786325
30,radical,0.07507167324456898
31,albany,0.0722045156799329
32,trample,0.07136225231740619
33,poughkeepsie,0.07136225231740619
34,people,0.0679875403068639
35,townsend,0.06759373674675291
36,enemy,0.06722048355390214
37,1857,0.06445652771010454
38,fetters,0.06306480957045461
39,judge,0.06233952289790346
40,democratic,0.061706476002337904
41,supreme,0.06108734335814526
42,1864,0.060557143310976086
43,majority,0.0601985033884035
44,brooklyn,0.058345224909997544
45,abolitionist,0.057329864073430256
46,decisions,0.05636659647661244
47,blacks,0.05605370264635799
48,obliged,0.054576709339344276
49,rochester,0.054576709339344276
50,syracuse,0.053741922979505474
51,candidate,0.053741922979505474
52,qualification,0.053741922979505474
53,men,0.05161444071306977
54,missouri,0.0514395003026959
55,divided,0.050730752005803965
56,likely,0.05004778216304599
57,forging,0.049804112766600996
58,venal,0.049804112766600996
59,eaten,0.049804112766600996
60,prohibitionist,0.049804112766600996
61,satiate,0.049804112766600996
62,dietz,0.049804112766600996
63,compacts,0.049804112766600996
64,longtime,0.049804112766600996
65,speechfying,0.049804112766600996
66,033,0.049804112766600996
67,mowers,0.049804112766600996
68,decision1,0.049804112766600996
69,tenets,0.049804112766600996
70,scoundrels,0.049804112766600996
71,wolfish,0.049804112766600996
72,extensionist,0.049804112766600996
73,taney2,0.049804112766600996
74,sippens,0.049804112766600996
75,paper,0.049665634001854884
76,political,0.04904722417319174
77,recess,0.04813634378662193
78,thompson,0.046401609701881945
79,207,0.0459968763145042
80,abounds,0.0459968763145042
81,deyo,0.0459968763145042
82,pet,0.0459968763145042
83,impudently,0.0459968763145042
84,impudent,0.0459968763145042
85,appetite,0.0459968763145042
86,authoritatively,0.0459968763145042
87,relish,0.0459968763145042
88,palatable,0.0459968763145042
89,demerits,0.0459968763145042
90,1774,0.0459968763145042
91,forbade,0.0459968763145042
92,black,0.045498812492692754
93,points,0.04334956906920381
94,states,0.043306705662320616
95,citizens,0.043306705662320616
96,riveted,0.04329559906289667
97,levere,0.04329559906289667
98,latitude,0.04329559906289667
99,mcintyre,0.04329559906289667
100,tearing,0.04329559906289667
101,concurring,0.04329559906289667
102,mouthpiece,0.04329559906289667
103,parchment,0.04329559906289667
104,dicta,0.04329559906289667
105,consolidate,0.04329559906289667
106,noting,0.04329559906289667
107,dilemma,0.04329559906289667
108,bondage,0.04288585165987995
109,voters,0.04288585165987995
110,rich,0.04199141590879792
111,committee,0.041856363240666834
112,act,0.041561802247032306
113,205,0.04120032564571486
114,ordinances,0.04120032564571486
115,edict,0.04120032564571486
116,annihilated,0.04120032564571486
117,confederates,0.04120032564571486
118,blasting,0.04120032564571486
119,benefactor,0.04120032564571486
120,meantime,0.04120032564571486
121,blast,0.04120032564571486
122,1836,0.04120032564571486
123,analysis,0.04120032564571486
124,chief,0.04072489557209683
125,decide,0.040321017621436354
126,decision,0.03992564299937386
127,appreciating,0.03948836261079988
128,hammer,0.03948836261079988
129,misrepresent,0.03948836261079988
130,devolving,0.03948836261079988
131,inveterate,0.03948836261079988
132,sued,0.03948836261079988
133,lamb,0.03948836261079988
134,contrast,0.03948836261079988
135,comparative,0.03948836261079988
136,sue,0.03948836261079988
137,tuesday,0.03878713679768837
138,elective,0.03842247289528727
139,votes,0.03842247289528727
140,liberty,0.03838033847792158
141,justice,0.03838033847792158
142,1827,0.038040918488931624
143,consolidated,0.038040918488931624
