,term,score
0,kagi,0.40429223708053763
1,mr,0.31189596235170713
2,whipple,0.2811667330834394
3,delany,0.2457907749018227
4,convention,0.24441236744713207
5,kinnard,0.2425753422483226
6,brown,0.21257521443128255
7,realf,0.20214611854026882
8,munroe,0.16027630622981284
9,1858,0.11944983825122439
10,motion,0.11262549519590033
11,owen,0.10974042714120501
12,chatham,0.10708751669335495
13,ellsworth,0.10543752490628978
14,john,0.09746748823490849
15,election,0.08962363744381184
16,secretary,0.08711095066710288
17,ferry,0.08689404256948563
18,reynolds,0.08230532035590377
19,richard,0.08102557514045537
20,anderson,0.08102557514045537
21,leeman,0.08085844741610754
22,provisional,0.0803156375200162
23,plan,0.07583736757425878
24,nominated,0.07533438324030259
25,moffit,0.07467728663717281
26,parsons,0.07467728663717281
27,schedule,0.07029168327085986
28,osborn,0.07029168327085986
29,thomas,0.06950976340457855
30,president,0.06935690713826227
31,elected,0.06899299118651347
32,harper,0.06751894395568495
33,cook,0.0626351605212058
34,went,0.062380019071112396
35,moved,0.06203661793003722
36,chosen,0.06122934528712074
37,read,0.0605691597692422
38,specially,0.059724919125612196
39,canada,0.05788708625267531
40,saturday,0.05788708625267531
41,constitution,0.057671023053775194
42,reading,0.05465255560350315
43,articles,0.054567219781631156
44,adopted,0.054195894625424075
45,carried,0.05121350711074962
46,offices,0.05060502792016078
47,adjourned,0.04907555399226262
48,james,0.047758202026589265
49,loguen,0.04736259756774275
50,richardson,0.04653836342068844
51,project,0.04653836342068844
52,clock,0.04432883419321575
53,named,0.04351273770866772
54,taken,0.041541075067071914
55,alfred,0.04118143678880803
56,bell,0.04118143678880803
57,officers,0.040954725525781936
58,west,0.04065064121235544
59,dettin,0.04042922370805377
60,tidd,0.04042922370805377
61,holler,0.04042922370805377
62,fislin,0.04042922370805377
63,parole,0.04042922370805377
64,secrecy,0.04042922370805377
65,gill,0.04042922370805377
66,caunel,0.04042922370805377
67,forfeiting,0.04042922370805377
68,hunton,0.04042922370805377
69,vanvanken,0.04042922370805377
70,divulge,0.04042922370805377
71,hickerson,0.04042922370805377
72,grill,0.04042922370805377
73,buel,0.04042922370805377
74,smith,0.03998778531273854
75,jackson,0.039663426294949525
76,taylor,0.03957525595102614
77,nomination,0.03957525595102614
78,members,0.03898699529396339
79,stewart,0.037667191620151294
80,balloting,0.037338643318586405
81,seconding,0.037338643318586405
82,osborne,0.037338643318586405
83,aiken,0.037338643318586405
84,messrs,0.036934332659198314
85,charles,0.03665026779693846
86,order,0.03637948952533287
