,term,score
0,colored,0.22548733115252276
1,convention,0.17277248915878754
2,new,0.1572864894784141
3,mr,0.14431489749988782
4,civilization,0.13705648711565005
5,people,0.13074674855259596
6,society,0.12705735461872295
7,africa,0.12488026434133784
8,england,0.1235288485036574
9,committee,0.11822544002037305
10,downing,0.11517343482304332
11,resolved,0.11509069842661063
12,1859,0.11496094194340023
13,island,0.11462756079110217
14,rhode,0.11429310287084565
15,boston,0.11405442748694637
16,slave,0.10937338241635192
17,men,0.10918562869385977
18,slavery,0.10443799513409872
19,man,0.10172989844151263
20,african,0.08788507611595794
21,state,0.08697232415356698
22,bedford,0.08664213095424181
23,massachusetts,0.08235256566910493
24,rights,0.08104319721178928
25,black,0.08020714710532474
26,smith,0.07499651533045393
27,latimer,0.07183366738290249
28,nell,0.07135144163192667
29,states,0.07027008879059682
30,wells,0.07012726537944368
31,country,0.06826419981799509
32,party,0.06769098298757545
33,president,0.06675049118213301
34,said,0.06501256107805789
35,remond,0.06342350367282369
36,white,0.06323750443661597
37,free,0.06261962646611854
38,john,0.060612256949952883
39,movement,0.06013185151629924
40,school,0.059712830699567974
41,freedom,0.059506343989978575
42,rev,0.059359294897357195
43,time,0.05925168111670836
44,brown,0.059246823904250616
45,business,0.05732467829610865
46,american,0.05679829332458217
47,colonization,0.05647999777527543
48,children,0.055790034060848925
49,land,0.05575327107133314
50,york,0.055720608081388595
51,worcester,0.05486732990265281
52,power,0.05370602871665651
53,great,0.052601591901714324
54,fugitive,0.05207115311141649
55,shall,0.05152488448430806
56,dred,0.05146374477833278
57,canada,0.05142618777035429
58,come,0.05100325685618672
59,city,0.0505276236994876
60,community,0.048959484292864036
61,bouquet,0.04788911158860165
62,boy,0.04756762775461777
63,conventions,0.04736622020870774
64,lewis,0.046982011367354866
65,william,0.046624343939603026
66,slaves,0.04487999067744411
67,wm,0.04462784974916338
68,remarks,0.04443511792818795
69,citizens,0.04424412997926466
70,dawes,0.04422826590396728
71,master,0.04409399420669392
72,following,0.04394316989022532
73,wealth,0.04341903519131543
74,anti,0.04341903519131543
75,henry,0.042752199781626594
76,character,0.04210725814219341
77,garnet,0.0420763592276662
78,day,0.04181572609285603
79,did,0.04174110738018621
80,fact,0.04147731651375508
81,providence,0.04117628283455246
82,hoped,0.04117628283455246
83,gloucester,0.04062169545271185
84,united,0.0404081712999686
85,maine,0.03998867582503469
86,life,0.039979971417023946
87,present,0.03957637547667975
88,martin,0.03951194387657544
89,say,0.038530252966325736
90,elevate,0.03839047553771284
91,sella,0.037970008870189566
92,settled,0.037704223295891265
93,native,0.03766503262112483
94,elevation,0.037320519187229985
95,emigration,0.03728285636007705
96,called,0.037191772270203885
97,admission,0.036872435267220637
98,question,0.03664288388075795
99,let,0.03663341309540238
100,years,0.03663341309540238
101,regarded,0.036472405706259786
102,rescuers,0.035916833691451246
103,darley,0.035916833691451246
104,means,0.03562063919876301
105,submitted,0.035524665156530806
106,equal,0.03537099439782031
107,moral,0.03508938178516117
108,respect,0.03508938178516117
109,ago,0.034966474015574595
110,discussion,0.03482538005086787
111,presented,0.03482538005086787
112,learning,0.034611395619150456
113,oberlin,0.034453432977991465
114,spoke,0.034361058009313855
115,underground,0.034309163185555186
116,ladies,0.03426412177891251
117,justice,0.03382920658363565
118,liberty,0.03382920658363565
119,race,0.03358931022402812
120,connecticut,0.03346307776806251
121,resolutions,0.03345258087428483
122,laughter,0.033357888756846726
123,garrison,0.03332389652086224
124,waugh,0.03317119942797546
125,calendar,0.03317119942797546
126,ezra,0.03317119942797546
127,read,0.03288322245107389
128,charles,0.032559654934644765
129,long,0.03219666036575132
130,right,0.032097985161708795
131,session,0.03197196127505302
132,harrison,0.03181686850329267
133,cotton,0.03181686850329267
134,march,0.031730656008389424
135,george,0.03158044360664505
136,1770,0.03122314091611795
137,intimidated,0.03122314091611795
138,lenox,0.03122314091611795
139,burns,0.030989065728252455
140,1840,0.030989065728252455
141,sleep,0.030319962901324164
142,scott,0.030282613581187293
143,fellow,0.029972792532601943
144,idea,0.02997126344192108
145,civilize,0.029712109342968335
146,depicted,0.029712109342968335
147,vote,0.029683865998969175
148,applause,0.02966691053070039
149,work,0.029535900385155318
150,urged,0.02936924723906787
151,element,0.0292984825480433
152,position,0.02894191549746201
153,set,0.02894191549746201
154,decision,0.02879285665328463
155,mars,0.028477506652642173
156,james,0.028285206298268722
157,took,0.028285206298268722
158,self,0.028088307586961934
159,condition,0.028076782000653912
160,escaped,0.02805090615177747
161,length,0.027971809241110954
162,struggle,0.027971809241110954
163,make,0.027877150728570686
164,efforts,0.027860304040694298
165,paper,0.027857641830802356
166,went,0.027708827491045543
167,resolution,0.02767844175024735
168,taken,0.02767844175024735
169,republican,0.027651544342503383
170,abolitionists,0.027562746382393172
171,persons,0.02748216291056846
172,representative,0.02745085522303498
173,influence,0.02744517052167268
174,oregon,0.027433664951326407
175,tyler,0.027433664951326407
176,bondman,0.027433664951326407
177,crispus,0.027433664951326407
178,known,0.027241128658328843
179,blacks,0.026949200295621836
180,hon,0.02670517325065311
181,thirteen,0.02665911721668979
182,missionary,0.02665911721668979
183,speaker,0.026630611685769322
184,vessel,0.02652944814078467
185,political,0.02652824579836523
186,felt,0.026465465495971622
187,millions,0.026465465495971622
188,cause,0.0263427221174329
189,stand,0.02633090655096606
190,apart,0.026239099328391767
191,church,0.026063047101276503
192,johnson,0.025920485458109644
193,action,0.025873961470157417
194,women,0.025773038882060444
195,floor,0.025773038882060444
196,fields,0.025773038882060444
197,figures,0.02573187238916639
198,home,0.025520455897148783
199,1854,0.025453494802634133
200,joy,0.025453494802634133
201,brethren,0.025324176060279258
202,color,0.0253183018506906
203,eli,0.025018416567635045
204,beman,0.025018416567635045
205,government,0.024916543532390995
206,behalf,0.02456256724961282
207,negro,0.024479994914969515
208,soil,0.024479994914969515
209,commercial,0.024390060467143097
210,plantation,0.02437301727162711
211,presidential,0.02437301727162711
212,newport,0.02437301727162711
213,hayden,0.02437301727162711
214,subject,0.024255788769869734
215,motion,0.024255788769869734
216,west,0.02407569221739594
217,reference,0.02407569221739594
218,followed,0.023994047211070527
219,republications,0.023944555794300826
220,sleepy,0.023944555794300826
221,buckskin,0.023944555794300826
222,garlic,0.023944555794300826
223,comins,0.023944555794300826
224,onions,0.023944555794300826
225,linus,0.023944555794300826
226,em,0.023944555794300826
227,ho,0.023944555794300826
228,meionaon,0.023944555794300826
229,encircle,0.023944555794300826
230,bannister,0.023944555794300826
231,pro,0.023877978712116308
232,little,0.023877978712116308
233,hope,0.023835987576037738
234,congressman,0.023783813877308886
235,martyr,0.023783813877308886
236,august,0.023761339059780496
237,public,0.023747092799175338
238,speech,0.02368311010435387
239,basis,0.023533332406364765
240,social,0.023491005683677433
241,leave,0.023484854821706196
242,expenses,0.023301588126333067
243,inducements,0.02324179929618934
244,famous,0.02324179929618934
245,true,0.023141355996102782
246,know,0.023141355996102782
247,place,0.023090383599982053
248,clock,0.02297236696623191
249,douglass,0.02287571268586248
250,blow,0.0228560834534908
251,constitution,0.022770773260406742
252,equality,0.02274873036068615
253,independence,0.02274873036068615
254,styled,0.022739972175993124
255,concord,0.022739972175993124
256,americans,0.02266475429170673
257,labored,0.02257825364375739
258,looked,0.02257825364375739
259,citizenship,0.02239231151233799
260,congress,0.02239231151233799
261,necessary,0.02231392487458169
262,confident,0.022272782304159265
263,1860,0.022272782304159265
264,relation,0.022254311042210928
265,mammon,0.02211413295198364
266,bela,0.02211413295198364
267,lawton,0.02211413295198364
268,tippecanoe,0.02211413295198364
269,evangelizing,0.02211413295198364
270,1903,0.02211413295198364
271,flung,0.02211413295198364
272,thayer,0.02211413295198364
273,railroad,0.02204699710334696
274,raised,0.021858272319857586
275,noted,0.021835755365451383
276,1852,0.021835755365451383
277,springfield,0.021835755365451383
278,columns,0.021835755365451383
279,jefferson,0.021792649117999757
280,told,0.021792649117999757
281,whites,0.021665345476883806
282,order,0.02154606586062122
283,agricultural,0.02154527045479501
284,gray,0.02142523165936454
285,english,0.02142523165936454
286,adopted,0.02139865677447253
287,thought,0.021376099890813297
288,north,0.021376099890813297
289,feel,0.021213904723701542
290,progress,0.021213904723701542
291,account,0.021213904723701542
292,journal,0.021069963009840365
293,schools,0.021053629071096706
294,brooklyn,0.0210381796138331
295,1855,0.0210381796138331
296,law,0.02092568701431975
297,austrian,0.020815427277411966
298,remington,0.020815427277411966
299,1817,0.020815427277411966
300,sheet,0.020815427277411966
301,curiosity,0.020815427277411966
302,1775,0.020815427277411966
303,despots,0.020815427277411966
304,jails,0.020815427277411966
305,weep,0.020815427277411966
306,pittsfield,0.020815427277411966
307,journeymen,0.020815427277411966
308,tune,0.020815427277411966
309,civilizing,0.020815427277411966
310,having,0.02077870619927842
311,central,0.020747283024641357
312,pulpit,0.02067205978679488
313,project,0.02067205978679488
314,fee,0.02067205978679488
315,generation,0.02067205978679488
316,realized,0.02067205978679488
317,develop,0.02067205978679488
318,town,0.020618431105648354
319,needed,0.020618431105648354
320,best,0.020488783869114475
321,duty,0.020345793538670106
322,adjourned,0.020345793538670106
323,india,0.020324723792301765
324,denounce,0.020324723792301765
325,played,0.020324723792301765
326,hymn,0.020324723792301765
327,decided,0.020230279098342567
328,given,0.020129875561462455
329,mind,0.020063076847829955
330,wealthy,0.019994337912517344
331,exhibited,0.019994337912517344
332,attempted,0.019994337912517344
333,undertaking,0.019994337912517344
334,denial,0.019994337912517344
335,act,0.019981861688401298
336,hall,0.019898315593430256
337,effort,0.019898315593430256
338,live,0.019898315593430256
339,dressed,0.019808072895312223
340,sleeping,0.019808072895312223
341,buren,0.019808072895312223
342,providential,0.019808072895312223
343,1819,0.019808072895312223
344,revolution,0.01977794035380026
345,honorable,0.019735925086961557
346,case,0.019735925086961557
347,consideration,0.01969060025677021
348,spirit,0.01954728532595738
349,importance,0.019417990105277554
350,principle,0.019417990105277554
351,old,0.019417990105277554
352,audience,0.019385323871624515
353,good,0.01937953385852633
354,arrested,0.019378316394867222
355,loud,0.019378316394867222
356,emigrate,0.019378316394867222
357,endorse,0.019378316394867222
358,simply,0.01919523776885642
359,5th,0.01919523776885642
360,appointed,0.019113975949038624
361,various,0.01910876677627162
362,speak,0.01910876677627162
363,sung,0.0190901211019756
364,cities,0.019009071247824395
365,captivity,0.018985004435094783
366,altars,0.018985004435094783
367,evangelical,0.018985004435094783
368,pew,0.018985004435094783
369,election,0.01895727530057179
370,money,0.01895727530057179
371,earnestly,0.01895727530057179
372,speaking,0.01882666592509181
373,attempt,0.01882666592509181
374,remembered,0.018813692219152144
375,orders,0.018813692219152144
376,announced,0.018647872827407302
377,acted,0.018548106520856058
378,trades,0.018548106520856058
379,look,0.018514632470078316
380,union,0.0184522945001649
381,opinion,0.018370860519634345
382,held,0.018343075562874976
383,exercised,0.018292545350357323
384,deal,0.018292545350357323
385,resulted,0.018292545350357323
386,van,0.018292545350357323
387,stimulate,0.018289109967550937
388,artist,0.018289109967550937
389,ellen,0.018289109967550937
390,honorably,0.018289109967550937
391,stealing,0.018289109967550937
392,realization,0.018289109967550937
393,attucks,0.018289109967550937
394,proportionate,0.018289109967550937
395,neat,0.018289109967550937
396,policy,0.018131803433365387
397,forth,0.018088697185913754
398,professions,0.01804627940065984
399,britain,0.01804627940065984
400,knows,0.01804627940065984
401,path,0.01804627940065984
402,plan,0.017966133530414558
403,event,0.017808656167247836
404,remarked,0.017808656167247836
405,organ,0.017808656167247836
406,injustice,0.01780344883376874
407,trembled,0.017686298760523113
408,complained,0.017686298760523113
