,term,score
0,kansas,0.41750159760794714
1,twine,0.17095488800087832
2,leavenworth,0.16091515080545776
3,menser,0.15866151671035328
4,black,0.1449460736795146
5,men,0.13702391550924303
6,wodson,0.13221793059196105
7,muster,0.10937694688227438
8,population,0.10635363562052742
9,colored,0.10596631956068421
10,morris,0.10096605112639408
11,1863,0.10045313310156989
12,nation,0.09924675576901261
13,atchison,0.09768850742907333
14,burnham,0.09766085627297867
15,whilst,0.09464530699304258
16,war,0.09442826890488676
17,right,0.08861991867192479
18,liberty,0.08830515180645489
19,hateful,0.08750155750581949
20,newton,0.08555828257509426
21,soldiers,0.08479437703740304
22,brutal,0.08386567770148037
23,state,0.0830697486916016
24,john,0.08287586520937017
25,committee,0.07778299814324477
26,appears,0.07609849435959223
27,barney,0.073266380571805
28,freedom,0.07301873848381579
29,regiment,0.07244401281861777
30,people,0.07219622144490276
31,corrupted,0.0689636360594819
32,disprove,0.0689636360594819
33,overton,0.0689636360594819
34,seceded,0.0689636360594819
35,government,0.06726382094858782
36,rights,0.06712609694632164
37,blunt,0.06562616812936463
38,13th,0.0647125762576726
39,reproach,0.06309687132869506
40,slavery,0.06291158948619803
41,henderson,0.06087879548767379
42,resolved,0.055801058918501026
43,scott,0.055738550550094704
44,mathews,0.0552590458336699
45,good,0.05503403532157185
46,white,0.05465538507638883
47,justice,0.05434163188089532
48,inclusion,0.05288717223678442
49,lilburn,0.05288717223678442
50,betrothed,0.05288717223678442
51,convention,0.051568729603501964
52,voter,0.051334969545056564
53,wm,0.04928554107491762
54,wyandotte,0.04884425371453666
55,imperfections,0.04884425371453666
56,mutilation,0.04884425371453666
57,paymaster,0.04884425371453666
58,man,0.04858256451234562
59,country,0.04824880310190435
60,prior,0.048229391468092485
61,hand,0.04685588835204777
62,broadest,0.04597575737298794
63,allowances,0.04597575737298794
64,vote,0.04589465025199339
65,ignorant,0.04554064508460173
66,suffrage,0.04395010093534992
67,drake,0.043750778752909746
68,lynn,0.043750778752909746
69,lewis,0.043237833625616694
70,acquired,0.0428015606402763
71,montgomery,0.0428015606402763
72,vindicate,0.0428015606402763
73,gentlemen,0.042551554149982615
74,necessary,0.042244749492786525
75,just,0.041941059657465356
76,weighty,0.04193283885074019
77,alien,0.04193283885074019
78,enlistment,0.04193283885074019
79,grant,0.040800966604889514
80,disturbing,0.04039579256431977
81,states,0.04023910757312926
82,courage,0.0393345975642231
83,text,0.03906434250919147
84,devolve,0.03906434250919147
85,caused,0.03833712162421108
86,seek,0.03828240098162488
87,slain,0.03788992032849243
88,turner,0.037862269172397774
89,power,0.03745969623753914
90,soldier,0.03740202990779902
91,er,0.03683936388911327
92,anticipate,0.03683936388911327
93,sober,0.03683936388911327
94,disloyal,0.03683936388911327
95,rolls,0.03683936388911327
96,duties,0.03677886008147811
97,great,0.036689356881047894
98,ask,0.036509369241907896
99,appointed,0.03618660232642827
100,counsel,0.036100635901349216
101,shall,0.03593835864571878
102,practices,0.035889019991243575
103,border,0.035889019991243575
104,heritage,0.035889019991243575
105,ways,0.03529197432006063
106,prove,0.035160080748279934
107,volunteers,0.03502142398694371
108,corrupt,0.03502142398694371
109,recognizes,0.03502142398694371
110,arrival,0.03502142398694371
111,paths,0.03502142398694371
112,benjamin,0.03490346946599022
113,knowledge,0.0348731387057043
114,citizens,0.034490663634110796
115,blood,0.03431135147420601
116,misfortune,0.034223313030037714
117,union,0.03396351992555957
118,original,0.0337950664717186
119,sleep,0.033484377700523295
120,prize,0.033484377700523295
121,aforesaid,0.033484377700523295
122,motion,0.03348412707651098
123,elevation,0.032972450909964916
124,warrant,0.03279644536686552
125,offspring,0.03279644536686552
126,prejudices,0.03243443834458158
127,cause,0.032324491949439885
128,slave,0.032210238595447686
129,discharge,0.03179789138902614
