,term,score
0,poughkeepsie,0.28884000994743153
1,colored,0.188485651517626
2,men,0.16712830758406827
3,human,0.13300900103221647
4,resolved,0.11973632592204009
5,fremont,0.11682648139509304
6,committee,0.1129429260072897
7,july,0.10761420583938609
8,manifesto,0.10751095962568989
9,central,0.1024707394634347
10,1863,0.10210238400348222
11,york,0.1016377810261177
12,country,0.0919517951415828
13,randolph,0.091257928433049
14,convention,0.08910616442676751
15,soldiers,0.08618654071103012
16,new,0.0852329302605525
17,rebellion,0.08464590580225725
18,state,0.08443359722196778
19,troops,0.08328092399907386
20,union,0.0828507284098688
21,liberty,0.0828507284098688
22,battle,0.08066786760261775
23,legion,0.08063321971926743
24,gilbert,0.0770240026526484
25,arms,0.07647042373357936
26,citizens,0.0759566930439002
27,let,0.07476539913299597
28,freedom,0.07421756839168106
29,shall,0.07305679736618785
30,service,0.07257397260709246
31,war,0.07198395217869132
32,government,0.06836816596939826
33,enrollment,0.06670362598094769
34,sub,0.06413280289930597
35,vicinity,0.06297422814303295
36,district,0.06202995722282283
37,honor,0.06115627929169804
38,treason,0.060838618955366
39,congressional,0.05984966477060847
40,cause,0.059139358406310204
41,general,0.058726627399198844
42,local,0.05848605555718818
43,movement,0.0578553798210563
44,power,0.05711207065137194
45,superintend,0.05616629509873608
46,chairman,0.05562932529672409
47,earth,0.05542173652243439
48,utica,0.05471737497151299
49,stifled,0.053755479812844946
50,rout,0.053755479812844946
51,cohorts,0.053755479812844946
52,force,0.05360601439665126
53,banner,0.052620027723652985
54,states,0.05258540287654628
55,century,0.05195539309800089
56,masters,0.05195539309800089
57,enlist,0.05105119200174111
58,bloody,0.050688134220688845
59,flag,0.05008302838969051
60,round,0.050002351674951324
61,slavery,0.049734594838880666
62,binghamton,0.049646184196988435
63,whiting,0.049646184196988435
64,gyves,0.049646184196988435
65,chilled,0.049646184196988435
66,man,0.04938019855187512
67,pennington,0.049021227072632644
68,aid,0.048730906754987216
69,enemies,0.04863865721401852
70,appoint,0.04835784305590134
71,fights,0.04673059255803721
72,misrule,0.04673059255803721
73,lineage,0.04673059255803721
74,ruin,0.04640873282867362
75,patriotic,0.04628833654688301
76,dear,0.04485695094278641
77,duly,0.04440143649193997
78,defeat,0.044180044089301394
79,world,0.04388361641628459
80,blood,0.043593348904752555
81,grand,0.04352001327561069
82,edward,0.04267532688856854
83,anarchy,0.04262129694218071
84,remuneration,0.04262129694218071
85,desolation,0.04262129694218071
86,frozen,0.04262129694218071
87,protection,0.0425590450907
88,time,0.0423245153750549
89,selected,0.04223670136041636
90,despotism,0.04223670136041636
91,mankind,0.041864437157977503
92,16th,0.04164046199953693
93,justice,0.0414253642049344
94,held,0.041180167909412965
95,race,0.04113160047022751
96,perilous,0.04105901525596846
97,policy,0.0407058624017045
98,forces,0.04051386111952952
99,suppression,0.039705705303229484
100,enrolling,0.039705705303229484
101,15th,0.03946502079273974
102,tyranny,0.03946502079273974
103,answer,0.03925742207215021
104,dumb,0.0385120013263242
105,perpetual,0.0385120013263242
106,formal,0.0385120013263242
107,fixed,0.03848389619042106
108,contest,0.03848389619042106
109,known,0.03822267455731128
110,soldier,0.03801610066551664
111,sacrifice,0.03801610066551664
112,sir,0.03801610066551664
113,city,0.03781147134380214
114,department,0.03756227129226788
115,usurpation,0.03744419673249072
116,mass,0.03726208707761262
117,true,0.03710878419584053
118,gloucester,0.036478249981008654
119,imperishable,0.036478249981008654
120,heritage,0.036478249981008654
121,townsend,0.036478249981008654
122,success,0.036033253880075056
123,prove,0.03573734293110084
124,little,0.03573734293110084
125,falls,0.03559640968737298
126,momentous,0.03559640968737298
127,doubted,0.03559640968737298
128,bravery,0.03559640968737298
129,discipline,0.03559640968737298
130,battling,0.03559640968737298
131,treated,0.03509163333431291
132,following,0.03481846885199574
133,reign,0.03478519525449902
134,commissioned,0.03478519525449902
135,refuge,0.03478519525449902
136,president,0.03458185824140789
137,persons,0.03427633372518959
138,god,0.03427633372518959
139,rights,0.03411409039944219
140,issues,0.034034128001160735
141,spectacle,0.034034128001160735
142,hell,0.034034128001160735
143,stand,0.03377876141900059
144,authorized,0.03364271320708981
145,law,0.033555803890440494
146,requested,0.033513796338648906
147,congress,0.033513796338648906
148,limbs,0.033334901116634216
149,rally,0.033334901116634216
150,history,0.03325225025805412
151,acts,0.032966950622110386
152,delegation,0.032966950622110386
153,dust,0.03268081804842177
154,duty,0.03262590411066602
155,united,0.0323986655918439
156,direction,0.032319952766636295
157,pay,0.03223856203726756
158,beaten,0.03206640144965298
159,greatest,0.0320064951664264
160,forever,0.0320064951664264
161,unanimously,0.03175011575137756
162,witnessed,0.03148711407151648
163,blessed,0.03148711407151648
164,brooklyn,0.03148711407151648
165,heaven,0.03139832786848312
166,struggle,0.03139832786848312
167,agents,0.03110313111732534
168,nation,0.0310388308404372
169,win,0.030939155219115746
170,armies,0.030939155219115746
171,field,0.030529396801278374
172,yield,0.030419309477683
173,nineteenth,0.030419309477683
174,barbarism,0.030419309477683
175,descent,0.030419309477683
176,buffalo,0.030419309477683
177,obedient,0.030419309477683
178,enabled,0.030419309477683
179,10,0.03035166198232452
180,dr,0.030250450350981655
181,right,0.030024963506943187
182,assurance,0.029924832385304235
183,shed,0.029924832385304235
184,far,0.029470238765995246
185,fighting,0.029453362726200933
186,empire,0.029453362726200933
187,fame,0.029453362726200933
188,face,0.02918319432841111
189,vindicate,0.02900285433621465
190,organizing,0.02900285433621465
191,16,0.02892768991052815
192,overcome,0.028571522432565256
193,distant,0.028571522432565256
194,terrible,0.028571522432565256
195,willing,0.028429213941289076
196,ought,0.028185974271960006
197,sympathy,0.028185974271960006
198,african,0.028185974271960006
199,ray,0.028157800906944235
200,edited,0.028157800906944235
201,troy,0.028157800906944235
202,land,0.027814662648362045
203,million,0.027760307999691286
204,battles,0.027760307999691286
205,lose,0.027760307999691286
206,curse,0.027760307999691286
207,negro,0.027478769783305046
208,freed,0.027377818455659973
209,empowered,0.027009240746353014
210,gleam,0.026877739906422473
211,myrmidons,0.026877739906422473
212,henceforward,0.026877739906422473
213,enthusiast,0.026877739906422473
214,perdere,0.026877739906422473
