,term,score
0,mr,0.2551928053052979
1,convention,0.17481351708396667
2,men,0.1680103415640832
3,league,0.1605669084238949
4,shall,0.1468847217626142
5,garnet,0.14523274243132114
6,committee,0.138250419655803
7,colored,0.13566159782093862
8,slavery,0.11848045972373032
9,country,0.11744946461011108
10,people,0.10786365947734114
11,langston,0.10199443271704212
12,pennsylvania,0.09650667767413863
13,william,0.09549738627735167
14,new,0.09504305525816212
15,national,0.09196137128118845
16,right,0.09161556575869662
17,ingraham,0.09119106881618727
18,war,0.09080954184947683
19,ohio,0.08593475862387502
20,government,0.08159269856837402
21,york,0.08044483196996038
22,president,0.07975354774279195
23,motion,0.07969730599660933
24,george,0.0782596740042919
25,peter,0.07797867419298131
26,society,0.07785038111714568
27,downing,0.07555021762953266
28,rights,0.07464016624725643
29,party,0.07378275275269992
30,john,0.07356909702495076
31,moved,0.07316506967871826
32,ruffin,0.07283948423142453
33,murray,0.07245263865437121
34,rev,0.07204829427886418
35,applause,0.07089210351832333
36,douglass,0.06924087003029698
37,james,0.06759038056419613
38,martin,0.06744129511395493
39,states,0.06633779055830863
40,peace,0.06499715611304285
41,newman,0.06339481766846775
42,sella,0.060488801637132356
43,rock,0.0599429776588658
44,hamilton,0.05968282149177801
45,american,0.05952864268938403
46,day,0.057733251533124905
47,white,0.056940925430662835
48,massachusetts,0.05466384476076078
49,galloway,0.05465682595340122
50,bassett,0.052927701432490815
51,scottron,0.052843972439518376
52,man,0.052560854243688775
53,enemies,0.051771549070405494
54,syracuse,0.05145162244927251
55,union,0.051442576028254916
56,cause,0.05129146555904742
57,gibbs,0.05119777265407996
58,albany,0.05069342766719307
59,wells,0.050272872380072706
60,honorary,0.04980258697340405
61,soldiers,0.04969138978449083
62,power,0.04953320231671912
63,philadelphia,0.04920945393806782
64,race,0.04864550120011109
65,keeling,0.047333407121709366
66,said,0.04728169312050461
67,human,0.047192106157077585
68,nation,0.046803961399194766
69,report,0.046630703161370114
70,black,0.0464637927334211
71,great,0.0463093694577258
72,brave,0.04615308687105087
73,amendment,0.04602927363033482
74,rebels,0.04495723324414934
75,robert,0.044868675861018094
76,clark,0.0445609909231717
77,claim,0.044242599522260236
78,johnson,0.044242599522260236
79,elective,0.04414204314340488
80,vashon,0.04390932602094081
81,finance,0.042543153807694765
82,resolved,0.04248290987767593
83,appendix,0.04099261946505092
84,ebenezer,0.04099261946505092
85,friends,0.04076647229579972
86,time,0.040760160306434104
87,harris,0.040624943921196914
88,1864,0.040583480661860946
89,samuel,0.0400019691798396
90,equal,0.03991344656778129
91,field,0.039717141344676306
92,southern,0.03966219628794231
93,freedmen,0.03951265836986737
94,carried,0.039260294352425104
95,clock,0.039210578575310406
96,liberty,0.039194343640575176
97,united,0.039083582794505085
98,jersey,0.03905681556256903
99,slaves,0.03899829366782571
100,franchise,0.038647842825603275
101,rebellion,0.03861346318394874
102,armies,0.038420660268323206
103,adopted,0.03835070194550091
104,rhode,0.03833193082068866
105,decker,0.03814530280154448
106,seaton,0.03814530280154448
107,come,0.038086711130136224
108,cain,0.03788923001618015
109,randolph,0.03777510881476633
110,make,0.037748664463966276
111,island,0.03735194023005304
112,executive,0.037121011660087154
113,north,0.03689137637634996
114,justice,0.03674469716303922
115,richards,0.036419742115712264
116,myers,0.036016135714490756
117,republican,0.03579126459938423
118,flag,0.03553930296584559
119,just,0.035292051832600514
120,bruce,0.03521934314914875
121,louisiana,0.03512236299543767
122,civilization,0.035090403386841586
123,howard,0.03471716938895025
124,case,0.034584735230666755
125,speech,0.034584735230666755
126,chairman,0.034540623249805724
127,members,0.03448551423044567
128,freedom,0.03423248307109414
129,officers,0.03381097830159184
130,world,0.033735165150763136
131,tennessee,0.03354043946810258
132,south,0.03349041882587442
133,need,0.03348571889232174
134,african,0.033334974316533005
135,implore,0.03321336325836687
136,troubles,0.03321336325836687
137,fights,0.033160388660431736
138,green,0.03310653235755366
139,sampson,0.03293199451570561
140,federal,0.03284656038617924
141,fought,0.03279830685645646
142,long,0.03264002353757563
143,honor,0.03254772536566888
144,weaver,0.032356559183374524
145,florida,0.032356559183374524
146,battle,0.03219892909165943
147,business,0.03196273635797944
148,slave,0.031943857504227
149,maine,0.03185233756438726
150,let,0.03183246209245056
151,auxiliary,0.03183083812894827
152,called,0.03174054530600863
153,disband,0.03155560474780625
154,democratic,0.03150760156369926
155,platform,0.03150760156369926
156,appeal,0.031455506642936414
157,welfare,0.03133954044377122
158,sec,0.031191469677192524
159,citizens,0.03109583932420717
160,blood,0.03093417638340596
161,wrongs,0.03088213685572436
162,good,0.030872912971817195
163,vote,0.03073746881236467
164,00,0.03073206762100796
165,arms,0.030523501173182976
166,terrible,0.030411858804511038
167,michigan,0.030411858804511038
168,makes,0.03037752321533147
169,jefferson,0.03037752321533147
170,boston,0.03028274088496481
171,association,0.030260384001108847
172,order,0.030033802331056705
173,thing,0.030001476884879707
174,hope,0.029835414918529805
175,congress,0.02972706024153052
176,declined,0.02956837845603492
177,battles,0.02954839278337155
178,missouri,0.02954839278337155
179,present,0.029422331253364974
180,fight,0.029370146190668737
181,abolition,0.029370146190668737
182,rebellious,0.02913579369256981
183,ransom,0.02913579369256981
184,position,0.028816522526859994
185,mind,0.02876565901907262
186,wieting,0.028608977101158364
187,natural,0.0281075220549842
188,abolish,0.027929373544484836
189,loguen,0.027929373544484836
190,introduced,0.027857369283352192
191,answer,0.027857369283352192
192,bureau,0.027650960545741676
193,referred,0.027397406366445064
194,secretary,0.027396631163982377
195,stephen,0.02730846935564027
196,frederick,0.027292535967543458
197,permanent,0.026965878138551076
198,taken,0.026946111252895432
199,virginia,0.026756902191648908
200,connecticut,0.026654477224384195
201,brown,0.02654555971335614
202,addressed,0.02654555971335614
203,379,0.026421986219759188
204,lowrey,0.026421986219759188
205,hemmenway,0.026421986219759188
206,plain,0.02634177224657825
207,credentials,0.026218460937018923
208,state,0.026212694974403837
209,rules,0.02613588341254937
210,prof,0.0261254165069836
211,public,0.026008627456616258
212,abram,0.025885247346699617
213,destitute,0.025885247346699617
214,seward,0.025885247346699617
215,administration,0.02574230878929916
216,chair,0.02557554521381755
217,measure,0.02550979422168836
218,place,0.025289377102326826
219,houston,0.025259486677453435
220,member,0.025154895215665253
221,moral,0.025154895215665253
222,treasurer,0.025043611515735115
223,believe,0.025027910676824444
224,ray,0.024976240691194078
225,evening,0.02496563750791874
226,weakness,0.024683842663360444
227,hughes,0.024683842663360444
228,land,0.02467187374986123
229,city,0.024595368876549225
230,resolution,0.02449646477535948
231,elected,0.02441079402425166
232,existence,0.024375198122933168
233,proposed,0.024375198122933168
234,mississippi,0.02428438874215288
235,mark,0.02428438874215288
236,cleveland,0.02428438874215288
237,hands,0.024229994941657996
238,making,0.024229994941657996
239,money,0.02416018113995391
240,forward,0.02416018113995391
241,lives,0.024160056232855893
