,term,score
0,arkansas,0.2958837753090571
1,grey,0.2577350290713811
2,state,0.1712768240129993
3,1865,0.1615787557681899
4,andrews,0.15464101744282868
5,negro,0.13802718896060354
6,motion,0.13413297417353706
7,mr,0.12768835746626966
8,denby,0.12462294169375644
9,memorials,0.11898543371909696
10,house,0.11693216080943708
11,convention,0.10936455589727245
12,carried,0.10853250226173572
13,called,0.10369822328002566
14,gen,0.09924515016070874
15,phillipps,0.09346720627031734
16,wall,0.09124690158801277
17,murphy,0.08632217878120926
18,brutus,0.08632217878120926
19,future,0.08280815170022945
20,rock,0.08159884333810763
21,president,0.08017215953211375
22,government,0.0792499852199018
23,states,0.07450074941596566
24,saved,0.074340500579697
25,committee,0.0720057178574469
26,law,0.0700140842506928
27,present,0.06866034428104939
28,massa,0.06231147084687822
29,bowlen,0.06231147084687822
30,gones,0.06231147084687822
31,little,0.06213821576746687
32,people,0.06075808660959581
33,ask,0.06022128545193561
34,saturday,0.059478914122307006
35,world,0.059346411012403476
36,chair,0.058489764456319766
37,excellency,0.0579609760626595
38,nathan,0.0579609760626595
39,2d,0.05791290787086315
40,sewell,0.057548119187472845
41,december,0.057373410017211246
42,colored,0.056182106714316324
43,jones,0.05588660953894328
44,right,0.05568621899773407
45,short,0.05540114928414185
46,received,0.055231224659691734
47,citizens,0.054182363211611385
48,winfield,0.05416846740044703
49,consanguinity,0.05416846740044703
50,vote,0.054072907290280824
51,nation,0.05396868960435557
52,wilson,0.05308962987074212
53,secretary,0.05221206723979786
54,courtesies,0.05154700581427622
55,armstead,0.05154700581427622
56,clock,0.05124130405247704
57,resolutions,0.05078174746225894
58,richmond,0.050428640542488266
59,friday,0.04995221080349625
60,haughty,0.049405115741041665
61,yancey,0.049405115741041665
62,address,0.04939951487378737
63,equality,0.04933295557351624
64,chairman,0.04836267521274232
65,grant,0.04807154804462661
66,ark,0.04759417348763879
67,timed,0.04759417348763879
68,invitations,0.04759417348763879
69,lawson,0.046025463954015855
70,warren,0.04516865499529866
71,united,0.045066479105742234
72,respectfully,0.0446382509018984
73,rev,0.04413487564787701
74,resolved,0.043829734243278164
75,pledged,0.043540870265125986
76,report,0.04352721211050766
77,broke,0.04340400236784504
78,sober,0.04340400236784504
79,white,0.042929848452533705
80,appointed,0.042634921107438405
81,peace,0.04246990429557032
82,owen,0.04228431070005289
83,compose,0.04228431070005289
84,dec,0.04228431070005289
85,reynolds,0.04228431070005289
86,order,0.04205236880167669
87,time,0.04205236880167669
88,stated,0.04142547717831125
89,suffrage,0.04142547717831125
90,uniform,0.041262112294610485
91,horrors,0.041262112294610485
92,30th,0.041262112294610485
93,thanks,0.04088382610595174
94,rights,0.03954385965474484
95,protection,0.03946636445881299
96,edwards,0.039451170041207614
97,ties,0.039451170041207614
98,nov,0.039451170041207614
99,petitioners,0.039451170041207614
100,tem,0.03940257254178327
101,american,0.03889671347260711
102,read,0.03889671347260711
103,delegates,0.03889671347260711
104,requested,0.03884801978876458
105,gov,0.03864065070843967
106,brown,0.03854484472581586
107,remarks,0.03854484472581586
108,position,0.03765810773992636
109,richard,0.037464158102622186
110,distinguished,0.037464158102622186
111,unanimously,0.03680362297787976
112,past,0.03652556362163066
113,day,0.03627267675875638
114,legislature,0.03597912640290371
115,fact,0.03597912640290371
116,fought,0.03571799743637643
117,new,0.03528536776699097
118,morning,0.03492296021901012
119,jesse,0.03468781838180224
120,eventually,0.03414130725362172
121,scarcely,0.03414130725362172
122,thursday,0.03382813750234725
123,seats,0.03353196572336597
124,wm,0.03318173847107402
125,cotton,0.033119108848179306
126,meet,0.03294320097675957
127,centuries,0.03263953733524305
128,returned,0.03239468042208349
129,prospects,0.032178777468744486
130,previous,0.03185242822167774
131,race,0.031785541151764254
132,question,0.031785541151764254
133,god,0.031785541151764254
134,produced,0.03173540897579973
135,honored,0.03173540897579973
136,declared,0.03158743366357925
137,return,0.03132636509547922
138,responded,0.031308166594776435
139,wakens,0.03115573542343911
140,commonwealths,0.03115573542343911
141,pang,0.03115573542343911
142,seers,0.03115573542343911
143,paddle,0.03115573542343911
144,wakes,0.03115573542343911
145,leavened,0.03115573542343911
146,describes,0.03115573542343911
147,ratcliff,0.03115573542343911
148,gratz,0.03115573542343911
149,palmer10,0.03115573542343911
150,polled,0.03115573542343911
151,apostolic,0.03115573542343911
152,sebastine,0.03115573542343911
153,brown8,0.03115573542343911
154,captor,0.03115573542343911
155,193,0.03115573542343911
156,southron,0.03115573542343911
157,camel,0.03115573542343911
158,soothsayers,0.03115573542343911
159,192,0.03115573542343911
160,canoe,0.03115573542343911
161,arrrangements,0.03115573542343911
162,reft,0.03115573542343911
163,sherman9,0.03115573542343911
164,gentlemenly,0.03115573542343911
165,monosyllables,0.03115573542343911
166,5a,0.03115573542343911
167,ire,0.03115573542343911
168,retrograde,0.03115573542343911
169,bastard,0.03115573542343911
170,chirography,0.03115573542343911
171,reynolds2,0.03115573542343911
172,endow,0.03115573542343911
173,deduce,0.03115573542343911
174,disgracing,0.03115573542343911
175,hartwell,0.03115573542343911
176,reb,0.03115573542343911
177,woke,0.03115573542343911
178,sprague3,0.03115573542343911
179,magnetic,0.03115573542343911
180,substrata,0.03115573542343911
181,indivisible,0.03115573542343911
182,hovering,0.03115573542343911
183,mask,0.03115573542343911
184,blair4,0.03115573542343911
185,cox7,0.03115573542343911
186,paracide,0.03115573542343911
187,covnention,0.03115573542343911
188,opened,0.031069107883733436
189,pro,0.031069107883733436
190,conventions,0.030815552343261665
191,best,0.030467677549177084
192,principle,0.030319130613514125
193,blood,0.030319130613514125
194,adjourned,0.0302550449542676
195,moses,0.03011243666353244
196,half,0.0300760673663176
197,john,0.03004431940382816
198,exercise,0.029836311204808764
199,aim,0.029739457061153503
200,forward,0.029599773344109744
201,said,0.029423250431918006
202,sir,0.02937795559421634
203,advocated,0.02937795559421634
204,soldier,0.02937795559421634
205,letter,0.029136014841573434
206,destroy,0.029027246843417325
207,thrown,0.029027246843417325
208,stating,0.029027246843417325
209,hour,0.028908633544361895
210,trespassed,0.028774059593736422
211,stolidity,0.028774059593736422
212,hugh,0.028774059593736422
213,fortifications,0.028774059593736422
214,superintendency,0.028774059593736422
215,wander,0.028774059593736422
216,implored,0.028774059593736422
217,sages,0.028774059593736422
218,inimitable,0.028774059593736422
