,term,score
0,committee,0.2124167626764595
1,mr,0.20952608093495043
2,san,0.16642453146118255
3,convention,0.15738202031943777
4,sacramento,0.15406442871983467
5,california,0.14025602334566498
6,moore,0.12440533039128474
7,duplex,0.11564249330500735
8,santa,0.11515488081485513
9,moved,0.11430879302626346
10,report,0.113574785690762
11,yates,0.10838106429633425
12,state,0.10795478442710676
13,carried,0.1039150593502873
14,men,0.10293704168628653
15,adults,0.10022349419767304
16,hall,0.097281689271701
17,francisco,0.09396174611092309
18,people,0.09166205579044179
19,madden,0.08868448374789854
20,briggs,0.08868448374789854
21,race,0.08821528885920038
22,rights,0.08817293529170293
23,county,0.08634229650967916
24,bell,0.08581779268347398
25,starkey,0.08480449509033873
26,clara,0.08070041504372291
27,pursuits,0.07757359311417078
28,proxy,0.07709499553667158
29,small,0.07691503100698713
30,citizens,0.07518690336220865
31,school,0.0746418327033586
32,colored,0.07463017094558336
33,president,0.07416800171104165
34,basil,0.07371456096760277
35,read,0.07307460531971706
36,business,0.07218740013757227
37,shorter,0.07205605805798908
38,raisers,0.07094758699831884
39,country,0.07079325688780172
40,chaplain,0.0694489939960642
41,law,0.06864584136094633
42,children,0.06806699685286999
43,government,0.06767528287232873
44,negro,0.06648958265138448
45,hubbard,0.06599413135052051
46,right,0.06538548041263985
47,black,0.06481454599488934
48,education,0.06468559205124433
49,presented,0.06449213085570553
50,industrial,0.06411759376140486
51,kellingworth,0.06207913862352898
52,yolo,0.06207913862352898
53,jose,0.06167599642933726
54,executive,0.06041216767058618
55,resolved,0.060301097983500265
56,napa,0.058691210940889395
57,ruggles,0.058691210940889395
58,ward,0.05792694539158149
59,american,0.057573931464019505
60,great,0.0574214521340971
61,christopher,0.057182547171992594
62,franchise,0.055545395234385585
63,principles,0.05549177854416264
64,following,0.053613152545502946
65,campbell,0.05347102651530599
66,cefos,0.05321069024873913
67,man,0.05295306320904558
68,district,0.05262969364374274
69,institute,0.052086745497048156
70,stock,0.052086745497048156
71,barbadoes,0.05164899252243596
72,dorado,0.05135480957327822
73,number,0.05120517373541691
74,chairman,0.05047674965972061
75,el,0.04922090567138773
76,members,0.04917448838269245
77,present,0.04886024277521051
78,appointed,0.04854394758020689
79,political,0.04803519493456684
80,statistics,0.047878888309478604
81,justice,0.04783979114244272
82,suffrage,0.04716687964688533
83,anderson,0.04621124936593491
84,sir,0.045993228358041906
85,rogers,0.045938399507931965
86,church,0.04585214489013021
87,appeal,0.04520843651388119
88,wm,0.04486445338012418
89,harper,0.04443233487107784
90,tehama,0.04434224187394927
91,colusa,0.04434224187394927
92,sonoma,0.04401840820566705
93,public,0.043976565769275285
94,said,0.04397031599863184
95,motion,0.04267267510121595
96,minutes,0.04254911671894701
97,total,0.04200095477662573
98,rev,0.04187649142726842
99,union,0.041005535264950904
100,subject,0.0404267448327309
101,shall,0.04017577607127994
102,time,0.03990054658065978
103,referred,0.03963341953200729
104,000,0.03963341953200729
105,subjects,0.039563640661833634
106,called,0.039356791602677556
107,benediction,0.03930407388178736
108,equal,0.03930152312828196
109,resolution,0.038727449972453636
110,yuba,0.03854749776833579
111,property,0.038405331402577854
112,claim,0.03840112785712236
113,christian,0.03801033429825864
114,willing,0.03752146081507888
115,slavery,0.03750899450030951
116,resolutions,0.0371699298624312
117,years,0.03700384136129107
118,farmers,0.036638625006517066
119,liberty,0.03644936467995636
120,highest,0.03626667060668083
121,secretary,0.036093700068786136
122,legislature,0.03584497597573933
123,adopted,0.035664807497803555
124,write,0.03564735101020399
125,vote,0.03518125261542023
126,morals,0.035177966788583905
127,day,0.0351049337589628
128,brethren,0.034837861616671
129,principle,0.03452123866890639
130,elective,0.034208793046919365
131,power,0.03350119314181473
132,dollars,0.03324479132569224
133,fealty,0.032762027096712346
134,dyer,0.032762027096712346
135,meeting,0.0327512692735683
136,population,0.03269573243658975
137,10,0.032547732139254125
138,roll,0.03238297027450292
139,introduced,0.03238297027450292
140,farms,0.03234961146853059
141,general,0.03229525406083128
142,like,0.03206999584645226
143,ask,0.03183500840838247
144,cassey,0.031768081762218105
145,constitution,0.0316264105370292
146,pacific,0.031168005187925545
147,advantages,0.03108011879635361
148,equality,0.030893666293328657
149,committees,0.030893666293328657
150,cruz,0.03083799821466863
151,white,0.03054984415906476
152,october,0.030501274838507567
153,duty,0.03014223712344253
154,session,0.03014223712344253
155,order,0.029925409935494834
156,able,0.02960307308903286
157,position,0.029478190598721612
158,mariposa,0.029345605470444697
159,miners,0.029345605470444697
160,nations,0.028887434718921186
161,action,0.028749152022775257
162,schools,0.028591652389973927
163,chair,0.02854123185536682
164,hair,0.028074338486990973
165,america,0.027663338422587357
166,receive,0.02764512322346615
167,citizenship,0.02764512322346615
168,coast,0.027497554729383547
169,owned,0.027478968754887798
170,counties,0.02743003006772357
171,human,0.027429377040801686
172,remarks,0.027429377040801686
173,established,0.02720028381193002
174,god,0.02714316580283089
175,hoped,0.027112244300895618
176,wished,0.027100355584254943
177,sierra,0.027095266074083562
178,irishman,0.027095266074083562
179,constituents,0.027016884329701597
180,republic,0.026973992518257457
181,institutions,0.026973992518257457
182,irish,0.02695800955710883
183,makers,0.02695800955710883
184,information,0.02686221687669169
185,clock,0.026740605906484638
186,killingworth,0.026605345124369566
187,fenian,0.026605345124369566
188,stated,0.026531369801373
189,english,0.026451184773313215
190,wealth,0.02631484682187137
191,endowment,0.026202202930177845
192,progress,0.02619028454541034
193,natural,0.026139009522063807
194,address,0.02611425444633196
195,just,0.02578743371896279
196,john,0.025656254808361277
197,educational,0.02563834366899571
198,republican,0.025603554268385235
199,laws,0.025602586867708454
200,carpenters,0.025414465409774486
201,indians,0.025414465409774486
202,hilton,0.025414465409774486
203,free,0.025301128429623357
204,land,0.025238374829860306
205,elected,0.025223535701892105
206,farming,0.02509251862682891
207,states,0.02506230112073622
208,prayer,0.0248519626954567
209,leave,0.0248519626954567
210,make,0.0247799532416208
211,barbers,0.02470981018595391
212,25th,0.024684630483932133
213,important,0.024669227574194045
214,greater,0.024641650887904626
215,soap,0.02457152032253426
216,freedom,0.024488468006448053
217,true,0.024488468006448053
218,thousands,0.024405197027309707
219,labors,0.024405197027309707
220,feeling,0.02438224894908762
221,companies,0.024295720893077893
222,having,0.024187111173101405
223,means,0.024187111173101405
224,soil,0.024178030055048903
225,clark,0.024173425730497248
226,tax,0.024173425730497248
227,argument,0.024173425730497248
228,experienced,0.024072371998953096
229,born,0.023976882238451073
230,cause,0.02384963185345621
231,did,0.023784359879472347
232,12,0.02375147486108095
233,war,0.02375147486108095
234,hand,0.023571256090869307
235,favored,0.023411319151217184
236,abiding,0.023227027696548986
237,expediency,0.023227027696548986
238,parker,0.023227027696548986
239,recommend,0.02321716710805399
240,social,0.023201240172479216
241,considered,0.023201240172479216
242,hoyt,0.02312849866100147
243,eulogy,0.02312849866100147
244,condolence,0.02312849866100147
245,manufactory,0.02312849866100147
246,contra,0.02312849866100147
247,purposes,0.02307879038606962
248,house,0.02304319884154671
249,nation,0.02304319884154671
250,acclamation,0.022955107787749316
251,gentleman,0.022468004781383145
252,received,0.0224593026848505
253,statistical,0.022279594381377495
254,requested,0.02211609857877292
255,appertaining,0.022009204102833524
256,mans,0.022009204102833524
257,amador,0.022009204102833524
258,costa,0.022009204102833524
259,facilities,0.02198622924286494
260,glory,0.021975723144853465
261,work,0.02187867755985107
262,permission,0.021702810623770063
263,ability,0.021700249725363736
264,privileges,0.021604848664963112
265,unfinished,0.021566407645687062
266,bryant,0.021566407645687062
267,common,0.02156186401708144
268,laid,0.021274558359473505
269,unity,0.021163265451495345
270,sixth,0.021163265451495345
271,aim,0.021163265451495345
272,eloquence,0.021163265451495345
273,real,0.021121415046775394
274,manufacturers,0.02109467385916617
275,animal,0.02109467385916617
276,partiality,0.02109467385916617
277,gambling,0.02109467385916617
278,establish,0.02097977195864469
279,patriotism,0.020656440667699734
280,20,0.020635509845512334
281,special,0.020635509845512334
282,taken,0.020502767632475452
283,representatives,0.020467103083677732
284,delegate,0.020467103083677732
285,freedmen,0.020414103451097575
286,00,0.020414103451097575
287,influence,0.020329972290961482
288,class,0.020329972290961482
289,adjoining,0.02032144955556267
290,gods,0.02032144955556267
291,heart,0.020301085150919315
292,jackson,0.020301085150919315
293,standing,0.020146662657518768
294,adoption,0.020137389223528725
295,battle,0.019962583028621382
296,higher,0.019962583028621382
297,mechanics,0.019949536795616084
298,agricultural,0.019949536795616084
299,purchase,0.019949536795616084
300,delegates,0.01992943781446829
301,morning,0.01988157015636536
302,seat,0.019781820330916817
303,finance,0.019781820330916817
304,sacred,0.019781820330916817
305,races,0.019726588954348718
306,taxation,0.019726588954348718
307,opposed,0.019659605823027327
308,independence,0.019659605823027327
309,awarded,0.019651652197633384
310,fancy,0.019651652197633384
311,assist,0.019604257141547853
312,preamble,0.019604257141547853
313,long,0.01951333515282781
314,published,0.01950458278822934
315,consideration,0.019447713386534282
316,loyalty,0.019436576714462313
317,philip,0.019436576714462313
318,delegations,0.019436576714462313
319,tendered,0.019429782164701752
320,adjourned,0.019377152436498766
321,high,0.019351586256426304
322,fund,0.019297774521215425
323,petition,0.019258289812614127
324,lives,0.019258289812614127
325,thousand,0.01920056392856118
326,history,0.01920056392856118
327,blacksmiths,0.019060849057330864
328,estimated,0.019060849057330864
329,mining,0.019060849057330864
330,represented,0.01905146550437724
331,gentlemen,0.01902748790357788
332,religious,0.018923856900934108
333,slave,0.01890424258184272
334,fourth,0.01876073040753944
335,city,0.01871413385694836
336,month,0.018693170276754587
337,humble,0.018693170276754587
338,thanks,0.01862006317651524
339,believe,0.01862006317651524
340,saxon,0.01853235763946543
341,refers,0.01853235763946543
342,accomplished,0.01850097678746441
343,thought,0.018473369336396296
344,privilege,0.018286686711815714
345,member,0.018194687884528864
346,moral,0.018194687884528864
347,delegation,0.018129357892710505
348,harmony,0.018129357892710505
349,proud,0.018129357892710505
350,produced,0.018066903722836626
351,seventh,0.018066903722836626
352,evening,0.01805779663959755
353,persistent,0.018054278999214822
354,summoned,0.018054278999214822
355,piety,0.018054278999214822
356,employing,0.018054278999214822
357,mind,0.0178340358745035
358,approved,0.0178340358745035
359,occupations,0.017823675505101996
360,berghardt,0.01773689674957971
361,speights,0.01773689674957971
362,epitaph,0.01773689674957971
363,butt,0.01773689674957971
364,junk,0.01773689674957971
365,brink,0.01773689674957971
366,quartz,0.01773689674957971
367,orators,0.01761782739579808
368,honorable,0.01754323121458091
369,governed,0.01743228359093551
370,virtue,0.01743228359093551
371,preserve,0.01736224849901605
372,limited,0.01736224849901605
373,laborers,0.01736224849901605
374,element,0.01736224849901605
375,act,0.017268459301935834
376,second,0.017268459301935834
377,let,0.017268459301935834
378,heaven,0.017266732664640894
379,ignorance,0.017266732664640894
380,publishing,0.017266732664640894
381,blood,0.017260619334453196
382,pupils,0.017216330840811988
383,27th,0.017216330840811988
384,clarke,0.017216330840811988
385,28th,0.017216330840811988
386,half,0.01712224392265345
387,went,0.017104396523459683
388,appropriate,0.017104396523459683
389,place,0.01710416987224085
390,england,0.01694515268805976
391,reports,0.01694515268805976
392,yesterday,0.016930612361196275
393,principal,0.016930612361196275
394,spirit,0.016892895485837445
395,issues,0.016844603092194585
396,condemn,0.016844603092194585
397,gratification,0.016844603092194585
398,services,0.016788885547932304
399,delivered,0.016788885547932304
400,secure,0.016770338679952233
401,morality,0.016724810312015236
402,sacrifice,0.016724810312015236
403,engage,0.016724810312015236
404,form,0.016649051915630646
405,unto,0.016525152534159787
406,recommendations,0.016498532837630128
407,2d,0.016484850275764015
408,merced,0.016381013548356173
409,livingstone,0.016381013548356173
410,solano,0.016381013548356173
411,caulkers,0.016381013548356173
412,battlefield,0.016381013548356173
413,opposes,0.016381013548356173
414,sustain,0.016336880951289882
415,freemen,0.016336880951289882
