,term,score
0,sec,0.3764190735225135
1,state,0.23240950073242678
2,connecticut,0.18380947878865628
3,blot,0.1702199677847294
4,people,0.15389557669246823
5,elective,0.1522019335542058
6,franchise,0.14537226528985137
7,colored,0.13176386142141228
8,abhorent,0.13152514992440167
9,political,0.12952632130977007
10,efface,0.12147081269513811
11,right,0.11754077062950562
12,identifies,0.11433714690392029
13,legislature,0.11391546203233277
14,men,0.10904476238521613
15,dishonor,0.10428280967465672
16,subvert,0.10428280967465672
17,awaits,0.10428280967465672
18,constitutional,0.10341307141574511
19,convention,0.10259705112831215
20,impious,0.10046032806499368
21,subject,0.0999260421209525
22,obstacle,0.09422847244539315
23,repudiate,0.09422847244539315
24,insulting,0.09422847244539315
25,disability,0.0916158428161371
26,pledge,0.09040135356820027
27,proudly,0.0892524318345964
28,escutcheon,0.0892524318345964
29,ratification,0.08709480665417534
30,honorable,0.0867260358724955
31,relieve,0.0851099838923647
32,approaching,0.0832723250445123
33,scorn,0.0832723250445123
34,invaluable,0.07845782928336682
35,fix,0.07845782928336682
36,nobly,0.07845782928336682
37,affected,0.07845782928336682
38,vii,0.07704046942491176
39,vi,0.07704046942491176
40,pretext,0.07569976201302875
41,haven,0.07569976201302875
42,temple,0.07569976201302875
43,jesus,0.07569976201302875
44,redeem,0.07569976201302875
45,shield,0.07442783979565575
46,passed,0.07371431802495065
47,iv,0.07321798781524873
48,sister,0.07321798781524873
49,majesty,0.07321798781524873
50,speedily,0.07321798781524873
51,beloved,0.07206442881411503
52,struggling,0.07206442881411503
53,minority,0.07206442881411503
54,spirit,0.07158090980952837
55,trodden,0.07096215638084045
56,christ,0.06889453872835394
57,iii,0.06889453872835394
58,use,0.06709194966184111
59,elections,0.0669861321956482
60,base,0.0669861321956482
61,induce,0.0669861321956482
62,mark,0.0669861321956482
63,means,0.06522025230937087
64,maintained,0.06437350256639215
65,tyranny,0.06437350256639215
66,representing,0.06356041179789573
67,contempt,0.06277313784247615
68,deprive,0.06201009158485145
69,ii,0.061269826262885435
70,government,0.060828526847113096
71,valuable,0.06055102095672913
72,draw,0.06055102095672913
73,man,0.06041000880695489
74,opinions,0.05985246640443038
75,new,0.05958342144861948
76,urging,0.05917305276139578
77,inalienable,0.05786764364261973
78,endowed,0.05786764364261973
79,wishes,0.05723983677517436
80,abroad,0.05662753290712136
81,voters,0.05662753290712136
82,declare,0.05602998479476735
83,june,0.05602998479476735
84,rights,0.055645314300268284
85,creator,0.054876425793633644
86,removed,0.054876425793633644
87,glory,0.05431916533712858
88,degradation,0.05431916533712858
89,dignity,0.05431916533712858
90,cruel,0.05431916533712858
91,recently,0.053774153360359074
92,almighty,0.053774153360359074
93,serve,0.053240862984715615
94,remove,0.05220750318510432
