,term,score
0,capt,0.24727414737654768
1,convention,0.2365269540164709
2,mr,0.2146741893879162
3,ingraham,0.20019686422895977
4,committee,0.17741341181699027
5,martinez,0.15597079398339608
6,dr,0.1439943055685283
7,craig,0.14179163089399643
8,winston,0.14179163089399643
9,messrs,0.14025628138241072
10,curiel,0.1381751598414577
11,banks,0.12774229719582675
12,norager,0.12282236430351795
13,baylor,0.1074695687655782
14,president,0.10535175467398297
15,barber,0.10267159946903724
16,rouge,0.0992541416257975
17,captain,0.09792179185646852
18,rev,0.09786871364686764
19,cromwell,0.0962480083269686
20,1865,0.0940988651463128
21,plumley,0.09211677322763846
22,morphy,0.09211677322763846
23,chesse,0.09211677322763846
24,mccarey,0.09211677322763846
25,louisiana,0.09188475955856734
26,barrett,0.09072095754070585
27,motion,0.08942602529642368
28,french,0.08748263605864619
29,noble,0.08747097978897238
30,baton,0.08507497853639787
31,dove,0.08507497853639787
32,rogers,0.07952719857854317
33,durant,0.07676397768969871
34,aubert,0.07676397768969871
35,boguille,0.07676397768969871
36,isabelle,0.07676397768969871
37,clock,0.07575143903904459
38,rules,0.07480335007061906
39,executive,0.07470268425234781
40,tribune,0.07455005606344495
41,maj,0.07303695100034333
42,logan,0.07069084318092725
43,illegible,0.06954360646473409
44,delegates,0.06900250664398024
45,vote,0.06851783702909559
46,bureau,0.06677407374035402
47,legislature,0.06648617386855636
48,called,0.06472664794573534
49,leagues,0.06410811228280866
50,applause,0.06340620327685002
51,colored,0.06152264034232604
52,du,0.061411182151758975
53,comite,0.061411182151758975
54,terrebonne,0.061411182151758975
55,state,0.06028649354423016
56,january,0.05866989434555199
57,dunn,0.056716652357598575
58,league,0.05589213498265821
59,gen,0.05589213498265821
60,petition,0.055565636251158894
61,offered,0.05551862832429527
62,thomas,0.052791970142551804
63,regulations,0.05259976943357572
64,general,0.05218134943738406
65,members,0.05181790778329012
66,black,0.0514273031735506
67,commanding,0.05127996268119019
68,minutes,0.05064109356203664
69,roll,0.050454396357994716
70,chair,0.04940973646776882
71,motions,0.04896089592823426
72,avery,0.04869130066689555
73,names,0.048620183084020725
74,order,0.04835225231421593
75,time,0.04835225231421593
76,adopted,0.04802144661757615
77,men,0.0477325612918626
78,orleans,0.0469153340818076
79,vagner,0.04605838661381923
80,chevarre,0.04605838661381923
81,capitaine,0.04605838661381923
82,berhill,0.04605838661381923
83,delane,0.04605838661381923
84,english,0.045791508773434755
85,proceeds,0.044181776988079534
86,soldiers,0.04307667979087634
87,major,0.04291178299206717
88,report,0.04289832217322077
89,adjourns,0.042776892589763825
90,barret,0.04253748926819893
91,appointed,0.0420189231704831
92,new,0.041730669190372015
93,graham,0.04167337845295967
94,admitted,0.04082695353111311
95,memorial,0.04080074660686188
96,past,0.040497564277693486
97,proceedings,0.0397199346079534
98,visitors,0.03888117158162052
99,white,0.038783790233675744
100,important,0.03843597345528134
101,shall,0.038253113424507684
102,ask,0.038154340399411325
103,conway,0.038101683210350144
104,grimes,0.03808236279560343
105,reads,0.03808236279560343
106,young,0.03789102522821173
107,says,0.03766200983957543
108,inquire,0.03733512707964991
109,yesterday,0.0366372192361836
110,11,0.036549200727607034
111,liberty,0.03549378494642738
112,taken,0.03549378494642738
113,industry,0.035432043534344426
114,takes,0.035345421590463624
115,lewis,0.03514463819921084
116,debate,0.03487730654575307
117,read,0.03450125332199012
118,hunter,0.0340203590777647
119,resolves,0.0340203590777647
120,answer,0.033636264238663144
121,proposed,0.033636264238663144
122,davis,0.03340773651044723
123,proposition,0.03305036850521361
124,allen,0.03270161262094638
125,ch,0.03208266944232287
126,james,0.03173789221059464
127,send,0.03165737119820793
128,copies,0.03138500819964619
129,unanimous,0.03127688938787173
130,quarter,0.030855819890917506
131,oath,0.030855819890917506
132,gaspard,0.030705591075879488
133,maistre,0.030705591075879488
134,geddis,0.030705591075879488
135,poree,0.030705591075879488
136,retires,0.030705591075879488
137,hanks,0.030705591075879488
138,berryman,0.030705591075879488
139,leger,0.030705591075879488
140,tospott,0.030705591075879488
141,hippolyte,0.030705591075879488
142,monthieu,0.030705591075879488
143,elected,0.03056636730649903
144,moves,0.030499461732144396
145,suspension,0.030499461732144396
146,consequently,0.03005701110490041
147,chas,0.03005701110490041
148,people,0.029940120761578596
149,resignation,0.029804402770600324
150,constitution,0.029200376829794376
151,carried,0.029172109850412437
152,benediction,0.029160878686215395
153,52,0.028561772096702572
154,printed,0.028538085250268106
155,edmonds,0.028358326178799288
156,des,0.028358326178799288
157,eugene,0.028358326178799288
158,parishes,0.028358326178799288
159,object,0.028205189839864923
160,unfinished,0.028001345309737427
161,minor,0.02747490526406085
162,right,0.02744082663861494
163,question,0.027410510088543224
164,amended,0.027065018020151235
165,written,0.027019322209270343
166,journal,0.027019322209270343
167,classes,0.027019322209270343
168,morrow,0.027019322209270343
169,38,0.026978564386524094
170,official,0.026726189208357787
171,citizens,0.02669976275136934
172,explains,0.02669291523052797
173,hays,0.02669291523052797
174,returns,0.02650906619284772
175,alex,0.02650906619284772
176,particular,0.02644029480417089
177,matter,0.0261997434055706
178,proper,0.0261997434055706
179,grievances,0.025888850819111294
180,prayer,0.025813789685992978
181,business,0.025728848382205648
182,secretary,0.025728848382205648
183,cars,0.025639981340595096
184,let,0.025623982303520896
185,riding,0.025401122140233427
186,power,0.025373370204743458
187,conventions,0.025308602524531734
188,day,0.025024021267712113
189,half,0.02470126856712395
190,country,0.02451103851611514
191,thirds,0.02448044796411713
192,sessions,0.024376512702185108
193,elect,0.024376512702185108
194,committees,0.024310091542010363
195,thanks,0.024175877005598503
196,letter,0.02392920985352653
197,does,0.02392920985352653
198,remarks,0.023742463148209155
199,present,0.023683914023833998
200,race,0.02349472293303705
201,vance,0.023453261636161772
202,substantially,0.023453261636161772
203,following,0.023203376013196466
204,henry,0.022843250454754396
205,having,0.02283927900969853
206,organ,0.022837145887358835
207,seat,0.022830468200214483
208,hon,0.022830468200214483
209,rights,0.022733971164876812
210,political,0.022679211492935697
211,vice,0.022679211492935697
212,session,0.022363435473164595
213,suspended,0.022258024580118007
214,contributed,0.022258024580118007
215,john,0.02220767476426719
216,synopsis,0.021998385436367576
217,vincent,0.021998385436367576
218,documents,0.021982331541710164
219,speakers,0.021982331541710164
