,term,score
0,ruffin,0.24071079491568442
1,downing,0.22928775316491068
2,mr,0.22792680730996934
3,colored,0.21649131877961042
4,grimes,0.19542773971069255
5,convention,0.19315257524795598
6,boston,0.1608341869994888
7,rev,0.1488101059746255
8,washington,0.1462503790299909
9,rhode,0.13572274172243182
10,committee,0.13242685597709802
11,talbot,0.12901644683545163
12,congress,0.1263063362459423
13,george,0.11875534828934851
14,island,0.11755810372157731
15,ross,0.1094817947412474
16,delegate,0.10390117888749434
17,people,0.09657628762397799
18,rights,0.09523608612862468
19,resolved,0.0950022365962459
20,idea,0.09392014546116738
21,peter,0.0920336234114206
22,delegation,0.0920336234114206
23,nation,0.09098344904617552
24,douglass,0.08602200973532385
25,men,0.08398278329168687
26,stress,0.0831581593197502
27,rebellion,0.08101900431534838
28,care,0.072896724211695
29,government,0.07287495140094417
30,white,0.07237355043962211
31,new,0.07138326649408568
32,marked,0.06974844550722888
33,remarks,0.06962256942365389
34,loyal,0.06881760778825909
35,citizens,0.06850775401354889
36,states,0.06850775401354889
37,motion,0.06840874401442802
38,connecticut,0.0629174102915964
39,hayden,0.061101657110042375
40,urging,0.06076425323651128
41,adopted,0.060350757809858636
42,remond,0.05962456039417476
43,based,0.05815028275796587
44,president,0.057925170357532904
45,reported,0.05700728667869002
46,brown,0.055698055538923104
47,frederick,0.05522017404685237
48,james,0.05318195601090579
49,respect,0.05278015479526601
50,wells,0.052741423954938096
51,efforts,0.05238305311682858
52,great,0.05205353671496012
53,ceased,0.05182358403862542
54,agitation,0.05182358403862542
55,england,0.05161320584119432
56,appointed,0.051340246679586816
57,invited,0.0511372320793706
58,construction,0.05095283403664682
59,finance,0.050211171667034336
60,earnestness,0.05012457693102833
61,maine,0.05012457693102833
62,interests,0.04864832401162323
63,south,0.04864832401162323
64,action,0.04864832401162323
65,spoke,0.04845434720193366
66,did,0.04829648867176265
67,excuse,0.04785776093138704
68,sacrifices,0.04785776093138704
69,color,0.047603570611987264
70,chairman,0.04659000858474647
71,hatred,0.04649896367148592
72,voted,0.04602738261784543
73,reconstruction,0.045858287515701444
74,kansas,0.045858287515701444
75,according,0.04526721109741483
76,path,0.045240913907477275
77,5½,0.045020647879493426
78,disasters,0.045020647879493426
79,shamed,0.045020647879493426
80,empowering,0.045020647879493426
81,apointed,0.045020647879493426
82,occured,0.045020647879493426
83,alias,0.045020647879493426
84,southac,0.045020647879493426
85,importance,0.04381173754404401
86,session,0.043719132511299615
87,business,0.04311283414142292
88,resolutions,0.04193178266044978
89,person,0.04177354165419232
90,scourging,0.0415790796598751
91,7½,0.0415790796598751
92,halsey,0.0415790796598751
93,mott,0.0415790796598751
94,clogged,0.0415790796598751
95,jourdain,0.0415790796598751
96,kay,0.0415790796598751
97,advertiser,0.0415790796598751
98,steamburg,0.0415790796598751
99,series,0.041452850573500385
100,man,0.041356314536926925
101,black,0.04112885266660708
102,victory,0.04005678457583771
103,classes,0.03961582723224926
104,member,0.039585116096449505
105,discussion,0.039287289837621434
106,fund,0.0391860345738591
107,honorary,0.0391860345738591
108,subservient,0.03913724814809956
109,disregarding,0.03913724814809956
110,mortie,0.03913724814809956
111,showered,0.03913724814809956
112,cavalry,0.03913724814809956
113,agriculturist,0.03913724814809956
114,afternoon,0.038992906734075225
115,honor,0.038414157847684066
116,assistance,0.03835777746824061
117,example,0.03835777746824061
118,civil,0.03812964254307868
119,temporary,0.037958326021202006
120,act,0.037569974852670794
121,william,0.037569974852670794
122,brief,0.03756805818446695
123,cambridge,0.037243216481111126
124,2½,0.037243216481111126
125,cognizance,0.037243216481111126
126,clock,0.03702234396458969
127,assembly,0.0364483621058475
128,practical,0.0364483621058475
129,considerably,0.03569567992848124
130,sergt,0.03569567992848124
131,murdering,0.03569567992848124
132,provoke,0.03569567992848124
133,purpose,0.035193383885105615
134,length,0.03506180375516095
135,exist,0.03473216420869821
136,justice,0.03469407661587795
137,resolution,0.03469407661587795
138,proclamations,0.034387256416526346
139,unoffending,0.034387256416526346
140,whipping,0.034387256416526346
141,impending,0.034387256416526346
142,discreet,0.034387256416526346
143,assessment,0.034387256416526346
144,guiding,0.034387256416526346
145,americans,0.03409148805291373
146,blacks,0.03377999485049006
147,read,0.03372390766168265
148,law,0.03372390766168265
149,minnesota,0.03325384841670571
150,mccune,0.03325384841670571
151,indorsing,0.03325384841670571
152,beseech,0.03325384841670571
153,raise,0.03317364813660105
154,accepted,0.03317364813660105
155,long,0.03301979308155352
156,expressed,0.032878407595286804
157,general,0.03278934938347471
158,adjourned,0.03278934938347471
159,robert,0.03258821414877176
160,united,0.032560972472852764
161,members,0.032560972472852764
162,reconstructed,0.03225411170886291
163,caldwell,0.03225411170886291
164,commends,0.03225411170886291
165,said,0.031887879851705464
166,representation,0.03174626127538169
167,report,0.031448836995337334
168,officially,0.031359816749717266
169,bound,0.031207298445048274
170,legislation,0.031207298445048274
171,southern,0.031207298445048274
172,sent,0.03094410087472132
173,country,0.030804148007752094
174,peace,0.03068492174523029
175,absence,0.03068492174523029
176,dec,0.030550828555021187
177,porter,0.030550828555021187
178,absorbing,0.030550828555021187
179,yielded,0.030550828555021187
180,newport,0.030550828555021187
181,intense,0.030550828555021187
182,admitted,0.02993031292533159
183,confidence,0.02993031292533159
184,force,0.02993031292533159
185,refined,0.02981228019708738
186,favoring,0.02981228019708738
187,indicated,0.02981228019708738
188,workers,0.02981228019708738
189,provisional,0.02981228019708738
190,surrender,0.02981228019708738
191,portland,0.02981228019708738
192,declaration,0.02968605111071267
193,sense,0.02920782502936267
194,principle,0.02920782502936267
195,following,0.029160748473390837
196,salem,0.02913288156713682
197,twelfth,0.02913288156713682
198,massacre,0.02913288156713682
199,deliberative,0.02913288156713682
200,circumstances,0.02874270269488647
201,wisconsin,0.02850385668513249
202,gratification,0.02850385668513249
203,privileged,0.02850385668513249
204,substantial,0.02850385668513249
205,murray,0.02850385668513249
206,materially,0.02850385668513249
207,ruling,0.02850385668513249
208,permanent,0.02828998511305
209,merchant,0.027918248530098937
210,ended,0.027918248530098937
211,unfair,0.027918248530098937
212,embraced,0.027918248530098937
213,messrs,0.02741923511107139
214,course,0.02741923511107139
215,sherman,0.02737044868531185
216,design,0.02737044868531185
217,needful,0.02737044868531185
218,circumstance,0.02737044868531185
219,assuming,0.02737044868531185
220,exclusive,0.02737044868531185
221,affect,0.02737044868531185
222,warfare,0.02737044868531185
223,charles,0.027208351613677066
224,saved,0.02685586982859266
225,status,0.02685586982859266
226,applauded,0.02685586982859266
227,creating,0.02685586982859266
228,resistance,0.02685586982859266
229,war,0.02679428466575107
230,state,0.026517681985378287
231,character,0.026390077397633004
232,plainly,0.026370711977469048
233,drive,0.026370711977469048
234,conceded,0.026370711977469048
235,humblest,0.026370711977469048
236,rulers,0.026370711977469048
237,evening,0.02619152655841429
238,york,0.02619152655841429
239,presented,0.02619152655841429
240,residing,0.02591179201931271
241,forcibly,0.02591179201931271
242,selecting,0.02591179201931271
243,influence,0.025801258721679238
244,class,0.025801258721679238
245,proper,0.02560943856512271
246,derive,0.02547641701832341
247,lee,0.02547641701832341
248,selection,0.02547641701832341
249,proceeding,0.02547641701832341
250,prayer,0.025232180745551773
251,given,0.025232180745551773
252,bedford,0.025062288465514164
253,sorrow,0.025062288465514164
254,fruits,0.025062288465514164
255,entitle,0.025062288465514164
256,hudson,0.025062288465514164
257,refusing,0.025062288465514164
258,body,0.02504664990178053
259,trusted,0.024667428823627335
260,expressive,0.024667428823627335
261,thanked,0.024667428823627335
262,amos,0.024667428823627335
263,support,0.024501921779073108
264,organization,0.024324162005811615
265,common,0.024324162005811615
266,secure,0.024324162005811615
267,recommendation,0.02429012441367798
268,nominating,0.02429012441367798
269,execution,0.02429012441367798
270,lately,0.02429012441367798
271,trodden,0.02429012441367798
272,meant,0.02429012441367798
273,wm,0.02397413098154312
274,thereon,0.02392888046569352
275,mechanic,0.02392888046569352
276,briefly,0.02392888046569352
277,partial,0.02392888046569352
278,remained,0.02392888046569352
279,just,0.023801785305993632
280,discrimination,0.023582385351334965
281,withheld,0.023582385351334965
282,agency,0.023582385351334965
283,mission,0.023582385351334965
284,land,0.023295004292373234
285,legislatures,0.02324948183574296
286,outrages,0.022929143757850722
287,consistent,0.022929143757850722
