,term,score
0,league,0.4034958714527713
1,adrian,0.35095561542931136
2,detroit,0.3371164409525868
3,mr,0.2701386152504084
4,michigan,0.16572387330125465
5,state,0.15113119317922408
6,creek,0.14678510108928214
7,roberts,0.13585942082745817
8,convention,0.1311111507879066
9,rights,0.12985384242545608
10,equal,0.12954106144408065
11,rice,0.12904402676942214
12,1865,0.11944043386295469
13,committee,0.10850171899926092
14,county,0.10841574475492435
15,parker,0.10207759844085362
16,paul,0.10070326577052689
17,shall,0.09931700343315945
18,cullen,0.09743712409334046
19,lewis,0.09559150128074778
20,resolution,0.0951109219839164
21,bureau,0.08946557443300146
22,hillsdale,0.08769341168400642
23,lenawee,0.08098975740676416
24,moved,0.08073668762339026
25,anderson,0.07811081485714617
26,dolbeare,0.07794969927467237
27,people,0.07410630261925155
28,battle,0.06579831998501602
29,hudson,0.0650900622615796
30,ypsilanti,0.05846227445600428
31,grinton,0.05846227445600428
32,leagues,0.058123524302170146
33,motion,0.05675458063939753
34,national,0.056376754487041755
35,members,0.05402772305008168
36,september,0.05336847033101995
37,report,0.052182380512371236
38,evans,0.051617610707768866
39,johnson,0.051232043675335834
40,black,0.050441382097191664
41,nichols,0.05037936269604172
42,constitution,0.04864685344097807
43,president,0.04805699621402306
44,officers,0.04688421878906752
45,secretary,0.04665404395664927
46,ann,0.04635318981766805
47,carried,0.046285487234799645
48,burton,0.046284305297572374
49,following,0.04628207369483827
50,adopted,0.04571550153510084
51,kalamazoo,0.04499430967042453
52,colored,0.044902425071623515
53,auxiliary,0.044719213201576236
54,said,0.04370898361681774
55,arbor,0.04235191055763573
56,representatives,0.04176173219181131
57,association,0.04122460975242339
58,resolved,0.04112221903669974
59,executive,0.041088973478906214
60,men,0.04039154507850473
61,carter,0.03916553626059097
62,coldwater,0.03897484963733618
63,burdine,0.03897484963733618
64,proceedings,0.037812620390311164
65,clock,0.03739240585685466
66,hackley,0.03599544773633963
67,prichard,0.03599544773633963
68,sec,0.03585351525012007
69,marshall,0.03554232909548008
70,city,0.03426851586391645
71,gentlemen,0.03397125838988998
72,eaton,0.033881528446108575
73,watts,0.033881528446108575
74,appointed,0.03333434472172615
75,provided,0.03320253081149339
76,treasurer,0.03289915999250801
77,united,0.032886440117441025
78,assembled,0.032770937671603
79,washington,0.031652623854696166
80,recording,0.03140039864946977
81,fowler,0.03090212654511203
82,states,0.029653942551167548
83,macomb,0.02923113722800214
84,jenkins,0.028987369919249373
85,conventions,0.02891196844048476
86,meet,0.028332502746095185
87,called,0.028106700026968988
88,business,0.02799242637398956
89,cass,0.027922724644115476
90,documents,0.027902347308638685
91,esq,0.02760951501307562
92,day,0.027225589832541516
93,received,0.02714349508840751
94,southern,0.027016487362396382
95,207,0.02699658580225472
96,gillam,0.02699658580225472
97,freedmen,0.026914627413831237
98,south,0.026322104450504095
99,james,0.025897601335660502
100,brooks,0.02589435520332104
101,jackson,0.02549106700819941
102,2d,0.025356532143368807
103,fields,0.025170656505507892
104,12th,0.025159152005084846
105,delegates,0.024329285416913916
106,read,0.024329285416913916
107,vice,0.023989085452607525
108,support,0.023863018579529133
109,13th,0.023844751218644374
110,contemplated,0.023844751218644374
