,term,score
0,mississippi,0.40259422848956594
1,masters,0.19100263077971344
2,sudden,0.1887745912099296
3,freedmen,0.1819592411689774
4,expatriation,0.17050687547201493
5,dangers,0.1601918325464947
6,emancipation,0.14432131962252048
7,warranteeism,0.13174683705709117
8,state,0.12933401643510903
9,scheme,0.12733508718647565
10,404,0.12167555312833529
11,intentionally,0.12167555312833529
12,353,0.12167555312833529
13,unchecked,0.12167555312833529
14,901,0.12167555312833529
15,437,0.12167555312833529
16,handing,0.11452986346247654
17,imminent,0.11452986346247654
18,facilitated,0.11452986346247654
19,notoriously,0.11452986346247654
20,legislature,0.11410746783625285
21,evils,0.10993784126404667
22,men,0.10922855856961036
23,diminished,0.10898723595343626
24,prescriptive,0.10898723595343626
25,nullify,0.10898723595343626
26,statement,0.1056153174997537
27,convention,0.10276997962221697
28,guarding,0.10062965508792864
29,blacks,0.09885258624596606
30,alarm,0.09731288986786193
31,pass,0.09707819459508037
32,whites,0.09536500120859957
33,ordinance,0.0943872956049648
34,police,0.0943872956049648
35,enslavement,0.08940286782125255
36,vicksburg,0.08940286782125255
37,permitting,0.08724160593910607
38,threatening,0.08169897843006577
39,warn,0.08169897843006577
40,1860,0.08169897843006577
41,sort,0.08169897843006577
42,inaugurated,0.08169897843006577
43,result,0.07962156111644766
44,colored,0.07919157054302325
45,status,0.07859007084493028
46,mature,0.07859007084493028
47,pretext,0.07582735482091066
48,resolve,0.07455328876420704
49,denounce,0.07455328876420704
50,organic,0.07455328876420704
51,tribune,0.07108176390066898
52,lately,0.07108176390066898
53,proclamation,0.07002463234449145
54,arise,0.07002463234449145
55,laws,0.06915342813187503
56,number,0.06915342813187503
57,rebels,0.06901066125516674
58,hostile,0.06803646414139285
59,guard,0.06803646414139285
60,union,0.06768501526963128
61,race,0.06720503390432728
62,miss,0.06709903808159431
63,belief,0.06709903808159431
64,reconstruction,0.06709903808159431
65,restored,0.06619570789869944
66,law,0.0657923031157422
67,refer,0.06448200483545116
68,legislative,0.06287894267863273
69,stands,0.06211461029788207
70,advocated,0.06211461029788207
71,provision,0.06211461029788207
72,conviction,0.05995334841573558
73,understand,0.05927278961329594
74,increased,0.05733631516959243
75,firm,0.05733631516959243
76,establishing,0.05733631516959243
77,official,0.05733631516959243
78,mean,0.055539953652611836
79,security,0.05441072090669528
80,composed,0.0533306010634312
81,practical,0.0533306010634312
82,protest,0.0533306010634312
83,board,0.05280765874987685
84,simply,0.05280765874987685
85,thousands,0.051793687660552125
86,control,0.051793687660552125
87,record,0.051301813321559794
88,finally,0.04897873430408482
89,heard,0.04897873430408482
90,freemen,0.04853909729754018
91,protect,0.04853909729754018
92,september,0.048107106540840154
93,oppression,0.048107106540840154
94,18,0.04685446251429061
95,allowed,0.04685446251429061
96,amended,0.04645056999862321
97,sent,0.04527686303773794
98,slaves,0.044897636703267456
99,possible,0.04172240373179625
100,demand,0.04074820661802237
101,majority,0.03981078055822383
102,north,0.039204925097578835
103,war,0.039204925097578835
104,view,0.038907450375328945
105,efforts,0.038322980057997225
106,entitled,0.03803582261208428
107,class,0.03775194703740873
108,county,0.036647816711439754
109,ask,0.03637928606986734
110,interests,0.035590685155262244
111,attention,0.035333285521012135
112,slavery,0.034826352774511585
113,believe,0.034576714065937514
114,purpose,0.03432955936580834
115,meeting,0.03243615984853693
116,cause,0.03220931952836842
117,constitution,0.03132212370292558
118,power,0.03110518920239945
119,make,0.030676922689266493
120,white,0.030255915281153154
121,right,0.02943472173305118
122,present,0.029034086556897206
123,held,0.028836166446573077
124,states,0.028639810938461924
125,citizens,0.028639810938461924
126,people,0.025692494905554242
127,payments,0.0
128,pensacola,0.0
129,pens,0.0
130,payne,0.0
131,paynesville,0.0
132,paym,0.0
133,payment,0.0
134,paying,0.0
135,pays,0.0
136,penny,0.0
137,paymaster,0.0
138,pauperizes,0.0
139,pension,0.0
140,patriots,0.0
141,patronizing,0.0
142,patronized,0.0
143,patronize,0.0
144,pensylvania,0.0
145,patronage,0.0
146,patron,0.0
147,patrols,0.0
148,patriotism,0.0
149,patterson,0.0
150,patriotically,0.0
151,patriotic,0.0
152,patriot,0.0
153,patrick,0.0
154,patrician,0.0
155,patriarch,0.0
156,paton,0.0
157,patrons,0.0
158,pattison,0.0
159,payers,0.0
160,paupers,0.0
161,payable,0.0
162,pay,0.0
163,pensions,0.0
164,paved,0.0
165,pausing,0.0
166,pauses,0.0
167,pause,0.0
168,peabody,0.0
169,patton,0.0
170,pauperism,0.0
171,pauper,0.0
172,paupau,0.0
173,pauline,0.0
174,paul,0.0
175,paucity,0.0
176,pensive,0.0
177,payton,0.0
178,peasant,0.0
179,peacable,0.0
180,penmanship,0.0
181,pelman,0.0
182,pelled,0.0
183,penitentiaries,0.0
184,pell,0.0
185,pelham,0.0
186,penitentiary,0.0
187,pelam,0.0
188,peirce,0.0
189,pegs,0.0
190,peesident,0.0
191,peers,0.0
192,peer,0.0
193,peeled,0.0
194,penman,0.0
195,peek,0.0
196,pedple,0.0
197,pedigree,0.0
198,pelt,0.0
199,pembina,0.0
200,pen,0.0
201,penitential,0.0
202,peninsula,0.0
203,penetrate,0.0
204,peneton,0.0
205,pendulum,0.0
206,pends,0.0
207,pendleton,0.0
208,pending,0.0
209,pendency,0.0
210,penal,0.0
211,pencils,0.0
212,pencil,0.0
213,pencader,0.0
214,penance,0.0
215,penalty,0.0
216,penalties,0.0
217,penalities,0.0
218,pedestal,0.0
219,penn,0.0
220,peace,0.0
221,peden,0.0
222,pennsylvana,0.0
223,penetrated,0.0
224,peas,0.0
225,pennsylvania,0.0
226,pears,0.0
227,pearly,0.0
228,pearls,0.0
229,pearl,0.0
230,pennsylvanians,0.0
231,pearce,0.0
232,peak,0.0
233,pennsyvania,0.0
234,peacefulness,0.0
235,peacefully,0.0
236,peaceful,0.0
237,peaceably,0.0
238,peaceable,0.0
239,peasants,0.0
240,peck,0.0
241,pennsylania,0.0
242,peculiarity,0.0
