,term,score
0,galloway,0.42949859459828027
1,raleigh,0.3438977163122423
2,sir,0.21614062354198751
3,mr,0.21254155861776153
4,negro,0.20430156136206984
5,don,0.17668145771824864
6,white,0.1457746755307874
7,people,0.13754207046531158
8,president,0.12099398813721737
9,randolph,0.11973395811876389
10,man,0.11338030319061243
11,want,0.10907321687421438
12,lock,0.10579392627711093
13,newbern,0.10105849284665419
14,committee,0.09632058795294281
15,convention,0.09627944932571811
16,mayor,0.08930820426609323
17,vote,0.08743456503132796
18,carolina,0.08738462227814901
19,colored,0.08478874952336772
20,capt,0.08414473644356296
21,voting,0.07137494155772063
22,handling,0.07052928418474062
23,rains,0.07052928418474062
24,meeting,0.0694574287146729
25,state,0.06923760603036612
26,reporter,0.06698115319956993
27,wilmington,0.06560503382104108
28,north,0.06296383348733559
29,motion,0.06251527506816687
30,inner,0.06131235837019871
31,wouldn,0.06131235837019871
32,quit,0.06131235837019871
33,agitate,0.059866979059381945
34,response,0.05388114695302409
35,suppose,0.053155764477757085
36,delegates,0.052831826713319395
37,moses,0.05112562520365423
38,place,0.05100997406826277
39,circulars,0.050529246423327095
40,allowed,0.0501660878668633
41,resolved,0.049610123788960354
42,stanley,0.04912824518746319
43,payne,0.04912824518746319
44,fish,0.04912824518746319
45,appointed,0.04825773531120506
46,wish,0.04767103189287739
47,jr,0.047596597190947304
48,right,0.04727270651156907
49,capable,0.04706467714166947
50,called,0.04694969552005708
51,tremendous,0.046703876582221006
52,condition,0.045944921763070495
53,half,0.04539011247011172
54,judgement,0.044654102133046616
55,applause,0.043692311139074506
56,price,0.043253923827418626
57,orator,0.042878506741114916
58,israel,0.04207236822178148
59,furnishing,0.04207236822178148
60,said,0.0416295900888589
61,night,0.0408085200103619
62,good,0.040773499013354954
63,takes,0.040593377242321545
64,favor,0.03952869916859547
65,got,0.03926254615961081
66,code,0.038643959595280046
67,citizens,0.03833005425019617
68,large,0.03810619827719062
69,leader,0.037486950767679106
70,willing,0.03730023648184139
71,rights,0.037299179929548044
72,thanks,0.03702056075128774
73,privilege,0.03635773895807146
74,question,0.035977508384732064
75,reconstruction,0.03592076463534939
76,friends,0.03547093256686898
77,knows,0.03543717631850472
78,responded,0.03543717631850472
79,perilously,0.03526464209237031
80,om,0.03526464209237031
81,salve,0.03526464209237031
82,thumbscrews,0.03526464209237031
83,unsuitable,0.03526464209237031
84,fitoh,0.03526464209237031
85,jumps,0.03526464209237031
86,mcilvaine,0.03526464209237031
87,treble,0.03526464209237031
88,thumbscrewing,0.03526464209237031
89,behave,0.03526464209237031
90,slipping,0.03526464209237031
91,grumbling,0.03526464209237031
92,objector,0.03526464209237031
93,levitt,0.03526464209237031
94,garrisoned,0.03526464209237031
95,vim,0.03526464209237031
96,john,0.03400664937884185
97,rev,0.03330367207108712
98,think,0.03323928841985663
99,resolutions,0.03284513612007263
100,unfrequently,0.032568864105652406
101,throat,0.032568864105652406
102,roses,0.032568864105652406
103,pierson,0.032568864105652406
104,mitigate,0.032568864105652406
105,thro,0.032568864105652406
106,accomplishments,0.032568864105652406
107,rt,0.032568864105652406
108,horns,0.032568864105652406
109,moved,0.032467095738295086
110,box,0.032095394794243295
111,held,0.030874277114182412
112,deny,0.030694393558379395
113,spectator,0.030656179185099355
114,wasn,0.030656179185099355
115,cartridge,0.030656179185099355
116,hereto,0.030656179185099355
117,rain,0.030656179185099355
118,withal,0.030656179185099355
119,fo,0.030656179185099355
120,overheard,0.030656179185099355
121,closes,0.030656179185099355
122,stops,0.030656179185099355
123,ha,0.030656179185099355
124,matter,0.03008978305697451
125,know,0.02921290252168767
126,touches,0.02917258550100255
127,bu,0.02917258550100255
128,theatre,0.02917258550100255
129,prohibits,0.02917258550100255
130,favorite,0.02917258550100255
131,chivalry,0.02917258550100255
132,spelling,0.02917258550100255
133,singly,0.02917258550100255
134,blunt,0.02917258550100255
135,subsist,0.02917258550100255
136,enable,0.02912820742604967
137,knew,0.028835949218279082
138,says,0.028835949218279082
139,going,0.028835949218279082
140,books,0.028835949218279082
141,ladies,0.028835949218279082
142,geo,0.02854997662308825
143,wants,0.02854997662308825
144,say,0.028372954425602066
145,greatest,0.02799584589589453
146,slavery,0.027965882750799788
147,bibles,0.027960401198381453
148,big,0.027960401198381453
149,stopped,0.027960401198381453
150,thoughtful,0.027960401198381453
151,murdering,0.027960401198381453
152,defiant,0.027960401198381453
153,mouth,0.027960401198381453
154,offended,0.027960401198381453
155,piles,0.027960401198381453
156,rue,0.027960401198381453
157,atrocities,0.027960401198381453
158,riley,0.027960401198381453
159,evidence,0.02772720619018577
160,informed,0.02772720619018577
161,tell,0.027463886433803777
162,bear,0.027205680006907932
163,green,0.027205680006907932
164,hearts,0.026952392097976393
165,calling,0.026952392097976393
166,ballot,0.026952392097976393
167,nigger,0.026935513973794255
168,scoundrel,0.026935513973794255
169,successor,0.026935513973794255
170,shun,0.026935513973794255
171,sufferers,0.026935513973794255
172,astonished,0.026935513973794255
173,whipping,0.026935513973794255
174,poem,0.026935513973794255
175,qualify,0.026935513973794255
176,catch,0.026935513973794255
177,invitations,0.026935513973794255
178,subject,0.026792260743500083
179,extended,0.026703838820807495
180,law,0.026415913356659698
181,having,0.026230369509398384
182,printed,0.026220250503962823
183,fires,0.026047716277828405
184,begging,0.026047716277828405
185,remedied,0.026047716277828405
186,insensible,0.026047716277828405
187,chose,0.026047716277828405
188,fined,0.026047716277828405
189,till,0.02598489545434384
190,freemen,0.02598489545434384
191,court,0.02598489545434384
192,met,0.025864380897003925
193,proposed,0.02575363374419535
194,close,0.02575363374419535
195,poor,0.02552632541988388
196,gentleman,0.02552632541988388
197,consisting,0.02530283758494358
198,driving,0.025264623211663548
199,retire,0.025264623211663548
200,mad,0.025264623211663548
201,staff,0.025264623211663548
202,tendering,0.025264623211663548
203,insecure,0.025264623211663548
204,novel,0.025264623211663548
205,short,0.02508304393343165
206,section,0.024654064371633106
207,thing,0.024654064371633106
208,report,0.02463385209005447
209,29th,0.024564122593731596
210,proposal,0.024564122593731596
211,crops,0.024564122593731596
212,laughter,0.024564122593731596
213,bull,0.024564122593731596
214,behooves,0.024564122593731596
215,lane,0.024564122593731596
