,term,score
0,government,0.15999707782952755
1,law,0.14808179148348996
2,bare,0.13414879049952816
3,equality,0.12520873510554129
4,denial,0.11004859258543499
5,persons,0.10084099351007797
6,jingle,0.09884290780628555
7,recuperate,0.09884290780628555
8,swindle,0.09884290780628555
9,copulation,0.09884290780628555
10,jelly,0.09884290780628555
11,bat,0.09884290780628555
12,rebuilding,0.09884290780628555
13,state,0.09703269200438103
14,national,0.09531689278311946
15,congress,0.0924352575757724
16,devilish,0.09128693901722411
17,beer,0.09128693901722411
18,outright,0.09128693901722411
19,intimation,0.09128693901722411
20,signifying,0.09128693901722411
21,freedmen,0.09100980284671845
22,louisiana,0.09100980284671845
23,protected,0.08893867982013964
24,right,0.08833345988573166
25,risked,0.08592589384428584
26,preposterous,0.08592589384428584
27,recollect,0.08592589384428584
28,bearer,0.08592589384428584
29,property,0.08560899202809641
30,disposed,0.08421456466143562
31,excusable,0.08176754414786584
32,relied,0.08176754414786584
33,shattered,0.08176754414786584
34,incite,0.08176754414786584
35,cabarras,0.08176754414786584
36,undergone,0.08176754414786584
37,accession,0.08176754414786584
38,recognized,0.0816431572914872
39,fury,0.07836992505522443
40,provoke,0.07836992505522443
41,decently,0.07836992505522443
42,brutal,0.07836992505522443
43,unheard,0.07836992505522443
44,discredit,0.07836992505522443
45,justice,0.07617090330522398
46,feelings,0.07554458656693758
47,founded,0.07554458656693758
48,ballot,0.07554458656693758
49,bullet,0.07549727904377859
50,scoundrel,0.07549727904377859
51,policy,0.0748479191062044
52,field,0.0748479191062044
53,means,0.07352083677330754
54,sinew,0.07300887988228616
55,volunteered,0.07300887988228616
56,standpoint,0.07300887988228616
57,tranquility,0.07300887988228616
58,protect,0.07283280003302141
59,millions,0.07283280003302141
60,therefor,0.07081395626616299
61,designing,0.07081395626616299
62,yea,0.07081395626616299
63,allowed,0.07030500954806515
64,calamity,0.06885053018586614
65,mockery,0.06885053018586614
66,coleman,0.06885053018586614
67,regain,0.06885053018586614
68,bone,0.06885053018586614
69,emergency,0.06885053018586614
70,implore,0.06885053018586614
71,advocating,0.06707439524976408
72,hardships,0.06707439524976408
73,words,0.0668083260008136
74,suffrage,0.06571205214573013
75,admitted,0.06571205214573013
76,acknowledging,0.06545291109322474
77,unfortunately,0.06545291109322474
78,severest,0.06545291109322474
79,internal,0.06545291109322474
80,declaration,0.06517577492271906
81,doomed,0.06396129026351854
82,witnesses,0.06396129026351854
83,rights,0.06272729597032871
84,concord,0.06258026508177891
85,confusion,0.06258026508177891
86,logic,0.06258026508177891
87,easily,0.06258026508177891
88,things,0.061623505050514935
89,letter,0.061623505050514935
90,men,0.061461447115221356
91,appropriation,0.06129456139680472
92,introduce,0.06129456139680472
93,contracts,0.06129456139680472
94,meetings,0.06019897659973417
95,defending,0.06009186592028648
96,motive,0.06009186592028648
97,dangers,0.06009186592028648
98,prejudice,0.05927866752098868
99,designs,0.05896210717869968
100,beaten,0.05896210717869968
101,sake,0.05896210717869968
102,war,0.058826896850556906
103,future,0.05838053673743624
104,slight,0.057896942304163306
105,people,0.05782729123499222
106,republican,0.05707266135206426
107,campaign,0.056889382767571814
108,armies,0.056889382767571814
109,sept,0.056889382767571814
110,trouble,0.056889382767571814
111,agitation,0.056889382767571814
112,principles,0.05622556525260826
113,assessed,0.05593351622386646
114,organic,0.05593351622386646
115,enduring,0.05593351622386646
116,immortal,0.055024296292717496
117,years,0.054989961799853604
118,let,0.054989961799853604
119,important,0.054989961799853604
120,support,0.05379401029430485
121,proscribed,0.053329008823926174
122,claiming,0.053329008823926174
123,guarantee,0.053329008823926174
124,entertain,0.053329008823926174
125,guarantees,0.053329008823926174
126,circular,0.053329008823926174
127,terrible,0.05253589713122505
128,receipt,0.05253589713122505
129,try,0.05253589713122505
130,color,0.052256859495283706
131,weight,0.051775166527446445
132,contended,0.051044276301518865
133,question,0.050420496755038985
134,expressing,0.05034097351510188
135,positions,0.05034097351510188
136,ranks,0.05034097351510188
137,skin,0.05034097351510188
138,commercial,0.05034097351510188
139,daughters,0.04900931342709324
140,violence,0.04900931342709324
141,element,0.04837754743480503
142,cause,0.04833000733469
143,responsibility,0.04776649885653062
144,masters,0.04776649885653062
145,injury,0.04776649885653062
146,concluded,0.047174851958286794
147,integrity,0.047174851958286794
148,witness,0.047174851958286794
149,free,0.04699877210902204
150,wives,0.04660141249870297
151,hopes,0.04660141249870297
152,1865,0.04660141249870297
153,setting,0.046045093216699993
154,patriotism,0.046045093216699993
155,physical,0.046045093216699993
156,make,0.04603064952279265
157,good,0.045713450808436445
158,occupy,0.04550490142335922
159,bearing,0.04550490142335922
160,mercy,0.04550490142335922
161,white,0.045398928908386135
162,gen,0.04497992834216362
163,box,0.04497992834216362
164,select,0.04446933991006982
165,heartily,0.04397236880557213
166,taxation,0.04397236880557213
167,present,0.04356557781405409
168,paying,0.043488307512457434
169,refuse,0.043488307512457434
170,development,0.043488307512457434
171,energy,0.043488307512457434
172,operate,0.043488307512457434
173,military,0.043488307512457434
174,degraded,0.043488307512457434
175,states,0.0429739681864715
176,voters,0.042556347722494024
177,federal,0.042556347722494024
178,based,0.042556347722494024
179,respectable,0.042556347722494024
180,value,0.04210728233071781
181,mean,0.04166878417029142
182,shown,0.04124036732576471
183,brief,0.04124036732576471
184,removed,0.04124036732576471
185,27,0.04124036732576471
186,maintain,0.04124036732576471
187,degradation,0.0408215786457436
188,carolina,0.0408215786457436
189,secured,0.0408215786457436
190,sure,0.04041199486192649
191,sound,0.04001122001799737
192,sons,0.03961888316922536
193,colored,0.03960892107452531
194,reasons,0.039234636319272
195,rest,0.039234636319272
196,refused,0.039234636319272
197,evil,0.03885815256544675
198,courts,0.03885815256544675
199,fear,0.03885815256544675
200,convention,0.03855152748999481
201,struggle,0.03848912442763857
202,tell,0.03848912442763857
203,admit,0.03848912442763857
204,tax,0.03848912442763857
205,expected,0.03812726233951918
206,loyal,0.03777229328346879
207,happy,0.0374239595531022
208,seen,0.0374239595531022
209,higher,0.03708201762934469
210,advancement,0.03708201762934469
211,rise,0.03708201762934469
212,battle,0.03708201762934469
213,expect,0.036746237157779554
214,felt,0.036416400016510704
215,strength,0.036416400016510704
216,freemen,0.036416400016510704
217,existence,0.036092299465093555
218,lives,0.0357737393662179
219,views,0.0357737393662179
220,continue,0.035460533472805346
221,short,0.035152504774032575
222,voice,0.035152504774032575
223,denied,0.034849484894530935
224,representation,0.034849484894530935
225,sympathy,0.03455131354165639
226,southern,0.0342578379962871
227,america,0.0342578379962871
228,facts,0.033968912643099154
229,dollars,0.03368439853670328
230,voted,0.03368439853670328
231,peace,0.03368439853670328
232,remain,0.03368439853670328
233,claims,0.0334041630004068
234,strong,0.0334041630004068
