,term,score
0,league,0.31103382004178526
1,mr,0.18212284835775247
2,jenkins,0.17836673910586837
3,county,0.1751163615327687
4,ohio,0.17455136166775234
5,resolved,0.1686903902126151
6,convention,0.1648597781521591
7,shall,0.15889199410870197
8,committee,0.15116354045064567
9,motion,0.15031881292812008
10,mcsimpson,0.14389336161891866
11,colored,0.13694679475506005
12,executive,0.1283603624033804
13,1865,0.12720248566866277
14,xenia,0.12364571424769454
15,poindexter,0.12364571424769454
16,board,0.1225621607035986
17,warren,0.1216905080001284
18,adopted,0.1205568142971086
19,rev,0.11465874544774383
20,state,0.10947501875173128
21,elder,0.1003852048629774
22,david,0.09713347291133753
23,resolution,0.09702695550161797
24,art,0.09496400244540622
25,langston,0.0916066218991324
26,rights,0.07990240749097818
27,conrad,0.07818065801187904
28,secretary,0.07751006806254992
29,hamilton,0.07504604048746345
30,gassoway,0.07194668080945933
31,read,0.07185808688426076
32,offered,0.07004654461310748
33,john,0.06938013270771523
34,business,0.06889783827782216
35,cincinnati,0.06784132568995346
36,recording,0.06624504864605256
37,laws,0.06608795725717334
38,soldiers,0.06488584978425808
39,ward,0.0632613484594717
40,clark,0.06303558672444538
41,devine,0.06254452640950323
42,men,0.059649494547482994
43,hurd,0.05951770875568855
44,minutes,0.059328911554676164
45,booker,0.05819591203965361
46,president,0.05785572757779618
47,duty,0.05676673657356109
48,butler,0.055395668093153626
49,january,0.054988085409891155
50,farewell,0.05495365077675313
51,army,0.05363650989703342
52,rufus,0.053142372009547155
53,equal,0.053139963541500725
54,auxiliary,0.05253222834122443
55,sampson,0.05176145606024662
56,thompson,0.050273586107910676
57,franklin,0.050273586107910676
58,table,0.04945120635599206
59,messrs,0.04929545510069449
60,moore,0.048522009076000024
61,general,0.04803339248532093
62,session,0.04803339248532093
63,james,0.047806379610570354
64,jackson,0.04705592654229443
65,states,0.04692042819532437
66,troops,0.04644321903970851
67,reported,0.04555115543276366
68,lecturers,0.04461564660576773
69,quarterly,0.04461564660576773
70,black,0.04381818231172843
71,wilberforce,0.04374021760959108
72,bryant,0.04374021760959108
73,1864,0.04374021760959108
74,chair,0.04341473019206785
75,members,0.04336258294232202
76,anderson,0.04325723318950539
77,brothers,0.042922579012043736
78,anglo,0.042917878471896535
79,redman,0.04278346399465388
80,constitution,0.042762370745801005
81,approved,0.04219874692597264
82,resolutions,0.04188151332970315
83,agents,0.04162863124771608
84,oberlin,0.041409164848197295
85,chillicothe,0.041215238082564845
86,american,0.04042017387239668
87,shorter,0.039856779007160364
88,citizens,0.03910035682943697
89,national,0.03902632464808981
90,united,0.03902632464808981
91,person,0.038941897893230486
92,yancy,0.038658533182180335
93,annual,0.03838069058409704
94,meetings,0.03834090952276238
95,amended,0.03804984325726376
96,petitions,0.037686582301961695
97,government,0.037433615803944345
98,columbus,0.03715457523176681
99,12th,0.03715457523176681
100,appointed,0.036920662663273845
101,ford,0.03661704374617316
102,lorain,0.03661704374617316
103,order,0.03641618847624437
104,authorities,0.03614934197684098
105,retaliation,0.035973340404729666
106,iberia,0.035973340404729666
107,eld,0.035973340404729666
108,________________________________,0.035973340404729666
109,11th,0.03567334782117367
110,people,0.03507654854301258
111,massacre,0.034917547223792166
112,chase,0.034917547223792166
113,remaining,0.03433806320963499
114,college,0.03433806320963499
115,church,0.034261567190323264
116,captured,0.03416362228259779
117,said,0.03397296161414632
118,dr,0.03373949817646336
119,treasurer,0.03373949817646336
120,wounded,0.0334617349543258
121,color,0.03328255121634786
122,brokers,0.033223386529747295
123,abney,0.033223386529747295
124,betts,0.033223386529747295
125,preamble,0.03313387837284561
126,university,0.03312252432302628
127,series,0.03312252432302628
128,moved,0.033119572967375416
129,laid,0.03236122448436882
130,williams,0.03226417225731946
131,henry,0.03211459525512509
132,article,0.03198390882008086
133,officers,0.03188580880293457
134,account,0.031870919740380234
135,10th,0.031654667481802075
136,lecture,0.031606917382213266
137,news,0.031606917382213266
138,evening,0.03139215265606557
139,ordering,0.03127226320475161
140,reorganized,0.03127226320475161
141,legislature,0.031156928506879296
142,sisters,0.03105687363614797
143,collins,0.03105687363614797
144,hands,0.030467145083836255
145,kinney,0.029758854377844274
146,confiscation,0.029758854377844274
147,zanesville,0.029758854377844274
148,conventions,0.029650462403837747
149,consideration,0.029582368196567132
150,day,0.029317059330792206
151,joy,0.028680232394719757
152,reconsidered,0.028680232394719757
153,killed,0.028680232394719757
154,slavery,0.028527901042583882
155,defying,0.028522309329769253
156,muskingum,0.028522309329769253
157,gallia,0.028522309329769253
158,bayonets,0.028522309329769253
159,evade,0.028522309329769253
160,address,0.028519075865664458
161,corresponding,0.028284427902005606
162,resumed,0.028264936726471273
163,troy,0.028264936726471273
164,missouri,0.027865931423825104
165,recommending,0.027865931423825104
166,night,0.027752420831810724
167,justice,0.02772198728617657
168,opinion,0.027599644139479518
169,robinson,0.027481986569739724
170,boards,0.027476825388376563
171,99,0.027476825388376563
172,credited,0.027476825388376563
173,emerging,0.027476825388376563
174,regiments,0.027476825388376563
175,chosen,0.027240494359696884
176,rebel,0.02711200648263073
177,law,0.026946782581597786
178,event,0.026755010865880256
179,prompt,0.026755010865880256
180,thanksgiving,0.026571186004773577
181,horror,0.026571186004773577
