,term,score
0,league,0.5768230932640017
1,bustill,0.22976503555650687
2,mr,0.22642834300872475
3,philadelphia,0.2242937349788729
4,harrisburg,0.18616203818143498
5,hollidaysburg,0.16423665604677065
6,1865,0.15120430723433864
7,leagues,0.15031514068083346
8,phila,0.1392493124053336
9,00,0.12655417311366574
10,state,0.12143640075850579
11,altoona,0.1150320406826669
12,committee,0.09626066278492384
13,pennsylvania,0.09582068688946045
14,pittsburgh,0.0899686770818652
15,nesbit,0.08460241034894576
16,resolution,0.0823821142474365
17,allegheny,0.07896224965901605
18,auxiliary,0.07646268749907789
19,moved,0.07498838317438175
20,resolved,0.07340484765430094
21,motion,0.0715503323008922
22,meeting,0.07143879757778832
23,vashon,0.07031807876025202
24,huntingdon,0.06948473909671066
25,business,0.06763910784419885
26,fee,0.06592319883773629
27,crummell,0.06564715301614482
28,depee,0.06316794463337333
29,10,0.06251569182441526
30,blair,0.062041767589226894
31,members,0.06074906763648713
32,equal,0.060158987433927
33,prof,0.058573541588610764
34,representatives,0.05790283605016921
35,hughes,0.05435327198053759
36,representative,0.05252446652529612
37,vance,0.0524915746593203
38,shall,0.0518882706515503
39,rights,0.05168935132096976
40,fauset,0.049365379121741076
41,people,0.04914069862324234
42,august,0.048495942698134675
43,carried,0.048363800877147735
44,castle,0.04665917747495138
45,mcc,0.04665917747495138
46,solicitor,0.046466278436582346
47,clock,0.04604843788457245
48,colored,0.04589866602020061
49,member,0.04476001552576923
50,following,0.04451339726181272
51,february,0.04428130872527622
52,white,0.04384008743300132
53,board,0.04284952938688752
54,men,0.042732773694370195
55,city,0.04117832917192492
56,erie,0.040995038367500035
57,adopted,0.04094418998261063
58,nighten,0.039828238659927725
59,session,0.03892964146179754
60,national,0.038658497586855446
61,war,0.03862875021678404
62,brown,0.03778762438795974
63,burley,0.03632590758400007
64,9th,0.035571251763306555
65,union,0.0353066203917585
66,president,0.03438625889248025
67,jr,0.034353933832746354
68,reading,0.03354746731360199
69,bellefonte,0.033190198883273105
70,williams,0.03287322428609611
71,convention,0.032760465748828224
72,annual,0.032587670305102644
73,rules,0.03255389363012802
74,design,0.032495971222433695
75,henry,0.03181191194323392
76,constitution,0.030861798352326004
77,peck,0.03076415945761026
78,rev,0.030648052028021865
79,nath,0.030543675453518104
80,report,0.03022607953041218
81,district,0.030210175330523063
82,great,0.030017790625813348
83,offered,0.029737006644813
84,forten,0.02964723926211141
85,referred,0.029250171558596775
86,secretary,0.02924934393262653
87,dr,0.02864699999144289
88,kelley,0.02820080344964859
89,chairman,0.02765733941064931
90,county,0.02761293474161207
91,association,0.026922299737147812
92,representation,0.026922299737147812
93,want,0.02624203056918137
94,united,0.0257723317245703
95,time,0.02576640158050475
96,finance,0.0255488393177479
