,term,score
0,delarge,0.31648268722454603
1,ransier,0.24357451308237368
2,charleston,0.2172900786033542
3,poinsett,0.19780167951534125
4,mr,0.18438733238990102
5,desverney,0.17142812224662912
6,motion,0.17031681139488142
7,carolina,0.15793594966549798
8,committee,0.14961280582563055
9,convention,0.1388668413177969
10,state,0.1268636956350789
11,nash,0.12609850750595739
12,house,0.11421222341994611
13,south,0.1139947486123869
14,wright,0.11383523204784018
15,november,0.09282943160247467
16,dart,0.09230745044049259
17,people,0.08486306969420922
18,right,0.07954670901293985
19,chesnut,0.07912067180613651
20,business,0.07892481379382948
21,freedmen,0.07892139129812577
22,resolutions,0.07676271357302374
23,men,0.07106374281752216
24,rainey,0.06878100409415858
25,colored,0.06869570224834097
26,morning,0.06651571620200711
27,zion,0.06613176305319476
28,camplin,0.06593389317178042
29,ask,0.06554283088621447
30,messrs,0.06424987658123071
31,entertainment,0.06263946046061067
32,beaufort,0.060433222474453124
33,john,0.05722365487962445
34,speech,0.056518777922173614
35,rights,0.055790276014782876
36,laws,0.055373531172469584
37,adopted,0.053031139341959896
38,speaker,0.052797769278841854
39,saxton,0.05274711453742434
40,bonum,0.05274711453742434
41,resolved,0.05256143541806782
42,georgetown,0.05227723851061182
43,following,0.051247996602807065
44,president,0.050899738331625234
45,clock,0.05060549387397645
46,free,0.05016140602442382
47,1865,0.04973730735425674
48,read,0.04938952746864358
49,baxter,0.04871490261647474
50,greenville,0.04871490261647474
51,session,0.04802084290765946
52,shall,0.04779091386686749
53,minutes,0.04745072865748872
54,gibbs,0.04719733195452878
55,called,0.04681669457293683
56,reported,0.04675363450055569
57,subsequently,0.04637953489224687
58,ordered,0.04609541881274754
59,day,0.04605762814381425
60,sergeant,0.04553818056453915
61,invoked,0.044742471757579054
62,10,0.04467347133418127
63,special,0.04383371070756294
64,government,0.04269089395097002
65,man,0.0423971681253575
66,arms,0.042207729241040375
67,memorial,0.042053350788778365
68,edward,0.041874807241055814
69,simons,0.04182179080848946
70,ham,0.04182179080848946
71,edwards,0.041744628968729346
72,accorded,0.041444409613631925
73,massachusetts,0.04031406044971927
74,paul,0.040084723891835636
75,good,0.03964154438304359
76,matt,0.039560335903068254
77,gailliard,0.039560335903068254
78,coombs,0.039560335903068254
79,readings,0.039560335903068254
80,world,0.03947206195587949
81,white,0.03936879897354625
82,crowded,0.039331109962107313
83,late,0.03912838471535097
84,submitted,0.03912838471535097
