,term,score
0,state,0.2506502749576508
1,norfolk,0.24846892816567734
2,virginia,0.22951615775347856
3,court,0.22825597117166094
4,colored,0.1824382729106636
5,alexandria,0.17860351063964872
6,states,0.1612069475285963
7,courts,0.1549931984545145
8,va,0.15253853368382386
9,1865,0.14162184887115367
10,case,0.12688820845938836
11,united,0.1199408040011888
12,circuit,0.11787068511931845
13,people,0.1134970269160672
14,citizens,0.11019209071574937
15,dorsey,0.10871518038935139
16,right,0.10695882595868887
17,men,0.09728205411822441
18,constitution,0.09150010106939409
19,rights,0.09134280510266418
20,white,0.08838542789849081
21,suffrage,0.0873683767468755
22,graff,0.08448297983822566
23,polling,0.08448297983822566
24,union,0.0819837858373762
25,loyal,0.07891821160145784
26,pepper,0.0750959820784228
27,plaintiff,0.0750959820784228
28,government,0.07380301923062375
29,testimony,0.07346632239402115
30,votes,0.07241804882347315
31,suit,0.07200570272071528
32,writ,0.07192521604795923
33,rebellion,0.07179443884709613
34,meeting,0.06933255476248301
35,bute,0.06570898431861995
36,law,0.06562807138731996
37,injunction,0.062402127416109766
38,witness,0.05824184165799115
39,complainant,0.05712198615446376
40,ward,0.05659754501592054
41,president,0.056362347647899526
42,mandamus,0.05632198655881711
43,association,0.05626346640568502
44,equal,0.05546604380998642
45,slavery,0.05459051512079286
46,citizen,0.05267082333258093
47,defendant,0.05201649634185187
48,street,0.05141466521132975
49,country,0.05138237354831385
50,jurisdiction,0.05136170120505182
51,political,0.05084387349248754
52,calvin,0.050189230920932665
53,candidates,0.04989962663810884
54,color,0.0496277410189026
55,district,0.049517349642688134
56,provision,0.04868251054945908
57,club,0.04853498799030759
58,action,0.04818107285469705
59,elections,0.04780824604418466
60,civil,0.047701161932455556
61,man,0.04742632716504386
62,associations,0.047071731735257555
63,judge,0.04699860547920251
64,congress,0.04681850962896082
65,justice,0.045814468556180814
66,military,0.04543038237976701
67,committee,0.04536185879740109
68,constitutional,0.044283770987004145
69,population,0.04404590048118101
70,behalf,0.044019552641834124
71,church,0.04342442219993439
72,paige,0.043347080284876556
73,bayne,0.043347080284876556
74,general,0.043299224618052704
75,massachusetts,0.04304629723715882
76,election,0.04161825564525261
77,negro,0.041586593799044703
78,remedy,0.04114611584040874
79,testify,0.04114611584040874
80,held,0.04109169311108167
81,secretary,0.04045144693705796
82,appendix,0.04035072198418133
83,principles,0.04004758157036331
84,june,0.03998880381832505
85,public,0.039565741477783925
86,israel,0.039196946568902866
87,attorney,0.03848884415072204
88,counsel,0.0384452305541561
89,agitation,0.03781903672336754
90,legal,0.037704087821641814
91,cordy,0.0375479910392114
92,petitioner,0.0375479910392114
93,provisionally,0.0375479910392114
94,resolved,0.03741581550750871
95,wards,0.03721351016762214
96,county,0.03655633588471094
97,witnesses,0.03644598292845254
98,immunities,0.03637374847039207
99,rebellious,0.03584945065780905
100,fundamental,0.03540546221778842
101,city,0.0352148851835376
102,necessary,0.034990962389866063
103,day,0.03497182456829726
104,beach,0.03467766422790124
105,monitor,0.03467766422790124
106,writs,0.03467766422790124
107,pierpont,0.03467766422790124
108,laws,0.03449040315652581
109,privileges,0.034302167208087396
110,baker,0.03424113413670121
111,howard,0.03417353827036098
112,conventions,0.034043177879348095
113,late,0.034043177879348095
114,4th,0.033096156709226485
115,including,0.03301523459262032
