,term,score
0,va,0.37233729771509855
1,alexandria,0.2909340885838567
2,beckley,0.19488281820883863
3,convention,0.1737471095517285
4,rev,0.16053086948405007
5,motion,0.15141075208450663
6,virginia,0.14566537263483068
7,walker,0.12894512162543165
8,mr,0.1158740384420872
9,delegation,0.11503074492978474
10,wm,0.11236771588043826
11,petersburg,0.11137230365967048
12,state,0.11047950374082792
13,cook,0.10897125619683334
14,president,0.10055466761655842
15,norfolk,0.09798981469673061
16,1865,0.08843241077013964
17,god,0.08670966808919539
18,committee,0.08620694426161003
19,garnet,0.08240039158125323
20,people,0.0777289700626154
21,government,0.0759039616505003
22,richmond,0.07589919320170445
23,hobson,0.07578776263677058
24,states,0.07135524392732497
25,men,0.07046475173954427
26,rickman,0.07033786227845373
27,parker,0.06754708177558537
28,rights,0.06695630475138979
29,colored,0.06341896974789438
30,citizens,0.061161637651992826
31,black,0.06068766602225041
32,flag,0.06007149538039896
33,called,0.05982845666368733
34,let,0.058697327592120443
35,charlottesville,0.05861488523204478
36,letter,0.05846941991162376
37,vote,0.058131507261023445
38,brown,0.05801311685786017
39,adopted,0.05762093913554993
40,congress,0.05481508116714727
41,loyal,0.05375848246231056
42,address,0.05310733972857356
43,right,0.052382671941409026
44,nicholas,0.051954041541641655
45,united,0.05087152907213584
46,fields,0.050472724710560433
47,shall,0.050451972742144885
48,said,0.049819925012291405
49,report,0.04913398783857013
50,fort,0.04895121067187911
51,chief,0.04792947705407697
52,pierpoint,0.04689190818563582
53,portsmouth,0.04647419086211681
54,general,0.04553629599384999
55,country,0.04545305120831244
56,appointed,0.04545305120831244
57,1862,0.04453290746259672
58,governor,0.04438560424452178
59,johnson,0.043509837643395124
60,addressed,0.043509837643395124
61,slavery,0.043384415188073885
62,manchester,0.043307292935297476
63,following,0.043028133526049624
64,tendered,0.04280622733303521
65,prayer,0.042706533172680305
66,session,0.04269027749423437
67,john,0.042392940893446536
68,anderson,0.0422899468939831
69,clock,0.04177458874438521
70,read,0.04097989549801483
71,honorary,0.040814782148737655
72,edmond,0.04076396794003179
73,lynchburg,0.04076396794003179
74,williamsburg,0.04076396794003179
75,beware,0.04076396794003179
76,yorktown,0.04076396794003179
77,lee,0.039802996979959274
78,thank,0.03953604451519643
79,secretary,0.039291697498318734
80,roll,0.03852560459973169
81,war,0.03837346626458519
82,washington,0.03808230039217473
83,geo,0.037963319718522015
84,jones,0.03785124560406858
85,spoke,0.03785124560406858
86,gentlemen,0.03772793072436752
87,white,0.037690860106758525
88,edward,0.03722648402019433
89,1863,0.037110756218830594
90,order,0.03692046459037213
91,thanks,0.036920084099741714
92,believe,0.036920084099741714
93,rebellion,0.03691910161520852
94,members,0.03674054877432033
95,highland,0.03634832039404816
96,claim,0.036258198036162606
97,free,0.0362319968388751
98,left,0.03595536550559449
99,received,0.03562605931400156
100,reference,0.03536153975862646
101,great,0.03524112505201799
102,barksdale,0.03516893113922687
103,ferree,0.03516893113922687
104,goochland,0.03516893113922687
105,ives,0.03516893113922687
106,1901,0.03516893113922687
107,commissary,0.03516893113922687
108,conventions,0.03478492879876245
109,danville,0.03463602769442777
110,lincoln,0.03459403895079687
111,oppressors,0.034426074104451754
112,cause,0.034392243968442926
113,laws,0.033843410424763236
114,elected,0.03334235229954357
115,resolved,0.03298365206283019
116,followed,0.03289218091754241
117,word,0.03288904870028836
118,amherst,0.03248046970147311
119,loyalty,0.032115897428591576
120,especially,0.03196032489386177
121,jordan,0.03182065818847728
122,cary,0.03182065818847728
123,time,0.03164611250603326
124,sung,0.031154340248106753
125,butler,0.030946829190103595
126,business,0.030872048034393286
127,answered,0.03070321898890244
128,accorded,0.03070321898890244
129,fairfax,0.030572975955023843
130,power,0.030445509729733634
131,robinson,0.029852727429265917
132,good,0.029819413505553692
133,restored,0.02945083091182557
134,county,0.029348663796060222
135,delegates,0.029271353927153455
136,arms,0.029184127724993108
137,keeling,0.029093408858385676
138,victoria,0.029093408858385676
139,profoundly,0.029093408858385676
140,mcclellan,0.029093408858385676
141,terry,0.029093408858385676
142,declined,0.029078656315238528
143,stricken,0.029063038973522637
144,denied,0.028932556153537965
145,chaplain,0.028688395087043128
146,denounced,0.02850808744882375
147,south,0.02850208134137405
148,appointment,0.028441362175827475
149,masters,0.028326036845246434
150,soldiers,0.028193297929322066
151,appeal,0.0281222992772403
152,minutes,0.0281222992772403
153,capt,0.027972120383930918
154,feel,0.027696218467036172
155,land,0.027296155445365178
156,justice,0.027102088684037875
157,late,0.027054944621259687
158,freedmen,0.02698488575076195
159,man,0.02692204293339895
160,hampton,0.026862408915501373
161,seymour,0.026862408915501373
162,addison,0.026862408915501373
163,gen,0.026673571185183816
164,field,0.026631362546713073
165,civil,0.02647632114738427
166,battle,0.0263880323526275
167,american,0.02634421853443811
168,protection,0.025987534466564266
169,hunter,0.025977020770820827
170,meeting,0.0259758434649893
171,felt,0.025914370447886845
172,know,0.025896547960509553
173,present,0.02583484642765751
174,military,0.02578902432508633
175,brave,0.02578902432508633
176,work,0.025707439227313975
177,prof,0.025692717942873255
178,hour,0.02538073862531382
179,napoleon,0.02519605307951633
180,staff,0.02519605307951633
181,course,0.024989038950338403
182,army,0.024970061848902637
183,proclamation,0.0249234721984854
184,just,0.024791094393185078
185,resolutions,0.024566993919285064
186,rebels,0.02456257519112195
187,coleman,0.024497453674182653
188,thought,0.024419478532008758
189,henry,0.024419478532008758
190,chairman,0.02426324928476905
191,hand,0.02423419115865665
192,table,0.02417270750392873
193,voted,0.023970243670396327
194,race,0.023919908438398727
195,evening,0.023870143520989828
196,monument,0.023865493641357958
197,mourn,0.023865493641357958
198,reported,0.023750706209334376
199,wrongs,0.023727074824076263
200,friends,0.023583107816998992
201,author,0.02356066472946046
202,desired,0.023494414941101723
203,toamoth,0.02344595409281791
204,clement,0.02344595409281791
205,carrington,0.02344595409281791
206,chinn,0.02344595409281791
207,farmville,0.02344595409281791
208,intimidate,0.02344595409281791
209,bygones,0.02344595409281791
210,forglve,0.02344595409281791
211,culpeper,0.02344595409281791
212,honor,0.023339646609680503
213,wagner,0.02328855933306707
214,traitors,0.02328855933306707
215,colonel,0.02328855933306707
216,equal,0.023089638635546045
217,manner,0.022995825554520167
218,morning,0.022995825554520167
219,way,0.022995825554520167
220,able,0.02282673850804684
221,years,0.02282673850804684
222,tis,0.022757831217008577
223,swept,0.022757831217008577
224,queen,0.022757831217008577
225,post,0.022660829476197148
226,true,0.022659479465445862
227,deeply,0.022609868081004233
228,children,0.022494009323899725
229,hoped,0.022399367692629398
230,ideas,0.022380147203219725
231,earnestly,0.022275029542769373
232,sam,0.02226645373129836
233,regard,0.022168285487735372
234,wives,0.02210810269253491
235,stand,0.022099382954988336
236,did,0.022007959589214383
237,say,0.022007959589214383
238,things,0.021926032466858907
239,day,0.02183732792825339
240,sympathize,0.021808992236428893
241,seat,0.021790905604820544
242,wise,0.021790905604820544
243,look,0.021754918821697562
244,kick,0.021653646467648738
245,warwick,0.021653646467648738
246,owens,0.021653646467648738
247,disorganization,0.021653646467648738
248,pierpont,0.021653646467648738
249,1881,0.021653646467648738
250,waited,0.02138106558661781
251,aug,0.02138106558661781
252,1864,0.02138106558661781
253,new,0.021242935891429424
254,proceedings,0.02123034312417292
255,enemies,0.021214204173165798
256,robert,0.021214204173165798
257,resolution,0.021079402309807236
258,union,0.021079402309807236
259,williams,0.0210284697800381
260,represent,0.0210284697800381
261,reception,0.02097909028794819
262,question,0.020929919883598887
263,member,0.020615225645807957
264,1868,0.020600097895313307
265,rulers,0.020600097895313307
266,regarded,0.020407391074368827
267,davis,0.020407391074368827
268,mosely,0.020381983970015893
269,fenton,0.020381983970015893
270,chaos,0.020381983970015893
271,pregnant,0.020381983970015893
272,1899,0.020381983970015893
273,groaning,0.020381983970015893
274,sims,0.020381983970015893
275,heroic,0.0202416018459002
276,1869,0.0202416018459002
277,temple,0.0202416018459002
278,federal,0.020189089884224173
279,respectfully,0.02015525617749781
280,privilege,0.020143922919940608
281,credentials,0.020143922919940608
282,sent,0.020143922919940608
283,friend,0.019975203058663606
284,peace,0.019975203058663606
285,previous,0.019975203058663606
286,adjourned,0.019922129497309374
287,agitate,0.019901498489979637
288,10,0.0198572408605382
289,sections,0.019768022257598213
290,given,0.019710707618160142
291,approved,0.019645299865903586
292,constitution,0.01950953675939428
293,came,0.01948396946411556
294,ask,0.019422410970382165
295,freedom,0.019422410970382165
296,horatio,0.01939560590559045
297,heel,0.01939560590559045
298,brigadier,0.01939560590559045
299,coles,0.01939560590559045
300,elijah,0.01939560590559045
301,bonaparte,0.01939560590559045
302,1819,0.01939560590559045
303,enthusiastically,0.01939560590559045
304,outbreak,0.01939560590559045
305,paid,0.01932496044375692
306,far,0.01928057942048548
307,regiment,0.01926953845715494
308,almighty,0.01917179082163079
309,old,0.01901364587817879
310,adoption,0.01901364587817879
311,audience,0.018981659859261008
312,cheers,0.018974798300426112
313,remained,0.01869260414886405
314,leader,0.01869260414886405
315,debarred,0.01869260414886405
316,brooks,0.01869260414886405
317,meet,0.01859332079488881
318,powder,0.018589676344846724
319,legislated,0.018589676344846724
320,capture,0.018589676344846724
321,bailey,0.018589676344846724
322,1885,0.018589676344846724
323,potomac,0.018589676344846724
324,carried,0.018562524618974476
325,help,0.01843463494551793
326,louis,0.018421931393341466
327,heaven,0.01825956488798855
328,contended,0.018161876032805557
329,battles,0.018161876032805557
330,treat,0.018161876032805557
331,remarks,0.018129099018081303
332,die,0.018129099018081303
333,history,0.018129099018081303
334,votes,0.018087894464803387
335,use,0.017939931328799046
336,ballot,0.01791949415410352
337,fought,0.01791949415410352
338,reconstruction,0.01791163645755955
339,wished,0.01791163645755955
340,bless,0.01791163645755955
341,helped,0.01791163645755955
342,governors,0.017908272610334248
343,1837,0.017908272610334248
344,illustrated,0.017908272610334248
345,scoundrel,0.017908272610334248
346,corrections,0.017908272610334248
347,harmonize,0.017908272610334248
348,home,0.017849313535956004
349,set,0.017712033059337953
350,aid,0.017712033059337953
351,song,0.017670498547095344
352,carter,0.017670498547095344
353,law,0.017562812356292073
354,north,0.017442484665720542
355,georgia,0.017437823384113583
356,hurt,0.017318013847213886
357,milliken,0.017318013847213886
358,welcomed,0.017318013847213886
359,resigned,0.017318013847213886
360,verbal,0.017318013847213886
361,unanimously,0.017310136541897607
362,james,0.017310136541897607
363,protect,0.017276246965257896
364,fathers,0.017276246965257896
365,freemen,0.017276246965257896
366,manhood,0.017276246965257896
367,preamble,0.017276246965257896
368,chance,0.017213037052225877
369,long,0.017196121984221463
370,george,0.01717935470483996
371,bureau,0.01699562210714786
372,nation,0.016922344603594673
373,entitled,0.016922344603594673
374,continue,0.016822775824030477
375,named,0.016822775824030477
376,seats,0.016822775824030477
377,ebenezer,0.01679736871967755
378,framers,0.01679736871967755
379,therefor,0.01679736871967755
380,reuben,0.01679736871967755
381,confederate,0.01679736871967755
382,class,0.016796046814581512
383,contest,0.016785110402414795
384,turner,0.016785110402414795
385,throne,0.016785110402414795
386,respected,0.016785110402414795
387,saw,0.016785110402414795
388,short,0.016676644414281776
389,elements,0.01658107701940118
390,soldier,0.01658107701940118
391,labored,0.01658107701940118
392,city,0.016491826031415094
393,african,0.016391434228783766
394,franklin,0.01638313510374517
395,served,0.01638313510374517
396,make,0.016377995946190042
397,passions,0.016331635782788435
398,contemptible,0.016331635782788435
399,act,0.016304813220033455
400,southern,0.0162522069576157
401,solemnly,0.01619093145045717
402,forget,0.01619093145045717
403,earnest,0.01611513833595249
404,repeal,0.01600414271111029
405,opinions,0.01600414271111029
406,expression,0.01600414271111029
407,slaves,0.015980162446930884
408,world,0.015950207301426652
409,gloucester,0.01591032909423864
410,lash,0.01591032909423864
411,walter,0.01591032909423864
412,watched,0.01591032909423864
413,decided,0.01584721634761013
414,hard,0.015822472120803652
415,understand,0.015822472120803652
416,term,0.015822472120803652
417,prevent,0.015822472120803652
418,attention,0.01571997113515313
419,according,0.015716239892722868
420,imposed,0.015645646661697182
421,victory,0.015645646661697182
422,end,0.015587175571292446
423,stated,0.015587175571292446
424,little,0.015587175571292446
425,suffrage,0.015587175571292446
426,reverence,0.015525706222044713
427,demonstrate,0.015525706222044713
428,uncle,0.015525706222044713
429,1861,0.015525706222044713
430,conservative,0.015525706222044713
431,shoulder,0.015525706222044713
432,compelled,0.015473414595051797
433,benjamin,0.015473414595051797
434,case,0.015459968355005535
435,smith,0.015459968355005535
436,declaration,0.015459968355005535
437,jackson,0.015334565557339684
438,purpose,0.015273407902927848
439,giving,0.015210916702543032
440,death,0.015210916702543032
441,beasts,0.015171887478005717
442,chase,0.015171887478005717
443,kent,0.015171887478005717
444,prayed,0.015171887478005717
445,holland,0.015171887478005717
446,amounted,0.015171887478005717
447,commissioned,0.015171887478005717
448,voters,0.015141817413168128
449,immunities,0.015141817413168128
450,election,0.014850019695179581
451,forward,0.014850019695179581
452,worked,0.014844302487532239
453,natives,0.014844302487532239
454,edwards,0.014844302487532239
455,officers,0.014844191380833984
456,capacity,0.014826016693198659
457,trial,0.014826016693198659
458,scott,0.014826016693198659
459,idea,0.014673583272951924
460,ago,0.014673583272951924
461,severally,0.014539328157619264
462,fate,0.014539328157619264
463,substituted,0.014539328157619264
464,wounded,0.014539328157619264
465,having,0.014532876815255861
466,render,0.014524575614472117
467,glory,0.014524575614472117
468,human,0.014503279214465042
469,moved,0.01439065668502153
470,kept,0.014378843116223092
471,suffer,0.014378843116223092
472,privileges,0.014279450828764802
473,rules,0.014279450828764802
474,benj,0.014254043724411875
475,1852,0.014254043724411875
476,nationality,0.014254043724411875
477,unfinished,0.014254043724411875
478,incurred,0.014254043724411875
479,marshall,0.014254043724411875
480,regular,0.014236244894445756
481,portion,0.014169626447470364
482,result,0.014169626447470364
483,place,0.014130980297815511
484,distinguished,0.014096648964661033
485,noble,0.01406114963862015
486,laid,0.01406114963862015
487,thee,0.013986060191965459
488,pen,0.013986060191965459
489,confess,0.013986060191965459
490,powerful,0.013959931507572874
491,august,0.013959931507572874
492,faith,0.013959931507572874
493,attempt,0.013825976209138446
494,past,0.01374348376387197
495,attorney,0.01373339859687554
496,safely,0.01373339859687554
497,wrote,0.01373339859687554
498,monroe,0.01373339859687554
499,tax,0.013694673665991412
500,family,0.013694673665991412
501,york,0.013640082011994188
502,presented,0.013640082011994188
503,possession,0.01356592084860254
504,appropriate,0.01356592084860254
505,boys,0.013494401230600132
506,sampson,0.013494401230600132
507,today,0.013494401230600132
508,port,0.013494401230600132
509,sisters,0.013494401230600132
510,sergeant,0.013494401230600132
511,january,0.01343962061557764
512,follows,0.013436837451665209
513,thomas,0.013436837451665209
514,seen,0.013315681273356536
515,conferred,0.013315681273356536
516,debate,0.013315681273356536
517,enthusiasm,0.013267665659986426
518,treason,0.013267665659986426
519,descent,0.013267665659986426
520,hymn,0.013267665659986426
521,year,0.013238160573692134
522,viz,0.01319401617631375
523,living,0.01319401617631375
524,dr,0.01319401617631375
525,heard,0.013074543362892325
526,2d,0.013074543362892325
527,finance,0.013074543362892325
528,iv,0.013051994862363067
529,hudson,0.013051994862363067
530,doubtless,0.013051994862363067
531,crisis,0.013051994862363067
532,joined,0.013051994862363067
533,william,0.013043850576026765
534,like,0.013043850576026765
535,sustain,0.012957185223943422
536,franchise,0.012957185223943422
537,accepted,0.012957185223943422
538,consideration,0.012853719613656988
539,desires,0.012846358971436628
540,fighting,0.012846358971436628
541,delegations,0.012846358971436628
542,participated,0.012846358971436628
543,attack,0.012846358971436628
544,branch,0.012846358971436628
545,thanked,0.012846358971436628
546,introduced,0.012841868199910565
547,emancipation,0.012841868199910565
548,answer,0.012841868199910565
549,church,0.012760165841141322
550,adopt,0.012728522503899477
551,petition,0.012728522503899477
552,conclusion,0.012728522503899477
553,process,0.012649865533617407
554,degrade,0.012649865533617407
555,restoration,0.012649865533617407
556,assure,0.012649865533617407
557,yes,0.012649865533617407
558,enjoy,0.012617081868022859
559,chair,0.012575976908122505
560,come,0.01248530176449314
561,killed,0.0124617360992427
562,peril,0.0124617360992427
563,harrison,0.0124617360992427
564,captain,0.0124617360992427
565,actions,0.0124617360992427
566,gladly,0.0124617360992427
567,reconsidered,0.0124617360992427
568,operation,0.01239966692294484
569,permitted,0.01239966692294484
570,amended,0.01239966692294484
571,representation,0.01239966692294484
572,color,0.012395547196592539
573,object,0.012306694699913905
574,trust,0.012293575671587825
575,thing,0.012293575671587825
576,iii,0.012281287595560976
577,objected,0.012281287595560976
578,righteousness,0.012281287595560976
579,promise,0.012281287595560976
580,break,0.012281287595560976
581,deliver,0.012281287595560976
582,condition,0.012218726322342277
583,light,0.012189155218211775
584,away,0.012189155218211775
585,assembled,0.012131624642384525
586,stone,0.012107917355203704
587,marked,0.012107917355203704
588,son,0.012107917355203704
589,troops,0.012107917355203704
590,feeling,0.012086353751964365
591,earth,0.012086353751964365
592,pledge,0.012086353751964365
593,negro,0.011985121835198164
594,remain,0.011985121835198164
595,unanimous,0.011941090971706368
596,invoke,0.011941090971706368
597,bell,0.011941090971706368
598,needs,0.011941090971706368
599,kansas,0.011941090971706368
600,arm,0.011941090971706368
601,sold,0.011941090971706368
602,entire,0.011885412260707596
603,deprived,0.011885412260707596
604,tennessee,0.01178033236473023
605,authorities,0.01178033236473023
606,died,0.01178033236473023
607,ambler,0.011722977046408956
608,labeled,0.011722977046408956
609,holman,0.011722977046408956
610,victoria3,0.011722977046408956
611,seymour11,0.011722977046408956
612,aht,0.011722977046408956
613,compromising,0.011722977046408956
614,seige,0.011722977046408956
615,unceremoniously,0.011722977046408956
616,kelser,0.011722977046408956
617,bend10,0.011722977046408956
618,274,0.011722977046408956
619,japanned,0.011722977046408956
620,halos,0.011722977046408956
621,fredericksburg,0.011722977046408956
622,burneth,0.011722977046408956
623,pettijohn,0.011722977046408956
624,pettyjohn,0.011722977046408956
625,docility,0.011722977046408956
626,mitred,0.011722977046408956
627,buisness,0.011722977046408956
628,philistines,0.011722977046408956
629,napoleon4,0.011722977046408956
630,rumseller,0.011722977046408956
631,demoratic,0.011722977046408956
632,association1,0.011722977046408956
633,inclining,0.011722977046408956
634,cooly,0.011722977046408956
635,timehonored,0.011722977046408956
636,unacquaintance,0.011722977046408956
637,worthiness,0.011722977046408956
638,wadsworth,0.011722977046408956
639,wlth,0.011722977046408956
640,untruth,0.011722977046408956
641,lightly,0.011722977046408956
642,exslave,0.011722977046408956
643,cowing,0.011722977046408956
644,lightening,0.011722977046408956
645,dubious,0.011722977046408956
646,proposals,0.011722977046408956
647,soilder,0.011722977046408956
648,duke,0.011722977046408956
649,trenches,0.011722977046408956
650,moseley,0.011722977046408956
651,cheif,0.011722977046408956
652,paroled,0.011722977046408956
653,claggett,0.011722977046408956
654,terry6and,0.011722977046408956
655,turner7,0.011722977046408956
656,fenton12,0.011722977046408956
657,doubtfully,0.011722977046408956
658,coburg,0.011722977046408956
659,tynes,0.011722977046408956
660,cotes,0.011722977046408956
661,lip,0.011722977046408956
662,banister,0.011722977046408956
663,tyres,0.011722977046408956
664,shen,0.011722977046408956
665,kilson,0.011722977046408956
666,ossian,0.011722977046408956
667,rosters,0.011722977046408956
668,uprightness,0.011722977046408956
669,concealing,0.011722977046408956
670,convocation,0.011722977046408956
671,unconverted,0.011722977046408956
672,beulah,0.011722977046408956
673,quibbles,0.011722977046408956
674,salvaion,0.011722977046408956
675,malvern,0.011722977046408956
676,sugges,0.011722977046408956
677,dinners,0.011722977046408956
678,discords,0.011722977046408956
679,alexandra,0.011722977046408956
680,unproductive,0.011722977046408956
681,blooded,0.011722977046408956
682,detested,0.011722977046408956
683,blossoms,0.011722977046408956
684,masschusetts,0.011722977046408956
685,reappointing,0.011722977046408956
686,rascal,0.011722977046408956
687,suprised,0.011722977046408956
688,incalculably,0.011722977046408956
689,breathless,0.011722977046408956
690,vacillation,0.011722977046408956
691,ravisehed,0.011722977046408956
692,varnished,0.011722977046408956
693,saddened,0.011722977046408956
694,superlatively,0.011722977046408956
695,scouting,0.011722977046408956
696,saxe,0.011722977046408956
697,alexandrina,0.011722977046408956
698,louise,0.011722977046408956
699,frighten,0.011722977046408956
700,norfolf,0.011722977046408956
701,vallandigham,0.011722977046408956
702,open,0.011690381678469334
703,paper,0.011690381678469334
704,hall,0.011690381678469334
705,greatness,0.011625215589409054
706,grace,0.011625215589409054
707,event,0.011625215589409054
708,contend,0.011625215589409054
709,superior,0.011625215589409054
710,taking,0.01159497626625415
711,submitted,0.01159497626625415
712,speech,0.01159497626625415
713,lewis,0.011500924168004762
714,deeds,0.011475358034817251
715,loss,0.011475358034817251
716,element,0.011475358034817251
717,withdrawn,0.011475358034817251
718,importance,0.011408187526907275
719,soon,0.011408187526907275
720,intention,0.011330414738098574
721,owing,0.011330414738098574
722,aware,0.011330414738098574
723,working,0.011330414738098574
724,amendment,0.01131673005273811
725,brothers,0.011190073601609863
726,april,0.011190073601609863
727,yesterday,0.011190073601609863
728,independence,0.011137514771384686
729,names,0.011137514771384686
730,equality,0.011137514771384686
731,opposed,0.011137514771384686
732,truth,0.011137514771384686
733,perfect,0.011054051346267454
734,sir,0.011054051346267454
735,baltimore,0.011054051346267454
736,elevation,0.010963016233429454
737,receive,0.010963016233429454
738,effect,0.010963016233429454
739,ages,0.010922090069163446
740,senator,0.010922090069163446
741,department,0.010922090069163446
742,thousand,0.010877459410848781
743,demand,0.010877459410848781
744,recitation,0.010826823233824369
745,initiative,0.010826823233824369
746,chivalrous,0.010826823233824369
747,dashed,0.010826823233824369
748,impossibilities,0.010826823233824369
749,untarnished,0.010826823233824369
750,princess,0.010826823233824369
751,apprehensive,0.010826823233824369
752,carney,0.010826823233824369
753,emption,0.010826823233824369
754,rife,0.010826823233824369
755,hourly,0.010826823233824369
756,slogan,0.010826823233824369
757,greenbacks,0.010826823233824369
758,predecessor,0.010826823233824369
759,nephew,0.010826823233824369
760,knelt,0.010826823233824369
761,wok,0.010826823233824369
762,aforementioned,0.010826823233824369
763,rebelled,0.010826823233824369
764,warnings,0.010826823233824369
765,signifies,0.010826823233824369
766,window,0.010826823233824369
767,242,0.010826823233824369
768,digging,0.010826823233824369
769,heading,0.010826823233824369
770,woodbury,0.010826823233824369
771,felling,0.010826823233824369
772,skeptical,0.010826823233824369
773,anchor,0.010826823233824369
774,bombardment,0.010826823233824369
775,carnage,0.010826823233824369
776,268,0.010826823233824369
777,amnestied,0.010826823233824369
778,flinched,0.010826823233824369
779,autumn,0.010826823233824369
780,waxed,0.010826823233824369
781,mismanagement,0.010826823233824369
782,wayward,0.010826823233824369
783,babies,0.010826823233824369
784,myriads,0.010826823233824369
785,subjugated,0.010826823233824369
786,discouragements,0.010826823233824369
787,bulter,0.010826823233824369
788,brutes,0.010826823233824369
789,tardily,0.010826823233824369
790,longed,0.010826823233824369
791,brigade,0.010826823233824369
792,aver,0.010826823233824369
793,quartermaster,0.010826823233824369
794,unavenged,0.010826823233824369
795,avenge,0.010826823233824369
796,chicanery,0.010826823233824369
797,machines,0.010826823233824369
798,ore,0.010826823233824369
799,impalpable,0.010826823233824369
800,organizer,0.010826823233824369
801,jury,0.010793954300304779
802,solemn,0.010793954300304779
803,series,0.010793954300304779
804,fit,0.010793954300304779
805,mercy,0.010793954300304779
806,louisiana,0.010793954300304779
807,excellent,0.010793954300304779
808,university,0.010793954300304779
809,jersey,0.010669428474073527
810,nelson,0.010669428474073527
811,pray,0.010669428474073527
812,howard,0.010669428474073527
813,dark,0.010669428474073527
814,taxes,0.010669428474073527
815,forth,0.010627219835602773
816,desire,0.010627219835602773
817,charles,0.010627219835602773
818,failed,0.010548314747202435
819,king,0.010548314747202435
820,gives,0.010548314747202435
821,safe,0.010548314747202435
822,safety,0.010548314747202435
823,lord,0.010548314747202435
824,heads,0.010548314747202435
825,party,0.010465490799432323
826,12,0.010465490799432323
827,necessity,0.010465490799432323
828,chains,0.010430431107798122
829,july,0.010430431107798122
830,speaker,0.010430431107798122
831,remains,0.010430431107798122
832,future,0.010386081925138565
833,morrow,0.010315609730034531
834,step,0.010315609730034531
835,fight,0.010315609730034531
836,columbia,0.010315609730034531
