,term,score
0,voted,0.27239211225467225
1,beard,0.26943084295140657
2,finch,0.24468447946561897
3,bibb,0.23222530778131686
4,deputy,0.2118116636968519
5,president,0.1923898614291985
6,council,0.18237455640628472
7,motion,0.17350543355735776
8,association,0.1495337971252643
9,district,0.1452076919144194
10,comprise,0.14023930628868328
11,georgian,0.1355878594701892
12,augusta,0.1328335141197944
13,powell,0.12962234184160007
14,macon,0.12459509629226583
15,county,0.11797674795755428
16,counties,0.1177255126299082
17,wilkes,0.11344456545322382
18,smith,0.11293931593343731
19,athens,0.10843958459038225
20,rights,0.10697114783363343
21,richmond,0.09681125440704601
22,equal,0.09638637332858155
23,greene,0.09230851665311696
24,savannah,0.09053512838665138
25,paper,0.08675702826229817
26,colby,0.08508342408991786
27,mcalester,0.08156149315520632
28,taliaferro,0.08156149315520632
29,financial,0.07894685641394239
30,nelson,0.074231529586137
31,salaries,0.07229305639358816
32,following,0.07043861869423107
33,harris,0.0694907281831866
34,assist,0.06610881102679413
35,vice,0.06425758221905437
36,warren,0.06306422271057222
37,mr,0.0629215653067751
38,bank,0.06256412092416208
39,race,0.0624076794011523
40,loyal,0.06233658455564326
41,money,0.0619905562347281
42,invited,0.06176172046482349
43,committee,0.061691305494359854
44,laboring,0.06152600518770583
45,league,0.05938522366890961
46,men,0.057477794924424674
47,associations,0.05663015918518595
48,people,0.05407918854251489
49,work,0.05365711594271358
50,obliged,0.05362638936356749
51,clarke,0.052778479041208366
52,white,0.052446111878260586
53,offended,0.0517343590780865
54,unite,0.049162282623187614
55,treasurer,0.04895792394913267
56,edes,0.0489368958931238
57,ga,0.04819537092905877
58,undertaken,0.046746435429561084
59,deposit,0.046746435429561084
60,report,0.04557933702242877
61,elbert,0.04519595315672973
62,greensboro,0.04519595315672973
63,freedmen,0.0450587436773118
64,state,0.04483795140612249
65,savings,0.04427783803993147
66,lewis,0.042675510112890565
67,jasper,0.04254171204495893
68,colored,0.04248895203353618
69,good,0.04149314429086088
