,term,score
0,association,0.4818433279962879
1,shall,0.29385551497045453
2,council,0.23066609370766308
3,georgian,0.21950796656348032
4,president,0.20174549582076914
5,county,0.19558798440227354
6,tillson,0.15845133258099875
7,art,0.1263574648837156
8,rights,0.11522014074657615
9,subordinate,0.10527289076085236
10,state,0.10110713859608604
11,colored,0.09524334824286255
12,loyal,0.09082700526883944
13,members,0.09072435344284248
14,rev,0.08884892134659136
15,georgia,0.08838560189062501
16,men,0.08826334504708154
17,associations,0.0878605381048475
18,equal,0.08289800227132249
19,paper,0.07900538182412388
20,people,0.07531935666162659
21,convention,0.07531935666162659
22,duties,0.07437852927973783
23,resolved,0.07198088583484911
24,white,0.07050301749988623
25,friends,0.06972797928291254
26,committee,0.0686635329312052
27,perform,0.06838798961582916
28,secretary,0.061643047729583636
29,augusta,0.060482491806575105
30,citizens,0.06027870225587384
31,duty,0.05770148086476158
32,bibb,0.05767533497538078
33,meetings,0.05729848162758108
34,officer,0.057273485556579976
35,vice,0.05607806036001227
36,schools,0.05514783176092882
37,cemetery,0.05487699164087008
38,assistance,0.054844232682993474
39,union,0.053421680550575536
40,continue,0.0532926018748631
41,fulton,0.051204027905486886
42,elected,0.050699857628949616
43,money,0.05017934864668328
44,examining,0.04966464077515986
45,constitution,0.0494431590199866
46,publication,0.04874426066086808
47,bryant,0.04816550040701355
48,officers,0.04765167161177655
49,published,0.046672187349644415
50,meeting,0.04632535421044492
51,congress,0.0463060845278775
52,general,0.04568033901793626
53,macon,0.04538506379551358
54,treasurer,0.04458358651040296
55,pay,0.044544090549161516
56,counties,0.04424410329676696
57,chaplain,0.04362312333122505
58,stock,0.04362312333122505
59,good,0.043510894523946006
60,charges,0.04340882631134927
61,states,0.04305621589705274
62,secure,0.04280475809736745
63,turner,0.042538625751583056
64,year,0.041936956682351964
65,policy,0.04124514363611915
66,educational,0.040899706906353736
67,league,0.04055941372687688
68,establish,0.040161714117672644
69,flagg,0.03961283314524969
70,request,0.03950269091206194
71,organized,0.038407801506950494
72,bureau,0.03828633517833806
