,term,score
0,civil,0.170628520198423
1,american,0.15091304496547633
2,liberty,0.12937875796435383
3,congress,0.11513648150118246
4,rights,0.113647310329106
5,united,0.11332919088960056
6,_________,0.11110786764605239
7,states,0.10948902509045128
8,dwelling,0.10649109437260981
9,loyal,0.10265195088256938
10,veto,0.10073273723158262
11,chicago,0.09833984054555353
12,presidential,0.09114243441594552
13,trumbull,0.08756875610103095
14,nation,0.0872457952727135
15,senate,0.08582470711745958
16,meeting,0.08266822540891798
17,people,0.07857722875042393
18,great,0.07764578377337523
19,loving,0.07730277430828231
20,country,0.0765818029691971
21,hon,0.07489761549950351
22,citizens,0.07299268339363418
23,thank,0.070775785869764
24,men,0.06959617864051072
25,1866,0.06936029147630592
26,beneath,0.06840462534101137
27,house,0.06785784076766606
28,messieurs,0.0671551581543884
29,ashley,0.0671551581543884
30,washburn,0.0671551581543884
31,representatives,0.06642190476652017
32,john,0.06475953765120031
33,flag,0.06256727135670952
34,hubbard,0.06246648428241404
35,excellency,0.06246648428241404
36,history,0.0623116043102084
37,morrill,0.06202153460667267
38,39th,0.06202153460667267
39,vanquished,0.06202153460667267
40,selectest,0.06202153460667267
41,solemn,0.0618332446850823
42,nationality,0.06124079383992768
43,supplicate,0.05837917073402063
44,alma,0.05837917073402063
45,mater,0.05837917073402063
46,tomb,0.05837917073402063
47,mass,0.05818805263137401
48,pomeroy,0.055553933823026196
49,astute,0.055553933823026196
50,power,0.05549323850495484
51,opposing,0.055192844681407505
52,grand,0.05436828737423643
53,foot,0.054348634129718465
54,colored,0.053821633096781195
55,kingdoms,0.053245547186304906
56,charta,0.053245547186304906
57,infidel,0.053245547186304906
58,enacting,0.053245547186304906
59,address,0.05323951094416278
60,van,0.05130346900575852
61,magna,0.05129383409427111
62,outgrowth,0.05129383409427111
63,yates,0.05129383409427111
64,president,0.05040246182937739
65,war,0.049959699302267783
66,gracious,0.04960318331365288
67,stranger,0.04960318331365288
68,warrants,0.04960318331365288
69,committee,0.04938370989703813
70,pleased,0.04867977161515286
71,jones,0.04818469602841435
72,wrested,0.048111923638589175
73,stained,0.048111923638589175
74,horn,0.048111923638589175
75,strengthened,0.04677794640265843
76,shall,0.045633866523568094
77,seize,0.04557121720797276
