,term,score
0,state,0.20746307101878492
1,people,0.14968875662951409
2,committee,0.14870549438501246
3,illinois,0.13899451936634735
4,convention,0.13413667801865548
5,american,0.13192075864897293
6,galesburg,0.12959126422076253
7,barquette,0.12959126422076253
8,motion,0.12370210224866202
9,citizens,0.12135295343122136
10,richardson,0.12048621949050192
11,men,0.1198385047229431
12,stanley,0.11804377004369165
13,government,0.11525794612336206
14,country,0.10913142293159649
15,great,0.1060373104334931
16,chicago,0.10510297139960778
17,dawson,0.10127172116071628
18,blood,0.10024242176235082
19,colored,0.09986651216384698
20,flag,0.0975190613410962
21,shall,0.09483492422892778
22,liberty,0.0921843532428431
23,debaptiste,0.09071111398944826
24,fountain,0.09026876532752891
25,strother,0.08971702907591252
26,right,0.08908654219139274
27,williams,0.0858308409639816
28,nation,0.0834608854576144
29,jacobs,0.08246464908131661
30,war,0.0771269492393796
31,power,0.07531387659464223
32,stokes,0.0714176769573585
33,white,0.07096826141931886
34,hicklin,0.0697799115034875
35,states,0.06717752779228325
36,america,0.06564481267439504
37,rights,0.06537081006958824
38,rev,0.06354608337672937
39,god,0.061020424884830914
40,mr,0.05767770718905648
41,man,0.05723246888654746
42,waring,0.0571341415658868
43,smith,0.055871713453967124
44,loved,0.055635412485130625
45,clock,0.054650392593527566
46,joseph,0.053332046600041795
47,united,0.05287123158996845
48,fellow,0.05268583705887632
49,sea,0.05169858145176392
50,land,0.05158024831965347
51,fathers,0.05141761259002792
52,report,0.05106538956727818
53,pleasants,0.04984279393106251
54,george,0.049668406110655934
55,cairo,0.04947878944878996
56,rebellion,0.0493333070432341
57,thousand,0.0493310840309241
58,ordered,0.04878423054876406
59,central,0.048369861970606866
60,past,0.046746735162970295
61,suffrage,0.04639059377358803
62,address,0.045159487728060846
63,free,0.04502948480516654
64,chairman,0.04384321107170545
65,republic,0.04379563298504921
66,nations,0.04329447181869857
67,human,0.043164698527058586
68,created,0.04310837929055757
69,following,0.0430455282333332
70,loyal,0.041903750900032836
71,laws,0.04185967748444635
72,coleman,0.04166250707424411
73,status,0.04162534988400222
74,earth,0.04111021540362871
75,children,0.04098779444514568
76,justice,0.040970823663485825
77,schools,0.04090339326759901
78,sacred,0.04076546681498493
79,beneath,0.0406161222876163
80,honored,0.0406161222876163
81,common,0.040394271900971924
82,constitution,0.040289539036201645
83,sword,0.04016207316350064
84,hour,0.04008150577512583
85,faulkner,0.03987423514485001
86,shawneetown,0.03987423514485001
87,law,0.03982513468648239
88,forever,0.03956912916512354
89,baptism,0.039519031882143445
90,alton,0.039519031882143445
91,messrs,0.039462929892980954
92,day,0.03945961921107859
93,purpose,0.03896293508297316
94,body,0.03882114309601413
95,half,0.03849243698143197
96,green,0.03845231432625594
97,national,0.03845180479270432
98,love,0.038185588388981874
99,decatur,0.03807046357953956
100,17th,0.037648563755280695
101,battle,0.037398158436814426
102,resolved,0.03739658430569296
103,school,0.03728932381749237
104,thomas,0.0371342694265444
105,entire,0.03705784329504164
106,slavery,0.03689166083799888
107,clash,0.03682608042207865
108,iniquity,0.03681565664015277
109,order,0.03588009332699011
110,freedom,0.035784067219768845
111,present,0.035149595100608444
112,crimson,0.034663380228486106
113,worship,0.034424634140143406
114,october,0.03428488710002687
115,citizen,0.034181880166034684
116,congress,0.034181880166034684
117,principles,0.03402294802620186
118,history,0.03391512027126032
119,randolph,0.03384622469969827
120,throne,0.033303927088940255
121,called,0.0331791826045305
122,defenders,0.03300546323668858
123,quincy,0.03298585963252664
124,barbour,0.03298585963252664
125,said,0.03294982101015597
126,continent,0.03289909728748613
127,universe,0.03277145833057371
128,foe,0.03277145833057371
129,spirit,0.032551576994225034
130,principle,0.03233626508462929
131,perish,0.032253294454037705
132,public,0.032130641761011186
133,danger,0.03212499576115269
134,form,0.03208170533978971
135,president,0.032064757678301636
136,wrong,0.03190697605825069
137,lust,0.03161522550571476
138,shrine,0.03161522550571476
139,forum,0.03161522550571476
140,class,0.03142130489938372
141,amid,0.03139392266387624
142,mercer,0.03132994380575907
143,light,0.031094911266818705
144,mankind,0.03105380916058918
145,soil,0.030574415807806257
146,race,0.030510212442415457
147,years,0.030502326718296818
148,thunder,0.030456370863631652
149,davis,0.030368266046011172
150,altar,0.030302087994697906
151,cannon,0.030302087994697906
152,true,0.03027882610903518
153,decades,0.029905676358637508
154,diabolism,0.029905676358637508
155,mcsmith,0.029905676358637508
156,bloomington,0.029905676358637508
157,cherished,0.029732392774287297
158,means,0.029659053933241093
159,greatness,0.02965628386372654
160,action,0.029622466060712744
161,political,0.02945119049277903
162,moral,0.029216709476856433
163,adopted,0.028953126212202637
164,house,0.028779615675039446
165,artillery,0.0285670707829434
166,wide,0.028546223219091643
167,brothers,0.028546223219091643
168,proceedings,0.02836913657580941
169,18,0.028361756496222842
170,questions,0.028361756496222842
171,honor,0.028352456688501546
172,elected,0.028352456688501546
173,hope,0.028352456688501546
174,champaign,0.02777500471616274
175,victories,0.02777500471616274
176,trampled,0.02777500471616274
177,chattel,0.02777500471616274
178,reported,0.02776985968847515
179,county,0.027729387925724377
180,idol,0.02761956031655899
181,jury,0.02753571065241659
182,privileges,0.027320489925909887
183,vote,0.027187466105471004
184,forth,0.027110365885514034
185,lifted,0.027058493803413033
186,crime,0.02691662002837916
187,noble,0.026902820119298912
188,did,0.026734754449824757
189,duty,0.026621030535612156
190,live,0.026508910727764585
191,rightful,0.02640437058935086
192,color,0.026351186312856344
193,dr,0.026178710905770102
194,star,0.026108286504799218
195,waters,0.026108286504799218
196,outland,0.025997535171364577
197,monmouth,0.025997535171364577
198,symbol,0.025997535171364577
199,defence,0.02575149578741178
200,stone,0.02573972580858284
201,life,0.02560676478967864
202,sought,0.02547975946219877
203,exercise,0.025457058925987916
204,times,0.025457058925987916
205,question,0.025425177035346212
206,lives,0.0252551085609075
