,term,score
0,leavenworth,0.22207656319787558
1,right,0.18549289540309508
2,state,0.17554755680580852
3,class,0.15555439076849015
4,equality,0.15168917109794702
5,men,0.14561056595054966
6,hayden,0.13001596936515977
7,jenerals,0.12773037486164077
8,baskerville,0.12773037486164077
9,matthews,0.12687290957852007
10,legislation,0.12174224850734654
11,people,0.11831883310395469
12,langston,0.11384352434799823
13,duffin,0.11121566819061339
14,committee,0.10734713801910478
15,bradley,0.10566462781519367
16,lawrence,0.10337212511133761
17,kansas,0.09758016372685563
18,ignorant,0.09623899320608564
19,rights,0.09456970399324169
20,legal,0.0932810060450657
21,johnson,0.08888838321036377
22,county,0.08882640887204793
23,man,0.08800058096959971
24,political,0.08648008642900845
25,citizens,0.08330007464735631
26,1866,0.08245286246677429
27,resolved,0.08235812683953223
28,fuller,0.08086974468114705
29,white,0.08066719922213307
30,nathan,0.07920828593526924
31,constitution,0.07591807688528543
32,hill,0.07527621378772761
33,disabilities,0.07527621378772761
34,suffrage,0.07430221434002614
35,government,0.0738418711262541
36,william,0.07106112709763834
37,colored,0.07037920946857996
38,unjust,0.06697373127600173
39,despotism,0.06690678750604365
40,shall,0.065097354815706
41,discord,0.06500798468257989
42,self,0.06421495596743154
43,carter,0.06417765141844411
44,inherent,0.06417765141844411
45,anderson,0.06399719149200934
46,attests,0.06386518743082038
47,law,0.06378654491980555
48,edward,0.06337650970419541
49,deeds,0.06251619267256629
50,convention,0.062273070054713
51,executive,0.06215025686457901
52,aristocracy,0.061990787427091784
53,rev,0.060313819530150074
54,power,0.060313819530150074
55,wyandotte,0.05898306312220964
56,festival,0.05898306312220964
57,jury,0.058803997634699984
58,liberty,0.05741886101610574
59,gray,0.05714561787777019
60,unwise,0.05611326832634391
61,irritation,0.055519140799468895
62,equal,0.05503278227300538
63,thomas,0.05490154968299652
64,peace,0.05441109720934893
65,john,0.05388856356281689
66,justly,0.053846750770738354
67,imply,0.05283231390759684
68,dissension,0.05283231390759684
69,repelling,0.05283231390759684
70,work,0.05251898957020134
71,color,0.0506469437253865
72,money,0.05056305703264901
73,withheld,0.050180090629532735
74,word,0.049770853412016036
75,ignorance,0.04973781529043584
76,clark,0.04973781529043584
77,justice,0.04921616658523349
78,fought,0.048811485695430916
79,democracy,0.048790081863427814
80,black,0.048620318455477346
81,henry,0.047512144228615084
82,party,0.047512144228615084
83,war,0.047512144228615084
84,miami,0.04717309416811743
85,inviolable,0.04717309416811743
86,european,0.04717309416811743
87,natural,0.04705932401681712
88,cause,0.046841069007380304
