,term,score
0,advise,0.38682220883290136
1,maryland,0.29074089667462005
2,exertion,0.17098201455527856
3,dependent,0.17098201455527856
4,1866,0.161153530433381
5,disdaining,0.1560300655179446
6,baltimore,0.14712682187884804
7,rebuild,0.14410246917972933
8,pest,0.14410246917972933
9,advisory,0.13563970489908334
10,men,0.12936127751333845
11,unsurpassed,0.12907547495098706
12,contradict,0.12907547495098706
13,colored,0.12505060175820273
14,charities,0.1237121085608681
15,predictions,0.1237121085608681
16,life,0.12024080732800277
17,january,0.11925212494422126
18,owning,0.11917744689091618
19,summit,0.11524934428022211
20,paupers,0.11178451222265284
21,malicious,0.1058813678965005
22,reverence,0.10332174794200687
23,selfish,0.10332174794200687
24,burned,0.09675751799391058
25,regarding,0.09675751799391058
26,ambition,0.09307558478751625
27,cherished,0.09307558478751625
28,state,0.09190351210932304
29,exalted,0.09139415160379162
30,evinced,0.09139415160379162
31,convention,0.09128420278573926
32,virtuous,0.0898036522549086
33,principles,0.0887557724155709
34,uttered,0.08829475371326459
35,passed,0.08744829317932423
36,strive,0.08685948993383973
37,solicit,0.08293138732314563
38,industrious,0.0817305237651683
39,rebels,0.0817305237651683
40,farmers,0.0805767652166905
41,contributions,0.0805767652166905
42,trades,0.0805767652166905
43,memory,0.07946655526557637
44,beneath,0.07946655526557637
45,freed,0.07946655526557637
46,including,0.07839672565319374
47,public,0.07737166805570783
48,containing,0.07268522416865501
49,resolutions,0.07266242384279754
50,pursuits,0.07183249570509745
51,elevated,0.07183249570509745
52,private,0.07183249570509745
53,carrying,0.07019779338449118
54,habits,0.07019779338449118
55,purchase,0.07019779338449118
56,educate,0.06864916887847525
57,eternal,0.06864916887847525
58,following,0.06737580360955438
59,president,0.06691794803587395
60,lincoln,0.06577693097501346
61,devotion,0.06577693097501346
62,churches,0.06510064665877804
63,dignity,0.06443956103683408
64,fifth,0.06443956103683408
65,independent,0.06316035636159248
66,friday,0.06254102670428441
67,fear,0.06134016314630707
68,standard,0.06075762783043978
69,wisdom,0.058006365034332506
70,raised,0.05697408114771904
71,emancipation,0.05697408114771904
72,enemies,0.05647121296828037
73,fourth,0.05501221617252443
74,slaves,0.05317305032056279
75,soil,0.05317305032056279
76,negro,0.05317305032056279
77,previous,0.05317305032056279
78,end,0.051865409613965546
79,seven,0.051865409613965546
80,anti,0.05144213508623621
81,industry,0.05144213508623621
82,late,0.05144213508623621
83,wealth,0.05144213508623621
84,death,0.050613430366069155
85,love,0.04980743276562995
86,13,0.049412566808091814
87,position,0.04714859830849989
88,feel,0.04607876869611725
89,character,0.04573063360169749
90,republican,0.045046484809503795
91,property,0.045046484809503795
92,humanity,0.045046484809503795
93,class,0.04471028603991681
94,making,0.04404920041797286
95,second,0.04340264533331955
96,freedom,0.043084619834309175
97,children,0.04276999574273126
98,society,0.04245870106908985
99,support,0.04245870106908985
100,slavery,0.041245453982347545
101,justice,0.04008026910933425
102,liberty,0.04008026910933425
103,use,0.03979604397896804
104,persons,0.03979604397896804
105,god,0.03979604397896804
106,equal,0.03841470701968048
107,met,0.03814605609182051
108,cause,0.03814605609182051
109,national,0.03761600441547128
110,free,0.03709533467897091
111,resolved,0.036583720528857805
112,government,0.03608085234941914
113,address,0.035342309656195184
114,time,0.0351001924692924
115,adopted,0.034860051771263716
116,citizens,0.0339186251220081
117,states,0.0339186251220081
118,people,0.030428067595246418
119,peaceably,0.0
120,peaceful,0.0
121,peaceable,0.0
122,peace,0.0
123,peacefully,0.0
124,panem,0.0
125,peacefulness,0.0
126,peak,0.0
127,pang,0.0
128,pearce,0.0
129,pearl,0.0
130,pearls,0.0
131,panel,0.0
132,parley,0.0
133,peasant,0.0
134,pearly,0.0
135,pecks,0.0
136,pedagogues,0.0
137,pecuniary,0.0
138,peculiarly,0.0
139,peculiarity,0.0
140,peculiarities,0.0
141,peculiar,0.0
142,pecos,0.0
143,peckham,0.0
144,pears,0.0
145,pander,0.0
146,peck16,0.0
147,pandering,0.0
148,peck,0.0
149,peasants,0.0
150,peabody,0.0
151,peas,0.0
152,peacable,0.0
153,panhandle,0.0
154,payton,0.0
155,pausing,0.0
156,paperhanger,0.0
157,pauses,0.0
158,pause,0.0
159,papers,0.0
160,pauperizes,0.0
161,pauperism,0.0
162,papersuch,0.0
163,pauper,0.0
164,paupau,0.0
165,pauline,0.0
166,paul,0.0
167,paucity,0.0
168,patton,0.0
169,par,0.0
170,paracide,0.0
171,pattison,0.0
172,patterson,0.0
173,paper,0.0
174,paved,0.0
175,pays,0.0
176,pay,0.0
177,pangs,0.0
178,peden,0.0
179,paynesville,0.0
180,panic,0.0
181,pankes,0.0
182,payne,0.0
183,payments,0.0
184,payment,0.0
185,paymaster,0.0
186,panoply,0.0
187,panperism,0.0
188,panting,0.0
189,paym,0.0
190,paying,0.0
191,payers,0.0
192,paola,0.0
193,payable,0.0
194,peddlers,0.0
195,pandemonium,0.0
196,pedestal,0.0
197,penetrate,0.0
198,penns,0.0
199,palmyra,0.0
200,palpable,0.0
201,pennington,0.0
202,penniless,0.0
203,penned,0.0
204,penna,0.0
205,penn,0.0
206,palpably,0.0
207,penmanship,0.0
208,penman,0.0
209,palsied,0.0
210,penitentiary,0.0
211,penitentiaries,0.0
212,penitential,0.0
213,peninsula,0.0
214,palsies,0.0
215,pennsylania,0.0
216,pennsylvana,0.0
217,palmetto,0.0
218,pensylvania,0.0
219,peopled,0.0
220,palmerston,0.0
221,peopie,0.0
222,peonage,0.0
223,penury,0.0
224,penurious,0.0
225,pent,0.0
226,pensive,0.0
227,pennsylvania,0.0
228,pensions,0.0
229,pension,0.0
230,pensacola,0.0
231,pens,0.0
232,penny,0.0
233,pennsyvania,0.0
234,pennsylvanians,0.0
235,penetrated,0.0
236,peneton,0.0
237,pedigree,0.0
238,pendulum,0.0
239,pelled,0.0
240,pamphlets,0.0
241,pell,0.0
242,pelham,0.0
243,pan,0.0
244,pelam,0.0
245,peirce,0.0
246,pegs,0.0
247,panacea,0.0
248,peesident,0.0
249,peers,0.0
250,peer,0.0
251,peeled,0.0
252,panama,0.0
253,patrons,0.0
254,peek,0.0
255,pedple,0.0
256,pamphlet,0.0
257,pelman,0.0
258,pelt,0.0
259,pencader,0.0
260,palsy,0.0
261,pends,0.0
262,pendleton,0.0
263,pending,0.0
264,pendency,0.0
265,pencils,0.0
266,pencil,0.0
267,penance,0.0
268,pamphet,0.0
269,penalty,0.0
270,penalties,0.0
271,penalities,0.0
272,penal,0.0
273,pen,0.0
274,pampered,0.0
275,pembina,0.0
276,parade,0.0
277,patronized,0.0
278,patronizing,0.0
279,parental,0.0
280,pardons,0.0
281,parties,0.0
282,particulars,0.0
283,particularly,0.0
284,particularize,0.0
285,particular,0.0
286,parent,0.0
287,parentage,0.0
288,parents,0.0
289,parliament,0.0
290,particulalrly,0.0
291,parham,0.0
292,particles,0.0
293,pariahs,0.0
294,particle,0.0
295,participators,0.0
296,participation,0.0
297,participating,0.0
298,parting,0.0
299,pardonings,0.0
300,pardoned,0.0
301,partisan,0.0
302,parcels,0.0
303,pascal,0.0
304,parvo,0.0
305,party,0.0
306,parchment,0.0
307,parturition,0.0
308,parts,0.0
309,partridge,0.0
310,partook,0.0
311,partnership,0.0
312,partners,0.0
313,pardon,0.0
314,partly,0.0
315,partition,0.0
316,pardonable,0.0
317,partisanship,0.0
318,partisans,0.0
319,participated,0.0
320,participate,0.0
321,parian,0.0
322,parkman,0.0
323,parsoh,0.0
324,parrott,0.0
325,parksville,0.0
326,parrish,0.0
327,parris,0.0
328,parram,0.0
329,parkville,0.0
330,parlance,0.0
331,parquet,0.0
332,paroled,0.0
333,parole,0.0
334,paroisse,0.0
335,parnell,0.0
336,parmer,0.0
337,parlors,0.0
338,parlor,0.0
339,parliamentary,0.0
340,parks,0.0
341,parson,0.0
342,paris,0.0
343,parker,0.0
344,participants,0.0
345,parish,0.0
346,participant,0.0
347,participancy,0.0
348,parishes,0.0
349,partially,0.0
350,partiality,0.0
351,partialities,0.0
352,parity,0.0
353,park,0.0
354,partial,0.0
355,parted,0.0
356,parte,0.0
357,partaking,0.0
358,partakers,0.0
359,partake,0.0
360,parsons,0.0
361,paschal,0.0
362,paschall,0.0
363,pasquotank,0.0
364,paragraph,0.0
365,paragraphs,0.0
366,parallel,0.0
367,patience,0.0
368,pathway,0.0
369,paths,0.0
370,pathos,0.0
371,pathetic,0.0
372,parallels,0.0
373,path,0.0
374,paralysed,0.0
375,paterson,0.0
376,paternal,0.0
377,paralyze,0.0
378,paralyzed,0.0
379,paralyzes,0.0
380,patercules,0.0
381,pater,0.0
382,patient,0.0
383,patiently,0.0
384,patentee,0.0
385,patients,0.0
386,patronize,0.0
387,patronage,0.0
388,paraded,0.0
389,patron,0.0
390,patrols,0.0
391,patriots,0.0
392,patriotism,0.0
393,patriotically,0.0
394,patriotic,0.0
395,patriot,0.0
396,patrick,0.0
397,patrician,0.0
398,patriarch,0.0
399,parading,0.0
400,paradise,0.0
401,paradoxes,0.0
402,paton,0.0
403,patents,0.0
404,paralyzing,0.0
405,pasquotant,0.0
406,passmore,0.0
407,passive,0.0
408,passions,0.0
409,passionate,0.0
410,paraphernalia,0.0
411,passion,0.0
412,passing,0.0
413,passim,0.0
414,passibus,0.0
415,passes,0.0
416,passengers,0.0
417,paraphrase,0.0
418,paraphrases,0.0
419,passaic,0.0
420,passages,0.0
421,passage,0.0
422,pass,0.0
423,parcel,0.0
424,passively,0.0
425,passport,0.0
426,patent,0.0
427,passports,0.0
428,patches,0.0
429,patcher,0.0
430,patched,0.0
431,paramore,0.0
432,patagonia,0.0
433,paramount,0.0
434,pat,0.0
435,pastors,0.0
436,parapets,0.0
437,peoples,0.0
438,pastoric,0.0
439,pastored,0.0
440,paraphanalia,0.0
441,pastoral,0.0
442,pastor,0.0
443,past,0.0
444,passsons,0.0
445,pastorious,0.0
446,00,0.0
447,peoplo,0.0
448,petty,0.0
449,physicians,0.0
450,physician,0.0
451,physican,0.0
452,physically,0.0
453,physical,0.0
454,phsiology,0.0
455,phrenzy,0.0
456,phrenology,0.0
457,phrenological,0.0
458,phraseology,0.0
459,phrase,0.0
460,photographs,0.0
461,photographers,0.0
462,phonse,0.0
463,phoenixonian,0.0
464,phoenix,0.0
465,phoenician,0.0
466,phoenicia,0.0
467,phoebe,0.0
468,phla,0.0
469,philosophy,0.0
470,physiognomy,0.0
471,physiological,0.0
472,physiology,0.0
473,pickett,0.0
474,pieces,0.0
475,piece,0.0
476,pictures,0.0
477,pictured,0.0
478,picture,0.0
479,pictorial,0.0
480,pickway,0.0
481,pickpocket,0.0
482,picking,0.0
483,pickenpack,0.0
484,physique,0.0
485,picked,0.0
486,pickaway,0.0
487,pick,0.0
488,pice,0.0
489,picayune,0.0
490,picannyish,0.0
491,pic,0.0
492,pi,0.0
493,phœnix,0.0
494,philosophise,0.0
495,philosophically,0.0
496,philosophical,0.0
497,phase,0.0
498,phenyx,0.0
499,phenomena,0.0
500,phenix,0.0
501,phelps,0.0
502,phelimon,0.0
503,phelan,0.0
504,phebe,0.0
505,phatically,0.0
506,phases,0.0
507,pharsalia,0.0
508,phila,0.0
509,pharaohs,0.0
510,pharaoh,0.0
511,phantoms,0.0
512,phantom,0.0
513,phantasy,0.0
514,phalanx,0.0
515,pf,0.0
516,peyton,0.0
517,pew,0.0
518,phi,0.0
519,philad,0.0
520,philosophic,0.0
521,philips,0.0
522,philosophers,0.0
523,philosopher,0.0
524,philomathean,0.0
525,philologist,0.0
526,phillis,0.0
527,phillips,0.0
528,phillipps,0.0
529,phillip,0.0
530,philistines,0.0
531,philip2,0.0
532,philada,0.0
533,philip,0.0
534,philanthropy,0.0
535,philanthropists,0.0
536,philanthropist,0.0
537,philanthropic,0.0
538,philanthrophy,0.0
539,philander,0.0
540,philadelphia,0.0
541,philadel,0.0
542,pier,0.0
543,pierce,0.0
544,pierced,0.0
545,pisgah,0.0
546,pitiable,0.0
547,pithy,0.0
548,pith,0.0
549,pitcher,0.0
550,pitch,0.0
551,pitcairn,0.0
552,pit,0.0
553,pistols,0.0
554,pistol,0.0
555,pirating,0.0
556,pitiful,0.0
557,pirates,0.0
558,piracy,0.0
559,piques,0.0
560,piquant,0.0
561,piqua,0.0
562,pipestone,0.0
563,pipes,0.0
564,pious,0.0
565,pioneers,0.0
566,pitied,0.0
567,pitssburgh,0.0
568,pioneer,0.0
569,place,0.0
570,plain,0.0
571,plague,0.0
572,placing,0.0
573,placido,0.0
574,places,0.0
575,placervillians,0.0
576,placerville,0.0
577,placer,0.0
578,placed,0.0
579,placating,0.0
580,pitt,0.0
581,placards,0.0
582,pizarro,0.0
583,pivotal,0.0
584,pity,0.0
585,pittston,0.0
586,pittsfield,0.0
587,pittsburgh,0.0
588,pittsburg,0.0
589,pitts,0.0
590,pioneered,0.0
591,pints,0.0
592,piercing,0.0
593,pike,0.0
594,pillaged,0.0
595,piling,0.0
596,pilgrims,0.0
597,pilgrimage,0.0
598,pilgrim,0.0
599,piles,0.0
600,piled,0.0
601,pile,0.0
602,piketon,0.0
603,pigs,0.0
604,pillars,0.0
605,pigford,0.0
606,pig,0.0
607,piety,0.0
608,pierson,0.0
609,pierre,0.0
610,pierpont,0.0
611,pierpoint,0.0
612,piere,0.0
613,piercy,0.0
614,pillar,0.0
615,pilles,0.0
616,pinneys,0.0
617,pindall,0.0
618,pinney,0.0
619,pinnacle,0.0
620,pinn,0.0
621,pinioned,0.0
622,pine,0.0
623,pinders,0.0
624,pindell,0.0
625,pindeli,0.0
626,pindar,0.0
627,pinckney,0.0
628,pillman,0.0
629,pinching,0.0
630,pinchbank,0.0
631,pinchback,0.0
632,pimps,0.0
633,pimp,0.0
634,pilots,0.0
635,pilot,0.0
636,pillow,0.0
637,pillory,0.0
638,pettyjohn,0.0
639,pettingill,0.0
640,peopulation,0.0
641,pettijohn,0.0
642,permits,0.0
643,permited,0.0
644,permit,0.0
645,permission,0.0
646,perminent,0.0
647,permeates,0.0
648,permeated,0.0
649,permeate,0.0
650,permanently,0.0
651,permanent,0.0
652,permanency,0.0
653,permanence,0.0
654,perkins,0.0
655,perjury,0.0
656,perjured,0.0
657,perishing,0.0
658,perisheth,0.0
659,perished,0.0
660,perish,0.0
661,periods,0.0
662,periodicals,0.0
663,permitted,0.0
664,permitting,0.0
665,pernicious,0.0
666,perpetuate,0.0
667,perporting,0.0
668,perplexities,0.0
669,perplexing,0.0
670,perplex,0.0
671,perpetuity,0.0
672,perpetuation,0.0
673,perpetuating,0.0
674,perpetuates,0.0
675,perpetuated,0.0
676,perpetually,0.0
677,peroperty,0.0
678,perpetual,0.0
679,perpetrators,0.0
680,perpetrator,0.0
681,perpetration,0.0
682,perpetrating,0.0
683,perpetrated,0.0
684,perpetrate,0.0
685,perpertrated,0.0
686,peroration,0.0
687,periodically,0.0
688,periodical,0.0
689,periodic,0.0
690,perch,0.0
691,perennial,0.0
692,peremptory,0.0
693,peremptorily,0.0
694,peregrinus,0.0
695,peregrini,0.0
696,pere,0.0
697,perdere,0.0
698,perched,0.0
699,perchance,0.0
700,perceptions,0.0
701,perfected,0.0
702,perception,0.0
703,perceptible,0.0
704,percentage,0.0
705,percent,0.0
706,perceiving,0.0
707,perceived,0.0
708,perceive,0.0
709,pepper,0.0
710,peoria,0.0
711,perfect,0.0
712,perfectily,0.0
713,period,0.0
714,performs,0.0
715,perils,0.0
716,perilously,0.0
717,perilous,0.0
718,perilling,0.0
719,periled,0.0
720,peril,0.0
721,pericles,0.0
722,perham,0.0
