,term,score
0,shall,0.2767225471736497
1,convention,0.25496406262999805
2,league,0.24383514853840024
3,hara,0.18804846425968783
4,raleigh,0.1791538212558467
5,rue,0.17843344951543322
6,wake,0.1642243361511928
7,motion,0.1492671957445831
8,craven,0.14184318745017205
9,caswell,0.14184318745017205
10,mr,0.12659411305931442
11,people,0.11285294575426143
12,1866,0.11068393528185244
13,colored,0.10735952134231525
14,board,0.10309106254511818
15,carolina,0.10179470237906384
16,state,0.09889025098798608
17,leary,0.0964485200208229
18,secretary,0.09492697115395629
19,oct,0.09415739451115217
20,bowman,0.09316045561227068
21,schenck,0.09316045561227068
22,gov,0.09303739088568709
23,jas,0.0920641602834117
24,harris,0.09130504044875995
25,committee,0.08556042776779907
26,good,0.08177781375026504
27,rev,0.08096469543633573
28,treasurer,0.08040830308107962
29,address,0.08010389523447753
30,association,0.07934566479660814
31,invitation,0.07578755296550067
32,session,0.07024519569213719
33,north,0.07015783362188695
34,ellison,0.06928101314830605
35,president,0.06894116880044615
36,race,0.06559880249940023
37,business,0.06413984537429479
38,freedmen,0.0641370640139763
39,executive,0.06257243353426559
40,cawthorn,0.062056394509450274
41,members,0.062005279865786654
42,rights,0.06120777904574765
43,chairman,0.05822284350225337
44,meeting,0.055406611085881054
45,received,0.0542789802707575
46,recording,0.05426982339644148
47,locket,0.05358251112267938
48,managers,0.05316422336324977
49,races,0.05244210216389096
50,education,0.052110076969280134
51,art,0.051864803453890856
52,introduced,0.050870434805864985
53,member,0.05025415429727311
54,clock,0.049938201339473
55,present,0.0495952772955758
56,hyman,0.04948643796307575
57,hertford,0.04948643796307575
58,john,0.0490875132270811
59,dr,0.04824498184864777
60,sec,0.04819594715414176
61,equal,0.04749138093075519
62,james,0.04747193038693786
63,schools,0.04711326965369354
64,duty,0.04683013046142479
65,ex,0.04660939488261131
66,sykes,0.04658022780613534
67,brown,0.046403356564083266
68,annual,0.0457346191814449
69,delegates,0.04548905094646859
70,minutes,0.04498875948903039
71,county,0.044714896169652116
72,appointed,0.043994842748636444
73,tucker,0.043633048957577455
74,porter,0.043633048957577455
75,pell,0.04286600889814351
76,fiske,0.04286600889814351
77,whites,0.04266429454648522
78,wayne,0.04160792056440857
79,warren,0.041430573228987834
80,page,0.041430573228987834
81,feeling,0.040511831307117496
82,resolved,0.04020245930196985
83,col,0.03987142321882111
84,educational,0.0398327096265902
85,brady,0.0395891503704606
86,pasquotank,0.0395891503704606
87,chowan,0.0395891503704606
88,fayetteville,0.0395891503704606
89,bass,0.039577944489591316
90,messrs,0.03916047074880633
91,time,0.03857218562898564
92,office,0.03769061572295484
93,various,0.03762977401088758
94,gentlemen,0.037362870619702636
95,white,0.03691598113380229
96,pursuant,0.03685729068313958
97,counties,0.03682893755192499
98,chaplain,0.0367154987996819
99,bureau,0.03625175157536436
100,adopted,0.035914022830864534
101,constitution,0.03566909552992052
102,persons,0.035532684687175124
103,holden,0.03548187132998769
104,officers,0.03528133717599237
105,citizens,0.034944132757355764
106,regular,0.034703983348575385
107,audience,0.034703983348575385
108,consisting,0.03460153134409748
109,vote,0.03454141178200016
110,did,0.03448880364895628
111,harry,0.033987323717225376
112,cumberland,0.03392461658833765
113,object,0.03375031460171054
114,thanks,0.03375031460171054
115,year,0.03327939958054671
116,negro,0.032868421809521146
117,duties,0.03279092385774489
118,davidson,0.03274151992390534
119,pope,0.03274151992390534
