,term,score
0,nashville,0.2578349304098074
1,loyal,0.22839634496202843
2,tennessee,0.20019797667678665
3,resolved,0.1868442021822627
4,messr,0.18399379899825932
5,grateful,0.1734042077867178
6,throes,0.17318832037678777
7,repairing,0.17318832037678777
8,endeared,0.16480694001236113
9,state,0.1564597417428619
10,fisk,0.15216887908439478
11,instructing,0.14272938687372938
12,leadership,0.13877199463936038
13,ravages,0.13877199463936038
14,riot,0.1351920979099357
15,heroism,0.1351920979099357
16,memphis,0.13192390825225783
17,christian,0.1313653252019318
18,asserting,0.1289174652049037
19,massacre,0.1289174652049037
20,stevens,0.12613393371139406
21,natives,0.12613393371139406
22,congress,0.12420553174308246
23,summer,0.12354252788783117
24,300,0.12111842963078631
25,feel,0.11766915242772673
26,republican,0.11503305833407443
27,statesman,0.11466365036181865
28,aiding,0.11466365036181865
29,ninth,0.11273704926635963
30,defended,0.11273704926635963
31,loyalty,0.10915715253693498
32,guarantee,0.10748752270546057
33,form,0.10685968161976268
34,thanks,0.10457155631186296
35,memory,0.10146497474919942
36,prompt,0.09878094129156716
37,oppressors,0.09750758251483042
38,bureau,0.09627598081474516
39,enactment,0.09627598081474516
40,disfranchised,0.09508348425778557
41,major,0.09280639396366555
42,government,0.09213795062158099
43,freedmen,0.09171760797396665
44,patriotic,0.08577463734954685
45,rights,0.08428685498510971
46,recently,0.08145257733245982
47,devoted,0.08064479379988307
48,care,0.08064479379988307
49,discharge,0.07985401750625636
50,convention,0.07770270398410023
51,passage,0.07757692721213634
52,grant,0.0768475744589022
53,governor,0.0754300293761987
54,delivered,0.0754300293761987
55,tender,0.07406404296539258
56,thirty,0.07339923823728871
57,urge,0.07024103544174441
58,kind,0.06514988080871623
59,oppressed,0.06462455075472714
60,000,0.06359543195244398
61,human,0.061618107707373
62,aid,0.06020056262466948
63,noble,0.05973969197654611
64,legislature,0.057516529167037214
65,labor,0.05708726179093349
66,civil,0.056243170390300475
67,manner,0.055828133166509204
68,passed,0.055828133166509204
69,like,0.055417631959459084
70,act,0.055417631959459084
71,duties,0.055417631959459084
72,far,0.05460984842688234
73,met,0.04870588142650681
74,general,0.04836596520091476
75,duty,0.04836596520091476
76,power,0.047036251595032406
77,resolutions,0.04638864095584378
78,good,0.046068975310790496
79,country,0.04543769176882895
80,citizens,0.043308187073549144
81,following,0.04301359351178408
82,men,0.041292965048470145
83,colored,0.03991696918082147
84,peaceably,0.0
85,peacable,0.0
86,peaceful,0.0
87,peaceable,0.0
88,peace,0.0
89,peak,0.0
90,peacefully,0.0
91,peacefulness,0.0
92,paton,0.0
93,payton,0.0
94,pearce,0.0
95,pearl,0.0
96,pearls,0.0
97,pearly,0.0
98,patients,0.0
99,patiently,0.0
100,pears,0.0
101,peas,0.0
102,peasant,0.0
103,patient,0.0
104,peasants,0.0
105,peabody,0.0
106,paymaster,0.0
107,pays,0.0
108,patriotically,0.0
109,pauperism,0.0
110,pauper,0.0
111,patriotism,0.0
112,patriots,0.0
113,paupau,0.0
114,pauline,0.0
115,paul,0.0
116,patrols,0.0
117,paucity,0.0
118,patton,0.0
119,pattison,0.0
120,patterson,0.0
121,patrons,0.0
122,patronizing,0.0
123,patronized,0.0
124,patronize,0.0
125,patronage,0.0
126,pauperizes,0.0
127,paupers,0.0
128,paynesville,0.0
129,pause,0.0
130,patriarch,0.0
131,payne,0.0
132,payments,0.0
133,payment,0.0
134,patrician,0.0
135,patron,0.0
136,paym,0.0
137,patrick,0.0
138,paying,0.0
139,payers,0.0
140,patriot,0.0
141,payable,0.0
142,pay,0.0
143,paved,0.0
144,pausing,0.0
145,pauses,0.0
146,peck,0.0
147,00,0.0
148,peek,0.0
149,peck16,0.0
150,peckham,0.0
151,pens,0.0
152,penny,0.0
153,pennsyvania,0.0
154,pennsylvanians,0.0
155,pennsylvania,0.0
156,pennsylvana,0.0
157,pennsylania,0.0
158,penns,0.0
159,pennington,0.0
160,penniless,0.0
161,penned,0.0
162,penna,0.0
163,penn,0.0
164,penmanship,0.0
165,penman,0.0
166,penitentiary,0.0
167,penitentiaries,0.0
168,penitential,0.0
169,peninsula,0.0
170,pensacola,0.0
171,pension,0.0
172,pensions,0.0
173,peoplo,0.0
174,percentage,0.0
175,percent,0.0
176,perceiving,0.0
177,perceived,0.0
178,perceive,0.0
179,pepper,0.0
180,peoria,0.0
181,peopulation,0.0
182,peoples,0.0
183,pensive,0.0
184,peopled,0.0
185,people,0.0
186,peopie,0.0
187,peonage,0.0
188,penury,0.0
189,penurious,0.0
190,pent,0.0
191,pensylvania,0.0
192,penetrated,0.0
193,penetrate,0.0
194,peneton,0.0
195,peden,0.0
196,peesident,0.0
197,peers,0.0
198,peer,0.0
199,peeled,0.0
200,pathway,0.0
201,pedple,0.0
202,pedigree,0.0
203,pedestal,0.0
204,peddlers,0.0
205,peirce,0.0
206,pedagogues,0.0
207,pecuniary,0.0
208,peculiarly,0.0
209,peculiarity,0.0
210,peculiarities,0.0
211,peculiar,0.0
212,pecos,0.0
213,pecks,0.0
214,pegs,0.0
215,pelam,0.0
216,pendulum,0.0
217,penalty,0.0
218,pends,0.0
219,pendleton,0.0
220,pending,0.0
221,pendency,0.0
222,pencils,0.0
223,pencil,0.0
224,pencader,0.0
225,penance,0.0
226,penalties,0.0
227,pelham,0.0
228,penalities,0.0
229,penal,0.0
230,pen,0.0
231,pembina,0.0
232,pelt,0.0
233,pelman,0.0
234,pelled,0.0
235,pell,0.0
236,patience,0.0
237,pastoral,0.0
238,paths,0.0
239,paraphanalia,0.0
240,pardoned,0.0
241,pardonable,0.0
242,pardon,0.0
243,parchment,0.0
244,parcels,0.0
245,parcel,0.0
246,paraphrases,0.0
247,paraphrase,0.0
248,paraphernalia,0.0
249,parapets,0.0
250,pardons,0.0
251,paramount,0.0
252,paramore,0.0
253,paralyzing,0.0
254,paralyzes,0.0
255,paralyzed,0.0
256,paralyze,0.0
257,paralysed,0.0
258,parallels,0.0
259,parallel,0.0
260,pardonings,0.0
261,parent,0.0
262,paragraph,0.0
263,parker,0.0
264,parlor,0.0
265,parliamentary,0.0
266,parliament,0.0
267,parley,0.0
268,parlance,0.0
269,parkville,0.0
270,parksville,0.0
271,parks,0.0
272,parkman,0.0
273,park,0.0
274,parentage,0.0
275,parity,0.0
276,parishes,0.0
277,parish,0.0
278,paris,0.0
279,parian,0.0
280,pariahs,0.0
281,parham,0.0
282,parents,0.0
283,parental,0.0
284,paragraphs,0.0
285,paradoxes,0.0
286,pathos,0.0
287,palpably,0.0
288,panacea,0.0
289,pan,0.0
290,pamphlets,0.0
291,pamphlet,0.0
292,pamphet,0.0
293,pampered,0.0
294,palsy,0.0
295,palsies,0.0
296,palsied,0.0
297,palpable,0.0
298,pandemonium,0.0
299,palmyra,0.0
300,palmetto,0.0
301,palmerston,0.0
302,palmer10,0.0
303,palmer,0.0
304,palmed,0.0
305,palmas,0.0
306,palm,0.0
307,palliative,0.0
308,panama,0.0
309,pander,0.0
310,paradise,0.0
311,paola,0.0
312,parading,0.0
313,paraded,0.0
314,parade,0.0
315,paracide,0.0
316,par,0.0
317,papersuch,0.0
318,papers,0.0
319,paperhanger,0.0
320,paper,0.0
321,panting,0.0
322,pandering,0.0
323,panperism,0.0
324,panoply,0.0
325,pankes,0.0
326,panic,0.0
327,panhandle,0.0
328,pangs,0.0
329,pang,0.0
330,panem,0.0
331,panel,0.0
332,parlors,0.0
333,parmer,0.0
334,parnell,0.0
335,passengers,0.0
336,passively,0.0
337,passive,0.0
338,passions,0.0
339,passionate,0.0
340,passion,0.0
341,passing,0.0
342,passim,0.0
343,passibus,0.0
344,passes,0.0
345,passaic,0.0
346,passport,0.0
347,passages,0.0
348,pass,0.0
349,pasquotant,0.0
350,pasquotank,0.0
351,paschall,0.0
352,paschal,0.0
353,pascal,0.0
