,term,score
0,conway,0.3970375839158085
1,conservatives,0.1899689073537817
2,convention,0.18719414274215937
3,orleans,0.1746000000428168
4,men,0.1421131127672765
5,mobile,0.1395823949646201
6,loyal,0.13100744678551915
7,alabama,0.1250516912126155
8,1867,0.12270065352832933
9,confiscation,0.11343930969023101
10,tribune,0.11097812727218226
11,colored,0.10990200845811433
12,party,0.10201606639117483
13,louisiana,0.09469609229646796
14,bodies,0.09049954297676713
15,achieve,0.08873599776054196
16,despite,0.08682004755176394
17,state,0.08077034754858105
18,republican,0.07917913364567496
19,new,0.07765238151902125
20,fine,0.06984000001712673
21,reconstruction,0.06984000001712673
22,commlssioner,0.06856431452217483
23,satraps,0.06856431452217483
24,convocations,0.06856431452217483
25,smoothly,0.06856431452217483
26,mockingly,0.06856431452217483
27,supposedly,0.06856431452217483
28,objective,0.06856431452217483
29,nice,0.06856431452217483
30,torment,0.06856431452217483
31,commissionship,0.06856431452217483
32,unused,0.06856431452217483
33,working,0.06626833070594881
34,spreads,0.06332296911792723
35,troubling,0.06332296911792723
36,hardened,0.06332296911792723
37,alongside,0.06332296911792723
38,grammatical,0.06332296911792723
39,prefix,0.06332296911792723
40,reins,0.06332296911792723
41,disrupt,0.06332296911792723
42,freedmen,0.0631307281976453
43,league,0.06240241252475326
44,presence,0.0610045858015236
45,points,0.05967847478762503
46,unassuming,0.05960417537174049
47,deportation,0.05960417537174049
48,ha,0.05960417537174049
49,threat,0.05960417537174049
50,joining,0.05960417537174049
51,radicals,0.05960417537174049
52,seizures,0.05960417537174049
53,labor,0.05894114261071115
54,additional,0.05780873280676191
55,honest,0.057214373374676095
56,ala,0.05671965484511551
57,polished,0.05671965484511551
58,yeomanry,0.05671965484511551
59,imperious,0.05671965484511551
60,going,0.05606513988058617
61,assistant,0.05606513988058617
62,organization,0.055566820097266725
63,action,0.055566820097266725
64,greatest,0.05443174436004689
65,christianize,0.05436282996749289
66,evangelical,0.05436282996749289
67,anger,0.05436282996749289
68,swelling,0.05436282996749289
69,sentences,0.05436282996749289
70,rhetoric,0.05436282996749289
71,disturbance,0.05436282996749289
72,resolution,0.05283743555878505
73,beheld,0.05237016292631629
74,tongues,0.05237016292631629
75,plainest,0.05237016292631629
76,smoke,0.05237016292631629
77,twentieth,0.05237016292631629
78,rapidity,0.05237016292631629
79,criticism,0.05237016292631629
80,simplicity,0.05237016292631629
81,audiences,0.05237016292631629
82,dream,0.05237016292631629
83,minions,0.05237016292631629
84,delivered,0.051919721716258076
85,blacks,0.051445332321426104
86,edifice,0.050644036221306164
87,lo,0.050644036221306164
88,punishments,0.050644036221306164
89,sorrows,0.050644036221306164
90,thirty,0.0505218949930284
91,mr,0.049588818973736945
92,united,0.049588818973736945
93,spoke,0.04919578397912982
94,reconstructed,0.04912148456324529
95,ascertained,0.04912148456324529
96,bitterness,0.04775951569468117
97,threats,0.04775951569468117
98,headquarters,0.04775951569468117
99,government,0.0475650426826722
100,promote,0.04712640010555465
101,negro,0.046731682566180884
102,address,0.046591428911412755
103,marks,0.0465274649882067
104,employers,0.0465274649882067
