,term,score
0,league,0.4056383412284309
1,50,0.21622706344337764
2,rights,0.13618409774733525
3,men,0.11290728016065846
4,oppressor,0.1102712308360743
5,colored,0.1091448971313421
6,mission,0.10375982473909195
7,payne,0.1034847315482604
8,carolina,0.10226041097352306
9,langston,0.10088563571018723
10,lorraine,0.09904287594367912
11,faith,0.09828502883789894
12,equal,0.097537690550426
13,chase,0.09613603460325063
14,bureau,0.09572626960313702
15,sir,0.09339138273744205
16,states,0.0861218168174864
17,dear,0.08264760063357281
18,unerring,0.08193296728105148
19,sheer,0.08193296728105148
20,esq,0.08018433266581344
21,discrimination,0.07781986855431897
22,sold,0.07566422678264043
23,rapier,0.07565001686385826
24,tennessee,0.0746455865491538
25,national,0.07163229560504036
26,labor,0.07095163516977133
27,maryland,0.06920736990378314
28,ohio,0.06865428939857951
29,louisiana,0.06839544292852916
30,south,0.06688972375586626
31,action,0.06688972375586626
32,sumner,0.06683895810676867
33,races,0.06609199332381999
34,columbia,0.06536443243451893
35,contains,0.06409068973550042
36,president,0.06371604732448559
37,recognition,0.06198570047517961
38,letter,0.06174817497168687
39,despised,0.0602134371970455
40,completely,0.0602134371970455
41,virginia,0.05954855362683656
42,elevate,0.05954855362683656
43,inspire,0.05908139285139997
44,constitution,0.05886731859181386
45,rev,0.05845960829486376
46,loguen,0.05801407305203686
47,humanity,0.057188124505060875
48,oberlin,0.05700447513142453
49,vashon,0.05700447513142453
50,ballot,0.05677306507080972
51,bishop,0.05604667478329574
52,emancipated,0.05604667478329574
53,civil,0.05592203628106271
54,purposes,0.055230867175836994
55,wisdom,0.055230867175836994
56,change,0.055230867175836994
57,season,0.05513561541803715
58,obligation,0.05426694656566428
59,band,0.05343689822945101
60,michigan,0.05264218200010225
61,100,0.05264218200010225
62,slavery,0.0523625798457998
63,missouri,0.051147543486622545
64,1866,0.051147543486622545
65,arm,0.050442817855093615
66,kansas,0.050442817855093615
67,indiana,0.04976372436610253
68,radical,0.04976372436610253
69,fountainhead,0.04952143797183956
70,nationl,0.04952143797183956
71,aristocrat,0.04952143797183956
72,undoubting,0.04952143797183956
73,thins,0.04952143797183956
74,districted,0.04952143797183956
75,enslaver,0.04952143797183956
76,polities,0.04952143797183956
77,impenitent,0.04952143797183956
78,descendent,0.04952143797183956
79,calumniate,0.04952143797183956
80,lanston,0.04952143797183956
81,lite,0.04952143797183956
82,persever,0.04952143797183956
83,resign,0.04952143797183956
84,georgia,0.049108463698351555
85,district,0.04898072355521235
86,political,0.048768845275213
87,state,0.04861449895578648
88,oppressed,0.04819167083142168
89,duty,0.048089807917382627
90,united,0.047754863736693576
91,members,0.047754863736693576
92,pure,0.04727029094816763
93,laboring,0.04669569136872102
94,congress,0.04631113122876515
95,kentucky,0.046138246602522096
96,senator,0.046138246602522096
97,blasphemous,0.045735810373367936
98,mahoney,0.045735810373367936
99,flies,0.045735810373367936
100,ecclesiastic,0.045735810373367936
101,humbug,0.045735810373367936
102,smithsonian,0.045735810373367936
103,university,0.04559696195235277
104,letters,0.04507092680315899
105,appeal,0.04454894521790766
106,north,0.04420943173540577
107,districts,0.04357628828967929
108,efforts,0.04321490645765767
109,unutterable,0.043049864847400615
110,transpiring,0.043049864847400615
111,pharaoh,0.043049864847400615
112,detest,0.043049864847400615
113,despot,0.043049864847400615
114,chemical,0.043049864847400615
115,entitled,0.04289109337879566
116,concerning,0.04264244306081631
117,class,0.0425709811018628
118,follows,0.0425709811018628
119,justly,0.04175308388731632
120,like,0.0413259085975429
121,let,0.0413259085975429
122,equally,0.041323800316786403
123,educated,0.041323800316786403
124,brazen,0.04096648364052574
125,aggressions,0.04096648364052574
126,succor,0.04096648364052574
127,infer,0.04096648364052574
128,inequality,0.04096648364052574
129,resistless,0.04096648364052574
130,laboratory,0.04096648364052574
131,howling,0.04096648364052574
132,fraternally,0.04096648364052574
133,revolution,0.04090416438940923
134,posterity,0.04090416438940923
135,secure,0.040133834253519754
136,pennsylvania,0.04009216633290672
137,successful,0.04009216633290672
138,say,0.03984357756942265
139,5th,0.03969903575122437
140,doubt,0.03969903575122437
141,6th,0.03931401153515957
142,color,0.03927193488434985
143,haughty,0.039264237248928996
144,diligently,0.039264237248928996
145,prophetic,0.039264237248928996
146,goal,0.039264237248928996
147,grossest,0.039264237248928996
148,ult,0.039264237248928996
149,pickett,0.039264237248928996
150,increases,0.039264237248928996
151,labors,0.0389367661206681
152,courts,0.0389367661206681
153,lands,0.0389367661206681
154,convention,0.03862952071497116
155,justice,0.0381625019640384
156,massachusetts,0.037848710047206476
157,butter,0.03782500843192913
158,omnipotence,0.03782500843192913
159,reformation,0.03782500843192913
160,nobler,0.03782500843192913
161,minions,0.03782500843192913
162,utterances,0.03782500843192913
163,motion,0.03762384075979747
164,received,0.03762384075979747
165,3d,0.03749967160621575
166,public,0.0368347880360068
167,2d,0.03682057811722466
168,counsels,0.03657829172296168
169,minnesota,0.03657829172296168
170,text,0.03657829172296168
171,benefactors,0.03657829172296168
