,term,score
0,league,0.27836508139261606
1,conrad,0.2658826871815707
2,cincinnati,0.21629991078241131
3,ohio,0.21200980556548404
4,mr,0.18433843435556832
5,rev,0.18052783440920536
6,bolles,0.15292606664063899
7,yiester,0.15292606664063899
8,lubricating,0.15292606664063899
9,exenia,0.15292606664063899
10,tolliver,0.14123575306917688
11,55th,0.14123575306917688
12,greenbacks,0.14123575306917688
13,failed,0.13760261387454065
14,darnes,0.13294134359078535
15,oxford,0.13294134359078535
16,anderson,0.12259372173952503
17,chronicle,0.12125103001932329
18,oil,0.12125103001932329
19,shave,0.12125103001932329
20,clark,0.11909788042044235
21,writes,0.11295662054093178
22,detailed,0.11295662054093178
23,rufus,0.11295662054093178
24,young,0.10783565088590154
25,slowly,0.10652297672264086
26,efficiency,0.10652297672264086
27,paper,0.10166724035704701
28,cries,0.1012663069694697
29,perkins,0.1012663069694697
30,usages,0.09895852676076455
31,looks,0.09895852676076455
32,booker,0.09895852676076455
33,ministry,0.09682185602067443
34,proscriptive,0.09682185602067443
35,elder,0.09483266315117878
36,pastor,0.09483266315117878
37,ablest,0.0929718974910782
38,barber,0.0929718974910782
39,invaluable,0.09122397683153685
40,noticed,0.09122397683153685
41,state,0.09007522089210906
42,unknown,0.08801713479846929
43,conference,0.08513154244921235
44,frequent,0.08513154244921235
45,regiment,0.08379028383226586
46,columbus,0.07897380371091096
47,jenkins,0.07582538492141588
48,chaplain,0.07484794010132519
49,baptist,0.0729871744412246
50,principal,0.0729871744412246
51,ministers,0.07209997026080377
52,abolished,0.07123925378168326
53,senator,0.07123925378168326
54,appear,0.07123925378168326
55,present,0.06740303987299648
56,voters,0.06584159665301223
57,men,0.06339390834725964
58,peter,0.06252393374998559
59,sec,0.06252393374998559
60,composed,0.061903869833910684
61,addresses,0.0607023684505635
62,labors,0.06011988680464276
63,prepared,0.06011988680464276
64,asking,0.059548940210221175
65,supported,0.059548940210221175
66,expected,0.05898908066105736
67,massachusetts,0.05843988575445553
68,joseph,0.05843988575445553
69,delivered,0.05790095677669194
70,face,0.05534779754784995
71,short,0.05438664651787223
72,late,0.050418766102676336
73,lewis,0.05000979668055661
74,times,0.04881658388741673
75,brought,0.04804768869876211
76,think,0.04804768869876211
77,school,0.04767079626215492
78,high,0.04767079626215492
