,term,score
0,sailors,0.3243933547457154
1,soldiers,0.18149109441417682
2,convention,0.17660161912217237
3,nation,0.15686731590599298
4,langston,0.13836490551396183
5,fairness,0.1337792532433808
6,men,0.13139010300555581
7,assured,0.12655744471050012
8,claims,0.1224175467044478
9,clear,0.12086044885848003
10,loyalty,0.09923633999008966
11,lose,0.09353198099979074
12,pretenders,0.09055837054375551
13,periled,0.09055837054375551
14,crib,0.09055837054375551
15,bolster,0.09055837054375551
16,tricksters,0.09055837054375551
17,berth,0.09055837054375551
18,open,0.09030657585063272
19,national,0.08732788914557049
20,hail,0.08539101235650978
21,pompous,0.08363570672696558
22,grumblers,0.08363570672696558
23,unawares,0.08363570672696558
24,forecast,0.08363570672696558
25,braves,0.08363570672696558
26,yawning,0.08363570672696558
27,fumed,0.08363570672696558
28,league,0.08241985405415596
29,brethren,0.08209379818049435
30,brave,0.07968665336621086
31,certainly,0.07882213176004335
32,wayman,0.07872399858272294
33,veterans,0.07872399858272294
34,amen,0.07872399858272294
35,scarred,0.07872399858272294
36,deadliest,0.07872399858272294
37,managing,0.07872399858272294
38,cavil,0.07872399858272294
39,patriotic,0.07797895856312415
40,sections,0.07635261407720476
41,facing,0.07491418176311934
42,fide,0.07491418176311934
43,lazy,0.07491418176311934
44,bona,0.07491418176311934
45,st,0.07404971153400167
46,goodly,0.07180133476593302
47,sagacious,0.07180133476593302
48,worded,0.07180133476593302
49,breathed,0.07180133476593302
50,fear,0.07120249812083611
51,fought,0.06921280256456101
52,evenings,0.06916946013052282
53,foulest,0.06916946013052282
54,american,0.06783514387408715
55,preliminaries,0.0668896266216904
56,faced,0.0668896266216904
57,volunteered,0.0668896266216904
58,predict,0.0668896266216904
59,movement,0.06497680412646348
60,demagogues,0.06487867094914308
61,bosoms,0.06487867094914308
62,citadel,0.06487867094914308
63,crowning,0.06487867094914308
64,bethel,0.06487867094914308
65,trust,0.06331077714975572
66,charge,0.06331077714975572
67,thing,0.06331077714975572
68,greeting,0.06307980980208677
69,sweep,0.06307980980208677
70,genuine,0.06307980980208677
71,good,0.06282295375087411
72,arranged,0.061452541956077376
73,peculiarly,0.061452541956077376
74,rare,0.061452541956077376
75,hypocritical,0.061452541956077376
76,thirteenth,0.061452541956077376
77,bare,0.061452541956077376
78,west,0.060702885884934984
79,force,0.06020438390042181
80,undying,0.05996696280490047
81,details,0.05996696280490047
82,awake,0.05996696280490047
83,selfish,0.05996696280490047
84,headed,0.058600362460927924
85,consciences,0.058600362460927924
86,promising,0.058600362460927924
87,capitol,0.058600362460927924
88,sittings,0.057335088169490275
89,displayed,0.05615714598529684
90,fitting,0.05615714598529684
91,cannon,0.05505525466065786
92,exceedingly,0.05505525466065786
93,completely,0.05505525466065786
94,gathering,0.05505525466065786
95,colored,0.05443363764451798
96,cowardly,0.054020186864532596
97,solomon,0.054020186864532596
98,folly,0.054020186864532596
99,listen,0.054020186864532596
100,washington,0.053487360861270476
101,feel,0.053487360861270476
102,kindly,0.053044298988110535
103,boldly,0.053044298988110535
104,difficulty,0.053044298988110535
105,skill,0.053044298988110535
106,market,0.053044298988110535
107,people,0.05298048573665171
108,heroic,0.052121188247192564
109,occur,0.052121188247192564
110,pretext,0.052121188247192564
111,lever,0.052121188247192564
112,bosom,0.052121188247192564
113,treason,0.05124543784105423
114,cordial,0.05124543784105423
115,bishop,0.05124543784105423
116,respectful,0.050412424352700345
117,sorry,0.050412424352700345
118,season,0.050412424352700345
119,prospect,0.050412424352700345
120,able,0.05038096761193656
121,body,0.05038096761193656
122,important,0.05038096761193656
123,work,0.04964659996479537
124,delegations,0.04961816999504483
125,large,0.04892769384360564
126,south,0.04892769384360564
127,outside,0.04885922772803339
128,come,0.048223611590450084
129,sitting,0.04813259084386792
130,mercer,0.0474356210214506
131,lawyer,0.0474356210214506
132,week,0.04676599049989537
133,listened,0.04676599049989537
134,assemblage,0.04676599049989537
135,cook,0.04676599049989537
136,carter,0.04550071620845773
137,usual,0.04550071620845773
138,quarter,0.04550071620845773
139,east,0.04490158842882131
140,overthrow,0.04490158842882131
141,caused,0.043762940599694704
142,john,0.043663944572785246
143,mr,0.043663944572785246
144,owe,0.043220882699625304
145,wide,0.043220882699625304
146,welcome,0.04269550617825489
147,add,0.04269550617825489
148,vain,0.04269550617825489
149,hill,0.04269550617825489
150,sea,0.04269550617825489
151,attended,0.04269550617825489
152,city,0.042465689013512414
153,stewart,0.04218581490350005
154,sit,0.04218581490350005
155,flag,0.04218581490350005
156,make,0.0421725818105659
157,excellent,0.0416908993888541
158,danger,0.0416908993888541
159,man,0.04159380898053473
160,country,0.04130806020439838
161,bright,0.04120992702707798
162,time,0.04074363777570489
163,generous,0.040742133662282166
164,afford,0.040742133662282166
165,enemy,0.040742133662282166
166,turned,0.040742133662282166
167,fight,0.03984332668310543
168,refuse,0.03984332668310543
169,attendance,0.03984332668310543
170,false,0.03984332668310543
171,local,0.039411065880021676
172,fall,0.039411065880021676
173,defence,0.03898947928156207
174,liberties,0.03898947928156207
175,share,0.03857805239166779
176,rights,0.0383131970906237
177,grievances,0.03817630703860238
178,arrangements,0.03817630703860238
179,devotion,0.03817630703860238
180,duly,0.03740011020747436
181,follow,0.03702485576700083
182,careful,0.03702485576700083
183,grand,0.036657671943430226
184,esq,0.036657671943430226
185,hearty,0.036657671943430226
186,statement,0.03629821888283537
187,gain,0.03629821888283537
188,powerful,0.035946177756257594
189,friendly,0.035601249060418054
190,tuesday,0.03526315108671011
191,tell,0.03526315108671011
192,appropriate,0.03493161853886282
193,results,0.03493161853886282
194,extend,0.03493161853886282
195,calling,0.034606401282280506
196,hearts,0.034606401282280506
197,allow,0.034287263210288056
198,field,0.034287263210288056
199,relation,0.03366634424742517
200,wise,0.03366634424742517
201,liberal,0.03336415246937008
202,judgment,0.03336415246937008
203,close,0.03306721646778876
204,thursday,0.032775356544657255
205,lives,0.032775356544657255
206,continue,0.03248840206323174
207,seats,0.03248840206323174
208,questions,0.03220619084888499
209,terms,0.03220619084888499
210,representation,0.031928568638662155
211,ability,0.03165538857487786
212,away,0.031386510738592756
213,hear,0.031386510738592756
214,sent,0.03112180171925919
215,doing,0.03112180171925919
216,days,0.03086113421722234
217,opportunity,0.03060438667611195
218,success,0.030351442942467492
219,hall,0.030102191950210903
220,industry,0.029856527427821546
221,case,0.029856527427821546
222,kind,0.029614347626281155
223,heart,0.029614347626281155
224,old,0.029375555066045434
225,sense,0.029375555066045434
226,death,0.029375555066045434
227,forward,0.028678585243628114
228,think,0.028452444325127463
229,word,0.028229259581812143
230,elevation,0.028229259581812143
231,brown,0.028008954722072887
232,human,0.028008954722072887
233,aid,0.027364599393498116
234,set,0.027364599393498116
235,forth,0.027364599393498116
236,consider,0.027155107320529524
237,prejudice,0.027155107320529524
238,north,0.026948154607979113
239,behalf,0.026541626122863864
240,character,0.026541626122863864
241,better,0.026341935077569826
242,honor,0.0257565043622382
243,known,0.0257565043622382
244,matter,0.0257565043622382
245,hands,0.025565738246441806
246,given,0.025377080086662687
247,offered,0.02519048380596828
248,know,0.02500590482187222
249,true,0.02500590482187222
250,church,0.024642627505523835
251,secure,0.02446384692180282
252,regard,0.02446384692180282
253,say,0.02428691901995006
254,form,0.02428691901995006
255,necessary,0.024111805795225042
256,thanks,0.0237668770993855
257,land,0.023428779125677562
258,union,0.023262208148461607
259,friends,0.022772029321247958
260,public,0.0224528912492555
261,equal,0.022295531704547972
262,cause,0.022139609253376092
263,session,0.021985097884459674
264,place,0.021831972286392623
265,shall,0.02051234140736669
266,right,0.020232443503739587
267,called,0.020094196677629603
268,citizens,0.01968604840315398
269,president,0.019419271260779893
270,nott,0.0
271,peculiarities,0.0
272,pends,0.0
273,pendleton,0.0
274,pending,0.0
275,peculiarity,0.0
276,noxion,0.0
277,nowise,0.0
278,november,0.0
279,pendency,0.0
280,pencils,0.0
281,pencil,0.0
282,pencader,0.0
283,pendulum,0.0
284,noxious,0.0
285,notwithstandmg,0.0
286,noyes,0.0
287,penmanship,0.0
288,penman,0.0
289,notorious,0.0
290,penitentiary,0.0
291,notoriously,0.0
292,peckham,0.0
293,penitentiaries,0.0
294,pecks,0.0
295,penitential,0.0
296,pecos,0.0
297,peninsula,0.0
298,penetrated,0.0
299,penetrate,0.0
300,peneton,0.0
301,peculiar,0.0
302,notwithstanding,0.0
303,pedigree,0.0
304,penance,0.0
305,novel,0.0
306,pell,0.0
307,pelham,0.0
308,pelam,0.0
309,peden,0.0
310,peirce,0.0
311,pegs,0.0
312,peesident,0.0
313,pedple,0.0
314,peers,0.0
