,term,score
0,00,0.30881150212399183
1,iowa,0.3080445240510785
2,moines,0.28129529080108145
3,des,0.2597918922773507
4,alex,0.24907768100470026
5,skipworth,0.21638099292390878
6,clark,0.2106452335646154
7,malone,0.18810383709410275
8,rev,0.1736963434960316
9,1868,0.16476788859612437
10,cooper,0.16190049265305517
11,convention,0.15613019959640198
12,muscatine,0.1504830696752822
13,shall,0.11272846210482548
14,state,0.10620908827943559
15,davenport,0.09405191854705137
16,chair,0.09285021576328238
17,phelps,0.08950031309449014
18,wells,0.08872117078252852
19,carter,0.0869758595948056
20,oskaloosa,0.0865523971695635
21,motion,0.08219757295663997
22,committee,0.08183289332528408
23,bush,0.07993596685456945
24,keokuk,0.07993596685456945
25,bass,0.07991334063214837
26,february,0.0731972973714186
27,montgomery,0.07004680944990513
28,register,0.06610965446124759
29,dubuque,0.06491429787717264
30,people,0.0632960268634062
31,colored,0.060696639775948136
32,rights,0.0595048356789879
33,minutes,0.05839619402073029
34,connor,0.05643115112823082
35,benson,0.05643115112823082
36,tipton,0.05643115112823082
37,12th,0.05587154118761484
38,resolved,0.05580734662430877
39,president,0.05568069971271399
40,read,0.05402863625775684
41,address,0.05391361231100349
42,kinney,0.05370018785669407
43,appeal,0.05190772801842693
44,whilst,0.05163053001725492
45,suffrage,0.050348515559452175
46,clock,0.047450414715613606
47,men,0.04484924360783256
48,appointed,0.04441583437404396
49,waterford,0.04327619858478175
50,hugard,0.04327619858478175
51,paid,0.042803674655147075
52,prayer,0.04244535792310794
53,ask,0.041824535239314786
54,day,0.040307019976362705
55,government,0.04002926298078302
56,order,0.03894128723519539
57,attorney,0.03802335890679793
58,session,0.036771974769898505
59,treason,0.03673389435881047
60,jesse,0.03613677136074835
61,true,0.03584960163369838
62,wheeler,0.03580012523779605
63,benton,0.03580012523779605
64,proud,0.03538701063468101
65,securing,0.03469251752687983
66,subjection,0.03431255226132352
67,adopted,0.03384050896488396
68,called,0.03360927920969018
69,question,0.0331132624293706
70,pursuant,0.03307553979171917
71,correction,0.03305482723062379
72,following,0.0327026405615509
73,13th,0.03177157162256492
74,presented,0.031470829440706734
75,republican,0.0312350157594826
76,revs,0.031004337103826492
77,10,0.03054350356229596
78,major,0.030239750763999387
79,friend,0.02949594973754109
80,previous,0.02949594973754109
81,feb,0.02865712109536232
82,davis,0.028250747609868666
83,liberty,0.02779146569523744
84,tem,0.027365644413365843
85,citizen,0.026980499676141648
86,clinton,0.026836478914337818
87,learning,0.026809248886319376
88,met,0.026450291698204672
89,printing,0.0262770522672969
90,adjourned,0.026265696264213212
91,aid,0.026154088913820067
92,secretary,0.02590144272316793
93,city,0.025366975738322167
94,votes,0.0250397779636271
95,legislature,0.024988012607586083
96,loving,0.02490776810047003
97,white,0.02484615622127077
98,loyal,0.024806654843789376
99,ballot,0.024806654843789376
100,americans,0.0245778894216106
101,given,0.024254490241775964
102,right,0.024171792117774257
103,demands,0.024132800599110292
104,freemen,0.023916182665517698
105,roll,0.023703332191935104
106,consisting,0.02328842487362312
107,meet,0.022879519422547033
108,color,0.022879519422547033
109,believe,0.022715516785853474
110,thanks,0.022715516785853474
111,native,0.02269130187556101
112,sympathy,0.02269130187556101
113,returning,0.022668620724849143
114,chairman,0.02239237503841606
115,proceedings,0.02239237503841606
116,privilege,0.022308814692090343
117,consistent,0.022040690780368265
118,belong,0.022040690780368265
119,approved,0.021756604015057582
120,exediency,0.021638099292390876
121,fattened,0.021638099292390876
122,obscures,0.021638099292390876
123,ong,0.021638099292390876
124,remorseless,0.021638099292390876
125,shallow,0.021638099292390876
126,disorganizing,0.021638099292390876
127,typograghical,0.021638099292390876
128,reece,0.021638099292390876
129,dunkin,0.021638099292390876
130,radicalism,0.021638099292390876
131,predescessors,0.021638099292390876
132,albia,0.021638099292390876
133,329,0.021638099292390876
134,mahin,0.021638099292390876
135,forde,0.021638099292390876
136,franchised,0.021638099292390876
137,follwoing,0.021638099292390876
138,minnutes,0.021638099292390876
139,merrill,0.021638099292390876
140,halowa,0.021638099292390876
141,harbor6,0.021638099292390876
142,adjournment,0.021577935239765218
143,pro,0.021577935239765218
144,title,0.021181047748376616
145,rejoice,0.021181047748376616
146,general,0.021012557011370572
147,blow,0.020654473920936948
148,commonwealth,0.020654473920936948
149,names,0.020557461602086363
150,enfranchisement,0.020159833842666258
151,flag,0.020159833842666258
152,claim,0.02007745522738156
153,bottoms,0.019983991713642364
154,birthday,0.019983991713642364
155,irrevocable,0.019983991713642364
156,warwick,0.019983991713642364
157,overboard,0.019983991713642364
158,333,0.019983991713642364
159,fenianism,0.019983991713642364
160,vinson,0.019983991713642364
161,forced,0.019923322717676894
162,represented,0.019921547466173917
163,country,0.019740370832908423
164,box,0.01969347477190409
165,howard,0.01969347477190409
166,makes,0.01969347477190409
167,henry,0.019317049599707967
168,james,0.019170477862864747
169,unanimously,0.019170477862864747
170,present,0.019074232423804464
171,alexander,0.019040401317548906
172,member,0.01902564074352083
173,quorum,0.018833831739912443
174,firm,0.018833831739912443
175,grateful,0.018833831739912443
176,citizens,0.018815209128191696
177,guy,0.018810383709410274
178,332,0.018810383709410274
179,impresses,0.018810383709410274
180,protects,0.018810383709410274
181,unreconstructed,0.018810383709410274
182,demagogue,0.018810383709410274
183,bared,0.018810383709410274
184,331,0.018810383709410274
185,shaking,0.018810383709410274
186,330,0.018810383709410274
187,unsettle,0.018810383709410274
188,follows,0.01860113829045956
189,harris,0.018435749741204367
190,main,0.018435749741204367
191,hands,0.01832610213737758
192,assemble,0.018243762942243894
193,honest,0.018056190026267575
194,single,0.018056190026267575
195,freedom,0.01792480081684919
196,keystone,0.017900062618898024
197,exclaim,0.017900062618898024
198,drake,0.017900062618898024
199,legality,0.017900062618898024
200,manuscript,0.017900062618898024
201,tea,0.017900062618898024
202,ingersoll,0.017900062618898024
203,unwarrantable,0.017900062618898024
204,daily,0.017872832590879583
205,foundation,0.017872832590879583
206,secured,0.017872832590879583
207,nearly,0.017693505317340506
208,instead,0.017693505317340506
209,strike,0.017693505317340506
210,manly,0.0175180348448646
211,anderson,0.017346258763439915
212,simply,0.017346258763439915
213,pleasure,0.017178024710504648
214,distinguishes,0.01715627613066176
215,outrageous,0.01715627613066176
216,affectionately,0.01715627613066176
217,mt,0.01715627613066176
218,muskets,0.01715627613066176
219,permanency,0.01715627613066176
220,laws,0.017036637589390106
221,prepared,0.01701318955888794
222,copy,0.01701318955888794
223,pursuit,0.016851618685169233
224,publishing,0.016851618685169233
225,authority,0.016693185309084733
226,justice,0.016674879417142466
227,truest,0.016527413615311896
228,arch,0.016527413615311896
229,toledo,0.016527413615311896
230,calvin,0.016527413615311896
231,breasts,0.016527413615311896
232,gubernatorial,0.016527413615311896
233,deserted,0.016527413615311896
234,disloyalty,0.016527413615311896
235,reported,0.016439514591327992
236,debate,0.016385259614407066
237,chosen,0.016385259614407066
238,friends,0.01632350809484757
239,delegates,0.016208590877327053
240,american,0.016208590877327053
241,finance,0.016088533732740197
242,comprehended,0.015982668126429674
243,offensive,0.015982668126429674
244,heed,0.015982668126429674
245,stirred,0.015982668126429674
246,wage,0.015982668126429674
247,warrants,0.015982668126429674
248,excessive,0.015982668126429674
249,glories,0.015982668126429674
250,nichols,0.015982668126429674
251,intrusted,0.015982668126429674
252,writes,0.015982668126429674
253,emancipator,0.015982668126429674
254,lawson,0.015982668126429674
255,manhood,0.015944121777011797
256,introduced,0.01580222146129007
257,enemies,0.015662746911156957
258,members,0.01564965385016849
259,powerless,0.015502168551913246
260,mad,0.015502168551913246
261,diligence,0.015502168551913246
262,holmes,0.015502168551913246
263,violate,0.015502168551913246
264,voice,0.015390752974760048
265,allowed,0.015390752974760048
266,questions,0.015390752974760048
267,ordered,0.015127534583707341
268,consent,0.015127534583707341
269,resolutions,0.015115132491136014
270,73,0.015072347035917422
271,strengthened,0.015072347035917422
272,threshold,0.015072347035917422
273,victories,0.015072347035917422
274,framing,0.015072347035917422
275,handsome,0.015072347035917422
276,la,0.015072347035917422
277,hear,0.014999042754975744
278,credentials,0.01487254312806023
279,prepare,0.01487254312806023
280,attend,0.01487254312806023
281,faults,0.014683526179094988
282,cary,0.014683526179094988
283,earned,0.014683526179094988
284,magnanimous,0.014683526179094988
285,mourn,0.014683526179094988
286,complied,0.014683526179094988
287,streams,0.014683526179094988
288,conquer,0.014683526179094988
289,musket,0.014683526179094988
290,watched,0.014683526179094988
291,jordan,0.014683526179094988
292,consented,0.014683526179094988
293,claims,0.014625279887527712
294,born,0.014625279887527712
295,decided,0.014625279887527712
296,time,0.01460298271319827
297,request,0.014385290159843479
298,confidence,0.014385290159843479
299,rewarded,0.01432856054768116
300,violent,0.01432856054768116
301,reverence,0.01432856054768116
302,silently,0.01432856054768116
303,upholding,0.01432856054768116
304,71,0.01432856054768116
305,masse,0.01432856054768116
306,44,0.01432856054768116
307,declaration,0.014267891551715692
308,unless,0.014267891551715692
309,conventions,0.014267891551715692
310,social,0.01415215822831605
311,states,0.014111406846143773
312,soon,0.014038043605942888
313,blood,0.014038043605942888
314,burns,0.014002023820503568
315,concede,0.014002023820503568
316,champion,0.014002023820503568
317,chapel,0.014002023820503568
318,exempt,0.014002023820503568
319,commissioned,0.014002023820503568
320,identity,0.014002023820503568
321,appended,0.014002023820503568
322,submitting,0.014002023820503568
323,newton,0.014002023820503568
324,independence,0.013704974401390908
325,election,0.013704974401390908
326,enlarged,0.013699698032331299
327,ruling,0.013699698032331299
328,foremost,0.013699698032331299
329,gazette,0.013699698032331299
330,preclude,0.013699698032331299
331,requested,0.013490249838070824
332,word,0.013490249838070824
333,letter,0.013490249838070824
334,congress,0.013490249838070824
335,thrift,0.013418239457168909
336,affecting,0.013418239457168909
337,cash,0.013418239457168909
338,stirring,0.013418239457168909
339,endeavored,0.013418239457168909
340,shared,0.013418239457168909
341,trumpet,0.013418239457168909
342,fitting,0.013418239457168909
343,bears,0.013418239457168909
344,fate,0.013418239457168909
345,human,0.013384970151587705
346,home,0.01317840057395124
347,privileges,0.01317840057395124
348,sentence,0.013154952543449075
349,defending,0.013154952543449075
350,williamson,0.013154952543449075
351,endured,0.013154952543449075
352,barber,0.013154952543449075
353,ireland,0.013154952543449075
354,cowardly,0.01290763250431373
355,theory,0.01290763250431373
356,thee,0.01290763250431373
357,polls,0.01290763250431373
358,enlisted,0.01290763250431373
359,fort,0.01290763250431373
360,mistakes,0.01290763250431373
361,noticed,0.01290763250431373
362,english,0.01290763250431373
363,robbed,0.01290763250431373
364,meaning,0.01290763250431373
365,en,0.01290763250431373
366,war,0.01287803306647198
367,party,0.01287803306647198
368,washington,0.012780318575243166
369,feel,0.012780318575243166
370,behalf,0.012683760495680553
371,rulers,0.012674452968932645
372,separated,0.012674452968932645
373,strict,0.012674452968932645
374,sad,0.012674452968932645
375,38,0.012674452968932645
376,mistake,0.012674452968932645
377,shadow,0.012674452968932645
378,evening,0.012588331776282694
379,afternoon,0.012494006303793041
380,nation,0.012494006303793041
381,unwilling,0.012453884050235014
382,councils,0.012453884050235014
383,congratulate,0.012453884050235014
384,hope,0.012308565082798727
385,principles,0.012308565082798727
386,gross,0.012244631452936822
387,storm,0.012244631452936822
388,20th,0.012244631452936822
389,eminently,0.012244631452936822
390,organic,0.012244631452936822
391,fruits,0.012045590453582784
392,spite,0.012045590453582784
393,quiet,0.012045590453582784
394,oppressor,0.012045590453582784
395,ticket,0.012045590453582784
396,hundreds,0.012045590453582784
397,fellow,0.012038074151379304
398,let,0.012038074151379304
399,pointed,0.011855810596114388
400,occurred,0.011855810596114388
401,miller,0.011855810596114388
402,loyalty,0.011855810596114388
403,code,0.011855810596114388
404,foe,0.011855810596114388
405,passing,0.011855810596114388
406,thy,0.011855810596114388
407,appropriated,0.011855810596114388
408,trusted,0.011855810596114388
409,extension,0.011674468241650854
410,circular,0.011674468241650854
411,lawrence,0.011674468241650854
412,assure,0.011674468241650854
413,patriot,0.011674468241650854
414,fidelity,0.011674468241650854
415,guarantees,0.011674468241650854
416,200,0.011674468241650854
417,allegiance,0.011674468241650854
418,did,0.011606276970410298
419,say,0.011606276970410298
420,primary,0.011500844964700559
421,boon,0.011500844964700559
422,col,0.011500844964700559
423,motions,0.011500844964700559
424,error,0.011500844964700559
425,nominations,0.011500844964700559
426,preference,0.011500844964700559
427,remained,0.011500844964700559
428,toil,0.011334310362424571
429,rebels,0.011334310362424571
430,expediency,0.011334310362424571
431,pursued,0.011334310362424571
432,purpose,0.01127657302162771
433,troops,0.011174308237522967
434,increasing,0.011174308237522967
435,patient,0.011174308237522967
436,union,0.011116586278094975
437,resolution,0.011116586278094975
438,race,0.011037754143123532
439,honored,0.011020345390184132
440,library,0.011020345390184132
441,fine,0.011020345390184132
442,male,0.011020345390184132
443,bitter,0.011020345390184132
444,democracy,0.011020345390184132
445,officers,0.010959676394218663
446,subject,0.010959676394218663
447,law,0.010805727251551368
448,public,0.01072982844844586
449,having,0.01072982844844586
450,courage,0.010728826313625634
451,editors,0.010728826313625634
452,stricken,0.010728826313625634
453,violence,0.010728826313625634
454,madison,0.010728826313625634
455,interrupted,0.010728826313625634
456,ye,0.010728826313625634
457,meeting,0.010654629183429454
458,equal,0.010654629183429454
459,pleasant,0.010590523874188308
460,preserve,0.010590523874188308
461,deeds,0.010590523874188308
462,appearance,0.010590523874188308
463,banner,0.010590523874188308
464,won,0.010590523874188308
465,united,0.010433102566778993
466,mr,0.010433102566778993
467,witness,0.010327236960468474
468,morris,0.010327236960468474
469,considering,0.010327236960468474
470,govern,0.010327236960468474
471,disfranchised,0.010327236960468474
472,claimed,0.010327236960468474
473,constitution,0.010288690611050599
474,countrymen,0.010201703017365874
475,elements,0.010201703017365874
476,sacrifice,0.010201703017365874
477,hail,0.010201703017365874
478,enrolled,0.010201703017365874
479,maintenance,0.010201703017365874
480,note,0.010201703017365874
481,jacob,0.010079916921333129
482,stating,0.010079916921333129
483,singing,0.010079916921333129
484,report,0.010076754994090676
485,great,0.010007315745195755
486,taxes,0.009846737385952044
487,undersigned,0.009846737385952044
488,conviction,0.009846737385952044
489,safe,0.009734962414571759
490,clear,0.009626168467254413
491,choice,0.009626168467254413
492,europe,0.009626168467254413
493,victory,0.009626168467254413
494,31,0.009626168467254413
495,reform,0.009626168467254413
496,acknowledge,0.009626168467254413
497,amendments,0.009520200658774453
498,walker,0.009520200658774453
499,literary,0.009520200658774453
500,journal,0.009520200658774453
501,abraham,0.009520200658774453
502,held,0.009472103417746139
503,fund,0.009416915869956221
504,certainly,0.009416915869956221
505,midst,0.009416915869956221
506,thos,0.009316181585283965
507,abroad,0.009316181585283965
508,unite,0.009316181585283965
509,taxed,0.009316181585283965
510,voters,0.009316181585283965
511,recent,0.009316181585283965
512,corrected,0.009316181585283965
513,saying,0.009217874870602183
514,dollar,0.009217874870602183
515,army,0.009217874870602183
516,throw,0.009217874870602183
517,manifested,0.009121881471121947
518,justly,0.009121881471121947
519,foreign,0.009121881471121947
520,lincoln,0.009121881471121947
521,twice,0.009028095013133787
522,defend,0.009028095013133787
523,26,0.009028095013133787
524,accomplished,0.009028095013133787
525,rising,0.009028095013133787
526,churches,0.009028095013133787
527,opening,0.008936416295439792
528,connection,0.008936416295439792
529,eloquent,0.008936416295439792
530,conflict,0.008936416295439792
531,recognize,0.008936416295439792
532,assistant,0.008846752658670253
533,chief,0.008846752658670253
534,entirely,0.008846752658670253
535,devoted,0.0087590174224323
536,sound,0.0087590174224323
537,independent,0.0087590174224323
538,decide,0.0087590174224323
539,balance,0.0087590174224323
540,wrongs,0.0087590174224323
541,tendency,0.008673129381719958
542,soldiers,0.008673129381719958
543,followed,0.008673129381719958
544,boston,0.008589012355252324
545,powerful,0.008589012355252324
546,cease,0.008589012355252324
547,addresses,0.008589012355252324
548,50,0.008589012355252324
549,rest,0.008589012355252324
550,relations,0.008589012355252324
551,forever,0.008589012355252324
552,faith,0.008589012355252324
553,governed,0.00850659477944397
554,speaking,0.00850659477944397
555,virtue,0.00850659477944397
556,friendly,0.00850659477944397
557,collected,0.008425809342584616
558,elective,0.008346592654542366
559,favorable,0.008346592654542366
560,went,0.008346592654542366
561,adjourn,0.008346592654542366
562,bear,0.008346592654542366
563,express,0.008268884947929793
564,30,0.008268884947929793
565,founded,0.008268884947929793
566,england,0.008268884947929793
567,nominate,0.008268884947929793
568,policy,0.008192629807203533
569,delivered,0.008192629807203533
570,speeches,0.008192629807203533
571,invite,0.008192629807203533
572,publish,0.008117773922621535
573,higher,0.008117773922621535
574,tender,0.008044266866370098
575,seat,0.008044266866370098
576,hon,0.008044266866370098
577,papers,0.007972060888505899
578,thirty,0.007972060888505899
579,constitute,0.007972060888505899
580,franchise,0.007972060888505899
581,protect,0.007972060888505899
582,sine,0.007901110730645035
583,oppression,0.007901110730645035
584,distinction,0.007901110730645035
585,tendered,0.007901110730645035
586,proceeded,0.007831373455578479
587,wednesday,0.007831373455578479
588,thursday,0.007831373455578479
589,issue,0.007831373455578479
590,named,0.007762808291207706
591,age,0.007762808291207706
592,spoke,0.007762808291207706
593,birth,0.007762808291207706
594,short,0.007695376487380024
595,arms,0.007695376487380024
596,rule,0.007695376487380024
597,deep,0.007695376487380024
598,wrong,0.007695376487380024
599,representation,0.007629041184364912
600,impartial,0.007629041184364912
601,unjust,0.0075637672918536705
602,societies,0.0075637672918536705
603,submit,0.0075637672918536705
604,legislation,0.007499521377487872
605,america,0.007499521377487872
606,universal,0.007499521377487872
607,feeling,0.007436271564030115
608,dollars,0.007373987434385273
609,established,0.007373987434385273
610,peace,0.007373987434385273
611,especially,0.007373987434385273
612,happiness,0.007312639943763856
613,deprived,0.007312639943763856
614,entire,0.007312639943763856
615,opportunity,0.007312639943763856
616,strong,0.007312639943763856
617,according,0.007252201338352528
618,opened,0.0071926450799217395
619,special,0.0071926450799217395
620,admitted,0.0071926450799217395
621,submitted,0.007133945775857846
622,delegate,0.007133945775857846
623,speech,0.007133945775857846
624,industry,0.007133945775857846
625,representatives,0.007133945775857846
626,conduct,0.007133945775857846
627,wealth,0.007133945775857846
628,lewis,0.007076079114158025
629,heart,0.007076079114158025
630,deem,0.007076079114158025
631,executive,0.007019021802971444
632,expenses,0.007019021802971444
633,death,0.007019021802971444
634,principle,0.007019021802971444
635,sense,0.007019021802971444
636,oppressed,0.007019021802971444
637,giving,0.007019021802971444
638,intelligence,0.006962751514310429
639,generally,0.006962751514310429
640,exercise,0.006907246831591158
641,speak,0.006907246831591158
642,000,0.006907246831591158
643,love,0.006907246831591158
644,forward,0.006852487200695454
645,earnestly,0.006852487200695454
