,term,score
0,states,0.3339710496631508
1,colored,0.2436905765328731
2,men,0.2388229999824468
3,awarded,0.18912885542876076
4,nation,0.1478462227497906
5,ask,0.14140722251804685
6,new,0.13049587296369772
7,border,0.13031671923967636
8,congress,0.11972635722363786
9,state,0.11311304739090633
10,voters,0.11024184111522647
11,unrepresented,0.10150829768673496
12,results,0.09876833473588086
13,helped,0.09780588386061656
14,tennessee,0.09648915847256301
15,premium,0.09456442771438038
16,individual,0.09349678146865265
17,united,0.0925940868297266
18,conscientiously,0.09172146263985628
19,wrong,0.09106225166152551
20,shoulder,0.08477759266750172
21,citizens,0.0834927624157877
22,amendment,0.08239282791330609
23,wisconsin,0.08105681066760857
24,1860,0.07939150867453754
25,vote,0.07935628133819475
26,carolina,0.07931095291263843
27,pennsylvania,0.0777365327873101
28,virginia,0.07697427394355286
29,constitution,0.0760936887905635
30,york,0.07448120557132813
31,white,0.07350345153201354
32,respectfully,0.07337139553750241
33,middle,0.07244763870218297
34,denial,0.0712699756207299
35,territories,0.07014710780721768
36,michigan,0.06804688764826848
37,ohio,0.06655846898502102
38,southern,0.06655846898502102
39,missouri,0.06611487238717367
40,mississippi,0.06520392257374437
41,population,0.06436349648936583
42,delaware,0.06432610564837535
43,dose,0.06401291887642344
44,362,0.06401291887642344
45,069,0.06401291887642344
46,540,0.06401291887642344
47,brashear,0.06401291887642344
48,hundredths,0.06401291887642344
49,hatcher,0.06401291887642344
50,xivth,0.06401291887642344
51,law,0.06393409445140653
52,suffrage,0.06383493297442892
53,representatives,0.06331397495426688
54,addressing,0.0626608036553043
55,merely,0.06110301767591392
56,contest,0.06110301767591392
57,maryland,0.05963970267881046
58,western,0.05963970267881046
59,modestly,0.0591195013529841
60,massachusets,0.0591195013529841
61,remand,0.0591195013529841
62,crew,0.0591195013529841
63,390,0.0591195013529841
64,probation,0.0591195013529841
65,represented,0.058934769852611396
66,country,0.05839878723367564
67,undersigned,0.0582600526013898
68,jersey,0.0582600526013898
69,shall,0.05799816576164343
70,north,0.05714645784035146
71,sufferance,0.05564756636680681
72,impeach,0.05564756636680681
73,830,0.05564756636680681
74,purposely,0.05564756636680681
75,441,0.05564756636680681
76,rights,0.05416483451573397
77,visible,0.052954524370324725
78,admixture,0.052954524370324725
79,reproaches,0.052954524370324725
80,demur,0.052954524370324725
81,notwithstanding,0.052873968608425616
82,action,0.05187821641470301
83,south,0.05187821641470301
84,allows,0.05075414884336748
85,fourths,0.05075414884336748
86,disparagement,0.05075414884336748
87,repair,0.05075414884336748
88,constitutional,0.050330849689985545
89,people,0.04993369492155543
90,convention,0.04993369492155543
91,justice,0.049330012261245226
92,england,0.04892439527315086
93,amnesty,0.0488937578434209
94,systematically,0.04728221385719019
95,milliken,0.04728221385719019
96,olustee,0.04728221385719019
97,complaining,0.04728221385719019
98,modest,0.04728221385719019
