,term,score
0,philadelphia,0.23057957145574057
1,tickets,0.22184645865365246
2,catto,0.20231518925739997
3,league,0.19825822744057583
4,exceeding,0.176578120657505
5,pennsylvania,0.1763576299668572
6,1868,0.170128404357533
7,annual,0.15494184947518397
8,dobler,0.14522343942447613
9,excursion,0.14522343942447613
10,catawissa,0.14522343942447613
11,delegates,0.14504461373877808
12,meeting,0.14301643364342428
13,requested,0.13580909674925
14,716,0.13412194716686254
15,jr,0.13067180304596002
16,blackson,0.1262453130592349
17,auxiliary,0.12118356529765072
18,lorenzo,0.12013572099394121
19,williamsport,0.12013572099394121
20,board,0.11641888341179535
21,phila,0.11514382080162132
22,judah,0.11514382080162132
23,state,0.11405104590495252
24,lombard,0.11092322932682623
25,nesbit,0.10726718669399371
26,bustill,0.1040423285440077
27,required,0.10240415161548448
28,association,0.10240415161548448
29,ratio,0.10115759462869998
30,white,0.10005252903704827
31,jos,0.09854803537930777
32,reading,0.09815711718077196
33,return,0.09734585348951619
34,villages,0.09616569443638011
35,bowser,0.09616569443638011
36,forten,0.09397415321187813
37,passengers,0.09397415321187813
38,bowers,0.09194510296158502
39,fare,0.09194510296158502
40,penn,0.09005610237108638
41,pay,0.08709428094496555
42,erie,0.08662917947524053
43,leagues,0.08662917947524053
44,locality,0.0850642021787665
45,fee,0.08358386064920009
46,residing,0.08358386064920009
47,railroads,0.08217946826345877
48,10,0.0819967147659807
49,pa,0.07835283536666965
50,wm,0.07733353299738785
51,week,0.0749960268466369
52,including,0.07296697659634382
53,usual,0.07296697659634382
54,11th,0.07200618858424603
55,equal,0.07150821682171214
56,bureau,0.07018020217298346
57,pleased,0.07018020217298346
58,members,0.0700214477317228
59,localities,0.06931093396351129
60,enrolled,0.06846841675645296
61,jacob,0.0676510531099993
62,contribute,0.0668573845310501
63,00,0.0668573845310501
64,towns,0.06460573428395887
65,paying,0.0638945345890233
66,furnish,0.0638945345890233
67,interested,0.06186548433873021
68,june,0.06186548433873021
69,rights,0.06144075057269096
70,issued,0.06122122758372633
71,going,0.05937470900142843
72,st,0.05937470900142843
73,individuals,0.05878587665561906
74,geo,0.05878587665561906
75,desired,0.058209441705897674
76,august,0.05764489286393514
77,elect,0.05764489286393514
78,cities,0.05764489286393514
79,associations,0.0560179004813957
80,david,0.0560179004813957
81,information,0.054984583555911695
82,provided,0.054984583555911695
83,25,0.05302806221900482
84,individual,0.05302806221900482
85,central,0.05033280759827007
86,attend,0.04990830841610198
87,send,0.04990830841610198
88,entire,0.04907855859038598
89,population,0.048672926744758094
90,hall,0.04827321674381483
91,delegate,0.04787925816580888
92,executive,0.04710794944828407
93,expenses,0.04710794944828407
94,000,0.0463577751577388
95,equality,0.04599025757531023
96,receive,0.04526969891641667
97,messrs,0.04422321553297635
98,meetings,0.04422321553297635
99,progress,0.042887357973489
100,member,0.042563334679464375
101,entitled,0.041926569961391214
102,elected,0.04130427842922002
103,secretaries,0.04069581674898702
104,clock,0.039807750290377864
105,regard,0.03923131534065647
106,large,0.03923131534065647
107,color,0.03838879813359814
108,race,0.03703977411615449
109,law,0.03626115343469452
110,public,0.03600645719067047
111,john,0.0350107238658614
112,free,0.03452611566110407
113,good,0.03358189627207921
114,shall,0.032894504968898196
115,order,0.03266915679315346
116,held,0.0317858657158754
117,president,0.03114160896087151
118,people,0.02832062280146855
119,payton,0.0
120,peace,0.0
121,panama,0.0
122,peacable,0.0
123,peabody,0.0
124,palpably,0.0
125,peaceable,0.0
126,paynesville,0.0
127,payne,0.0
128,palmed,0.0
129,payments,0.0
130,payment,0.0
131,paymaster,0.0
132,paym,0.0
133,pays,0.0
134,peaceful,0.0
135,peaceably,0.0
136,pearls,0.0
137,pensacola,0.0
138,peasants,0.0
139,peasant,0.0
140,peas,0.0
141,pears,0.0
142,pension,0.0
143,pearly,0.0
144,pensions,0.0
145,payers,0.0
146,pearl,0.0
147,pearce,0.0
148,peak,0.0
149,pensive,0.0
150,peacefulness,0.0
151,panacea,0.0
152,peacefully,0.0
153,pensylvania,0.0
154,payable,0.0
155,pan,0.0
156,patrons,0.0
157,peoplo,0.0
158,paucity,0.0
159,peopulation,0.0
160,patton,0.0
161,pattison,0.0
162,panel,0.0
163,patterson,0.0
164,patronizing,0.0
165,paul,0.0
166,patronized,0.0
167,panem,0.0
168,patronize,0.0
169,patronage,0.0
170,patron,0.0
171,peoria,0.0
172,patrols,0.0
173,peoples,0.0
174,pandering,0.0
175,pandemonium,0.0
176,pause,0.0
177,paved,0.0
178,pent,0.0
179,pausing,0.0
180,penurious,0.0
181,pauses,0.0
182,pander,0.0
183,penury,0.0
184,paupers,0.0
185,pauline,0.0
186,pauperizes,0.0
187,peonage,0.0
188,peopie,0.0
189,pauperism,0.0
190,pauper,0.0
191,peopled,0.0
192,paupau,0.0
193,pens,0.0
194,peck16,0.0
195,peck,0.0
196,penalty,0.0
197,pencils,0.0
198,penned,0.0
199,pencil,0.0
200,pencader,0.0
201,palmerston,0.0
202,palsy,0.0
203,penance,0.0
204,penalties,0.0
205,pelman,0.0
206,penalities,0.0
207,penal,0.0
208,penniless,0.0
209,pennington,0.0
210,pen,0.0
211,pembina,0.0
212,pampered,0.0
213,pendency,0.0
214,pending,0.0
215,pendleton,0.0
216,pends,0.0
217,penman,0.0
218,penitentiary,0.0
219,palsied,0.0
220,penitentiaries,0.0
221,penitential,0.0
222,peninsula,0.0
223,palpable,0.0
224,penetrated,0.0
225,palmyra,0.0
226,palmetto,0.0
227,penetrate,0.0
228,penna,0.0
229,palsies,0.0
230,peneton,0.0
231,pendulum,0.0
232,pelt,0.0
233,pelled,0.0
234,penny,0.0
235,peculiarly,0.0
236,pedestal,0.0
237,peden,0.0
238,pennsyvania,0.0
239,pamphlets,0.0
240,peddlers,0.0
241,pedagogues,0.0
242,pecuniary,0.0
243,peculiarity,0.0
244,pell,0.0
245,peculiarities,0.0
246,peculiar,0.0
247,pecos,0.0
248,pecks,0.0
249,peckham,0.0
250,palmer,0.0
251,penmanship,0.0
252,pedigree,0.0
253,pedple,0.0
254,pennsylvanians,0.0
255,palmer10,0.0
256,pelham,0.0
257,pelam,0.0
258,peirce,0.0
259,pamphet,0.0
260,pegs,0.0
261,peesident,0.0
262,penns,0.0
263,pennsylania,0.0
264,pamphlet,0.0
265,peers,0.0
266,peer,0.0
267,peeled,0.0
268,pennsylvana,0.0
269,patriots,0.0
270,peek,0.0
271,parallels,0.0
272,paths,0.0
273,patriotism,0.0
274,particulars,0.0
275,partakers,0.0
276,partake,0.0
277,parsons,0.0
278,parson,0.0
279,parsoh,0.0
280,parrott,0.0
281,parrish,0.0
282,parris,0.0
283,parram,0.0
284,parquet,0.0
285,paroled,0.0
286,parole,0.0
287,paroisse,0.0
288,parnell,0.0
289,paradise,0.0
290,parmer,0.0
291,parlors,0.0
292,parlor,0.0
293,parliamentary,0.0
294,partaking,0.0
295,parte,0.0
296,parted,0.0
297,participation,0.0
298,particularly,0.0
299,particularize,0.0
300,particular,0.0
301,particulalrly,0.0
302,particles,0.0
303,particle,0.0
304,participators,0.0
305,parading,0.0
306,participating,0.0
307,partial,0.0
308,participated,0.0
309,participate,0.0
310,participants,0.0
311,participant,0.0
312,participancy,0.0
313,partially,0.0
314,partiality,0.0
315,partialities,0.0
316,parliament,0.0
317,parley,0.0
318,parlance,0.0
319,parapets,0.0
320,parchment,0.0
321,parcels,0.0
322,parcel,0.0
323,paraphrases,0.0
324,paragraph,0.0
325,paraphrase,0.0
326,paraphernalia,0.0
327,paraphanalia,0.0
328,paragraphs,0.0
329,pardonable,0.0
330,paramount,0.0
331,paramore,0.0
332,paralyzing,0.0
333,paralyzes,0.0
334,parallel,0.0
335,paralyzed,0.0
336,paralyze,0.0
337,paralysed,0.0
338,pardon,0.0
339,pardoned,0.0
340,parkville,0.0
341,paris,0.0
342,parksville,0.0
343,parks,0.0
344,parkman,0.0
345,parker,0.0
346,park,0.0
347,parity,0.0
348,parishes,0.0
349,parish,0.0
350,parian,0.0
351,pardonings,0.0
352,pariahs,0.0
353,parham,0.0
354,parents,0.0
355,parental,0.0
356,paradoxes,0.0
357,parentage,0.0
358,parent,0.0
359,pardons,0.0
360,paraded,0.0
361,parade,0.0
362,patriotically,0.0
363,parties,0.0
364,pater,0.0
365,patents,0.0
366,patentee,0.0
367,patent,0.0
368,patches,0.0
369,patcher,0.0
370,patched,0.0
371,panoply,0.0
372,patagonia,0.0
373,pat,0.0
374,pastors,0.0
375,pastorious,0.0
376,pastoric,0.0
377,pastored,0.0
378,pastoral,0.0
379,pastor,0.0
380,past,0.0
381,passsons,0.0
382,passports,0.0
383,patercules,0.0
384,pankes,0.0
385,paternal,0.0
386,patiently,0.0
387,patriotic,0.0
388,patriot,0.0
389,pang,0.0
390,patrick,0.0
391,patrician,0.0
392,patriarch,0.0
393,paton,0.0
394,patients,0.0
395,patient,0.0
396,panic,0.0
397,patience,0.0
398,pathway,0.0
399,pathos,0.0
400,pathetic,0.0
401,pangs,0.0
402,path,0.0
403,panhandle,0.0
404,paterson,0.0
405,passport,0.0
406,passmore,0.0
407,passively,0.0
408,partnership,0.0
409,pascal,0.0
410,parvo,0.0
411,papersuch,0.0
412,party,0.0
413,parturition,0.0
414,parts,0.0
415,partridge,0.0
416,partook,0.0
417,partners,0.0
418,papers,0.0
419,partly,0.0
420,par,0.0
421,partition,0.0
422,paracide,0.0
423,partisanship,0.0
424,partisans,0.0
425,partisan,0.0
426,parting,0.0
427,paschal,0.0
428,paschall,0.0
429,passive,0.0
430,passes,0.0
431,passions,0.0
432,passionate,0.0
433,passion,0.0
434,passing,0.0
435,panperism,0.0
436,panting,0.0
437,passim,0.0
438,passibus,0.0
439,paola,0.0
440,pasquotank,0.0
441,passed,0.0
442,passaic,0.0
443,passages,0.0
444,paper,0.0
445,paperhanger,0.0
446,passage,0.0
447,pass,0.0
448,pasquotant,0.0
449,pepper,0.0
450,perform,0.0
451,perceive,0.0
452,phonse,0.0
453,picayune,0.0
454,picannyish,0.0
455,pic,0.0
456,pi,0.0
457,phœnix,0.0
458,physique,0.0
459,physiology,0.0
460,physiological,0.0
461,physiognomy,0.0
462,physicians,0.0
463,physician,0.0
464,physican,0.0
465,physically,0.0
466,physical,0.0
467,phsiology,0.0
468,phrenzy,0.0
469,phrenology,0.0
470,phrenological,0.0
