,term,score
0,labor,0.4115694566226467
1,convention,0.1554672577375441
2,colored,0.14917066767793832
3,bureau,0.14327746761480997
4,national,0.11753942937570652
5,states,0.11744412263965465
6,capital,0.11270634205561368
7,shall,0.1119271348247566
8,mr,0.10959757603951013
9,savings,0.1073025346018733
10,south,0.10679105767088919
11,workingmen,0.10355630077415254
12,people,0.10150341620880979
13,laborer,0.10107823759366004
14,resolved,0.09732123594298854
15,committee,0.0955152835393692
16,union,0.08800617950882711
17,laborers,0.08706619892774348
18,men,0.08466719841757794
19,carolina,0.08435162677926858
20,laboring,0.08386964751352437
21,condition,0.08068882213079359
22,new,0.07909517527616132
23,offered,0.07880682867227229
24,organization,0.07475374036962243
25,land,0.07329544747053779
26,united,0.06829993869128893
27,operative,0.06813114603877606
28,president,0.06781613778946133
29,country,0.06611749164698862
30,organizations,0.06521167222007701
31,north,0.06469963894619411
32,industrial,0.06464614395071079
33,following,0.06401263014125916
34,man,0.0635487298349525
35,women,0.062406381659253725
36,william,0.06231237615947112
37,state,0.05950423563479476
38,resolution,0.05923492851555671
39,virginia,0.05809876261221511
40,bank,0.05775899291066288
41,sella,0.05746244350544118
42,adopted,0.057407922439966126
43,depositors,0.05727512316169438
44,sec,0.05656809544459687
45,street,0.05533301837785604
46,classes,0.05507672145288984
47,james,0.054480124618997906
48,great,0.05332416067037978
49,government,0.05332416067037978
50,unions,0.052354279387996326
51,maryland,0.05217641683876493
52,report,0.052160049835435075
53,freedmen,0.05156429358711723
54,washington,0.05058868714621235
55,congress,0.04929122549930743
56,columbia,0.049279171826269855
57,party,0.049014877989540996
58,georgia,0.049001779388417446
59,free,0.04855793204897881
60,education,0.04805597595190014
61,douglass,0.04783754978771108
62,business,0.04731987432960851
63,race,0.047051896061189466
64,slavery,0.047023943599941276
65,lands,0.04662261483714296
66,myers,0.046211369301803945
67,memorialists,0.0458200985293555
68,bowen,0.0458200985293555
69,district,0.04561602896739774
70,economy,0.045497906106279906
71,banks,0.045145436481052174
72,bishop,0.04473993420042787
73,florida,0.04470938941744721
74,schools,0.04441342341183213
75,referred,0.044166465719588474
76,hon,0.04408870593721624
77,york,0.04407927045130364
78,freedman,0.04406059401164141
79,white,0.04387888488603863
80,millions,0.04369296221341306
81,000,0.04206330068532236
82,said,0.04199947873351914
83,working,0.04139126842205621
84,john,0.04129763734822121
85,southern,0.04110308598341291
86,martin,0.040381682136141364
87,baltimore,0.040381682136141364
88,monopoly,0.04025902565241954
89,saunders,0.04025902565241954
90,sex,0.04005508546512856
91,general,0.03998778046478328
92,harmon,0.03953108520598638
93,advise,0.039201423510733954
94,industry,0.03909945340062664
95,employer,0.038932083450729175
96,color,0.03831580589624845
97,work,0.03792605733539846
98,farmer,0.03792042490137137
99,class,0.03775866574519694
100,employment,0.03768407257302989
101,public,0.03757153993718473
102,trades,0.03742671491883256
103,political,0.03730822238253919
104,downing,0.03728327850035656
105,homestead,0.03671463787891157
106,george,0.03668934977499176
107,halifax,0.03656700950346257
108,rhode,0.03641411880585446
109,tennessee,0.03641411880585446
110,acres,0.03641411880585446
111,rights,0.036236866242398066
112,mrs,0.03597841098195939
113,dollars,0.03592450170261364
114,mechanics,0.035570003029132914
115,article,0.0351471008964428
116,cotton,0.03501854730838069
117,deposits,0.034365073897016624
118,1869,0.034128382411234226
119,harris,0.033680647454652886
120,poor,0.03338369065574799
121,era,0.033009502554444285
122,years,0.03298890502560235
123,howard,0.03298021006679611
124,office,0.032827312956571576
125,merchant,0.03268540735351329
126,masses,0.032489433512247874
127,right,0.03238395624818602
128,day,0.032216501368945195
129,justice,0.03215610405130222
130,alabama,0.032044068372102844
131,interests,0.03203731730126676
