,term,score
0,county,0.46755102961221184
1,murders,0.4376686885762393
2,outrages,0.21401155072933362
3,chinese,0.19751343608714658
4,arrests,0.17640121334986483
5,murder,0.15390480562661335
6,wages,0.12970188596578172
7,counties,0.11815363126063158
8,macon,0.11671165028699713
9,1869,0.10993200401900954
10,colored,0.0995014221740863
11,georgia,0.0947047019766088
12,negroes,0.09370968076194053
13,laborers,0.09348388891405451
14,klux,0.09086436692069036
15,ku,0.09086436692069036
16,courts,0.09010654099972351
17,justice,0.08831475724557815
18,whipping,0.08753373771524785
19,women,0.08223510893020826
20,tatnall,0.07640089176291803
21,november,0.06722880880281976
22,wilkinson,0.06641665103676567
23,butts,0.06641665103676567
24,append,0.06641665103676567
25,labor,0.0656778367634269
26,1882,0.06320244344089863
27,sentenced,0.06320244344089863
28,assaults,0.06320244344089863
29,state,0.06000134446728488
30,crop,0.05835582514349857
31,reported,0.05804546683860706
32,baldwin,0.05643241031061331
33,men,0.0554245895667693
34,showing,0.05538186588232799
35,treaty,0.05321820271474626
36,employers,0.05184533443293271
37,prevails,0.05184533443293271
38,immigration,0.050592003887641214
39,prohibit,0.050592003887641214
40,slavery,0.05049010033670949
41,months,0.049874581893662326
42,clubs,0.04943905155053434
43,whipped,0.047377796291774174
44,cents,0.046854840380970264
45,formation,0.046854840380970264
46,recommended,0.04639017038867798
47,shot,0.04557491952282432
48,beaten,0.04557491952282432
49,seventy,0.04475159746466911
50,1868,0.04475159746466911
51,convention,0.04469776048318997
52,report,0.04447439313071356
53,man,0.04386403044313125
54,civil,0.0431378168329947
55,years,0.04250463905565562
56,held,0.04180572529774327
57,whites,0.041477112267322175
58,obtain,0.03971953219823435
59,week,0.03945481082438198
60,facts,0.03938454375354386
61,resulted,0.03891119104169702
62,advantagonism,0.038200445881459016
63,handcuffing,0.038200445881459016
64,schley,0.038200445881459016
65,transcontinental,0.038200445881459016
66,1943,0.038200445881459016
67,1902,0.038200445881459016
68,414,0.038200445881459016
69,sutater,0.038200445881459016
70,troupe,0.038200445881459016
71,greary,0.038200445881459016
72,descriptive,0.038200445881459016
73,bloodedness,0.038200445881459016
74,burker,0.038200445881459016
75,579,0.038200445881459016
76,harrowing,0.038200445881459016
77,workingwomen,0.038200445881459016
78,burlingame,0.038200445881459016
79,outrageously,0.038200445881459016
80,abrogating,0.038200445881459016
81,averaged,0.038200445881459016
82,slashing,0.038200445881459016
83,anti,0.03778334305376168
84,generally,0.03687665106084369
85,oglethorpe,0.03528024266997297
86,ranged,0.03528024266997297
87,assassins,0.03528024266997297
88,effingham,0.03528024266997297
89,reorganization,0.03528024266997297
90,cooperative,0.03528024266997297
91,labourers,0.03528024266997297
92,swindled,0.03528024266997297
93,employed,0.034767356738516754
94,child,0.033988560881451454
95,woman,0.03361440440140988
96,buck,0.033208325518382834
97,entry,0.033208325518382834
98,peak,0.033208325518382834
99,quitman,0.033208325518382834
100,1892,0.033208325518382834
101,awhile,0.033208325518382834
102,passed,0.032114616307443784
103,capital,0.03187685298062799
104,workingmen,0.03160122172044932
105,1880,0.03160122172044932
106,dougherty,0.03160122172044932
107,comments,0.03160122172044932
108,vigilant,0.03160122172044932
109,chained,0.03160122172044932
110,landowners,0.03160122172044932
111,upson,0.03160122172044932
112,413,0.03160122172044932
113,immigrate,0.03160122172044932
114,frightful,0.03160122172044932
115,immigrant,0.03160122172044932
116,extent,0.031553149142649714
117,nearly,0.03123656025398017
118,organization,0.030958922563776206
119,antagonism,0.030288122306896786
120,nominal,0.030288122306896786
121,newtown,0.030288122306896786
122,justices,0.030288122306896786
123,kill,0.030288122306896786
124,withdrawal,0.030288122306896786
125,236,0.030288122306896786
126,projects,0.030288122306896786
127,murderers,0.030288122306896786
128,embodies,0.030288122306896786
129,accompany,0.030288122306896786
130,people,0.029798506988793313
131,standard,0.02975027237369986
132,associations,0.029470570098229617
133,schoolhouse,0.029177912571749284
134,girl,0.029177912571749284
135,cheated,0.029177912571749284
136,burke,0.029177912571749284
137,disorder,0.029177912571749284
138,extended,0.028926950315544667
139,early,0.028926950315544667
140,cobb,0.028216205155306654
141,stripped,0.028216205155306654
142,1879,0.028216205155306654
143,fulton,0.028216205155306654
144,fifths,0.028216205155306654
145,hellish,0.028216205155306654
146,horror,0.028216205155306654
147,limit,0.028216205155306654
148,thirty,0.02814815445847936
