,term,score
0,minnesota,0.22701466478201449
1,great,0.18275392087793282
2,shall,0.1790131119963876
3,cheers,0.17766626100101338
4,colored,0.17154490181278756
5,paul,0.14013776289967536
6,people,0.13913780487231223
7,state,0.13792666838828058
8,man,0.13612239037314555
9,st,0.09873091591929639
10,citizens,0.09783168081630718
11,grand,0.09775177921610399
12,men,0.09327936470118785
13,race,0.09238708413317363
14,day,0.08945514990747824
15,said,0.08811244977705239
16,liberty,0.07894889912870323
17,jernigan,0.07683582332006063
18,world,0.07467309134379306
19,convention,0.0727797748562864
20,freedom,0.07274295267012923
21,emancipation,0.072145168698674
22,party,0.07186026607433578
23,band,0.07106650440040535
24,article,0.07026660602648163
25,meeting,0.07026325931215363
26,district,0.06875907171376446
27,constitution,0.06785003250146712
28,civilization,0.06731653358133845
29,time,0.06667003458521965
30,suffrage,0.06567615748859124
31,human,0.06450414339103569
32,long,0.06440480996491742
33,proclamation,0.064175466468924
34,amendment,0.063576995656896
35,black,0.06350865415906996
36,applause,0.06346554697920083
37,white,0.06301962517275257
38,jackson,0.06102224779902768
39,friends,0.06072416126011572
40,marshall,0.06005904124271802
41,land,0.05963566446799601
42,slavery,0.05803146069359625
43,supper,0.057252638363813245
44,mr,0.05557114892593641
45,lincoln,0.055528030595404246
46,triumph,0.05495712016151098
47,maurice,0.05488273094290046
48,nutting,0.05488273094290046
49,ingersoll,0.05448191954195441
50,right,0.05395207184547634
51,make,0.05367308994448694
52,god,0.053192563591827245
53,celebrate,0.052218077427474946
54,vote,0.05170862429735547
55,struggle,0.051290800088475155
56,1869,0.05054071770627168
57,free,0.04958271605876444
58,occasion,0.04941568251779328
59,event,0.04898254250083793
60,dominant,0.048646951995480976
61,mayor,0.048646951995480976
62,good,0.0482267291205656
63,wilkinson,0.04771053196984438
64,donnelly,0.04771053196984438
65,cruelty,0.047647506477606946
66,republican,0.0475345715747159
67,say,0.04710093378227972
68,did,0.04710093378227972
69,january,0.04614091837078123
70,committee,0.04612453458916631
71,laughter,0.04587528077428711
72,mass,0.04565216658628819
73,dark,0.04495535843370308
74,secretary,0.0446734478432565
75,races,0.0439483492680547
76,driscoll,0.043906184754320364
77,trustworthy,0.04351506452289579
78,states,0.04295049401691535
79,music,0.04277329756975296
80,years,0.04274660755135888
81,hand,0.04214068939822105
82,ballot,0.04194628942798293
83,celebration,0.041920021826971056
84,rights,0.04179535447413835
85,officers,0.04169707532791563
86,governor,0.041559463365772924
87,organization,0.04151355216588017
88,evening,0.04150764914840881
89,terrible,0.04083893320749709
90,wiped,0.0405383329967883
91,new,0.039780691554752806
92,fellow,0.03969327844054753
93,work,0.0391146976613884
94,progress,0.0388990979060502
95,france,0.03857687772346934
96,law,0.038370604493756615
97,election,0.03823732638138487
98,truth,0.03823732638138487
99,recollect,0.0381684255758755
100,edmond,0.0381684255758755
101,come,0.03799357838881676
102,remember,0.03780720148854431
103,principles,0.037463235006226656
104,history,0.03734450406849434
105,thank,0.03701868706360283
106,procession,0.03632127969463628
107,sea,0.036225744230765224
108,spirit,0.03584308384502067
109,enfranchisement,0.03579328781067186
110,american,0.03562984702991686
111,old,0.03560600031355795
112,following,0.03554861131369202
113,audience,0.035546101533128725
114,president,0.03530703898424131
115,board,0.035197548165964106
116,country,0.035048541581542865
117,joy,0.035004799892140365
118,gen,0.03496527878176907
119,nation,0.03485868582145832
120,just,0.03481887641615775
121,forward,0.03476120580125897
122,morton,0.034747822853914985
123,rock,0.03449792318476099
124,mankind,0.034193866725650106
125,europe,0.03418204943070921
126,gov,0.03403393319829068
127,miserable,0.03403393319829068
128,went,0.033872387237659084
129,passed,0.03383541013745994
130,abraham,0.03380576296950217
131,negro,0.033665998716625775
132,gratitude,0.03343900377877797
133,enase,0.03292963856574028
134,glacier,0.03292963856574028
135,serenade,0.03292963856574028
136,clifton,0.03292963856574028
137,came,0.03283807874429562
138,hall,0.03283807874429562
139,hon,0.032645479852484546
140,rejoicing,0.03243066639743064
141,manhood,0.03235245143426422
142,past,0.03217100565174958
143,moral,0.03217100565174958
144,1868,0.03214739810289113
145,united,0.03175494224339224
146,democratic,0.031732773489600415
147,number,0.03168851702394841
148,abolitionist,0.0315879485664198
149,train,0.0315879485664198
150,supply,0.0315879485664198
151,awful,0.031455677660757755
152,napoleon,0.031455677660757755
153,wonderful,0.031455677660757755
154,ground,0.03122960267843628
155,geo,0.031102838841487634
156,sir,0.031050637912084473
157,life,0.031015638943419126
158,justice,0.031015638943419126
159,sons,0.03079785464521859
160,stewart,0.030679960980575884
161,anniversary,0.030583520516191412
162,remarks,0.03055459423785901
163,ship,0.030552355406966398
164,act,0.030533291108113484
165,touissant,0.03041235809757112
166,culmination,0.03041235809757112
167,griswold,0.03041235809757112
168,ouverture,0.03041235809757112
169,melted,0.03041235809757112
170,glad,0.029970238955802055
171,south,0.02965253726134298
172,night,0.029638338832951697
173,votes,0.029638338832951697
174,success,0.029431096283878126
175,future,0.029174323429537647
176,indian,0.029074292439871773
177,contact,0.029074292439871773
178,speech,0.028951188090006085
179,efforts,0.028736064795052252
180,heart,0.028716351905424792
181,reminds,0.028626319181906622
182,oppressed,0.02848480025084636
183,prolonged,0.02841171197571926
184,patient,0.028342440996593003
185,franchise,0.02830839500498119
186,millions,0.02830839500498119
187,thirty,0.02830839500498119
188,skin,0.027951930655942533
189,stern,0.02779825828313199
190,edwards,0.02779825828313199
191,given,0.027683517385194503
192,nature,0.027565349353049936
193,like,0.027479961997302137
194,ago,0.02747856008075549
195,citizenship,0.02737326387907668
196,annual,0.027325902343631747
197,know,0.02727860725129846
198,andrews,0.027240959770977204
199,disappeared,0.027240959770977204
200,bestowal,0.027240959770977204
201,drake,0.027240959770977204
202,trains,0.027240959770977204
203,relics,0.027240959770977204
204,tempest,0.027240959770977204
205,hickman,0.027240959770977204
206,stormy,0.027240959770977204
207,opening,0.027199520133943212
208,thousand,0.027159639322541344
209,children,0.02707940607326889
210,proud,0.026926613432535385
211,section,0.02685856458174643
212,called,0.02679171061637277
213,composed,0.026659576149846546
214,general,0.026648054833608794
215,universal,0.02663043050866811
216,earth,0.026405833540783047
217,commonwealth,0.026193935050676152
218,preliminary,0.026191066498828783
219,wagon,0.026109038713737473
220,mingle,0.026109038713737473
221,perchance,0.026109038713737473
222,shake,0.026109038713737473
223,linger,0.026109038713737473
224,help,0.025891284417093697
225,behalf,0.025736804521399665
226,city,0.025736251330928956
227,remote,0.025717918482312897
228,monroe,0.025717918482312897
229,christianity,0.025566634150479904
230,gone,0.025566634150479904
231,chairman,0.02555814191485543
232,proceedings,0.02555814191485543
233,gave,0.025332289578755322
234,stage,0.02527035885313584
235,test,0.02527035885313584
236,pulpit,0.02527035885313584
237,forget,0.025266691529309878
238,genius,0.025266691529309878
239,measure,0.02516777365678976
240,burst,0.025152013096182636
241,honor,0.024975490004151106
242,year,0.024790508488367897
243,intelligence,0.024724387199904
244,battle,0.02470784125889664
245,dr,0.02470784125889664
246,hard,0.024691693836809064
247,times,0.024527292809254184
248,love,0.024527292809254184
249,advocates,0.02444188432557312
250,hold,0.024426632886490787
251,stood,0.024415749593363723
252,preparations,0.02432299979807298
253,girls,0.02432299979807298
254,equal,0.024321897454207025
255,judgment,0.02426433857569816
256,think,0.024140970868430714
257,brought,0.024140970868430714
258,high,0.0239516058941921
259,nations,0.023836132174161685
260,place,0.023816206682544177
261,addressed,0.023764684407223673
262,look,0.023764684407223673
263,education,0.023722029809074386
264,miles,0.023688834800135113
265,shores,0.023688834800135113
266,streets,0.023688834800135113
267,bore,0.023688834800135113
268,abroad,0.023629500930340195
269,movement,0.02362744230261423
270,tremble,0.02359175824556832
271,dennis,0.02359175824556832
272,ratified,0.02359175824556832
273,voice,0.02342220200882721
274,privileges,0.02339792521649946
275,modern,0.02333653326142691
276,power,0.02332388376451387
277,impartial,0.023220299103870613
278,result,0.02321796993031302
279,arrangements,0.02313667941475177
280,trust,0.02302162678435408
281,resolutions,0.023002752833351545
