,term,score
0,convention,0.20273420787774293
1,date,0.1925326355538489
2,state,0.1855542177872655
3,binghamton,0.17456669719902285
4,canvassers,0.16431484781673586
5,colored,0.15148713728460186
6,committee,0.13899609525677825
7,file,0.13166187610563343
8,central,0.13102153926012713
9,jordan,0.12826539887775057
10,june,0.12078172327226255
11,1869,0.1087887463676729
12,project,0.1087887463676729
13,tribune,0.10198029461294367
14,impartial,0.0999632511937603
15,men,0.09794319924518646
16,dailyy,0.09450793368170197
17,larry,0.09450793368170197
18,convnetion,0.09450793368170197
19,wordage,0.09450793368170197
20,apponted,0.09450793368170197
21,rewrite,0.09450793368170197
22,dvotion,0.09450793368170197
23,retd,0.09450793368170197
24,indexed,0.09450793368170197
25,justpride,0.09450793368170197
26,heighland,0.09450793368170197
27,15th,0.09251168639458425
28,title,0.09251168639458425
29,page,0.09134318700917496
30,amendment,0.09123286423609593
31,waterville,0.08728334859951142
32,threefold,0.08728334859951142
33,720,0.08728334859951142
34,statesmanlike,0.08728334859951142
35,mens,0.08728334859951142
36,removal,0.08601446839463747
37,new,0.08562782169085818
38,appeared,0.08503807749821554
39,york,0.08247239338816706
40,gratitude,0.08225983701229729
41,republican,0.08185442052155197
42,manner,0.07945158644523342
43,manuscript,0.07818144782615076
44,encroachment,0.07818144782615076
45,effectively,0.07818144782615076
46,negroes,0.07727927506627559
47,serve,0.07651287911107811
48,digest,0.07493283882617738
49,assign,0.07493283882617738
50,molson,0.07493283882617738
51,franchises,0.07493283882617738
52,thanks,0.0744102979517923
53,copy,0.07430788484786294
54,people,0.07372153013736107
55,ballot,0.07223141180014654
56,inaugural,0.07218617905294615
57,gird,0.07218617905294615
58,borrowed,0.07218617905294615
59,commending,0.07218617905294615
60,officers,0.07180226570560891
61,ally,0.0698069141350339
62,stripped,0.0698069141350339
63,issue,0.06840960596171408
64,ratified,0.06770825374398681
65,norwich,0.06770825374398681
66,academy,0.06583093805281671
67,disability,0.06583093805281671
68,editorial,0.06583093805281671
69,demon,0.06583093805281671
70,appointment,0.06551076963006357
71,piety,0.06413269943887528
72,identical,0.06413269943887528
73,suffrage,0.06283010490189449
74,ratification,0.06258232905284333
75,manfully,0.06258232905284333
76,states,0.061633874784919336
77,executive,0.0613134488479694
78,auspicious,0.061156126550501004
79,attested,0.061156126550501004
80,president,0.06079863814159538
81,reporter,0.05983566927961211
82,worked,0.05983566927961211
83,story,0.05983566927961211
84,reporters,0.05860635297062616
85,continues,0.05860635297062616
86,advocacy,0.05745640436169986
87,abuse,0.05745640436169986
88,albert,0.05745640436169986
89,tomorrow,0.05637619368603398
90,current,0.05637619368603398
91,garnet,0.055357743970652774
92,profound,0.055357743970652774
93,today,0.05439437318383645
94,campaign,0.05439437318383645
95,began,0.053480428279482684
96,fred,0.053480428279482684
97,cordial,0.053480428279482684
98,rome,0.053480428279482684
99,secretaries,0.05296772429682228
