,term,score
0,convention,0.2424865858493237
1,county,0.2254646450200456
2,louis,0.22193290183199263
3,rector,0.21184377401598845
4,dickson,0.21105464271584465
5,committee,0.20900078457733598
6,motion,0.19593669616449677
7,st,0.18452224283542723
8,missouri,0.1759912721166103
9,milton,0.17322613225138103
10,turner,0.15385830579887383
11,stokes,0.1319748599185406
12,moses,0.12908142865169756
13,madrid,0.12759752763891827
14,state,0.12116166542178906
15,00,0.11448914119861132
16,shall,0.10640074816266482
17,proceedings,0.10484835085962932
18,1870,0.09709865602129143
19,prof,0.09588564919372818
20,colored,0.09227315641508661
21,institute,0.09016047658619107
22,normal,0.08538849486427592
23,jordan,0.08125357414799408
24,people,0.07903266501755735
25,brooks,0.07832826216943088
26,lincoln,0.0737745867004174
27,cartwright,0.07368479096208294
28,ricketts,0.07368479096208294
29,fletcher,0.07302840023592844
30,macon,0.07035154757194821
31,morton,0.06997791525831737
32,following,0.06960197846875431
33,mr,0.06883573191682779
34,jefferson,0.06706270972677784
35,chairman,0.06672167781976411
36,executive,0.065730665856282
37,schools,0.06478851687306031
38,house,0.06381925443176581
39,foster,0.0636417130126626
40,jan,0.06361431037731802
41,rev,0.06306356479494406
42,board,0.06276152763199129
43,president,0.061228538264514146
44,educational,0.06086282882629983
45,whitaker,0.059545512898161866
46,mo,0.05842272018874276
47,school,0.05742338004787665
48,city,0.056148841059679745
49,tandy,0.056048559358810604
50,triplett,0.056048559358810604
51,follows,0.05542507902657522
52,business,0.055126791836105825
53,trustees,0.054488451653007
54,chair,0.05434434703241253
55,received,0.05364933347361221
56,voted,0.05336052256946154
57,members,0.053292179548511835
58,gaines,0.052483436443738034
59,hon,0.05136253950284551
60,howard,0.05029703229508339
61,savings,0.05000219947568867
62,report,0.049327294854712656
63,body,0.04867986653841893
64,assembly,0.04846938418718714
65,appointed,0.04831610440004121
66,1869,0.04771073278298851
67,girardeau,0.046052994351301835
68,hall,0.045924945453000715
69,representatives,0.04555015115864736
70,resolved,0.04535098700974133
71,adopted,0.045272063129033556
72,ordered,0.045074918894036906
73,payne,0.04491047873183952
74,minutes,0.04419068926376834
75,homesteads,0.04269424743213796
76,mcclurg,0.04253250921297276
77,smith,0.04251347441473753
78,january,0.042237378429905374
79,beard,0.04003468525629329
80,excellency,0.039981799538178826
81,thanks,0.03867687460307324
82,beg,0.03863564476631735
83,recommend,0.037508956313231014
84,cooper,0.03710834772010218
85,wolridge,0.03684239548104147
86,mudd,0.03684239548104147
87,lafayette,0.03651420011796422
88,session,0.03577730765627271
89,bank,0.03532629180821564
90,cape,0.035175773785974106
91,said,0.034793690921348444
92,sir,0.0347401287023485
93,monks,0.03402600737037821
94,seely,0.03402600737037821
95,parker,0.03377239810486844
96,20,0.03367829333220052
97,adjournment,0.03367829333220052
98,freedman,0.03359768047953147
99,esq,0.033555727514206476
100,new,0.03338062687456151
101,second,0.033307277105234005
102,resolution,0.03312365422739586
103,cole,0.03299371497963515
104,spread,0.03283688904481656
105,gentlemen,0.03211256870097104
106,addressed,0.03133638223483871
107,address,0.03129433769490141
108,annexed,0.031251374672305425
109,10,0.031203179791704387
110,secretary,0.030871003428219263
111,called,0.030656401629102707
112,woodson,0.030495891022955687
113,bowser,0.030495891022955687
114,branch,0.030279678692756263
115,introduced,0.030269093660904505
116,major,0.030034731381613673
117,great,0.0298184045169884
118,evening,0.029471322817538656
119,presented,0.029471322817538656
120,need,0.029401787561828593
121,sawyer,0.02921136009437138
122,townships,0.02921136009437138
123,general,0.02906906247072158
124,purpose,0.028800308935619925
125,present,0.0284173694897708
126,leave,0.028391844304460453
127,subject,0.02799095659492811
128,day,0.027880644917881066
129,children,0.027772275841678035
130,treasurer,0.027643669921422344
131,21,0.027643669921422344
132,merwin,0.027631796610781103
133,subjoined,0.027631796610781103
134,boonville,0.027631796610781103
135,814,0.027631796610781103
136,yeatman,0.027631796610781103
137,haygood,0.027631796610781103
